category,mean_wage_52,mean_wage_53,mean_wage_54,mean_wage_55,mean_wage_56,mean_wage_57,mean_wage_58,mean_wage_59,mean_wage_60,mean_wage_61,mean_wage_62,mean_wage_63,mean_wage_64
0,10376.335008,11105.168426,11804.293861,12594.385048,13358.741664,14128.984021,15079.731032,16319.416162,16669.172936,17569.673239,19389.953732,21047.922151,22714.569358
1,13120.080284,14126.540719,14937.808856,15937.406026,16894.819881,17923.060695,19023.290103,20678.841465,21243.808621,22503.480872,24784.747064,26691.117805,28971.353228
2,14368.07379,15277.694428,16546.539916,16858.664842,18610.132554,18984.086308,21169.249064,22309.673848,22701.562918,24125.453745,29235.863899,32331.135168,32218.426702
3,5697.7020514,6031.2118883,6403.6125332,6901.1708222,7382.054649,8008.6892692,8553.1422937,8715.4302734,8917.015792,9517.3609577,10454.613005,11084.622634,11975.045737
10,11542.177847,12352.678345,12972.401884,13959.295695,14975.332432,15721.781452,16638.382547,18189.988955,18564.592003,19530.68222,21689.847732,23426.609408,25347.823148
11,14191.90376,15176.749717,16049.021771,17464.333288,18379.362488,19604.491607,20466.027454,22315.8253,22981.433108,24389.940399,26634.543798,28695.860864,31257.07632
12,16611.730546,17920.676116,18588.325286,18181.596777,21090.501599,21488.938135,23533.999021,25056.968765,25961.921272,27413.324697,33777.969378,36878.640778,37438.132988
13,6783.7657026,7164.4569822,7594.6800825,8108.5648255,8672.7876878,9374.8242446,9940.9793081,10395.485797,10337.498577,11094.666202,12534.107543,13163.850025,14390.27546
20,8823.6886804,9524.5902719,10295.346394,10783.517607,11310.364102,12119.56535,13066.236395,13987.903784,14305.244226,15120.753174,16555.49644,17969.874077,19402.143359
21,11729.184043,12814.134792,13563.754864,14004.709957,15006.290925,15867.874504,17173.161566,18566.152321,18999.165938,20098.154906,22503.37782,24034.225764,26154.618219
22,10700.624203,10967.353582,13455.778788,14643.179276,14230.666799,15380.953578,17327.614417,18655.623537,18184.84338,19880.96422,22009.665526,25880.32907,24062.661292
23,4247.5485904,4631.0424179,4809.7365448,5266.5721006,5849.9381321,6251.9231028,6812.4060241,6750.9186811,7266.5345971,7615.2801476,8004.5716379,8526.0092185,8974.3131086
