ch04,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,993,994,995,996,997,998,999,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202,1203,1204,1205,1206,1207,1208,1209,1210,1211,1212,1213,1214,1215,1216,1217,1218,1219,1220,1221,1222,1223,1224,1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1243,1244,1245
1,0.5638252045,0.5585042091,0.5627272702,0.5641245477,0.56701684775,0.5699091478,0.57280144785,0.5756937479,0.5710673176,0.5669264733,0.5741042973,0.5834406463,0.576759218,0.5660182451,0.5722935171,0.5754751898,0.581154728,0.5861854409,0.584076237,0.5742236106,0.5778136638,0.5871831562,0.5907934164,0.5878633909,0.5874982239,0.5845885914,0.5895092913,0.5872541441,0.5798484595,0.5702617338,0.5790286825,0.5816984007,0.5815673487,0.5899686413,0.5981612592,0.5897817405,0.5881168707,0.6042090207,0.5987722733,0.5933355259,0.6005770382,0.5907558468,0.5920491166,0.5948953622,0.6048021381,0.5876097499,0.5982472259,0.6070228059,0.6081969098,0.6068992327,0.597509659,0.5968835422,0.5990123376,0.6006780813,0.5804946088,0.5627339587,0.5633958694,0.5640577802,0.5703866581,0.5767155359,0.5843236365,0.5919317371,0.5973555202,0.6027793033,0.6020522948,0.6013252862,0.6011750854,0.6010248847,0.6020913146,0.6031577445,0.6016458134,0.6001338823,0.6074981363,0.6148623903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.4361747955,0.4414957909,0.4372727298,0.4358754523,0.43298315225,0.4300908522,0.42719855215,0.4243062521,0.4289326824,0.4330735267,0.4258957027,0.4165593537,0.423240782,0.4339817549,0.4277064829,0.4245248102,0.418845272,0.4138145591,0.415923763,0.4257763894,0.4221863362,0.4128168438,0.4092065836,0.4121366091,0.4125017761,0.4154114086,0.4104907087,0.4127458559,0.4201515405,0.4297382662,0.4209713175,0.4183015993,0.4184326513,0.4100313587,0.4018387408,0.4102182595,0.4118831293,0.3957909793,0.4012277267,0.4066644741,0.3994229618,0.4092441532,0.4079508834,0.4051046378,0.3951978619,0.4123902501,0.4017527741,0.3929771941,0.3918030902,0.3931007673,0.402490341,0.4031164578,0.4009876624,0.3993219187,0.4195053912,0.4372660413,0.4366041306,0.4359422198,0.4296133419,0.4232844641,0.4156763635,0.4080682629,0.4026444798,0.3972206967,0.3979477052,0.3986747138,0.3988249146,0.3989751153,0.3979086854,0.3968422555,0.3983541866,0.3998661177,0.3925018637,0.3851376097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
