period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_benefits
66,0.692383268302116,0.284339264286339,0.023277467411546,0.990763180468492,0.990203871415721,0.993688947542065,0.993741122966479,0.684253909600792,0.776998706677444,0.085108017156054,0.089209260738359,0.283315605410755,0.185164029869273,0.023193665456945,0.028041134869004,4236.23740318929,3031.78602403707,2253.00272878466,2217.15225798455,3625.32672629328,3740.59732310656,2772.31948996558,0.558181409790754,0.627450845768048,511.092586816725,521.004257907608,418.377568130266,780.383881470193,0.753612946402898,0.517119933232227,0.236536974287793,0.324244991384437,0.285656089215127,0.307534273105432,0.280776740096531,0.323630881250888,0.285006910402004,0.306328345337291,0.278037058740366,4497467
67,0.687221256041705,0.290963460441897,0.021815283516398,0.989785592118909,0.988981213188046,0.992684975283968,0.99248312699895,0.679597366308618,0.771752934531113,0.087575495778828,0.091877139531916,0.288553622371886,0.191097714926209,0.021634603438404,0.026130563730725,4323.75059999239,3086.89653902329,2283.0833129044,2249.93695012892,3684.75015179875,3811.90015364829,2816.93988361917,0.576287307755464,0.649095443960339,498.89881333983,509.364555540583,424.667542093502,727.011554739138,0.752632572419903,0.509627815300153,0.24300475711975,0.323239154387547,0.288727950214356,0.306213844614569,0.283860978381373,0.322629681317743,0.288087397259107,0.305017708527408,0.280039657899989,4509455
68,0.685936214975362,0.290152984122675,0.023910800901964,0.982463633153269,0.988347247029284,0.98590422240218,0.991716902596823,0.673907385876096,0.765146935203868,0.088360611117151,0.092391428558011,0.285064754951426,0.194855506802396,0.023491492325748,0.028344805023019,4270.18713977749,3033.35557366142,2281.28638588278,2214.20073216183,3643.94136926146,3766.96455127559,2767.75091520229,0.585532666938895,0.663358235553183,513.124395165847,522.756797693041,422.394469422427,778.926352972053,0.765014342334046,0.531905167925107,0.233109174408939,0.321492354064093,0.292605512524526,0.304088079486184,0.283020824317598,0.318930473424837,0.28821604475872,0.302624814149501,0.278880039149356,4507936
69,0.682875013534237,0.289396014302744,0.027728972163019,0.975760061808743,0.987276425938433,0.981522213356402,0.991350246871371,0.666322165413814,0.756512435964481,0.094224235443574,0.097420473384526,0.282381072803249,0.198178088972,0.02705682359168,0.032585901001952,4673.95395193343,3425.92889101148,3140.26434947193,2910.80969210381,4181.22011570331,4319.9019882811,3468.8678038659,0.695968572538822,0.721267290647285,636.629994426709,629.221417511926,530.234004599251,878.544011084295,0.75036542228297,0.508513503884755,0.241851918398215,0.222411935201633,0.180873908973055,0.19763906143307,0.168097635161176,0.217950290984375,0.17345004860795,0.195523524309653,0.162467842564947,4506914
70,0.680940567876599,0.289199851803737,0.029859580319664,0.967465049844309,0.986708930052632,0.975379456996588,0.990053424070336,0.658786200441746,0.749498511462021,0.098699959630867,0.101012440874455,0.279790749040269,0.202463742208603,0.028888100362294,0.034746676382008,4423.80965859331,3157.8426723612,2695.98652564402,2359.82935929758,3862.49387907628,3994.54669471662,2950.63851178477,0.530035956588926,0.627298028517926,496.80745793703,501.766454370131,456.813040194278,664.721497850686,0.73094338411826,0.527397651799331,0.203545732318929,0.306130609139541,0.278963008029867,0.279385524641071,0.258115129890938,0.299933512901233,0.269191801894462,0.277704533395949,0.252680645671574,4504318
71,0.678449652644996,0.289326771665084,0.03222357568992,0.961143926173921,0.987186222622618,0.970829129530406,0.990192269864731,0.652087762854544,0.743226836016577,0.10431424800401,0.105462619879622,0.278084669265404,0.206678542865617,0.030971494053972,0.037280843740423,4409.10658532904,3135.73105993193,2683.63717878656,2338.23187774133,3843.15110444294,3983.7594692517,2923.63386393328,0.540614727031088,0.641217155983184,496.754555637438,498.326626646732,451.968516412382,658.666328564003,0.73365614633016,0.52191614690436,0.2117399994258,0.308855685497871,0.284155462440061,0.280830922891924,0.260384223102219,0.300653660775602,0.271739679971417,0.279029085771359,0.25486161123642,4499386
72,0.677262269303096,0.288321070312797,0.034416660384108,0.953734428090402,0.986500374521742,0.964891842509598,0.989910880361893,0.645928343080996,0.734295963433449,0.110228390557185,0.111280117152116,0.274981731101187,0.212781327687232,0.032824353908219,0.039423083401062,4428.76574955892,3145.64328624133,2707.07473039353,2340.22830409847,3860.48546820532,4013.11837734018,2926.13011751708,0.545529912562079,0.647473569680321,493.9881484171,497.589565725348,453.335602976875,634.37234038448,0.741304777097984,0.524760426797676,0.216544350300308,0.316589233328557,0.289511011273626,0.286528418482253,0.261353788288235,0.306509306456127,0.27399052683845,0.284847134786405,0.255629965592898,4494260
73,0.675261361731705,0.28692894141738,0.037809696850915,0.944334303155407,0.985350789674274,0.957294537753402,0.989255465575251,0.637672467478681,0.72620083652553,0.11554199080106,0.11619172116463,0.2709568419485,0.216299867457069,0.035704993728226,0.042850085691675,4179.54611338507,2979.1030586871,2561.12018427766,2195.50744117717,3640.15697404716,3797.23435947501,2745.17679989186,0.518100144139594,0.610295875904071,594.104159400658,581.652506362357,536.607095908214,715.203166562512,0.717875841948286,0.499225219240423,0.218650622707863,0.323200309789279,0.298131807751148,0.288817895818875,0.265832714056818,0.311305194476332,0.278796171361441,0.286858210947688,0.259525209505584,4498058
74,0.673335086197593,0.286787610712351,0.039877303090056,0.936120347076349,0.985105936838207,0.951068502786073,0.989055175266366,0.630322674589974,0.719596204591852,0.12067962148302,0.119989131424736,0.268467717677243,0.22067474124349,0.037329954809132,0.044834991002865,4745.07435630263,3377.46516039789,2906.43934094444,2481.79791503247,4127.52325265088,4315.828797542,3105.34371648553,0.584972487254586,0.686628740463302,535.126459184619,536.960648313354,490.066565085663,712.700135933286,0.758951886416107,0.543209920607356,0.215741965808751,0.323558409765087,0.303855655156317,0.287377946025353,0.266820324536733,0.309610204771069,0.281347115404436,0.285691672785093,0.260529905971464,4484130
75,0.671691894778009,0.285301679445358,0.043006425776633,0.930244447185708,0.98487516373214,0.946582964516346,0.989050352086106,0.62483765533689,0.713405547336589,0.1252280347044,0.123628325261844,0.265400303076801,0.223499744612435,0.040006488772018,0.047969871783116,4491.41102836263,3196.68699978176,2753.98664761019,2336.36707988267,3903.04019700896,4093.25051624287,2923.22581431569,0.552353775318362,0.644369673664388,493.782778148882,497.789731268759,449.180394193124,640.821606391931,0.737052989501336,0.509446971915888,0.227606017585448,0.329289832743488,0.308451106382036,0.290495986621584,0.268985278372811,0.314059037133932,0.283280378957853,0.289225432558936,0.262523999097772,4474918
