period,"total pensions, pre-2016, cost","total net pensions, pre-2016","total pensions, post-2016, cost","total net pensions, post-2016",total retirement benefits pre-2016,total survivors pensions pre-2016,total retirement benefits post-2016,total survivors pensions post-2016,"total universal pensions, cost",total net universal pensions," total thirteenth month of pension pre-2016, cost",total net thirteenth month of pension pre-2016," total thirteenth month of pension post-2016, cost",total net thirteenth month of pension post-2016," total thirteenth month of universal pension, cost",total net thirteenth month of universal pension
49,17961457.0690417,17255645.0717646,18023488.3485766,17313954.3750296,14972411.0121106,2283234.059654,15030720.709629,2283233.6654005,0,0,0,0,0,0,0,0
50,20689184.2642548,19873660.112222,20762671.1046191,19942737.5680553,17141641.5232498,2732018.58897219,17210719.6661007,2732017.90195459,0,0,3451359.37844056,3257958.83920417,3463607.15429753,3269471.74732344,0,0
51,20098988.3071549,19305093.5324054,20173232.138509,19374882.5814692,16576621.5667555,2728471.96564992,16646411.5184258,2728471.0630434,0,0,0,0,0,0,0,0
52,21719874.0929748,20860990.1665908,21802023.4326961,20938212.0922995,17851765.4590436,3009224.70754724,17928988.5345082,3009223.55779131,0,0,3622658.74584994,3420261.30240989,3636350.57664936,3433131.62186055,0,0
53,18966435.7673437,18219854.658935,19038939.4486195,18288008.3242866,15527835.6789602,2692018.97997481,15595990.3794026,2692017.94488407,0,0,0,0,0,0,0,0
54,19546962.2656753,18776191.272331,19624762.2580701,18849323.4406785,15958451.9369546,2817739.33537642,16031585.2446081,2817738.19607036,0,0,3260772.462351,3079588.14834811,3273739.15886651,3091776.84165319,0,0
55,18526313.6888839,17795233.2364408,18601393.2017477,17865808.1723551,15024158.7813461,2771074.45509467,15094735.0381548,2771073.13420026,0,0,0,0,0,0,0,0
56,20262338.3192688,19461400.2516517,20346348.6420638,19540370.1162895,16351845.4550702,3109554.79658147,16430816.6773602,3109553.43892929,23416.4424507859,22713.9491772623,3379707.70935629,3192543.49836977,3393709.45840555,3205705.14111471,3902.7404084643,3785.6581962104
57,19396746.7779375,18629291.1380122,19478248.1474921,18705902.6078051,15592024.7539445,3037266.38406771,15668637.4640035,3037265.14380163,70925.0634521937,68797.3115486279,0,0,0,0,0,0
58,20748476.4568997,19925415.749784,20836062.4962461,20007746.7743144,16606750.1636555,3318665.58612856,16689082.454932,3318664.31938243,104561.994995789,101425.135145915,3460250.86307889,3269410.09473805,3474848.56246371,3283131.93090303,17426.9991659648,16904.1891909858
59,19902255.5403979,19112791.5719297,19987465.4720141,19192889.0720757,15889856.8060623,3222934.76586741,15969955.4649777,3222933.60709804,125804.847742236,122030.702309969,0,0,0,0,0,0
60,21693976.1580862,20832388.2886762,21788404.2722504,20921150.8511696,17266755.5315424,3565632.75713385,17355519.2189937,3565631.63217598,174228.725764161,169001.863991236,3617489.43665329,3418675.11914391,3633227.47964858,3433468.87865165,29038.1209606935,28166.9773318727
61,20355194.8569994,19544391.773939,20443348.7386815,19627256.4592513,16114566.6294108,3429825.14452819,16197432.2770218,3429824.18222945,186731.320583379,181129.380965877,0,0,0,0,0,0
62,20154459.8592495,19350742.6817342,20242590.134086,19433585.1900176,15869550.5925497,3481192.08918449,15952394.008453,3481191.18156459,218190.376501555,211644.665206508,3360434.54575871,3175630.90622139,3375122.93375221,3189437.99020995,36365.0627502591,35274.1108677513
63,20021480.5224442,19221708.4787762,20110643.0240804,19305521.2877664,15722393.7413858,3499314.73739034,15806207.4109582,3499313.87680823,243847.631198937,236532.202262969,0,0,0,0,0,0
64,20103340.3741872,19299254.341496,20193256.2190777,19383775.2832247,15721237.1825942,3578017.15890183,15805758.9343734,3578016.34885135,258065.618182964,250323.649637475,3351421.06987168,3168423.36454063,3366407.05244769,3182510.18745751,43010.9363638273,41720.6082729125
65,20275452.0439826,19463403.7090134,20366634.9114978,19549115.6542864,15836901.6860827,3626502.02293073,15922614.3578667,3626501.2964197,289349.231669331,280668.754719252,0,0,0,0,0,0
66,20470032.0468572,19649888.9708794,20562913.1955839,19737197.3015875,15981414.9797766,3668473.99110286,16068723.9989504,3668473.30263704,311175.312644479,301840.053265145,3412256.78312518,3226585.37720796,3427736.98360533,3241136.7655349,51862.5521074132,50306.6755441908
67,20624929.2878768,19797604.1151946,20720647.0636021,19887578.8757092,16085245.3934426,3712358.72175197,16175220.8210438,3712358.0546654,340533.941637413,330317.92338829,0,0,0,0,0,0
68,20687218.5358556,19856584.6381864,20784812.5868098,19948323.0973948,16127245.1351778,3729339.50300868,16218984.263016,3729338.83437888,377631.740625009,366302.788406259,3448269.77238336,3260171.11938696,3464535.45664017,3275460.86253387,62938.6234375015,61050.4647343765
69,21095188.3128675,20247320.526036,21195304.040858,20341429.3617297,16437854.8773813,3809465.64865468,16531964.3753927,3809464.98633695,423820.906595184,411106.279397328,0,0,0,0,0,0
70,21112881.2638764,20263176.8462289,21215282.0390447,20359433.6261212,16397811.3070878,3865365.53914112,16494068.7540985,3865364.87202273,439092.624607633,425919.845869404,3518423.83846956,3320246.62415487,3535490.643415,3336289.4207358,73182.1041012721,70986.6409782339
71,21190330.7203836,20335414.8660079,21295236.3810575,20434026.2382698,16414366.2770108,3921048.58899707,16512978.3165765,3921047.9216933,443361.068484378,430060.236429847,0,0,0,0,0,0
72,21302929.8196333,20441730.0783486,21408769.6194593,20541219.5418995,16430498.4766002,4011231.6017484,16529988.5917399,4011230.95015961,464028.497108179,450107.642194933,3549572.69290044,3348680.0875866,3567212.66870734,3365261.66485991,77338.0828513631,75017.9403658222
73,21347817.9779941,20483448.0055199,21453851.7929441,20583119.843127,16416298.1879281,4067149.81759177,16515970.6823044,4067149.16082268,497673.87825429,482743.661906661,0,0,0,0,0,0
74,21406848.3250764,20538772.5607227,21513592.1217652,20639111.7811574,16422454.408499,4116318.15222367,16522794.2859269,4116317.49523043,519136.409168857,503562.316893791,3566573.08804263,3363994.61764334,3584363.72996368,3380717.82103519,86522.7348614761,83927.0528156318
75,21485753.0819609,20611961.6690456,21596176.6659767,20715759.8895678,16444496.4757545,4167465.19329112,16548295.3443161,4167464.54525172,561051.900326162,544220.343316377,0,0,0,0,0,0
76,21580993.317768,20701445.0703975,21693732.151279,20807419.6252951,16488326.2425607,4213118.8278368,16594301.456411,4213118.16888403,593556.937397358,575750.229275438,3595306.03783521,3390706.41288785,3614095.85253336,3408368.83866438,98926.1562328931,95958.3715459063
77,21668413.3292559,20783460.266681,21782157.4198217,20890379.7629833,16487532.1555615,4295928.11111955,16594452.318148,4295927.44483532,628546.6691272,609690.269053384,0,0,0,0,0,0
