Period,Mean real labour income,Total workers
49,"6368,9065332604",11004289
49,"6368,9065332604",11004289
50,"6691,6267211456",11039157
51,"6984,1911310188",11069835
52,"6967,8308273951",11079853
53,"6546,8359095505",11091626
54,"6356,2046503346",11171229
55,"6421,7509021331",11262070
56,"6485,7556979743",11267048
57,"6583,2437564606",11118502
58,"6550,8123021847",11135499
59,"6730,5417200481",11142497
60,"6722,1339140824",11181611
61,"6643,9742604884",11195427
62,"6608,6374037279",11278619
63,"6673,706535316",11305467
64,"6694,820628198",11298518
65,"6710,0574600443",11397825
66,"6736,8362336478",11395972
67,"6738,8108736278",11393818
68,"6762,9450368542",11468374
69,"6743,3462331655",11491158
70,"6781,0235720911",11519026
71,"6762,2354209307",11594810
72,"6746,122015465",11641835
73,"6757,1329740596",11663401
74,"6789,4889944937",11662781
75,"6809,5020298641",11720545
76,"6816,5815338189",11725050
77,"6816,6423143877",11717986
78,"6851,4927571281",11695249
79,"6826,0468079463",11760267
80,"6850,3451771676",11772049
81,"6872,2205120373",11817916
82,"6895,4970988378",11808542
83,"6889,8352932511",11855572
84,"6898,8869842483",11894602
85,"6936,3723536346",11949006
86,"6930,0886344196",11958837
87,"6937,4078763082",11993759
88,"6944,3034792334",12035845
89,"6963,1566024762",12057642
90,"6953,9422541001",12218382
91,"6965,3799205048",12159137
92,"6985,4030557384",12122064
93,"7020,8673680031",12138162
94,"7049,7974409381",12202873
95,"7044,5443174936",12316523
96,"7092,7648911915",12340000
97,"7100,9286075001",12353010
98,"7108,7027480322",12360350
99,"7117,8958250268",12465592
100,"7117,2323915017",12529157
101,"7160,9983285022",12519637
102,"7180,5898018021",12550095
103,"7186,2115602368",12542207
104,"7226,5245054002",12492115
105,"7229,8520015728",12563995
106,"7226,9242868006",12600795
107,"7233,4620542099",12524539
108,"7251,1684231432",12518155
109,"7266,9624733419",12528013
110,"7252,2952225005",12589547
111,"7270,5976036993",12669878
112,"7294,192698186",12712932
113,"7286,0479424744",12781006
114,"7317,7815502641",12779934
115,"7336,1221930374",12755254
116,"7354,2768470136",12683930
117,"7313,278930519",12761743
118,"7401,1279154036",12697036
119,"7389,0561215458",12761685
120,"7380,6393749224",12832907
121,"7428,0197546932",12727551
122,"7443,1551639553",12717402
123,"7447,6359409207",12766226
124,"7459,9189794376",12813300
125,"7453,9131052292",12812849
126,"7480,0658428042",12817337
127,"7443,4091192731",12827475
128,"7479,6336580543",12887794
129,"7495,3134022672",12878035
130,"7498,666601094",12955192
131,"7549,934264078",12937415
132,"7572,4301074327",12975513
133,"7593,9830674651",13039994
134,"7628,7770536377",12983072
135,"7619,6368089475",12978706
136,"7618,6964386924",13039589
137,"7655,0315825629",12963326
138,"7688,1473179758",12982956
139,"7646,1421954846",13053998
140,"7675,1026479439",12980923
141,"7677,7119769399",12944456
142,"7736,4074095196",12925521
143,"7708,4167111794",13002376
144,"7712,9616856436",13039381
145,"7701,82942805",13073649
146,"7707,8001934204",13016841
147,"7698,5224893035",13001161
148,"7712,3552717376",13039899
149,"7719,0581578438",12992499
150,"7744,2032945942",13059447
151,"7767,9239008787",13059232
152,"7791,4382001431",13081094
