Period,Mean real labour income,Total workers
49,"6368,9065332604",11004289
50,"6691,6267211456",11039157
51,"6984,1911310188",11069835
52,"6967,8308273951",11079853
53,"6546,8359095505",11091626
54,"6356,2046503346",11171229
55,"6421,7509021331",11262070
56,"6485,7556979743",11267048
57,"6583,2437564606",11118502
58,"6550,8123021847",11135499
59,"6730,5417200481",11142497
60,"6722,1339140824",11181611
61,"6643,9742604884",11195427
62,"6608,6374037279",11278619
63,"6673,706535316",11305467
64,"6682,3263517394",11298518
65,"6685,0354059834",11397825
66,"6694,5371672059",11388578
67,"6675,8821371162",11375749
68,"6684,3488692638",11449719
69,"6652,9859011558",11461882
70,"6674,5135011803",11482419
71,"6651,4766767015",11515687
72,"6614,7336846587",11583569
73,"6604,3252829976",11621462
74,"6621,7686371789",11595947
75,"6621,2139780251",11631571
76,"6614,1407036596",11631260
77,"6561,2773818479",11629663
78,"6587,2354996881",11627932
79,"6559,4251784371",11666206
80,"6597,9223609998",11665397
81,"6607,0361074178",11618250
82,"6571,6068986526",11612612
83,"6557,1036929782",11696181
84,"6545,5633302036",11779991
85,"6552,5915722297",11815803
86,"6529,4017552632",11881764
87,"6522,9816613145",11881635
88,"6539,3037927242",11877882
89,"6538,9316091332",11916429
90,"6534,5000902441",11925014
91,"6506,5447150012",11932895
92,"6495,6506159448",11994521
93,"6492,9108682115",12018877
94,"6487,2581528917",11960995
95,"6463,8207432352",12005192
96,"6488,5179751587",11980958
97,"6485,6828620604",12029196
98,"6472,8477957282",12017415
99,"6490,2654682337",11995212
100,"6507,7597224838",12012508
101,"6492,7509131735",12149495
102,"6494,7762194607",12145452
103,"6497,5709220934",12116689
104,"6485,4799739656",12149648
105,"6477,1475926424",12203767
106,"6477,5612438625",12179290
107,"6469,562260197",12186458
108,"6464,3620986473",12208240
109,"6463,2563316389",12224550
110,"6454,2578527976",12212095
111,"6452,2962639942",12176551
112,"6444,9443816523",12211777
113,"6429,6737478796",12256048
114,"6452,551721352",12188008
115,"6426,194090309",12229047
116,"6419,1189317567",12253631
117,"6433,96057439",12241316
118,"6416,0158458651",12246726
119,"6426,85694898",12189857
120,"6411,8254386244",12189296
121,"6377,0883757125",12296968
122,"6384,363426612",12208424
123,"6369,237979789",12212985
124,"6346,9045197017",12272310
125,"6360,5444662038",12255779
126,"6344,8439842498",12199168
127,"6373,8717886282",12180048
128,"6343,6874422315",12182352
129,"6351,5261252497",12110740
130,"6356,1266646659",12123092
131,"6338,6502030203",12188710
132,"6301,33840293",12221913
133,"6301,4027802563",12238727
134,"6300,3247407019",12241791
135,"6297,9535347018",12270425
136,"6279,0360933593",12241320
137,"6284,6201919472",12185095
138,"6274,5387325139",12233921
139,"6251,1852396456",12263149
140,"6219,8052323364",12192353
141,"6228,2912258362",12272239
142,"6226,7750842267",12266908
143,"6235,8998245808",12248964
144,"6237,5759324167",12236788
145,"6249,8422032858",12220467
146,"6234,2675486715",12181699
147,"6213,6134418801",12229858
148,"6208,7455621605",12201357
149,"6225,938704314",12155814
150,"6240,5870063626",12146628
151,"6228,8943460744",12187490
152,"6224,1441365612",12161963
