Period,Total SIPA income,Total wage-earners SIPA contributions,Total taxable income,Total gross wages,Total SAC,Total autonomous workers SIPA contributions,Total monotributo SIPA contributions,Monotributo integrated tax
49,17946029.737,17193969.833,60758667.300,60662058.897,0.000,502107.026,168455.541,116424.766
50,21851478.615,21003375.278,73524516.404,64495621.525,10749270.254,602980.900,162563.149,117941.839
51,20104485.510,19302384.922,68235350.742,68116748.502,0.000,556506.001,159243.084,123359.291
52,23145866.219,22372470.644,78379794.977,68767475.381,11461245.897,545720.984,146541.717,115904.105
53,19032700.921,18306612.009,64778058.175,64662671.303,0.000,523866.198,125625.276,109424.910
54,21424382.601,20721980.746,72624972.591,63711043.868,10618507.311,513903.753,114212.299,106122.577
55,19035475.116,18374577.158,65002526.445,64885458.993,0.000,469680.990,110033.092,115976.966
56,22092269.190,21367850.718,74778604.054,65593289.154,10932214.859,540515.766,102309.986,116561.029
57,19297458.384,18544304.512,65549655.605,65434688.716,0.000,502541.123,189617.852,87135.567
58,21896628.335,21096595.112,73780230.670,64734252.884,10789042.147,541261.977,191562.807,96012.055
59,19653790.880,18859960.133,66565351.638,66440962.066,0.000,526142.129,194524.349,104520.384
60,22536137.070,21721404.783,75927068.086,66596826.287,11099471.048,551001.707,188132.096,107997.833
61,18293567.546,17461435.678,58723486.953,66074688.695,0.000,560095.069,206691.154,93350.921
62,21150199.713,20372386.083,68393130.247,66218874.499,11036479.083,515790.017,194592.612,96330.001
63,18750637.502,17997011.543,60908602.682,67405386.264,0.000,506143.897,179875.301,96581.087
64,21639470.128,20892957.605,70491530.983,67420458.045,11236743.007,496016.750,177195.589,104714.549
65,17586416.244,16863215.843,53532828.274,68629598.730,0.000,472721.532,177902.489,103680.542
66,20555570.801,19828664.863,63124554.789,68917063.263,11486177.210,477298.845,176785.140,104031.361
67,17609017.587,16901178.635,53701404.059,68722358.519,0.000,450899.308,182384.435,106507.442
68,20802739.605,20087974.301,63977464.634,69798671.983,11633111.997,465220.433,176622.994,104174.109
69,16678703.624,15947676.078,47550690.047,69748199.649,0.000,476535.947,180209.633,106117.095
70,19669903.608,18917293.219,56972594.337,70210617.467,11701769.578,496448.242,181341.585,106886.518
71,16869956.443,16099252.787,48020212.782,70436406.127,0.000,507291.939,187551.531,108371.695
72,19712977.496,18947527.638,57038869.277,70310030.019,11718338.336,498120.948,191646.915,108117.136
73,15782184.208,15029934.687,41772267.534,70427095.459,0.000,481706.158,192955.616,110839.639
74,18710126.815,17917055.613,50635791.166,70812869.762,11802144.960,528505.298,189564.269,107145.193
75,15986902.347,15173367.793,42167050.494,71070499.223,0.000,549064.062,188611.221,108370.387
76,18763723.732,17980209.473,50822711.153,71027172.866,11837862.144,506534.631,196682.170,114710.655
77,15122215.138,14321094.161,37198693.623,71131171.185,0.000,526513.476,194959.363,113783.054
78,17866695.399,17054097.526,45068545.758,71549678.786,11924946.464,536692.224,196043.752,114088.424
79,15161935.965,14373806.109,37351375.191,71327728.779,0.000,516364.196,191834.983,114186.681
80,17953202.748,17183465.980,45414092.492,72065575.869,12010929.311,506665.422,186082.270,109984.394
81,15390760.278,14637967.189,38110102.414,72573625.989,0.000,477237.645,195674.388,114115.795
82,18160683.568,17404915.635,46143080.493,72843443.605,12140573.934,479286.530,197052.232,113470.244
