agegroup,men_63,men_62,men_61,men_60,men_59,men_58,men_57,men_56,men_55,men_54,men_53,men_52
16,0.039314316,0.0378544138,0.0269917265,0.0321204555,0.0439881044,0.0335524198,0.0394958463,0.0314158645,0.029547476,0.0311568332,0.0404740733,0.0285054629
20,0.1059406237,0.1021116109,0.1002933636,0.081962771,0.0812016298,0.0964465443,0.079567767,0.0950671005,0.0976473823,0.0939965288,0.082035384,0.10001894
25,0.1385228664,0.1505309719,0.1521191617,0.1399390752,0.1183355007,0.1395660834,0.1901255825,0.1476952196,0.1544002252,0.1409589336,0.1377811486,0.1590808292
30,0.1687036091,0.207854351,0.195347238,0.1973952169,0.1849380894,0.2008957476,0.2058026072,0.1860276571,0.2186361654,0.2076130311,0.1982899266,0.1919894048
35,0.2371192946,0.2414414964,0.2071330113,0.2253309567,0.1990567073,0.2405893877,0.216979101,0.2335105379,0.2289555286,0.2117012248,0.2221062125,0.2254900059
40,0.270404689,0.2891121266,0.2835386908,0.2764934719,0.2955415753,0.2774027437,0.2638409707,0.2405412815,0.2469307598,0.2521983105,0.2588150356,0.2809182912
45,0.2863601998,0.3083206621,0.2761545971,0.2795258273,0.2805915456,0.2872105279,0.3018946461,0.2597751809,0.3024503213,0.3136655637,0.295310818,0.2772437818
50,0.3338191318,0.3023148204,0.3023861412,0.3401698278,0.2992855272,0.3271800816,0.3032825781,0.3183359515,0.3262366682,0.3187274533,0.3311375965,0.3063051145
55,0.3354797734,0.3514388599,0.3444499281,0.3507332082,0.3353424703,0.3367637487,0.3603586013,0.3498617023,0.3541379756,0.3833147456,0.3501467674,0.311264534
60,0.3279686319,0.3151157818,0.3375604188,0.332690069,0.3236541677,0.3052410471,0.3343308867,0.3671833662,0.3709185577,0.3407266392,0.352747027,0.3451839989
65,0.2328734004,0.2141874771,0.2350844299,0.2090605627,0.208397884,0.2258015095,0.1721921805,0.1537500075,0.2331989895,0.215511869,0.2071515241,0.2234648589
