agegroup,male,_993a,_994a,_995a,_996a,_997a,_998a,_999a,_1000a,_1001a,_1002a,_1003a,_1004a,_1005a,_1006a,_1007a,_1008a,_1009a,_1010a,_1011a,_1012a,_1013a,_1014a,_1015a,_1016a,_1017a,_1018a,_1019a,_1020a,_1021a,_1022a,_1023a,_1024a,_1025a,_1026a,_1027a,_1028a,_1029a,_1030a,_1031a,_1032a,_1033a,_1034a,_1035a,_1036a,_1037a,_1038a,_1039a,_1040a,_1041a,_1042a,_1043a,_1044a,_1045a,_1046a,_1047a,_1048a,_1049a,_1050a,_1051a,_1052a,_1053a,_1054a,_1055a,_1056a,_1057a,_1058a,_1059a,_1060a,_1061a,_1062a,_1063a,_1064a,_1065a,_1066a,_993b,_994b,_995b,_996b,_997b,_998b,_999b,_1000b,_1001b,_1002b,_1003b,_1004b,_1005b,_1006b,_1007b,_1008b,_1009b,_1010b,_1011b,_1012b,_1013b,_1014b,_1015b,_1016b,_1017b,_1018b,_1019b,_1020b,_1021b,_1022b,_1023b,_1024b,_1025b,_1026b,_1027b,_1028b,_1029b,_1030b,_1031b,_1032b,_1033b,_1034b,_1035b,_1036b,_1037b,_1038b,_1039b,_1040b,_1041b,_1042b,_1043b,_1044b,_1045b,_1046b,_1047b,_1048b,_1049b,_1050b,_1051b,_1052b,_1053b,_1054b,_1055b,_1056b,_1057b,_1058b,_1059b,_1060b,_1061b,_1062b,_1063b,_1064b,_1065b,_1066b
16,TRUE,0.0034082199,0.003793762,0.0049089731,0.0034541445,0.0035201202,0.0036564401,0.0038403153,0.0039223248,0.003577225,0.0037436793,0.0034526831,0.0036566949,0.003963537,0.004826037,0.0026947014,0.0021477792,0.003198424,0.0040111813,0.0019779856,0.0024803068,0.0033866515,0.0018716954,0.0024419825,0.0048458427,0.001764784,0.0028337617,0.0017867695,0.002966546,0.0038081823,0.004576295,0.0029152857,0.0027779733,0.0039721687,0.0036431178,0.0040896268,0.0037941854,0.0039330935,0.0053976289,0.004289994,0.0032130737,0.0039916843,0.0039707406,0.0039643188,0.0039035497,0.0039793517,0.0038909047,0.0046881249,0.003436707,0.0042112097,0.0051365913,0.0031728747,0.0036018004,0.0052677669,0.004395342,0.0041314172,0.0023818259,0.0023846757,0.0029004551,0.0030683654,0.0032834565,0.0035941527,0.0041157124,0.0035979854,0.0030037628,0.0032354955,0.0034975313,0.0032677518,0.0030465461,0.0032823924,0.0034630283,0.0035432581,0.0037319778,0.003524152,0.0033811386,0.0101612503822779,0.0116441022846848,0.0152262577537054,0.010540920794798,0.0106156977359344,0.0113001346265091,0.0119411419598219,0.0121741954568282,0.0113267915079647,0.0117148433594133,0.0110809481441345,0.01150773136919,0.012326420114719,0.018121906835372,0.0105492981113923,0.00851831967426876,0.0132622722690041,0.0153208987799874,0.00730484030985873,0.00931083197152989,0.0134681607374291,0.00707836853516601,0.00963290617603583,0.0174493827875778,0.00650296183787736,0.0105991545936106,0.00632098953155384,0.010009974440901,0.0127356299309995,0.0147645350945355,0.00912597761465053,0.00830834024337398,0.0114486556282219,0.0101416473129287,0.0112233896367214,0.00899486925979947,0.00902266761544405,0.0120629201041079,0.00988214550148077,0.00771162673282947,0.00833721481182965,0.00824196018113688,0.00782457078291134,0.00724331523005476,0.00724756943281553,0.00684925590929408,0.00807132504613333,0.00605486006403065,0.00744402910398298,0.00853152233223511,0.00674681280152958,0.00424411366309873,0.00751083236900145,0.00591835221013466,0.00544721264958309,0.00285970608187616,0.00289577393217311,0.00290096310158584,0.00310054165712525,0.00331853368837123,0.0036050949834684,0.00546108034653992,0.00464623536040915,0.00383556828014043,0.0041180207852918,0.00514282797502308,0.00481657939461197,0.0044750896431043,0.00482442038081811,0.0053218214063466,0.00578687652798712,0.00610867426129241,0.0058154684268088,0.00582206302873882
20,TRUE,0.0112603063,0.0114453371,0.0099333732,0.0121101584,0.0118362864,0.0118009758,0.0119057273,0.0116887365,0.011675597,0.0112875909,0.0098469115,0.0099678085,0.0102055891,0.0094274311,0.0083979452,0.0072928844,0.0078471768,0.0081861742,0.0070527577,0.0063912042,0.0057732878,0.0071567254,0.0070419537,0.0059637973,0.0049756987,0.0085756951,0.0069490486,0.0086577181,0.0073246616,0.0086252383,0.0075393076,0.0075762082,0.0078700806,0.0082952372,0.0076572511,0.0077996787,0.0083571153,0.00899613,0.0082269599,0.0073115,0.0087357302,0.0092047261,0.0081262416,0.0093277866,0.0081740509,0.0089835213,0.0083266436,0.0083030147,0.0089266623,0.0103406283,0.0091261586,0.0080323589,0.0071552878,0.0088512426,0.008871044,0.0066651611,0.007007282,0.008923752,0.0081365331,0.0073903974,0.0071824694,0.0073629023,0.0083533998,0.0092487351,0.008841539,0.0085288527,0.0085534145,0.0086291811,0.0087119543,0.0086613651,0.0079667007,0.0075178827,0.0077775796,0.008156977,0.0335714229938801,0.0351288973666463,0.0308105377257882,0.0369562479114554,0.0356949282920445,0.0364706136196324,0.0370198720480722,0.036279749466149,0.0369691735319346,0.0353214975597741,0.0316024123304604,0.0313690001210576,0.0317389190752037,0.0354002730394319,0.0328765280844157,0.028924352158676,0.0325383355501078,0.0312674839777267,0.0260463317636403,0.0239919626930742,0.0229594238920073,0.0270652686282549,0.027778446388389,0.0214750226632654,0.018334696656129,0.0320757803591812,0.024583396193715,0.0292136167643738,0.024495723526269,0.0278276714884965,0.023600964060899,0.0226588621808196,0.0226832868713668,0.0230921357384396,0.0210142191165133,0.0184906859434797,0.0191715435138334,0.0201050498682443,0.0189510789836857,0.0175481688816371,0.0182458464015517,0.0191060039499714,0.0160391623650114,0.0173083738948336,0.0148873501035049,0.0158139150704355,0.0143355922749657,0.0146284197694474,0.0157793933530609,0.0171750671426176,0.0194058982285521,0.00946477895350925,0.0102020776949192,0.0119182470745832,0.011696340756781,0.00800243267871458,0.00850912541197131,0.00892531511069066,0.00822185636635366,0.00746934900331479,0.00720433623586646,0.00976973041365267,0.0107871093029376,0.0118099053532611,0.011253188674703,0.0125409662609449,0.0126075059972325,0.012675455309247,0.0128047244001004,0.0133103845329264,0.013011277354942,0.0123056189211019,0.0128343693149533,0.0140456927607665
25,TRUE,0.0178048176,0.0171636392,0.0166834297,0.0192612923,0.0183831407,0.0178773583,0.0175709858,0.0167838881,0.0149909065,0.0158211187,0.016834394,0.0163633837,0.015068508,0.0158645352,0.0140805182,0.0136474766,0.0109597633,0.0103022863,0.0116502053,0.0114528444,0.0116961912,0.0133867048,0.0128396609,0.0124971709,0.0103238099,0.0100218052,0.0124193238,0.0110798602,0.0112892509,0.013470079,0.014345811,0.0126572241,0.0134609009,0.0132887065,0.016233945,0.0166388263,0.0157134828,0.0168499277,0.0152579661,0.0134197444,0.0141310243,0.0141921174,0.014124398,0.0171258289,0.0156623105,0.0137215146,0.0147501697,0.013612566,0.0152560104,0.0150230527,0.0115557766,0.0119528026,0.0116555362,0.0115353201,0.0116804265,0.0134854404,0.0128027403,0.0147334497,0.0146211,0.0146713614,0.0148739705,0.0159060548,0.0158669984,0.0155749762,0.0162298834,0.0170425049,0.0157237385,0.0144364362,0.0148173948,0.0149657042,0.0144811011,0.0144416698,0.0153434228,0.0164686674,0.0530831974032297,0.0526799444039291,0.0517473201178986,0.0587791728434143,0.0554384089481,0.0552495181409577,0.0546355234874593,0.0520941897709222,0.0474666456721842,0.0495079606850058,0.0540278501337264,0.0514960721423744,0.0468623761262337,0.0595717828554829,0.0551228357299488,0.0541273379481422,0.0454446823680399,0.0393500751296456,0.0430250302055254,0.0429928703005032,0.0465138444324621,0.0506257738054907,0.0506487048929153,0.0450010311926229,0.0380416767174048,0.0374846838561398,0.0439353895210687,0.0373866165736067,0.037754422355968,0.0434586174742447,0.0449079664795903,0.0378551236878403,0.0387972490112818,0.0369928677950379,0.044551716158667,0.039445639216925,0.0360473332302582,0.0376571521590291,0.0351472383572722,0.0322084305908541,0.0295147049462458,0.0294581989764287,0.0278780185459389,0.03177819813512,0.0285256725197385,0.0241543220846823,0.0253946761625942,0.0239828949143911,0.026967592263751,0.0249522496678545,0.0245722472130032,0.0140843600029067,0.0166185747953683,0.0155323722118423,0.0154004702347597,0.0161911059746182,0.0155467016850793,0.0147360303688691,0.0147744232499811,0.0148280956271711,0.0149192539461556,0.0211055180494464,0.0204897467529337,0.0198880164239513,0.0206568041843533,0.0250595813396092,0.0231763731826246,0.021205766602313,0.021778426586506,0.022998600848102,0.0236506465614459,0.023638794638061,0.0253193366537648,0.028357790223357
30,TRUE,0.0252122498,0.0252796689,0.0240102227,0.0232458183,0.0225546283,0.0223187225,0.0223429355,0.0217611489,0.0225208149,0.0233918812,0.0232623395,0.0209104336,0.0194984708,0.0190708504,0.0188955121,0.019367237,0.0166280124,0.0193630939,0.0160327857,0.0180383971,0.0168818393,0.0165496535,0.0168157515,0.0180976256,0.0165987975,0.0172986942,0.0161228499,0.0178392894,0.0196439732,0.018148288,0.0198383069,0.0214964069,0.0191642669,0.0189252789,0.0211294496,0.0232870394,0.0234968483,0.0208909066,0.0209850779,0.0203947186,0.0213139059,0.0198547146,0.0222190844,0.021867179,0.0200051116,0.0230558794,0.0218473241,0.0211684529,0.0194798306,0.0217283421,0.0173302604,0.0171364593,0.0163762101,0.0152103089,0.0168816564,0.0185950427,0.0176351245,0.0202711164,0.0196448679,0.0192046983,0.0192542072,0.0203689858,0.0211548968,0.0216350452,0.0219876302,0.0225598936,0.023528685,0.0246797375,0.0243759121,0.0237119263,0.024439623,0.0259152474,0.0243546887,0.0232460737,0.0751676800495585,0.0775902786475053,0.0744729769797028,0.0709386446223241,0.0680184485389517,0.0689754407526682,0.0694735054046306,0.0675427180709304,0.0713090657726048,0.0731986376237595,0.0746575252387478,0.065805777986156,0.0606393594268963,0.0716115879482427,0.0739727184260901,0.0768125132831616,0.0689480898483086,0.0739582630172019,0.0592102089091924,0.067714398292085,0.0671363210292894,0.0625873975327618,0.0663332183725721,0.0651676942226224,0.0611640561722276,0.0647025232788283,0.057037219049709,0.060194863750677,0.0656949577684934,0.0585519585953895,0.0621016141270875,0.0642912800743696,0.0552355922881457,0.0526838589804674,0.0579867209372564,0.0552065475181903,0.0539026726769181,0.0466881557948183,0.048339833078612,0.0489489112464811,0.0445172006087809,0.0412119007180947,0.0438548989540574,0.0405761117924298,0.0364351902126847,0.0405858357592966,0.0376135145864767,0.0372950098710953,0.0344339126297876,0.0360892707602134,0.0368511315081718,0.020192424273179,0.0233493567192145,0.0204807649471338,0.0222582152861135,0.0223258786705671,0.0214147918672452,0.0202746670494357,0.0198508725702043,0.0194098621466687,0.0193128261422153,0.0270273178478427,0.027318240477229,0.0276262466048923,0.0279850545253152,0.0331724410510308,0.0346806572424102,0.0362522127167577,0.0358274189290748,0.03643938975548,0.0399149817183211,0.0424192782900404,0.0401895046480769,0.0400279675108441
35,TRUE,0.0264022376,0.0257774612,0.0268940521,0.0273020259,0.0273135751,0.0278729945,0.0287813809,0.0289203367,0.0278212516,0.0278803515,0.0280382027,0.0308640162,0.0304361949,0.0270000228,0.0260782434,0.024433589,0.0242926806,0.0212982506,0.0227153095,0.0214409718,0.0236180448,0.0238279905,0.0215105439,0.0212162405,0.0229639037,0.0214010236,0.0223549554,0.0202921086,0.0219384758,0.0256053944,0.0262777384,0.0258706879,0.0226217525,0.0258514705,0.0246284119,0.0306994293,0.0259842735,0.0254050028,0.0261558012,0.0259574763,0.0275082283,0.0280197207,0.0284325767,0.0268394492,0.0270078237,0.0258890112,0.0250313708,0.023114957,0.0209633367,0.0234549121,0.021319459,0.0188624204,0.0200147597,0.0177979448,0.0181082557,0.021312401,0.0217752066,0.0270095772,0.0262690433,0.0257839387,0.0256762019,0.0269821186,0.0274465218,0.0274933495,0.0273028163,0.027392132,0.0275384299,0.0278526744,0.0281054598,0.0279283529,0.0272267031,0.0273615863,0.0261680558,0.0254444214,0.0787155038504089,0.0791181407796042,0.0834178071180016,0.0833168653816561,0.0823701006693206,0.0861407761440479,0.0894933174849948,0.0897635578290321,0.0880921703552341,0.0872441050775725,0.0899850518691973,0.0971300088795538,0.0946551854132303,0.101385856520897,0.102091890969595,0.0969062020841323,0.100729653063161,0.0813496865894347,0.0838892406928075,0.0804873350434989,0.0939251115329869,0.0901125761337934,0.0848528006493422,0.0763975065418695,0.0846185092189585,0.0800465175689236,0.0790843118211985,0.0684713771649494,0.0733684183283613,0.0826108774949953,0.0822595383301418,0.0773738446489851,0.0652008191160561,0.0719648696526772,0.067589117407494,0.0727790884903809,0.0596089217481787,0.0567765081334814,0.0602507683234614,0.0622999624405115,0.0574549461143735,0.0581597856472964,0.0561187740621796,0.0498025141091442,0.0491891879097315,0.0455730679007609,0.0430953386131781,0.0407244002080503,0.0370562619608073,0.0389569839831679,0.0453337786109455,0.0222261780780354,0.0285372354473333,0.0239650308705086,0.0238754683958425,0.0255884370504132,0.0264422016092357,0.0270143081626567,0.0265445119906881,0.0260593886577723,0.0257543724718127,0.0358021897248162,0.0354428900626976,0.0351068391977272,0.0347500295994588,0.0402778444203477,0.0405909148245305,0.0409129584959954,0.0413090627067573,0.0429189988448759,0.044466862656894,0.0447867128721851,0.0431818781775888,0.0438133547153169
40,TRUE,0.0284750695,0.0307085241,0.0313389931,0.034013208,0.0328448999,0.0323402569,0.0322079336,0.0311999115,0.0294289199,0.0317121026,0.033843924,0.0323469794,0.0296933172,0.0322663521,0.029245383,0.0251248873,0.0253865289,0.0271817742,0.0269862025,0.0271382314,0.0237846781,0.0243321558,0.0234441325,0.0247545928,0.0249542029,0.0241077493,0.0231914748,0.0268681432,0.0233144168,0.0256077709,0.0275243202,0.0278399683,0.0249177924,0.0260380767,0.0275644425,0.0307420293,0.0302785799,0.0304070438,0.0283806607,0.0257546627,0.031106316,0.0314432224,0.0287726304,0.0274372514,0.0272568696,0.0303098154,0.030474684,0.026173313,0.0262402603,0.0288403144,0.0258246713,0.0242456855,0.0221086793,0.0229243295,0.0236893888,0.0216733164,0.0221928429,0.0275850731,0.0274511171,0.0276277116,0.0282182931,0.030390737,0.030173985,0.0294708152,0.0298789075,0.0305863186,0.0310678064,0.031753304,0.0323704211,0.0324845048,0.0316479897,0.0317838963,0.0313997181,0.0315453362,0.0848954349024674,0.0942529333657277,0.0972047673764169,0.103797200934639,0.0990510286445059,0.0999467360650918,0.100147899127033,0.0968389506341974,0.093182631300457,0.099234545568821,0.108617777168684,0.1017969398218,0.0923448694658137,0.121161073505605,0.114490704176476,0.0996479643295297,0.105265297619118,0.103822086317055,0.0996619498741756,0.101874296565669,0.0945877848499714,0.0920192259150536,0.0924802415910072,0.0891387503820756,0.0919524605603969,0.0901705177018773,0.0820436362906736,0.0906607983116233,0.0779699510615004,0.0826185446068346,0.0861618241257,0.0832635523581183,0.0718185064764788,0.0724843406668273,0.075646629167683,0.0728800801449133,0.0694602256783515,0.0679553466877708,0.0653758069071892,0.0618131941519904,0.0649700770611289,0.0652658565756781,0.0567899546788035,0.0509117787876754,0.0496427736089033,0.05335511907244,0.0524668359021804,0.046112673844871,0.0463841215596481,0.0479017641325558,0.0549136790752725,0.0285694471087397,0.0315227660448614,0.0308677361910266,0.0312341101216907,0.026021765089272,0.026949348333876,0.0275899049075359,0.0277389814491347,0.0279228586166372,0.0283042029548746,0.0403250371106959,0.0389649821543966,0.0376319069575248,0.0380287846291785,0.0449746293581959,0.0457931220962992,0.0466426164518963,0.0475776509814859,0.049920681886912,0.0516877422027944,0.0520253549089218,0.0518150378316126,0.0543186650295699
45,TRUE,0.0348773637,0.038192986,0.0357581377,0.0335683033,0.0339535249,0.0350182845,0.0365316889,0.0370730694,0.0332093263,0.0353462495,0.0346934309,0.0368973946,0.0358888462,0.0315256708,0.0282030952,0.0327651095,0.0264877806,0.0273905033,0.0316352419,0.0345851,0.0294061026,0.0296773415,0.0291487519,0.0280008534,0.0271107414,0.0279232515,0.0301687735,0.0290069597,0.0274029759,0.0256922783,0.0273101257,0.0298704183,0.0301142657,0.0342733584,0.032746147,0.0325051405,0.0351398483,0.0370400837,0.0335344172,0.0294885434,0.0338563845,0.0313633306,0.0328417753,0.0345247633,0.0292724032,0.0297850755,0.0328393121,0.0314212633,0.0282473911,0.0303711318,0.0282623492,0.0241006095,0.0238067643,0.0220156871,0.0231956244,0.0266658745,0.0257716256,0.0302346518,0.030646307,0.0314429216,0.0312626575,0.0328016643,0.0329118662,0.0325045471,0.0324848984,0.0327958855,0.0333625831,0.0341506404,0.0343585549,0.0340433841,0.033149233,0.0332736704,0.0340996547,0.0354606042,0.103983203971636,0.117224811759948,0.110911714618443,0.102439497280318,0.102394331393146,0.108223111888206,0.113592257784681,0.115068183244555,0.105152768546557,0.110606636634297,0.111344161988312,0.116117236339721,0.111612683298444,0.118379793938967,0.110410324569938,0.129949894596614,0.109831639960639,0.104619337109216,0.116831180525354,0.129829121313558,0.116943273170797,0.112233622718003,0.114983295746552,0.100828201977259,0.099898978549737,0.104441688723884,0.10672697184275,0.0978777767289171,0.0916432398279384,0.0828911916988426,0.0854913122641577,0.0893362059697842,0.0867958746665093,0.0954095731729628,0.0898670683165298,0.0770598853030231,0.0806121621694431,0.082779231676538,0.0772476585030404,0.0707747983180802,0.0707139961522044,0.0651000274124441,0.0648214259386839,0.0640631631532446,0.0533136530256282,0.0524314063926762,0.0565379053307537,0.0553586192629798,0.0499320666217071,0.0504443456947075,0.0600971666027273,0.0283984996103592,0.0339439117715218,0.0296442441369308,0.0305830890499352,0.0320160103355039,0.0312951574720011,0.0302399477070054,0.0309676775953239,0.0317788264742566,0.0313578359313219,0.0435240623122049,0.0425005274849551,0.0415057433975836,0.0413455949116519,0.0482236130699234,0.0491755620376166,0.0501640780729863,0.0504997857897361,0.0523162953879393,0.0541395843698286,0.0544638861118846,0.0562704063430788,0.0610604582499044
50,TRUE,0.0376203102,0.0388093389,0.040096275,0.0370870103,0.0362192649,0.0360816435,0.0363714267,0.0356779164,0.0389397983,0.0384737014,0.0350819812,0.0353815837,0.0402805739,0.0378792678,0.0353152595,0.0315173096,0.0283936006,0.0320289524,0.0324538612,0.0295657011,0.0327684796,0.0324932406,0.0340659234,0.0307059357,0.033746831,0.0306974219,0.0288741464,0.0311483188,0.0316998128,0.0370222075,0.0321101006,0.0344859645,0.037847473,0.0388706047,0.0337865014,0.0424219437,0.0429122122,0.0405658299,0.037030612,0.0328479925,0.0360949994,0.0353842256,0.0353393117,0.0354106296,0.0322853724,0.0338324285,0.034308981,0.0343597543,0.0329692496,0.0303523505,0.0304517463,0.0308649264,0.0280508252,0.0256596674,0.0273409723,0.0248302269,0.0244309929,0.0292005532,0.0291697774,0.0294766017,0.0298671409,0.0319226283,0.0325797329,0.0327451443,0.0333956907,0.0343785998,0.0349811456,0.0358161742,0.0357897832,0.03522441,0.0338216472,0.0334592084,0.0339016416,0.0348882376,0.112161011655264,0.119116568854703,0.124367399918432,0.113177441672634,0.109227169464218,0.111509395817914,0.113093935806345,0.110737877683911,0.123297520616573,0.120393161070166,0.112591164552375,0.111346932825162,0.125270757322834,0.142237732193077,0.138253239038408,0.125000988093218,0.117734126961179,0.122336115336379,0.119854399215685,0.110986783107998,0.130314898077701,0.12288277570456,0.134380098402014,0.11056892596174,0.124351964151679,0.114817953179998,0.102147016735081,0.105103334642728,0.106013067970812,0.119445027854842,0.100517099902077,0.103140344321564,0.109084662866664,0.108207306723393,0.0927221707638184,0.100569634909169,0.0984422634356019,0.0906587647055351,0.0853012608373388,0.0788377374933953,0.0753896697955052,0.0734460917227708,0.0697509362833118,0.0657069512985051,0.0588011558292878,0.0595560621085183,0.0590681654022139,0.0605357123225849,0.0582787543332988,0.0504131512442073,0.0647527090457366,0.0363691050610705,0.0399951344119313,0.0345508838320027,0.0360486692067809,0.029812065621491,0.0296671922162452,0.029205667959696,0.0294756644444696,0.0297915004148896,0.0299580707218252,0.0423576818825822,0.0420716293500468,0.0418129669801963,0.0425048182280535,0.0505508623300048,0.0515612802551804,0.0526105905643129,0.0526033877197374,0.0541312413166666,0.0552377763898829,0.0547675833581363,0.0559436499871062,0.0600748865153041
55,TRUE,0.0408377776,0.0466737073,0.042398028,0.0376874902,0.0383176624,0.0397139148,0.0416242998,0.0424295325,0.0398764818,0.0449002549,0.0368577048,0.0380462293,0.0404558329,0.0375937554,0.0331635957,0.0353743281,0.0353583241,0.0319783886,0.0348050182,0.0317438778,0.0320461108,0.0322497897,0.0343223767,0.0358407158,0.0334322812,0.0322487864,0.0331172951,0.0319740153,0.0314916892,0.0346352019,0.0362033378,0.0335453714,0.0357880459,0.0378609769,0.0388691973,0.0407711459,0.0383775935,0.0413317996,0.0379817071,0.0339257997,0.0337740124,0.0422649462,0.0415053657,0.0339925141,0.0374942436,0.0375088693,0.0337968753,0.0345535265,0.0320717503,0.0335653527,0.0286790359,0.0272747019,0.0232229307,0.0280632023,0.0247781992,0.0216573318,0.0225871808,0.0285569837,0.027745844,0.027202518,0.0284921138,0.0314065458,0.0346257882,0.0374172413,0.0353085611,0.0335827313,0.0327367559,0.0320435707,0.0317015695,0.030889881,0.0317455921,0.0335730123,0.0334787455,0.0339391094,0.121753553418748,0.143254485343341,0.131506792075728,0.115009909968528,0.115555349365309,0.122734837298262,0.129427309277328,0.131693687775089,0.126263400231513,0.140503342106128,0.118290124000379,0.119732654538947,0.125815805006606,0.141165625013466,0.129829840800194,0.14029833206559,0.146613367795309,0.122142984516897,0.128537387933915,0.119163447932803,0.127442155076448,0.1219620942482,0.135391731645561,0.129058742961474,0.123192895830929,0.120620541123031,0.117157849216686,0.107889470922038,0.105317044494209,0.111743813522014,0.113330523736651,0.10032722590112,0.103148945138097,0.105396722562011,0.106670894971058,0.0966560911282608,0.0880396739929305,0.0923705962061472,0.0874921403156197,0.0814245584987991,0.0705419499307108,0.0877282195174174,0.0819211802174486,0.0630755366952786,0.068288041826548,0.0660277920005039,0.0581864971399995,0.0608771040331794,0.0566922718052421,0.0557497253061397,0.0609832108381664,0.0321386315835733,0.0331114762986393,0.0377872567308022,0.0326696905893204,0.0260025734223071,0.0274282030551565,0.0285619857459282,0.0280367990663187,0.027493122587106,0.0285788573861671,0.041672899399055,0.0447137897436757,0.0477788664111179,0.0449394499246589,0.0493806041385531,0.0482531094384853,0.0470689908635334,0.046594581104712,0.0474701379782933,0.0518471472033086,0.0549538628266346,0.0552457974111058,0.0584405601324129
60,TRUE,0.0427728474,0.0414880346,0.0427128842,0.0417944132,0.0404256868,0.0398735194,0.0397823763,0.0386105164,0.0383616703,0.0409634686,0.0391833235,0.0348424587,0.0365847151,0.0353280005,0.0379959786,0.030566291,0.0340091402,0.0349077705,0.0357013832,0.0310543739,0.0285093302,0.0309612058,0.0321982199,0.0293474285,0.0262122484,0.0318716892,0.0339469896,0.0265164547,0.0274032397,0.0343434942,0.0339921869,0.035301224,0.0350608276,0.0357060254,0.0355667307,0.0388166733,0.0354334935,0.0392165763,0.0361683279,0.0324264738,0.0370470797,0.0371927004,0.0372877529,0.0357572726,0.0322748465,0.0325612613,0.0332495732,0.0312137531,0.0264488638,0.0366644397,0.0292963417,0.0248392902,0.0230434308,0.026010171,0.0234029523,0.0176498525,0.0185687596,0.0236620473,0.0245116686,0.0257046677,0.0269194294,0.0296691953,0.0304748783,0.0308278171,0.0294406146,0.0283684636,0.0282890812,0.0283716712,0.0270341205,0.0253214009,0.0257404602,0.0269480177,0.0257705444,0.0250558964,0.127522761015444,0.127338225053042,0.132483387693329,0.127542897759324,0.121912561184475,0.123228091257602,0.123700000882337,0.119840144083013,0.121466957807252,0.128184221935466,0.125753902119659,0.109650289839387,0.113776803985763,0.132657650531838,0.148747798752807,0.121229147827745,0.141018973793538,0.133331898746456,0.131847726991542,0.116575116654942,0.11337695544948,0.117088934202058,0.127012554644601,0.105677080945558,0.0965881678486229,0.119210080033595,0.120093029353277,0.0894741008949099,0.0916441222757533,0.110802674811045,0.106408761620952,0.105578615674196,0.101052943543109,0.0993978065096941,0.0976077526672134,0.0920226259415272,0.0812857955103094,0.0876433779875403,0.083314960488853,0.0778260598472238,0.0773782282039281,0.0771998944444833,0.0735966704258212,0.0663501722565982,0.0587819849649956,0.0573183949961951,0.0572442326608298,0.054993023496189,0.046752863821812,0.0608970940478988,0.0622958522260902,0.0292689100433222,0.0328555435649074,0.0350228388199559,0.0308564478091093,0.0211910493074923,0.0225485293724399,0.0236661919307742,0.0247687086235376,0.0259792708084623,0.0270013849626832,0.0393676337013898,0.0393535387823193,0.0393646913351986,0.0374709414622049,0.0417134586468992,0.0416973549709994,0.0416753159735445,0.0397344212726897,0.0389127558105822,0.0420395192546845,0.0441097645914221,0.0425259145970454,0.0431443442687658
