age,male,_2015_1,_2015_2,_2015_3,_2015_4,_2016_1,_2016_2,_2016_3,_2016_4,_2017_1,_2017_2,_2017_3,_2017_4,_2018_1,_2018_2,_2018_3,_2018_4,_2019_1,_2019_2,_2019_3,_2019_4,_2020_1,_2020_2,_2020_3,_2020_4,_2021_1,_2021_2,_2021_3,_2021_4,_2022_1,_2022_2,_2022_3,_2022_4,_2023_1,_2023_2,_2023_3,_2023_4,_2024_1,_2024_2,_2024_3,_2024_4,_2025_1,_2025_2,_2025_3,_2025_4,_2026_1,_2026_2,_2026_3,_2026_4,_2027_1,_2027_2,_2027_3,_2027_4,_2028_1,_2028_2,_2028_3,_2028_4,_2029_1,_2029_2,_2029_3,_2029_4,_2030_1,_2030_2,_2030_3,_2030_4,_2031_1,_2031_2,_2031_3,_2031_4,_2032_1,_2032_2,_2032_3,_2032_4,_2033_1,_2033_2,_2033_3,_2033_4,_2034_1,_2034_2,_2034_3,_2034_4,_2035_1,_2035_2,_2035_3,_2035_4,_2036_1,_2036_2,_2036_3,_2036_4,_2037_1,_2037_2,_2037_3,_2037_4,_2038_1,_2038_2,_2038_3,_2038_4,_2039_1,_2039_2,_2039_3,_2039_4,_2040_1,_2040_2,_2040_3,_2040_4
10,False,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195982,195982,195982,195982,216164,216164,216164,216164,219979,219979,219979,219979,230063,230063,230063,230063,207652,207652,207652,207652,190182,190182,190182,190182,223584,223584,223584,223584,185941,269400,364730,451912,342005,335664,318473,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307745,296469,307333,305087,292172,288971,284655,301377,319312,327278,338566,323512,327885,315262,309675,320831,317915,327755,331371,334742,335645,330287,320221,301119,296390,294006,290159,303201,311948,325225,341324,340359,347892,343441,336392,328608,312282,307430,300610,303647,308661,309860,316164,329119,318256,314440,306324
11,False,221015,221015,221015,216493,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195982,195982,195982,195982,216164,216164,216164,216164,219979,219979,219979,219979,230063,230063,230063,230063,207652,207652,207652,207652,190182,190182,190182,190182,223584,223584,223584,223584,185941,269400,364730,451912,342005,335664,318473,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307745,296469,307333,305087,292172,288971,284655,301377,319312,327278,338566,323512,327885,315262,309675,320831,317915,327755,331371,334742,335645,330287,320221,301119,296390,294006,290159,303201,311948,325225,341324,340359,347892,343441,336392,328608,312282,307430,300610,303647,308661,309009,315313
12,False,232992,232992,232992,221015,221015,221015,221015,216493,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195982,195982,195982,195982,216164,216164,216164,216164,219979,219979,219979,219979,230063,230063,230063,230063,207652,207652,207652,207652,190182,190182,190182,190182,223584,223584,223584,223584,185941,269400,364730,451912,342005,335664,318473,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307745,296469,307333,305087,292172,288971,284655,301377,319312,327278,338566,323512,327885,315262,309675,320831,317915,327755,331371,334742,335645,330287,320221,301119,296390,294006,290159,303201,311948,325225,341324,340359,347892,343441,336392,328608,312282,307430,300610
13,False,213218,213218,213218,232992,232992,232992,232992,221015,221015,221015,221015,216493,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195982,195982,195982,195982,216164,216164,216164,216164,219979,219979,219979,219979,230063,230063,230063,230063,207652,207652,207652,207652,190182,190182,190182,190182,223584,223584,223584,223584,185941,269400,364730,451912,342005,335664,318473,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307745,296469,307333,305087,292172,288971,284655,301377,319312,327278,338566,323512,327885,315262,309675,320831,317915,327755,331371,334742,335645,330287,320221,301119,296390,294006,290159,303201,311948,325225,341324,340359,347892,343441,336392
14,False,203126,203126,203126,213218,213218,213218,213218,232992,232992,232992,232992,221015,221015,221015,221015,216493,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195982,195982,195982,195982,216164,216164,216164,216164,219979,219979,219979,219979,230063,230063,230063,230063,207652,207652,207652,207652,188606,188606,188606,188445,223584,223584,223584,223584,185941,269400,364730,451912,342005,335664,318473,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307745,296469,307333,305087,292172,288971,284655,301377,319312,327278,338566,323512,327885,315262,309675,320831,317915,327755,331371,334742,335645,330287,320221,301119,296390,294006,290159,303201,311948,325225,341324
15,False,196292,196292,196292,203126,203126,203126,203126,213218,213218,213218,213218,232992,232992,232992,232992,221015,221015,221015,221015,216493,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195982,195982,195899,195899,216164,216164,216164,216164,219979,219979,219979,219979,230063,230063,230063,229425,207652,207609,207609,207609,188445,188445,188445,188445,223584,223584,223584,223584,185941,269400,364730,451912,342005,335664,318473,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307397,296121,306985,304739,292172,288971,284655,301377,319312,327278,338566,323512,327885,315262,309675,320831,317915,327755,331371,334742,335645,330287,320221,301119,296390,294006,290159
16,False,221616,221616,221616,196292,196292,196292,196292,203126,203126,203126,203126,213024,213024,213024,213024,232992,232992,232992,232992,221015,220964,220964,220964,216493,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195899,195899,195899,195899,216164,216164,216164,216164,219979,219979,219979,219979,229425,229425,229425,229425,207609,207609,207019,207019,188445,188088,188088,188088,223584,223584,223584,223584,185941,269400,364730,451772,341865,335524,318473,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307397,296121,306985,304739,292172,288971,284655,301298,319233,327278,338566,323512,327885,315262,309598,320754,317838,327755,331371,334742,335645,330287,320221
17,False,212554,212554,212554,221616,221616,221616,221616,196292,196194,196194,196194,203126,203126,203126,203126,213024,213024,213024,213024,232992,232992,232992,232992,220964,220964,220964,220964,216493,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195899,195899,195899,195899,216164,216164,216164,216164,219979,219979,219979,219979,229425,229425,229425,229425,207019,207019,206816,206816,188088,188088,188088,188088,223584,223584,223584,223584,185941,269400,364590,451772,341865,335524,318473,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307397,296121,306985,304739,292172,288892,284576,301298,319233,327278,338566,323512,327885,314972,309385,320541,317838,327755,331371
18,False,231730,231730,231730,212554,212554,212554,212554,221616,221616,221616,221616,196194,196194,196194,196194,203126,203126,203126,203126,213024,213024,213024,213024,232992,232992,232992,232992,220964,220964,220964,220964,216493,216493,216493,216493,226834,226834,226834,226834,189982,189982,189982,189982,195899,195899,195899,195899,216164,216164,216164,216164,219979,219979,219979,219979,229425,229425,229425,229425,206816,206816,206816,206816,187928,187928,187928,187928,223584,223584,223584,223584,185941,269400,364590,451772,341865,335308,318257,311073,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307397,296121,306985,304739,292172,288892,284576,301298,319233,327278,338566,323512,327672,314972,309385
19,False,222510,222510,222510,231730,231730,231730,231730,212554,212554,212554,212554,221616,221616,221616,221616,196194,196194,196194,196194,203126,203126,203126,203126,213024,213024,213024,213024,232992,232992,232992,232992,220964,220964,220964,220964,216306,216306,216306,216306,226834,226834,226834,226834,189982,189982,189982,189982,195899,195899,195899,195899,216164,216164,216164,216164,219979,219979,219979,219979,229425,229425,229425,229425,206816,206816,206816,206816,187928,187928,187928,187928,223584,223584,223584,223584,185941,269400,364590,451556,341406,335065,318014,310830,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307397,296121,306985,304739,292172,288892,284576,301298,319233,327278,338566
