age,male,_2015_1,_2015_2,_2015_3,_2015_4,_2016_1,_2016_2,_2016_3,_2016_4,_2017_1,_2017_2,_2017_3,_2017_4,_2018_1,_2018_2,_2018_3,_2018_4,_2019_1,_2019_2,_2019_3,_2019_4,_2020_1,_2020_2,_2020_3,_2020_4,_2021_1,_2021_2,_2021_3,_2021_4,_2022_1,_2022_2,_2022_3,_2022_4,_2023_1,_2023_2,_2023_3,_2023_4,_2024_1,_2024_2,_2024_3,_2024_4,_2025_1,_2025_2,_2025_3,_2025_4,_2026_1,_2026_2,_2026_3,_2026_4,_2027_1,_2027_2,_2027_3,_2027_4,_2028_1,_2028_2,_2028_3,_2028_4,_2029_1,_2029_2,_2029_3,_2029_4,_2030_1,_2030_2,_2030_3,_2030_4,_2031_1,_2031_2,_2031_3,_2031_4,_2032_1,_2032_2,_2032_3,_2032_4,_2033_1,_2033_2,_2033_3,_2033_4,_2034_1,_2034_2,_2034_3,_2034_4,_2035_1,_2035_2,_2035_3,_2035_4,_2036_1,_2036_2,_2036_3,_2036_4,_2037_1,_2037_2,_2037_3,_2037_4,_2038_1,_2038_2,_2038_3,_2038_4,_2039_1,_2039_2,_2039_3,_2039_4,_2040_1,_2040_2,_2040_3,_2040_4
0,True,299456,378393,464815,349130,343354,345625,337382,335174,330584,334920,348655,347015,358173,353571,338143,351554,346353,355091,363488,355757,360588,368013,364613,364517,344637,334437,340617,333373,350066,332740,332081,333616,327553,334301,331564,339407,330794,325646,326893,315378,326797,327195,321333,327114,327136,332162,325828,317416,325988,320360,324490,329138,327835,336136,338509,343077,345021,342243,337596,329268,305704,308065,314111,319794,338381,334594,324113,339736,334014,330615,344924,326748,333116,337853,329129,323446,322603,323310,320826,331171,328569,333052,325524,326478,323649,310969,333663,322284,331889,331274,323000,320939,315077,332740,335257,327543,334534,320519,315301,322766,330736,349810,359339,381368
1,True,233813,233813,233813,202468,296193,376376,464124,348928,342906,345238,336949,333630,329073,334143,347607,346266,356406,350114,336104,349649,345185,354082,362040,352882,358353,366227,364391,364399,341217,332961,339398,332798,349595,332396,331406,331487,325779,332210,330938,338947,327875,322874,324220,315236,325221,326374,319623,326922,325536,330723,324876,316831,324170,318983,323001,328653,327384,335663,338423,342277,344316,342032,337502,328316,304974,307708,313744,317429,338212,334549,323936,339644,333711,329800,342103,324639,330850,337504,328552,323097,322303,322436,319112,329531,326456,332330,324377,325986,323449,310905,333302,321799,331500,331049,322319,320814,314952,331523,334258,327173,334375,320360,314759,322423
2,True,228899,228899,228899,233813,233813,233813,233813,202468,296193,376376,464124,348928,342906,345238,336949,333630,329073,334143,347607,346266,356406,350114,336104,349516,345185,354082,362040,352882,358353,366227,364391,364399,341217,332961,339398,332798,349595,332396,331406,331487,325779,332210,330938,338862,327790,322874,324220,315236,325221,326374,319623,326922,325536,330723,324876,316831,324170,318983,323001,328653,327384,335663,338423,342277,344316,342032,337502,328316,304974,307708,313744,317429,338116,334453,323730,339534,333601,329690,342103,324639,330850,337504,328552,323097,322228,322361,319037,329531,326456,332330,324377,325986,323449,310905,333302,321799,331500,331049,322319,320814,314952,331312,334258,327173
3,True,234234,234234,234234,228899,228899,228899,228899,233813,233813,233813,233813,202468,296193,376376,464124,348928,342906,345238,336949,333630,329073,334143,347607,346266,356406,350114,336104,349516,345185,354082,362040,352882,358353,366227,364391,364399,341217,332961,339398,332798,349595,332396,331406,331487,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,319623,326922,325536,330723,324876,316831,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337502,328316,304974,307708,313744,317333,338116,334453,323730,339534,333601,329690,342103,324639,330850,337504,328552,323097,322228,322361,319037,329531,326456,332330,324377,325986,323449,310905,333302,321799,331500,331049,322108,320603
4,True,231113,231113,231113,234234,234234,234234,234234,228899,228899,228899,228899,233813,233813,233634,233634,202468,296193,376376,463549,348928,342906,345238,336844,333525,328968,334143,347607,346266,356406,350114,336104,349516,345185,354082,362040,352882,358353,366227,364177,364399,341217,332961,339398,332798,349595,332396,331406,331487,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,319623,326922,325536,330723,324782,316831,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337502,327759,304417,307151,313187,317333,338116,333996,323273,339534,333601,329690,342103,324639,330850,337504,328552,323097,322228,322361,319037,329531,326456,332330,324377,325986,323449,310905,333302,321799
5,True,222279,222279,222279,231113,231113,231113,231113,234234,234234,234234,234234,228899,228899,228899,228555,233634,233634,233634,233634,201893,295618,375801,463549,348928,342906,345133,336844,333525,328968,334143,347607,346266,356406,350114,336104,349272,344941,353838,361796,352668,358139,366013,364177,364399,341217,332961,339398,332798,349595,332396,331406,331487,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,319623,326828,325442,330629,324782,316831,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337502,327759,304417,307151,313187,316876,337659,333996,323273,339534,333601,329690,342103,324639,330850,337504,328552,323097,322228,322361,319037,329531,326456,331773,323820,325986
6,True,239844,239844,239844,222279,222279,222279,222279,231113,231113,231113,231113,234234,234234,234234,234234,228555,228555,228555,228555,233634,233634,233634,233634,201893,295618,375801,463549,348928,342906,345133,336844,333525,328968,334143,347607,346266,356161,349869,335859,349272,344941,353838,361796,352668,358139,366013,364177,364399,341217,332961,339398,332798,349595,332396,331406,331487,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318260,325465,324079,329266,324782,316831,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337502,327759,304417,307151,313187,316876,337659,333996,323273,339534,333601,329690,342103,324639,330850,337504,328552,322979,322110,322243,318919,328974
7,True,223099,223099,223099,239722,239722,239722,239722,222279,222279,222279,222279,231113,231113,231113,231113,234234,234234,234234,234234,228555,228555,228555,228555,233634,233634,233634,233634,201893,295618,375801,463549,348928,341993,344220,335931,332612,328968,334143,347607,346021,356161,349869,335859,349272,344941,353838,361796,352668,358139,366013,364177,364399,341217,332961,339398,332516,349020,331821,331113,331487,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318260,325465,324079,329266,324782,316831,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337306,327563,304221,306955,313187,316876,337659,333996,323273,339534,333601,329690,342103,324639,330850,337504,328552,322979
8,True,211260,211260,211260,223099,223099,223099,223099,239722,239722,239722,239722,222279,222279,222279,222279,231113,231113,231113,231113,234234,234234,234234,234234,228555,228555,228555,228555,233634,233634,233634,233634,201893,295618,375801,463549,348928,341993,344220,335931,332612,328968,334143,347607,346021,356161,349869,335859,349272,344941,353838,361796,352668,358139,366013,364177,364399,341217,332961,339116,332223,349020,331821,331113,331487,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318260,325465,324079,329266,324782,316831,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337306,327563,304221,306955,313187,316876,337659,333996,323273,339534,333601,329690,342103,324639
9,True,231361,231361,231002,211260,211260,211260,211260,223099,223099,223099,223099,239722,239722,239722,239722,222279,222279,222279,222279,231113,231113,231113,231113,234234,234234,234234,234234,228555,228555,228555,228555,233634,233634,233634,233634,201893,295618,375801,463549,348928,341993,344220,335931,332612,328968,334143,347607,346021,356161,349869,335859,349272,344941,353838,361796,352668,358139,366013,364177,364399,341217,332961,339116,332223,349020,331821,331113,331487,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318260,325465,324079,329266,324782,316831,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337306,327563,304221,306955,313187,316876,337659,333996,323273,339534
