period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
70,18715590.242812853,17978716.689778347,18741748.817302242,18002004.08975251,14473146.373456476,3505570.3163218675,14544750.56441138,3457253.525341131,279931.7167294603,271533.7652275764,3122398.523908581,2947662.156963633,3126631.3430379936,2951517.871914994,46655.28612157671,45255.62753792942
71,18647054.50287823,17910610.651180685,18675745.766228538,17936303.0645116,14362285.329377111,3548325.32180357,14435452.276107224,3500850.7884043776,290569.9059534206,281852.80877481797,0.0,0.0,0.0,0.0,0.0,0.0
72,18393943.808471046,17665357.875922438,18423163.637592133,17691571.69417728,14095056.044556191,3570301.8313662466,14167856.28395641,3523715.4102208703,303624.9300728368,294516.1821706518,3068497.6913959077,2896035.1904773763,3073246.5036792797,2900381.4365109955,50604.155012139476,49086.030361775294
73,18149065.204402942,17427681.91727322,18178133.947449796,17453781.2504839,13827959.679358097,3599722.2379151233,13899621.506186238,3554159.7442976646,326827.5706645131,317022.74354457774,0.0,0.0,0.0,0.0,0.0,0.0
74,18382032.815184318,17649687.88847274,18413260.637844387,17677829.697881185,13943616.328462096,3706071.560010648,14016965.78795213,3660863.90992905,345218.09200117755,334861.54924114223,3066387.5360070486,2893421.2492999146,3071477.0277826907,2898093.568843679,57536.34866686291,55810.25820685703
75,17328279.260262515,16636114.113069063,17362492.854011416,16667240.089377493,13109759.600592416,3526354.5124766533,13179982.080179531,3487258.0091979597,348066.8716669231,337624.86551691534,0.0,0.0,0.0,0.0,0.0,0.0
76,19876365.810086787,19081494.901705448,19917687.71153339,19119171.46689958,15001594.227914717,4079900.673790735,15083416.36038368,4035755.1065159026,432492.44017097406,419517.6669658449,3315057.672671706,3127587.92793307,3321844.9611835317,3133871.1550693577,72082.073361829,69919.61116097415
77,18847664.769244924,18092035.761011913,18888867.761782147,18129672.796125345,14141217.232242517,3950818.528769396,14220299.909092344,3909372.8870329964,414459.21288153756,402025.4364950914,0.0,0.0,0.0,0.0,0.0,0.0
78,21252219.8583762,20398618.337269425,21305631.011248916,20447773.161476936,15928265.776862092,4470352.560407328,16018403.949299738,4429369.212177193,493460.5147037759,478656.6992626626,3544736.615128032,3343832.0971472743,3553533.3441512017,3351998.9193543713,82243.41911729598,79776.1165437771
79,20192685.441026077,19380612.91596258,20244353.509947646,19428183.326601364,15108495.52950548,4272117.3864571005,15194941.575335423,4233241.751265939,486271.7322936497,471683.5803248401,0.0,0.0,0.0,0.0,0.0,0.0
80,21995426.6109874,21109926.271903254,22052997.10094601,21162956.873939678,16423796.782580487,4686129.489322769,16519135.685798794,4643821.188140887,549784.3284908158,533290.7986360914,3668968.031468196,3460557.8581452738,3678454.584614795,3469369.8141543088,91630.72141513597,88881.79977268189
81,21040989.153538644,20192192.113503672,21097105.237565972,20243916.987670004,15648809.86543264,4543382.248071039,15740519.712781213,4503397.274888797,547030.5946651127,530619.6768251593,0.0,0.0,0.0,0.0,0.0,0.0
82,22722672.29418033,21805560.73881939,22783441.94465851,21861583.277795497,16849119.949756816,4956440.789062573,16948167.40611094,4913415.871684561,602792.4888063334,584708.7141421433,3788065.361673316,3572154.793411234,3798084.995863505,3581467.7325658086,100465.41480105557,97451.45235702388
83,21776000.3902813,20896786.407427967,21837750.564444732,20953879.646541115,16085988.98023582,4810797.427192145,16180970.24761245,4772909.398928667,607348.7679618273,589128.3049229726,0.0,0.0,0.0,0.0,0.0,0.0
84,23337424.371766057,22394963.548821356,23404677.48083629,22457159.3365346,17220109.11049634,5174854.438325019,17322987.398071192,5134171.938463404,683063.2213497394,662571.3247092471,3891429.702285893,3669368.560199315,3902546.2774108425,3679728.493658743,113843.87022495655,110428.55411820787
85,22494923.783393808,21584789.545037195,22561295.75588904,21646198.32253112,16558801.164216194,5025988.380820993,16659250.305089325,4986948.017441798,678666.327129532,658306.337315646,0.0,0.0,0.0,0.0,0.0,0.0
86,24032879.79872094,23058405.653565742,24108061.67833901,23128105.9747255,17666472.20451305,5391933.449052694,17775352.480366897,5352753.494358596,738242.5358426487,716095.2597673693,4008408.861443674,3779294.8238855656,4020857.9185452387,3790917.977058941,123040.42264044145,119349.20996122819
87,23258635.34702284,22313506.511236757,23341990.11687199,22391116.367472228,17067837.227135077,5245669.284101684,17174904.801571477,5216211.565900755,739701.0846707072,717510.052130586,0.0,0.0,0.0,0.0,0.0,0.0
88,24849377.858001657,23838080.76525649,24938030.49032668,23920623.87126446,18185606.734863535,5652474.030392952,18299459.134866375,5621164.736398089,871435.0318422763,845291.980887008,4143857.0102795647,3906998.7058442957,4158548.3797019403,3920727.1759066507,145239.17197371274,140881.99681450136
89,24042534.72387359,23063043.57290043,24127598.77047852,23142241.401978355,17567137.454398576,5495906.118501853,17676509.107471813,5465732.294506542,908111.0689029989,880867.736835909,0.0,0.0,0.0,0.0,0.0,0.0
90,25424006.645871013,24387948.173397534,25514821.857031707,24472510.38127402,18544715.643346597,5843232.530050934,18661102.743040018,5811407.6382340025,1071077.5733329484,1038945.2461329602,4240455.09797831,3998982.969193452,4255505.38753765,4013047.5430880203,178512.9288888248,173157.54102216003
91,24537657.438435603,23537424.57765347,24626930.869439058,23620562.892238315,17889032.72545424,5648391.85219923,18002902.671406012,5617660.220832303,1070762.7173336712,1038639.8358136612,0.0,0.0,0.0,0.0,0.0,0.0
92,25982418.393982302,24922303.732235473,26077241.43105516,25010629.2000114,18881263.543357875,6041040.188877598,19001539.676123366,6009089.523888027,1211771.9561542906,1175418.797469662,4330757.109956219,4083764.725657393,4346475.467639286,4098457.8656010064,201961.99269238167,195903.13291161027
93,25405742.52306696,24368139.233992968,25497974.767693277,24454052.31130172,18410782.886678416,5957356.347314555,18527739.155505557,5926313.155796162,1319552.6207740444,1279966.0421508232,0.0,0.0,0.0,0.0,0.0,0.0
94,26884340.39954529,25784152.568925533,26995241.84556351,25887878.06428785,19462735.892800044,6321416.676125489,19586943.859141547,6300934.2051463,1474218.5528603068,1429991.9962744976,4478549.529211319,4223456.210264203,4496960.832024938,4240693.55030933,245703.09214338442,238331.99937908293
95,26315902.730023377,25237904.561883766,26424388.886514917,25339374.968033038,19005754.217779264,6232150.344104502,19127122.190117925,6212252.777915117,1509333.8499875704,1464053.8344879437,0.0,0.0,0.0,0.0,0.0,0.0
96,27471902.026282668,26345961.145913113,27586301.685141478,26452964.91076548,19841118.023347504,6504843.122565607,19968816.868396282,6484148.0423692,1630012.6153153833,1581112.236855922,4575450.615793401,4315082.009497799,4594443.454132817,4332865.448893451,271668.7692192305,263518.7061426536
97,27002921.808047824,25896408.259001274,27115289.463220164,26001524.25326334,19479802.138205323,6416606.120795953,19604822.73649343,6396701.516769913,1703947.0433487673,1652828.6320483044,0.0,0.0,0.0,0.0,0.0,0.0
98,28327452.73494752,27166121.90003218,28446541.198945895,27277556.977082003,20403796.49911674,6762325.400915436,20535191.655012622,6742365.322069384,1831137.22058814,1776203.1039704953,4719465.367197401,4451858.102908559,4739244.396430134,4470385.445771832,305189.5367646899,296033.85066174925
99,27974542.39660182,26826899.318656396,28092365.330546066,26937172.8791862,20101373.88299038,6725525.435666018,20230639.48979052,6706533.389395685,1843725.6058999347,1788413.8377229364,0.0,0.0,0.0,0.0,0.0,0.0
100,29014113.142106317,27823580.410773925,29136634.754488364,27938254.009699248,20841356.381071907,6982224.029702018,20975689.19275012,6962564.816949135,1987286.1776824966,1927667.5923520215,4833895.347559615,4560402.4262987375,4854248.951561077,4579472.192488631,331214.3629470827,321277.9320586702
101,28713259.748416577,27533751.580016788,28841705.051429465,27654191.77694472,20590680.09718138,6943071.482835407,20724284.1947936,6929907.582151121,2044543.532571691,1983207.2265945403,0.0,0.0,0.0,0.0,0.0,0.0
102,29724340.80439857,28504282.10291593,29857799.490456007,28629448.998879027,21320490.122462004,7183791.980453926,21458455.031190977,7170993.967688055,2232617.6192453,2165639.0906679416,4948990.930908817,4668906.836536741,4971205.287128736,4689763.056886567,372102.93654088344,360939.848444657
103,29225985.806350272,28025455.072853763,29358246.576037776,28149502.718424216,20914285.334467992,7111169.738385773,21050713.70944168,7098789.008982539,2236788.176615866,2169684.53131739,0.0,0.0,0.0,0.0,0.0,0.0
104,30128909.798314735,28890459.431534015,30265304.959068887,29018409.18188991,21550770.589370757,7339688.842163257,21690706.521209586,7327702.660680328,2417690.1672715624,2345159.4622534155,5015356.904331527,4731559.9979463555,5038064.868441591,4752884.911515558,402948.361211927,390859.91037556925
105,29814226.31124594,28586913.469470825,29948112.46176981,28712508.4637856,21272193.026312947,7314720.443157881,21409567.893364374,7302940.570421225,2460956.2334274002,2387127.546424578,0.0,0.0,0.0,0.0,0.0,0.0
106,30585570.23650621,29326834.339228205,30726300.067677744,29458938.931637224,21799179.280637406,7527655.058590798,21939626.843803022,7519312.087834205,2613942.9879017244,2535524.6982646724,5094074.8211454535,4807262.179818949,5117504.418186141,4829264.698288417,435657.16465028736,422587.4497107787
107,30101974.865616765,28864516.11119742,30239739.577067964,28993836.583861064,21468550.523219116,7395965.5879783,21606072.103152424,7387764.48070864,2638739.904910181,2559577.7077628765,0.0,0.0,0.0,0.0,0.0,0.0
108,30802585.433629174,29537148.371348064,30944589.34047386,29670467.795919005,21979895.543808512,7557252.827539557,22121017.383039035,7549450.412879974,2769836.518499992,2686741.422944992,5133354.567526591,4845933.032956357,5156999.611105772,4868141.118810813,461639.4197499986,447790.2371574987
109,30415739.44521108,29165811.73083943,30555365.613664,29296898.908447698,21700552.528328836,7465259.202510597,21839307.82194291,7457591.0865047965,2788231.5529534053,2704584.6063648034,0.0,0.0,0.0,0.0,0.0,0.0
110,31337172.174329925,30047859.561673425,31480771.239543937,30182695.129202228,22344707.623399384,7703151.93827404,22486823.05261061,7695872.0765916165,2932694.3002711865,2844713.471263051,5219433.748128537,4926759.775435057,5243347.638968196,4949223.450905808,488782.383378531,474118.9118771751
111,30981567.010723893,29704247.481604856,31122668.252993196,29836737.671239916,22066263.32958163,7637984.152023226,22205909.59377739,7630828.077462528,2864495.6770655685,2778560.806753601,0.0,0.0,0.0,0.0,0.0,0.0
112,31714831.563622735,30407223.859784096,31858143.308845744,30541788.624082014,22587309.133098323,7819914.726685775,22729192.76583675,7812595.858245265,2962078.422615546,2873216.0699370787,5284533.015986747,4989059.528711077,5308398.928908312,5011478.022519841,493679.73710259085,478869.3449895131
113,31284816.484087914,29994198.741071142,31425678.288859062,30126479.008110188,22268154.440309294,7726044.300761852,22407109.23730893,7719369.770801262,2992256.7014849326,2902489.000440384,0.0,0.0,0.0,0.0,0.0,0.0
114,32031222.0457415,30709500.028983127,32176014.622156553,30845536.216534834,22785480.33583983,7924019.693143294,22926244.858503688,7919291.358031151,3108912.4318934153,3015645.058936613,5334275.909789683,5035466.130317453,5358402.752998157,5058143.813108086,518152.0719822359,502607.5098227688
115,31587333.7401184,30283690.123684987,31728907.829369683,30416701.99210052,22482497.109951466,7801193.013733521,22620156.889534082,7796545.102566438,3122196.293794099,3028530.4049802762,0.0,0.0,0.0,0.0,0.0,0.0
116,32378790.331428017,31042275.55603767,32525914.175342828,31180535.700342443,23048910.32066877,7993365.235368891,23187820.069195304,7992715.631147135,3283685.0723911664,3185174.520219431,5395596.017413857,5094549.433840134,5420110.227396973,5117589.850962649,547280.8453985278,530862.4200365719
117,31885913.27386583,30569936.96634223,32030539.02126608,30705855.010536697,22702125.860462196,7867811.105880032,22838682.327750158,7867172.682786541,3323024.8315218687,3223334.0865762127,0.0,0.0,0.0,0.0,0.0,0.0
118,32439794.834422912,31100460.731324043,32585403.53331222,31237302.251867708,23078115.529557537,8022345.20176651,23215606.0193268,8021696.232540907,3457966.5514381886,3354227.5548950434,5404998.997434614,5104019.848186766,5429261.678382072,5126824.111593558,576327.7585730315,559037.9258158405
119,32090336.47778952,30765543.016751204,32232063.941570424,30898741.546722595,22886531.050872203,7879011.965879001,23020206.357286997,7878535.189435596,3568440.216185837,3461387.0097002625,0.0,0.0,0.0,0.0,0.0,0.0
120,32854874.23832443,31496571.214520954,32999891.615730114,31632876.984314118,23337034.1937631,8159537.020757852,23473340.510994226,8159536.47331989,3724169.0222217613,3612443.951555108,5475869.213854165,5172364.854648686,5500036.903533804,5195083.276174082,620694.8370369603,602073.9919258513
121,32277153.049775977,30942327.991195843,32418980.956520446,31075635.93000065,22878843.636408776,8063484.354787065,23012152.11322894,8063483.8167717215,3725729.190203056,3613957.314496965,0.0,0.0,0.0,0.0,0.0,0.0
122,32962149.166848503,31599067.027037393,33105165.805184197,31733492.723823383,23332054.950216115,8267012.076821279,23466481.196952146,8267011.526871243,3925794.4889784446,3808020.6543090916,5493046.268605099,5189150.968110743,5516880.612006871,5211556.093449109,654299.0814964075,634670.1090515151
123,32543706.710519962,31197871.360733658,32684132.58029875,31329861.904151652,23015075.209616408,8182796.151117242,23147066.29394532,8182795.610206332,3928201.1893535466,3810355.1536729406,0.0,0.0,0.0,0.0,0.0,0.0
124,33246198.736675307,31871618.034202393,33387868.66697668,32004777.93853327,23514675.671696614,8356942.362505776,23647836.128149886,8356941.810383381,4061397.0486859004,3939555.137225323,5540264.417430583,5234271.01353503,5563874.329545986,5256466.382109972,676899.5081143166,656592.5228708871
125,32783680.736114632,31428388.06600132,32922363.375772975,31558740.086326454,23162397.98914755,8265990.076853764,23292750.552091833,8265989.534234621,4065827.6103989664,3943852.7820869964,0.0,0.0,0.0,0.0,0.0,0.0
126,33734736.734108955,32340434.603824575,33876452.70110144,32473638.0184506,23884546.698408376,8455887.905416198,24017750.575904034,8455887.442546569,4255933.874342944,4128255.858112655,5622273.762601547,5312626.722000176,5645891.389308289,5334829.394462715,709322.3123904907,688042.6430187759
127,33149251.62336941,31778579.379784863,33288842.73615348,31909783.538061023,23448220.428312637,8330358.951472219,23579425.041587774,8330358.496473248,4246582.3909019595,4119184.9191749003,0.0,0.0,0.0,0.0,0.0,0.0
128,33947549.79578636,32544657.28239029,34089800.34452839,32678361.706210777,23957928.137903787,8586729.1444865,24091633.027111195,8586728.679099577,4439210.002337339,4306033.702267218,5657506.928848791,5346755.514280178,5681213.38697299,5369042.19239056,739868.33372289,717672.2837112031
129,33463620.152941935,32081246.045962952,33602823.254403345,32212084.469961587,23604791.361362446,8476454.6846005,23735630.24294931,8476454.227012273,4449058.419049362,4315586.6664778795,0.0,0.0,0.0,0.0,0.0,0.0
130,34246180.78962707,32830335.04161921,34387677.08148687,32963328.790472668,24143057.307191264,8687277.734427953,24276051.537442718,8687277.253029956,4613896.606140638,4475479.707956418,5706391.0549811935,5393195.564811083,5729971.506905564,5415363.808448608,768982.7676901062,745913.2846594029
131,33788695.41727007,32391762.52909664,33927056.61627196,32521809.83476238,23792329.749361325,8599432.779735321,23922377.528239343,8599432.306523036,4623256.040887372,4484558.359660751,0.0,0.0,0.0,0.0,0.0,0.0
132,34510259.34011232,33084237.610708967,34646405.093492344,33212202.842001446,24277405.088930883,8806832.52177808,24405370.803552248,8806832.038449207,4827528.80256419,4682702.938487263,5750732.340194724,5436175.539471548,5773421.210991263,5457506.411952459,804588.1337606985,780450.4897478776
133,34064932.94917086,32659224.40208282,34197073.232033685,32783425.274928335,23964527.08059929,8694697.321483534,24088728.440495037,8694696.834433293,4912238.214940547,4764871.06849233,0.0,0.0,0.0,0.0,0.0,0.0
134,34787541.677648455,33353076.333112553,34921919.00123881,33479379.814791884,24503665.99501585,8849410.338096702,24629969.973025177,8849409.841766711,5057922.944821347,4906185.256476706,5795199.568957199,5478759.4127382785,5817593.803297508,5499813.331993907,842987.1574702243,817697.5427461177
135,34255329.33385468,32843695.423484772,34385785.75569643,32966314.191022914,24144305.455824837,8699389.967659937,24266924.711253352,8699389.479769567,5043729.652461873,4892417.762888017,0.0,0.0,0.0,0.0,0.0,0.0
