period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_benefits,,,
49,0.8227861395312298,0.17721386046877016,0.0,0.9919704403708398,0.99255984190482,0.9952174318912632,0.9965809299870435,0.8052286514930994,0.8927099101771591,0.029215584854770445,0.0281846973986712,0.1867417888777404,0.09984993172766099,0.0,0.0,4470.9699171622151,3331.1163579700842,2432.5537045606175,nan,4109.7343108849573,4069.7748347293377,3103.9936382110554,0.5492995483318195,0.6344362698311364,474.28574853970002,491.798668403862,384.46826191327494,668.70848324571591,0.6506592853190196,0.3766816086556705,0.27397767666334916,0.29656646893841182,0.25806703696419864,0.27632942614190881,0.25092760711534512,0.29570867586408733,0.25684973703467112,0.27439694523883063,0.24890840275288328,4182824,,2015,
50,0.814946215345615,0.185053784654385,0.0,0.9920590547411232,0.9926829872008776,0.9952783332746387,0.9966508980981219,0.7979544003937293,0.8862761796562149,0.0330187786882073,0.033304120765687346,0.19410465434739393,0.10640680754466277,0.0,0.0,5147.062321339361,3819.2759782165599,2778.5450676414498,nan,4708.7592395233514,4676.4172891144954,3560.6124199260744,0.6028352748606454,0.6898487565363677,414.84561986490331,448.33676806690926,246.41176743844602,760.07282611137714,0.6448898785225274,0.37754288678631315,0.26734699173621423,0.29483152780738053,0.26053120390875095,0.27988815818829454,0.25379592664538453,0.29433347496790679,0.25932831893331332,0.27805585405117428,0.25189723156587907,4196112,0.32%,2015,
51,0.8087532372918249,0.1912467627081751,0.0,0.9920264526917182,0.9927161115455899,0.9952375284499977,0.9966660595866856,0.7920554833015933,0.8809616146899071,0.0366978842491523,0.03694188816158327,0.19997096939012496,0.11175449685568281,0.0,0.0,4992.6636952964136,3676.9713837782392,2682.7042492997616,nan,4550.891429262384,4527.8797917464881,3435.6347194240102,0.5592477233191506,0.6384470365161989,550.5176098716272,570.37797530293994,385.15427788412023,857.4273169337348,0.5730593697580978,0.31142889176102917,0.2616304779970686,0.3019358487376741,0.26235082333234128,0.28701581262572706,0.25621147899389674,0.30115740482548664,0.26111485783546756,0.28520987820046206,0.25432751954712157,4202184,0.14%,2015,
52,0.7985999036035426,0.20140009639645737,0.0,0.9920948002286424,0.9927840019019074,0.995278351334409,0.9966971339783404,0.782229101703823,0.8738617211413142,0.039351869174210845,0.039847720046019365,0.20986569852481937,0.11892228076059316,0.0,0.0,5388.3292340049338,3966.7928993001733,2880.587994537354,nan,4883.2699066387904,4870.7675029366828,3700.651081949894,0.6026529194083294,0.6846752980890545,520.9132092255843,543.32285240660713,374.43811579249279,804.12236304398925,0.567928004424794,0.3124966093471348,0.2554313950776592,0.30458013270074985,0.26484392906300502,0.28907014024217248,0.25851870604624755,0.30389693663358525,0.26342098206106102,0.28731151189223536,0.25665813975428864,4226586,0.58%,2015,
53,0.7901095241823176,0.20989047581768241,0.0,0.9922164263592194,0.9929190624703996,0.9953754953806363,0.9967994751742695,0.7747521811599418,0.8645251484842851,0.04536395696743083,0.04553389441039548,0.21746424519927754,0.12839391398611458,0.0,0.0,4704.2516148747545,3436.6145700874986,2543.1314716197821,nan,4250.6530797077903,4252.314841209356,3211.2366219748765,0.5594986186675533,0.6341489332745779,583.77885923771021,602.12015470832569,434.16188970734834,830.3824172749122,0.5328558999019414,0.28164948232067083,0.2512064175812706,0.30661149863412268,0.26532784067251564,0.28848745320234098,0.25810878626449629,0.30609483740568133,0.26411683313843082,0.28739221813853288,0.2563446570405154,4247331,0.49%,2016,1.54%
54,0.7821241963516207,0.21787580364837927,0.0,0.9922567069425116,0.9928573496940135,0.9953994275424044,0.9967163276178408,0.7672934870873137,0.8580865316751229,0.049891435354740166,0.050389648268169836,0.2249632198551979,0.13477081801889054,0.0,0.0,4838.960872641117,3534.9777519051149,2601.008494860253,nan,4351.3651998053101,4368.2659584638423,3293.3002163352153,0.5958262043494974,0.66985890605782,525.56909421607691,545.65654063101636,451.93730886326637,716.63474110276741,0.598108598534848,0.3460749533508689,0.25206203611815,0.30712466383721093,0.26739754032972235,0.2914487958390275,0.25978646897718377,0.30673090890034715,0.26625655236334483,0.29029248609440056,0.25796108051641176,4262810,0.36%,2016,
55,0.7746839284074961,0.22531607159250389,0.0,0.9921898091137354,0.9929268961743121,0.9953152983102974,0.9967483000436002,0.7605520934645883,0.8505527406247603,0.05382899976998931,0.05454992699912869,0.23163771564914723,0.1423741555495518,0.0,0.0,4621.916290854615,3347.9116454766772,2467.8373707005821,nan,4136.5676906652861,4161.0927671724739,3115.8043425735432,0.5602720475471139,0.6348917141438661,519.59673487379314,532.2891117381663,433.41582276347799,698.80148724088417,0.5343011555492383,0.28587590086375547,0.24842525468548288,0.3153097495641225,0.27250772454841654,0.29644438861824285,0.26419548655122527,0.31492278078250413,0.27138091738520287,0.29466502053006016,0.26233455750853285,4271639,0.21%,2016,
56,0.7668832529982967,0.22939658729740645,0.003720159704296827,0.992485838035248,0.9932954330878122,0.9955951173548441,0.9970860288052376,0.7536470291919753,0.8424015536610383,0.05903667156160539,0.059205054401782586,0.23502733444725046,0.14624722113796007,0.0038114743960222814,0.004646658288813853,5045.4533057906228,3668.6703862467552,2677.764816284754,2679.0208726687392,4493.5101399339837,4542.051756957434,3394.207310162999,0.5938183528847041,0.6819708861606556,574.87488169789378,585.11107331173719,531.15507898813394,774.02191289987604,0.7840964405860235,0.5426565816260233,0.24146589917640726,0.30995607486420768,0.27456453932138103,0.28931570587474803,0.26641931965424581,0.30931517410639237,0.27344675441427624,0.28781666078222917,0.26487197925580003,4283257,0.27%,2016,
57,0.7580449462632279,0.23482119883288527,0.007133854903886758,0.9926745900996093,0.9929903149223109,0.995763662112885,0.9967519162537838,0.7452930122068754,0.8346646815187742,0.06195291573935393,0.0631388575355985,0.24008772618215443,0.1494438196458225,0.007293851710579562,0.00888181375771424,4810.2145079694237,3488.8025944398046,2552.0444003560524,2553.2086230254745,4263.8471436306572,4318.8828396851932,3227.1935697006775,0.5561474822412433,0.6404004862873781,672.16874006057969,679.45676705667063,626.36714899867297,815.85245368803419,0.7553058984939213,0.5037304189849806,0.25157547950894066,0.31084186958840149,0.27548656530570137,0.29238862915149777,0.2685942148270537,0.31023429874464969,0.27469171512475804,0.29065416516610126,0.26680142708316446,4309505,0.61%,2017,1.46%
58,0.7496950494337333,0.24000842445522355,0.010296526111043147,0.9927922217820682,0.9935439875617427,0.9958670919945235,0.9972817501149782,0.7374048050928146,0.8270677403145452,0.06549659807212505,0.06734122788253943,0.2448818186240783,0.15370581196563868,0.01050559806517524,0.012770435281558851,5127.8311061335526,3729.2367514946459,2704.3137040053484,2705.5176646641657,4521.2250992097252,4595.3749881347649,3432.0255035294454,0.5978114121248044,0.6816383195749972,563.09244164811514,571.34931042315588,516.9525260909611,760.24700092250816,0.8110156502573449,0.5779045853413851,0.23311106491595976,0.31003743417404839,0.27726476783056825,0.29130744515576124,0.27014317626689438,0.30913900615544648,0.27623280515312043,0.29028049179073201,0.26900664083062398,4328345,0.44%,2017,
