PERIOD,991,992,993,994,995,996,997,998,999,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202,1203,1204,1205,1206,1207,1208,1209,1210,1211,1212,1213,1214,1215,1216,1217,1218,1219,1220,1221,1222,1223,1224,1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1243,1244,1245,1246,1247,1248,1249,1250,1251,1252,1253,1254,1255,1256,1257,1258,1259,1260,1261,1262,1263,1264,1265,1266,1267,1268,1269,1270,1271,1272,1273,1274,1275,1276,1277,1278,1279,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,1322,1323,1324,1325,1326,1327,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1342,1343,1344,1345,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1568
REAL_WAGE,109.4268655049,106.5292476224,106.2353781873,105.4922005504,104.51446409,103.5158119807,106.2591164558,112.4912985248,112.7652052484,107.7940405929,101.9736760013,100,97.3341946159,94.1203254558,89.5750125097,91.3427748896,89.7291821378,87.0151860825,82.5859641174,80.1209526171,77.6094838703,74.9367654366,69.3685515478,67.1359389,64.1450549762,60.2817801161,56.2631743862,54.1989497186,51.8641248505,49.467824344,47.3592413242,45.2900663439,45.2702639051,44.9026578681,43.7932651108,44.0985472723,43.0543975973,40.9149986871,37.4713086501,36.6803227612,35.6925250375,34.3736111247,33.0962615229,32.3722569656,31.732515473,30.6637653738,29.5990002002,29.4674271547,28.2669146084,26.7700807522,25.866412003,26.6072120714,26.928069933,27.33969747,27.4661246236,26.1114653827,24.5450330893,24.3786641714,24.4635389179,25.0012709547,25.5820375401,27.9485796243,33.227779994,35.0786325848,34.7795036755,34.4154057128,34.5942983685,34.509050833,34.3846143684,34.3796418552,34.1106107384,34.2886731598,34.1156274275,34.0131654017,33.6799299369,33.6876462624,33.5050601342,33.6455071086,33.6653605592,33.9580705181,33.8881433019,34.0374428546,33.8636388939,33.9704326401,34.1062441802,34.2845772213,34.1048522309,34.0682906022,34.1533543675,34.0269070734,33.969058354,33.8525790859,33.1176910816,33.0182227679,30.2196896747,26.4947632144,27.0144915248,24.4375569899,27.5908514314,28.0404460499,28.5505944204,28.4941154548,30.5971787305,30.1862676,31.0710820441,32.289202623,38.004901614,40.8643454062,43.5170124199,50.6033036995,53.6905151349,50.005655841,38.4489351066,49.3315159978,61.8298006931,49.7850195788,38.3237201074,42.6217074092,47.9941915364,43.3523652505,51.948339854,54.7563582245,52.6073645737,46.5734679561,46.5854068097,46.9435724182,46.9077558574,46.4381013641,47.0522827047,52.2503540509,54.8568797404,59.6117833112,55.8022787948,51.1300126633,42.6517234953,43.1787270355,41.3316839892,38.1110756362,30.1335555493,32.9690300595,27.8380826387,27.7768857952,27.2609238969,32.4414104555,32.0901073699,36.3154061304,35.5570143455,43.3716224535,45.0722350147,44.8214162507,39.8711404518,47.1053646468,45.3885296202,43.2249418892,34.7835515864,38.0368161547,38.3749270483,36.9951473067,32.1402953176,41.1669007892,43.609546194,46.0617328558,40.330154512,41.2972230809,44.0150165656,48.4599626717,63.735660117,67.6779964227,80.26602719,73.4370593485,66.7132474231,72.3888229411,70.8265047277,75.2937474518,64.4992119513,65.9183244793,65.3596538324,57.3735969775,54.0340697335,53.6091701019,55.2602749708,58.347147487,54.6899234902,59.5511798369,60.1552488115,61.6840072605,50.2904798745,50.9726577257,55.2270166872,55.9603787219,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447,50.448370447
GROSS_WAGE_2014_T4,12915.2298748512,12573.2352388003,12538.5509655263,12450.8365822761,12335.4381279311,12217.5710804111,12541.3527015746,13276.913056624,13309.2412082466,12722.51,12035.56,11802.61,11487.98,11108.65,10572.19,10780.83,10590.39,10270.06,9747.3,9456.36,9159.94,8844.49,8187.3,7923.79,7570.79,7114.82,6640.52,6396.89,6121.32,5838.49,5589.63,5345.41,5343.07,5299.69,5168.75,5204.78,5081.54,4829.04,4422.59,4329.24,4212.65,4056.98,3906.22,3820.77,3745.27,3619.12,3493.45,3477.93,3336.23,3159.57,3052.91,3140.35,3178.22,3226.8,3241.72,3081.83,2896.95,2877.32,2887.34,2950.8,3019.35,3298.66,3921.75,4140.19,4104.89,4061.92,4083.03,4072.97,4058.28,4057.7,4025.94,4046.96,4026.53,4014.44,3975.11,3976.02,3954.47,3971.05,3973.39,4007.94,3999.69,4017.31,3996.79,4009.4,4025.43,4046.47,4025.26,4020.95,4030.99,4016.06,4009.24,3995.49,3908.75,3897.01,3566.71,3127.07,3188.42,2884.27,3256.44,3309.5,3369.72,3363.05,3611.27,3562.77,3667.2,3810.97,4485.57,4823.06,5136.14,5972.51,6336.88,5901.97,4537.98,5822.41,7297.53,5875.93,4523.2,5030.47,5664.57,5116.71,6131.26,6462.68,6209.04,5496.88,5498.29,5540.57,5536.34,5480.91,5553.4,6166.91,6474.54,7035.75,6586.13,6034.68,5034.02,5096.22,4878.22,4498.1,3556.55,3891.21,3285.62,3278.4,3217.5,3828.93,3787.47,4286.17,4196.66,5118.98,5319.7,5290.1,4705.84,5559.66,5357.03,5101.67,4105.37,4489.34,4529.24,4366.39,3793.39,4858.77,5147.06,5436.49,4760.01,4874.15,5194.92,5719.54,7522.47,7987.77,9473.49,8667.49,7873.9,8543.77,8359.38,8886.63,7612.59,7780.08,7714.15,6771.58,6377.43,6327.28,6522.15,6886.49,6454.84,7028.59,7099.89,7280.32,5935.59,6016.1,6518.23,6604.79,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22,5954.22
NET_WAGE_2014_T4,10719.6407961265,10435.7852482042,10406.9973013869,10334.1943632892,10238.4136461828,10140.5839967412,10409.3227423069,11019.837836998,11046.6702028447,10553.3956396531,9983.5500109811,9796.1692325293,9535.0195713394,9220.1836037483,8774.9171886974,8948.0901312156,8790.019901853,8524.1523348948,8090.2583853968,7848.7817595174,7602.7541045072,7340.9301620065,6795.4586695211,6576.7482217143,6283.7562586959,5905.3034287737,5511.6341285286,5309.4192472854,5080.6959203929,4845.950337735,4639.3900385349,4436.6902164324,4434.7503365918,4398.7390378743,4290.0610784505,4319.9670266776,4217.6803880917,4008.101313027,3670.7517101544,3593.2654170651,3496.4991093405,3367.2961090871,3242.1648178669,3171.2401274101,3108.569986908,3003.8734498607,2899.5672827477,2886.6781684048,2769.0739629179,2622.4416291254,2533.91673566,2606.486742307,2637.9185120146,2678.2422300829,2690.6272442901,2557.9225722515,2404.4722598193,2388.1744839461,2396.4889552617,2449.1660798389,2506.0589403572,2737.8893384862,3255.048586013,3436.3611837687,3407.0580183677,3371.3903764447,3388.9149984986,3380.5640081533,3368.3740051434,3367.8868894763,3341.5321538781,3358.9754447965,3342.0235970853,3331.9862466476,3299.3419463453,3300.097850416,3282.2114096655,3295.9698288325,3297.9147058753,3326.5890602233,3319.7388738387,3334.3645063008,3317.338381282,3327.8000742503,3341.1043985743,3358.5741998457,3340.968040905,3337.3864029623,3345.7193908726,3333.3324036591,3327.665446904,3316.2549440939,3244.2640930781,3234.520011647,2960.3710558795,2595.4710652783,2646.3845148729,2393.9437223833,2702.8456898078,2746.8887263075,2796.8637090563,2791.3309356637,2997.3505115498,2957.0969738552,3043.7748682454,3163.1039858909,3723.0233642597,4003.1392333953,4262.9989054424,4957.1837836954,5259.6121499419,4898.6372055875,3766.5216236218,4832.5973454513,6056.9500988502,4877.023310429,3754.2553540713,4175.2933377054,4701.5908172481,4246.8697949232,5088.9457621915,5364.0239114992,5153.5049196821,4562.414372658,4563.5839226125,4598.6704212487,4595.161771385,4549.1536361865,4609.3198616974,5118.5315751673,5373.8711663597,5839.6694275646,5466.4840299303,5008.7810697083,4178.2337634206,4229.8599066218,4048.9204981767,3733.4243480443,2951.9332137113,3229.7010121289,2727.064870014,2721.0699254617,2670.5254398524,3178.0145182839,3143.600283806,3557.5175770548,3483.2242566012,4248.7562625573,4415.3510971707,4390.7804739361,3905.8432243614,4614.5198570183,4446.3358427233,4234.3871905439,3407.4545584528,3726.1497657426,3759.27167116,3624.1061530935,3148.5167786226,4032.7780618671,4272.0636678394,4512.2839512202,3950.8090050386,4045.5446502903,4311.7842197396,4747.2185322329,6243.6512574658,6629.8490780782,7862.993505933,7194.0164596085,6535.3406616961,7091.3294779179,6938.2821876038,7375.9007138836,6318.4500649384,6457.4686881706,6402.7403825262,5620.4129722083,5293.2673297563,5251.6434552278,5413.3884339757,5715.7835991366,5357.515854443,5833.7326104349,5892.9082117528,6042.6679317466,4926.5390415771,4993.3663183369,5410.1303972084,5481.9717617107,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304,4942.0062646304
