x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,agegroup2
0.9712335523,0.9716443032,0.962463693,0.9625692241,0.9741046059,0.9647765597,0.9715055332,0.9722079119,0.9704773239,0.9752360383,0.9606210482,0.9697043278,0.9745195555,0.9646610404,0.9774449012,0.9739934819,0.9732842199,0.9639129034,0.9651124801,0.9703736216,0.9720750566,0.9640916437,0.9699527878,0.9750680854,0.9758024518,0.97658098,0.9722086944,0.977883308,0.9822491514,0.9792474174,0.9762456835,0.9737240422,0.9648003467,0.9631141833,0.9748345193,0.9772160107,0.9700339032,0.967256764,0.979685002,0.9686435528,0.9634967868,0.9699212965,0.9790211735,0.9850619318,0.9564532799,0.977844735,16
0.8007668733,0.8195785766,0.7995815338,0.8032103474,0.8197617926,0.820086306,0.8379001818,0.8218333506,0.812460482,0.8447157853,0.8522487828,0.8018019615,0.8150268242,0.8451348255,0.8197228061,0.8108756336,0.8151493927,0.839521962,0.8269963313,0.8287372821,0.8314702251,0.8393900662,0.851703831,0.8316483148,0.8341575499,0.8269652188,0.8231620739,0.8208538076,0.8207755135,0.8358119666,0.8508484198,0.8144138577,0.8164539164,0.8161266982,0.8285496907,0.8434915436,0.8288424764,0.8359597845,0.8331664269,0.8345301608,0.8269853215,0.8395822484,0.8249858761,0.8214062677,0.8484188312,0.8111331797,20
0.5783733721,0.5737847778,0.5437332476,0.5415351032,0.5744520556,0.583927881,0.5495678026,0.5816091827,0.5786941652,0.573070779,0.5676271613,0.563701066,0.5880578272,0.5814564873,0.561100427,0.5655104733,0.5537893681,0.5494105,0.562240384,0.5856075001,0.5788528555,0.5559737786,0.5563107992,0.560157187,0.5630869605,0.5970090695,0.5227159847,0.5438666383,0.5886666876,0.5553611397,0.5220555917,0.5520169452,0.5473954366,0.5323879399,0.5501059904,0.5302433879,0.5487184868,0.5459074846,0.5536556927,0.5488949767,0.5510679257,0.5332345045,0.5220084192,0.5557316717,0.5342042113,0.524456647,25
0.3257979506,0.3168035226,0.3274079829,0.2901051672,0.3214328202,0.321905154,0.331997842,0.3392997425,0.3400331294,0.3245463346,0.3151689463,0.3226415387,0.3154284946,0.3156475073,0.3209412619,0.32856161,0.2993454726,0.3092357009,0.3052252405,0.3253663056,0.3074332735,0.3120316189,0.2813781896,0.2841558608,0.3111122324,0.2989979378,0.2698736164,0.2696030805,0.2892671849,0.2706441295,0.2520210742,0.2908468211,0.2961553775,0.2811375216,0.270705652,0.2846255309,0.2766645739,0.3012806187,0.2693561882,0.271019293,0.2774692151,0.2624920645,0.269349699,0.2440279214,0.2533572447,0.2816486807,30
0.2093368572,0.2081993302,0.2021513294,0.1844792873,0.1947490887,0.2095236198,0.1944980497,0.1820982233,0.1981279818,0.1918349795,0.1682627197,0.1984154269,0.1928008343,0.1889200657,0.1905607664,0.2001496996,0.1858095044,0.1944447307,0.2160580728,0.1912416792,0.1880447758,0.1848391028,0.183576469,0.1753697817,0.1828551324,0.1781826738,0.1715968977,0.1752474449,0.1655296811,0.1727323621,0.1799350431,0.1526414193,0.1754637258,0.1621078594,0.1615222524,0.1643135038,0.1854030977,0.1734555785,0.1597815686,0.1849883468,0.163482534,0.1872819463,0.1466096821,0.1443642421,0.1525533082,0.1726074063,35
0.1540135115,0.1536811179,0.1263611372,0.1363479344,0.1526910193,0.1574658312,0.1545886074,0.1203870816,0.1373568618,0.1615664911,0.1598292124,0.129181199,0.1416541634,0.119120189,0.1243887271,0.1344256196,0.1454851668,0.1208428176,0.1455950994,0.1456989601,0.1269934049,0.1333146424,0.1298412074,0.1257178936,0.1128982764,0.1195214807,0.1228019217,0.1295752656,0.1368735333,0.1264281357,0.1159827381,0.1445036356,0.1242689145,0.1068400491,0.1245717334,0.1344223683,0.1418061246,0.1308579446,0.1206250195,0.1011917186,0.0946589394,0.0989694121,0.1205184227,0.1149461122,0.0939960501,0.1294177629,40
0.1068546611,0.1248191145,0.1247675252,0.1251044339,0.1410695645,0.1140649187,0.1057983711,0.1139037886,0.1205574338,0.1056340204,0.0964904302,0.101549663,0.0902488081,0.1145446922,0.1099477045,0.1148988237,0.0834167308,0.0867035557,0.1079975189,0.1197309659,0.0941968511,0.0802552325,0.0789499585,0.0999564444,0.089662585,0.0861355575,0.0832136694,0.1017043175,0.1041508501,0.1105083422,0.1168658344,0.0865980341,0.0910201695,0.0974060791,0.0905396825,0.0928670086,0.0724056091,0.0935757383,0.1035857245,0.0925484807,0.0828803234,0.0843938554,0.0889140733,0.0867329049,0.0828288283,0.0852021258,45
0.111179278,0.0914771643,0.0888251628,0.0887437707,0.0726155716,0.0749706998,0.0859699616,0.0859823666,0.0944639826,0.0755326306,0.0961331307,0.1026877066,0.0975134991,0.0921369159,0.098070382,0.0949607525,0.0762505416,0.0858868604,0.0924465752,0.0891592527,0.0807598426,0.0919899209,0.0896982992,0.0757652553,0.081500833,0.057131352,0.0653238256,0.0971275508,0.0845596669,0.0779279053,0.0712961436,0.0783351905,0.0750200003,0.0776968347,0.0783426178,0.0732117283,0.0663144922,0.0725894472,0.0691566855,0.0553439114,0.0604134906,0.0734444156,0.0888707759,0.0632152794,0.0548415315,0.0536695672,50
0.0655563777,0.051945947,0.0615559386,0.0652462146,0.0629585405,0.0775655601,0.0864718678,0.0770220598,0.0796116846,0.074236276,0.0761509123,0.0749682901,0.0683938408,0.0664573176,0.0701027973,0.0552463149,0.0525860809,0.0677799869,0.0716094301,0.0499302538,0.0549514025,0.0637704475,0.0685698471,0.0598522016,0.0461047506,0.0636261092,0.0734028918,0.0766275395,0.0676271489,0.0697051464,0.0717831439,0.080375426,0.0656868727,0.0645022201,0.0751399226,0.0697604036,0.0704092582,0.0487596679,0.0470066685,0.0517895343,0.0603311982,0.0536901557,0.0447693395,0.057741614,0.0508441053,0.0416556627,55
0.0667785013,0.064739094,0.0594038669,0.0728763561,0.0537471189,0.067505203,0.0771087748,0.0721427949,0.0649340944,0.0573022388,0.0673420882,0.0947620977,0.0694528443,0.0594286352,0.0525258845,0.067706039,0.043381616,0.0467896715,0.0528086761,0.0492618634,0.0411584523,0.0464393241,0.0475706055,0.0497398144,0.0524155057,0.0715232068,0.0681240986,0.0375574902,0.0571317427,0.0542068652,0.0512819877,0.0397284148,0.0504090528,0.0469349827,0.0501510087,0.0497005361,0.0384332388,0.0349419456,0.0454068182,0.0533933231,0.0509221547,0.0648336367,0.0505455373,0.0498431467,0.0647750539,0.0673937316,60
