period,"total pensions, pre-2016, cost","total net pensions, pre-2016","total pensions, post-2016, cost","total net pensions, post-2016",total retirement benefits pre-2016,total survivors pensions pre-2016,total retirement benefits post-2016,total survivors pensions post-2016,"total universal pensions, cost",total net universal pensions," total thirteenth month of pension pre-2016, cost",total net thirteenth month of pension pre-2016," total thirteenth month of pension post-2016, cost",total net thirteenth month of pension post-2016," total thirteenth month of universal pension, cost",total net thirteenth month of universal pension
49,17961457.0690947,17255645.0718144,18023488.3486296,17313954.3750794,14972411.0121604,2283234.059654,15030720.7096789,2283233.6654005,0,0,0,0,0,0,0,0
50,20689184.2643273,19873660.1122901,20762671.1046916,19942737.5681235,17141641.5233179,2732018.58897219,17210719.6661689,2732017.90195459,0,0,3451359.37845264,3257958.83921554,3463607.15430962,3269471.7473348,0,0
51,20098988.3073259,19305093.5325662,20173232.13868,19374882.5816299,16576621.5669162,2728471.96564992,16646411.5185865,2728471.0630434,0,0,0,0,0,0,0,0
52,21719874.0931624,20860990.1667672,21802023.4328837,20938212.0924759,17851765.4592199,3009224.70754724,17928988.5346846,3009223.55779131,0,0,3622658.74588121,3420261.30243928,3636350.57668063,3433131.62188995,0,0
53,18966435.76753,18219854.6591102,19038939.4488058,18288008.3244618,15527835.6791353,2692018.97997481,15595990.3795777,2692017.94488407,0,0,0,0,0,0,0,0
54,19546962.2662324,18776191.2728548,19624762.2586272,18849323.4412022,15958451.9373863,2817739.33546847,16031585.2450398,2817738.19616241,0,0,3260772.46244386,3079588.14843539,3273739.15895936,3091776.84174048,0,0
55,18526313.6895316,17795233.2370496,18601393.2023953,17865808.1729639,15024158.7818679,2771074.45518175,15094735.0386766,2771073.13428734,0,0,0,0,0,0,0,0
56,20262338.3201087,19461400.2524411,20346348.6429037,19540370.1170789,16351845.4557428,3109554.79669833,16430816.6780328,3109553.43904615,23416.4424507859,22713.9491772623,3379707.70949627,3192543.49850135,3393709.45854553,3205705.14124629,3902.7404084643,3785.6581962104
57,19396746.7790784,18629291.1390846,19478248.1486329,18705902.6088775,15592024.7549058,3037266.38417881,15668637.4649648,3037265.14391273,70925.0634521937,68797.3115486279,0,0,0,0,0,0
58,20748476.4591884,19925415.7519355,20836062.4985348,20007746.7764659,16606750.1647191,3318665.58721635,16689082.4559956,3318664.32047022,104561.994995789,101425.135145915,3460250.86346034,3269410.09509662,3474848.56284516,3283131.9312616,17426.9991659648,16904.1891909858
59,19902255.5428659,19112791.5742505,19987465.4744821,19192889.0743965,15889856.8072131,3222934.76703731,15969955.4661286,3222933.60826794,125804.847742236,122030.702309969,0,0,0,0,0,0
60,21693976.1627779,20832388.2931273,21788404.2769421,20921150.8556207,17266755.5328592,3565632.76026809,17355519.2203105,3565631.63531022,174228.725764161,169001.863991236,3617489.43744249,3418675.11989278,3633227.48043778,3433468.87940052,29038.1209606935,28166.9773318727
61,20355194.8621541,19544391.778823,20443348.7438362,19627256.4641353,16114566.6309243,3429825.14789877,16197432.2785352,3429824.18560003,186731.320583379,181129.380965877,0,0,0,0,0,0
62,20112428.2984208,19310244.9150922,20200558.5732573,19393087.4233756,15829052.8224757,3481192.09261659,15911896.2383789,3481191.18499668,218190.376501555,211644.665206508,3353459.34372794,3169683.0483473,3368147.73172145,3183490.13233586,36365.0627502591,35274.1108677513
63,19978121.8048164,19179915.6200315,20067284.3064526,19263728.4290218,15680600.8786173,3499314.74141417,15764414.5481897,3499313.88083206,243847.631198937,236532.202262969,0,0,0,0,0,0
64,20071380.8863894,19268441.7399933,20161296.7312799,19352962.681722,15690424.5770676,3578017.16292566,15774946.3288468,3578016.35287518,258065.618182964,250323.649637475,3346126.8084774,3163318.31166806,3361112.7910534,3177405.13458495,43010.9363638273,41720.6082729125
65,20241645.540369,19430808.6933442,20332828.4078841,19516520.6386172,15804306.6663967,3626502.02694745,15890019.3381808,3626501.30043642,289349.231669331,280668.754719252,0,0,0,0,0,0
66,20450233.0936475,19630530.4985837,20543112.9449299,19717837.6096941,15962056.5034641,3668473.99511958,16049364.3030404,3668473.30665377,311175.312644479,301840.053265145,3408994.2541833,3223366.33268827,3424474.23842273,3237917.51774893,51862.5521074132,50306.6755441908
67,20603254.9851979,19776443.3485366,20698970.3543015,19866415.8468267,16064084.6223243,3712358.72621229,16154057.787701,3712358.05912572,340533.941637413,330317.92338829,0,0,0,0,0,0
68,20667712.5616962,19837536.2270101,20765304.2927773,19929272.5055379,16108196.7195702,3729339.50743991,16199933.6667278,3729338.83881011,377631.740625009,366302.788406259,3445059.17462203,3257006.666979,3461324.47223333,3272296.04667913,62938.6234375015,61050.4647343765
69,21095460.5654276,20247318.181674,21195770.0168559,20341609.1173992,16437553.0562989,3809765.12537513,16531844.6543418,3809764.4630574,418872.441022388,406306.267791716,0,0,0,0,0,0
70,21119003.631044,20269029.7122332,21221021.0497739,20364926.1370734,16395644.0608477,3873385.65138547,16491541.1554434,3873384.98163002,437675.040918174,424544.789690629,3519650.08826282,3321453.39655655,3536653.00046853,3337436.13396214,72945.840153029,70757.4649484381
71,21169362.1532981,20315555.4056517,21274024.4640439,20413938.0289812,16389055.5374811,3926499.86817067,16487438.8307514,3926499.19822984,446259.007096776,432871.236883873,0,0,0,0,0,0
72,21206701.7451809,20349282.5497579,21310907.4416658,20447235.9561637,16357594.9701117,3991687.57964625,16455549.0308867,3991686.92527705,466432.11225691,452439.148889202,3533710.25537064,3333893.59967584,3551077.8806199,3350219.1674242,77738.6853761516,75406.5248148671
73,21241527.4427405,20381260.3258933,21345411.031776,20478910.9511374,16342155.1786999,4039105.14719333,16439806.4634599,4039104.48767757,501937.091194912,486878.978459064,0,0,0,0,0,0
