period,coefficient_men,coefficient_women
1,1.1085632513,0.8503609834
2,1.1053644382,0.8484698082
3,1.1166505238,0.8320885496
4,1.124196038,0.8270093933
5,1.1048108159,0.8501272542
6,1.1105778147,0.8429369047
7,1.1158986459,0.8343419989
8,1.1115923832,0.8379554999
9,1.0979800544,0.8581371544
10,1.1044878752,0.852309249
11,1.119366524,0.8249500483
12,1.1185966413,0.8298519899
13,1.0911093433,0.869803704
14,1.0947160379,0.8647014077
15,1.1084352617,0.8402465549
16,1.1041238396,0.8504486632
17,1.1029674247,0.8501637
18,1.1018110097,0.8498787368
19,1.1068133274,0.844881808
20,1.0920738692,0.8661697772
21,1.0947218688,0.8600171769
22,1.0948954243,0.8648020133
23,1.0845591125,0.8799983689
24,1.080875339,0.8860909407
25,1.0853850393,0.8790058903
26,1.0781578513,0.8887877843
27,1.0708039102,0.8960695441
28,1.0863627909,0.8739223734
29,1.1006830488,0.855170904
30,1.0839017288,0.8754087561
31,1.070927794,0.8934139185
32,1.0814014973,0.881488483
33,1.0829280717,0.8785656806
34,1.068609366,0.8967680358
35,1.0648681248,0.905109878
36,1.0764397484,0.8911025236
37,1.083549725,0.876970983
38,1.0672880832,0.8995920409
39,1.068807409,0.8972761464
40,1.079915069,0.8838092471
41,1.0770159629,0.8873938003
42,1.0842596626,0.8791200597
43,1.0714581004,0.8954180708
44,1.0899442406,0.8675907406
45,1.0772154596,0.8884611363
46,1.0809898087,0.8847468668
47,1.0733837627,0.8917339415
48,1.0794177744,0.8812715734
