period,coefficient_men,coefficient_women
52,1.0944973904,0.8741372847
53,1.0962083567,0.8771181186
54,1.0928286968,0.8782374069
55,1.0781763845,0.8963168828
56,1.1056426814,0.8659635321
57,1.0985920716,0.8742491004
58,1.088207067,0.8830823464
59,1.0944157085,0.8809008893
60,1.0947188105,0.8790025408
61,1.0948669592,0.8787838647
62,1.0907047091,0.8862142575
63,1.0958348558,0.8760982075
64,1.0913275895,0.883725277
65,1.0852144197,0.8908718017
66,1.0985430978,0.8800667732
