period,coefficient_men,coefficient_women
1991_1,1.0748505222,0.8680903356
1991_3,1.0779707251,0.8668275189
1992_1,1.0980892443,0.8326668729
1992_3,1.098114806,0.836603035
1993_1,1.1232151127,0.7946964207
1993_3,1.1017236877,0.8264241423
1994_1,1.1102242689,0.8111954363
1994_3,1.097071924,0.8311256058
