Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
64,19977202.5851151,19379627.3338994,65512402.0059858,62295342.0363721,10382557.006062,318311.010386598,201209.514305618,111506.752176317
65,15764510.7437682,15193606.4654387,48177812.0374659,61901652.0624313,0,292956.995851354,200330.931049607,110880.502040839
66,18677475.2114242,18105235.034191,58012253.2701632,62348390.2306317,10391398.371772,300710.339916563,196533.037111833,107138.286006879
67,15850842.8987865,15257357.4116072,49318300.5595881,60591185.8406187,0,311474.362731797,206118.735549675,108417.698425432
68,17842067.8135889,17262378.7908221,56227393.2097829,58213754.1989099,9702292.36648499,298289.866003295,203876.876880343,110746.114118815
69,14711207.4207305,14092668.9710754,42001732.4152882,61557065.74168,0,326109.34334745,211410.489818477,115740.880698923
70,16857471.2895135,16241759.3781727,49082106.2233888,59924773.741745,9987462.29029083,353060.405464949,198529.082240451,91603.4623363684
71,14057695.1371591,13410335.9596814,40626710.5648641,57571016.1542479,0,376142.261841553,210407.457178353,86870.654939651
72,16730489.686275,16109338.1066812,49531836.724605,58301389.0898654,9716898.18164424,339962.147495178,216138.375555009,92930.0807766064
73,13697660.3918239,13091847.6469731,36338099.8922976,61397965.9262289,0,328660.923042722,208399.390140486,98217.759525117
74,17056181.8606963,16439377.7802236,46923173.3138123,64324999.1756286,10720833.1959381,342895.451888237,202783.006611807,101608.031389556
75,15305905.5070427,14644837.1465938,42212682.7120659,66206266.3344684,0,368173.585934619,215205.523685412,110984.644041226
76,19064360.6155334,18397095.8453896,54400778.7277184,69406751.9850589,11567791.9975098,366872.926122604,218260.487191372,117330.50975687
77,15281314.7174114,14585673.3746212,38678082.1078296,71192806.4678772,0,393572.034740137,218578.229050384,119272.96999957
78,18536975.0693099,17829751.1172489,48724038.902711,72642693.1746566,12107115.5291094,396632.107193444,226395.423273002,120280.602277902
79,16478971.7818328,15784529.0627883,43274008.5341747,74812914.7051137,0,387194.516663778,224462.207155047,118265.707465167
80,19683997.6579211,18962070.6101611,53245315.0305735,75324051.9518204,12554008.6586367,401751.982373366,232576.258691557,125141.152421504
81,16542242.4180343,15822038.3430064,42305673.2235953,76670812.387259,0,393810.43366453,237408.798457994,127121.2041505
82,19885236.2584112,19117777.4994829,52434130.6128317,77618034.0332547,12936339.0055425,441009.013118229,237469.423427707,127114.74626057
83,17326055.9134188,16546400.3158591,45475096.2756604,78233594.7042226,0,446205.839319812,243124.951985027,129035.437506908
84,20885160.7308984,20096494.5997101,56432126.4666078,79809530.5633428,13301588.4272238,465708.814055866,236036.738786574,124172.254779835
85,17571717.6842161,16798163.3709479,45161798.4843475,81025648.472237,0,448171.470341526,238329.129242757,124362.448119836
86,21096993.220571,20316304.3392357,55677807.0016873,82528385.4715174,13754730.9119196,460026.438121628,236257.094562656,120579.069501554
87,18321564.1677388,17535968.8138001,48045173.1372692,83104486.7988436,0,457257.884306163,243058.40555423,121827.234397624
88,21753303.8160242,20960973.4580695,58404422.1540762,83794447.7960176,13965741.2993363,450058.070449648,253061.58422489,127443.861828813
