Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
64,19944284.176601,19348222.4279966,65408555.5176618,62201099.778605,10366849.9631008,316139.72116797,201450.048869671,112102.826524005
65,15757157.7751408,15185663.7705915,48156642.7646441,61869622.9419318,0,293358.556230833,200443.796049829,110988.074669527
66,18672198.060717,18106310.9437653,58016147.8012195,62353425.0747698,10392237.5124616,294460.186874524,196186.538477386,107486.273713936
67,15842246.0211279,15248393.9826581,49291998.1091238,60559005.7924842,0,310256.129758465,207049.283705519,109352.321436835
68,17986425.0321304,17382246.0521281,56595521.5971546,58594550.2898636,9765758.38164393,322478.108124877,204810.158504698,109843.876246888
69,14659213.6980388,14091953.4655633,41967035.230634,61546204.7331782,0,284905.113436399,204516.203423935,111198.450878821
70,16838165.9159499,16238449.9585273,48989851.2097801,59894314.4648607,9982385.74414344,338786.81614603,197022.709594524,91294.9024029826
71,13652293.1021186,13039063.3409901,39546999.9724579,55745676.9379341,0,354670.901501225,201398.647225039,81657.4462889457
72,15822659.0356834,15217096.3848525,46894261.8132259,54784640.8840385,9130773.48067309,352142.284060776,196395.893404352,81463.5333796132
73,12512757.8516348,11899310.552359,32730597.0382501,56208382.7365927,0,360116.892822017,192644.588457861,86694.0257085274
74,15123101.5841062,14523023.0743427,41181256.9431681,57113359.7716287,9518893.29527145,341314.792356539,194958.867005089,91149.786288508
75,13477783.4365067,12855259.8887546,36998591.5919419,58134261.2370163,0,359708.222855838,197669.097403485,93066.0392753185
76,16152860.4484095,15514137.8982913,45686231.1215619,58747636.2422431,9791272.70704052,369243.018076253,202240.480405349,96055.7880522656
77,12485247.7625693,11839703.0587764,30620126.470258,59024952.1191393,0,374102.881212846,203648.0311167,96848.2735190598
78,14815339.5926276,14168608.5092856,37714180.630629,59076890.4598759,9846148.40997932,378266.742843873,202409.507921719,94364.0465377221
79,13029629.3511712,12352372.090486,33312331.3424115,59397405.3717946,0,402369.792728617,206730.705640424,97366.8033088631
80,15537552.138765,14817792.7524105,41006227.9873472,59674272.1230848,9945712.02051413,443577.0536172,208498.160829001,96691.6741545985
81,12754519.8252974,12087179.5809996,31287528.8919718,60206388.2925158,0,391386.106479425,208250.842457017,96718.9933733501
82,15292880.5532793,14609934.7231176,38657980.828868,61224803.4917763,10204133.9152961,405325.895411747,208960.947922981,98084.2668956981
83,13532782.766386,12853666.26015,34398763.0630407,62203111.2552791,0,400475.828719321,210690.445672679,97071.7597770462
84,16153891.7661178,15458819.9619581,42300539.1296147,62804697.8638691,10467449.6439782,413914.287162393,212534.083591557,98033.4762938805
85,13523260.6428837,12827642.1694175,33251511.484851,63760743.5642835,0,417970.14822322,208913.253700613,98192.9593462558
86,16179016.756144,15449479.1878154,40858426.7539688,64714786.6045913,10785797.7674319,444820.699335608,213865.373181871,101216.422587295
87,14195230.749849,13479649.6170249,35946965.4682285,65410288.3338871,0,416698.627347185,223605.632163586,107538.390447677
88,16875597.3534642,16179449.622317,44021187.1941272,66092506.2427747,11015417.7071291,399384.47397402,222586.123666865,105967.333580525
89,14195020.6439592,13446034.4403261,35030230.0438991,66546711.6661094,0,448393.093020073,226297.098285742,106137.160467462
90,16885101.8605052,16142402.5450623,42780766.8241766,67466102.2673413,11244350.3778902,443340.81328245,225558.427837277,105428.67760453
91,14804607.1937024,14077893.7058088,37458563.3767912,68408163.1408295,0,422895.372804408,229999.268300786,105455.495411993
92,17684539.3813445,16939299.9632667,45955353.9426546,69381527.3164567,11563587.8860761,436279.41838185,234059.783994465,107000.308145055
93,14996325.3478318,14248944.1302453,37280751.940136,70268452.651205,0,430921.866323977,238325.997000244,111619.077517513
94,17770872.0642777,17052184.8574246,45345047.2462689,71081121.7619001,11846853.6269834,407031.034684425,234590.723001883,110093.498809586
95,15508632.2504484,14802795.5439157,39450320.2472954,71860269.79968,0,387904.110114053,239480.407611979,112074.555438089
96,18428234.171743,17692800.2334168,47851415.4849288,72677351.2395874,12112891.8732646,416853.974050311,240086.43098843,112133.618982094
97,15603524.4668447,14834531.97834,38974011.3796442,72943282.2830901,0,450352.199711011,238082.918796905,115081.957138203
98,18508565.8885585,17725172.4656306,47182515.666962,73861094.1712862,12310182.361881,468446.135784394,235127.287715534,114028.570611372
99,15984777.1437312,15156714.4766685,40290638.0889644,73773708.7466071,0,489574.00147754,252667.318332476,122601.924646792
100,18979350.4162898,18180953.3055571,49020700.8187177,74928782.7642406,12488130.4607068,464981.208685397,249437.583193792,119969.026933629
101,16254609.3907417,15457244.0894455,40765191.0090941,75798236.5175649,0,458649.595280361,253698.108644974,121453.710529792
102,19022409.3313828,18254840.0807978,48849278.0635542,75780727.230586,12630121.2050977,431217.173903527,250996.430742696,121936.63705549
103,16476345.9648973,15681342.2717641,41793559.4633836,76194902.3171744,0,464966.359952381,247359.836480553,118110.709571795
104,19169337.1300441,18366726.9853464,49499307.3287321,75739987.1558205,12623331.1926368,464024.090045002,252372.861520886,123161.704474011
105,16271770.8239862,15451982.7909871,40750230.1578366,75749158.9149929,0,479631.777288224,252832.772637121,124747.832962533
