period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit,
68,3280873.68152559,1622051.68346151,1285564.82994,287295.742486981,0,5749.74666316357,49222.6363374616,23653.7061101593,7238.93476422286,3280777.27976349
69,3555388.94441662,1463842.0953235,1080559.46313764,285589.272102233,632410.869171037,6755.81107102851,40436.2568794433,39655.4753988892,5611.18121263209,3554860.42429641
70,3101458.34850188,1545347.60662215,1159813.62504324,290024.890557946,0,7744.80897439239,46874.325288373,45348.1955175419,5712.73353557843,3100866.18553922
71,3354237.61271504,1807929.36964365,1124211.31729237,312365.344737338,0,4818.41307649372,59477.7558145775,37058.9873070114,7754.47169242135,3353615.65956386
72,3328293.81691705,1796724.96681405,1122829.64020948,302476.216030428,0,6519.94072946385,65453.9566822484,26715.6656234802,7709.9418080425,3328430.3278972
73,3547382.87235738,1537499.42009393,1016252.56260647,274512.612951208,625517.15182254,5745.97250623566,47540.3247392305,33514.0989808897,6510.18155535993,3547092.32525587
74,2907866.42359674,1565613.49643782,965616.227055607,270138.193392727,0,8188.51249566559,55909.7965537019,35928.3767445615,6409.70074891058,2907804.303429
75,2979262.27170204,1553719.76633616,1032272.44691232,277606.796860069,0,7321.91759420657,63037.0992979195,38519.0564381668,6512.15863415143,2978989.24207299
76,3018425.0295523,1612942.25490167,1015306.23918944,278496.798689337,0,7130.08143480065,51902.3752129877,44187.9570636048,8182.56464270813,3018148.27113455
77,3702800.62208121,1599591.4516899,1069239.80308911,278811.652382651,656564.248302059,6161.77238432284,49885.348807947,35123.5193229516,7181.16612164975,3702558.96210059
78,3106072.14817508,1580344.66737911,1118512.42416112,277546.949601915,0,7674.75439570417,70376.4891826782,42796.8519167797,8539.22035690688,3105791.35699421
79,3028697.66403037,1601723.78874096,1048213.69773317,276018.313252044,0,8504.76822552984,50598.8759112441,36575.5725229364,7228.38174868015,3028863.39813457
80,3065776.88088647,1648802.75400384,1022137.91476846,279883.521139133,0,7670.62002819482,65562.2706810469,32598.9395593361,8837.88675199015,3065493.90693201
81,3691248.59928761,1674100.64627056,980661.985276612,281194.051295076,655094.030354457,4172.09857352724,55475.5145631281,33044.8875773245,7380.35459883671,3691123.56850952
82,3007975.74528903,1600449.98249684,1016668.31357022,283352.649709223,0,6115.78823276867,51173.750352451,43405.0579108179,6948.14523660482,3008113.68750892
83,3028603.3846149,1592335.22590311,1038351.82057696,281876.766393058,0,12456.764090439,48985.6052393182,46339.4424646048,8396.56235789344,3028742.18702538
84,3055746.23062099,1637906.2397143,1026466.22889389,282399.935379227,0,7091.66173246522,59832.2174705849,32286.4812033094,9794.93534464176,3055777.69973841
85,3735057.76053144,1599099.25604628,1081972.29308327,282636.061936834,658053.116827995,4827.49423620325,64833.6604402916,36205.7535805612,7735.80189638622,3735363.43804782
86,3143736.94518022,1626191.68769554,1100502.27715315,281552.221439349,0,3833.60756143684,65704.5660994725,57704.3158470013,8373.51773377992,3143862.19352973
87,3124877.47354905,1684157.9247849,1026437.76758813,281343.915852036,0,7005.33840320962,62549.7800916001,55573.6224261499,8045.49773085003,3125113.84687687
88,3075740.30415247,1646864.46488221,1049375.72272103,278906.800204309,0,8147.11376615469,49632.4697823133,35356.5298370915,7489.41618395183,3075772.51737706
89,3746523.2826495,1660947.51083404,1022081.71319975,279935.423559878,657240.116870171,8111.94713956541,65311.7897379146,45183.5574013335,7953.56044870926,3746765.61919137
90,3158187.4829009,1707520.16688011,1023472.32394421,280950.036073371,0,12037.2542712742,73235.1443924029,51727.5216879674,9687.94582817963,3158630.39307752
91,3139888.43849015,1665265.90428211,1066818.48271833,282150.493782757,0,8998.65787328033,61330.5234889118,47343.4125852953,8257.21499118036,3140164.68972187
92,3108589.01008993,1670871.33934628,1055514.61603275,284923.074784913,0,5419.38183315772,57427.4800188531,26535.418635808,8062.10168048349,3108753.41233225
93,3795608.81421193,1677191.21009763,1058978.66705413,279888.823433577,659306.201000955,8161.14729409943,62777.4363324645,41801.249703916,8383.37730033136,3796488.11221711
94,3089877.80568297,1707608.24402913,982556.344799276,281215.205019343,0,6237.75188043216,61186.1366550453,42856.1304500472,8713.37763690218,3090373.19047017
95,3121032.22860328,1679785.92302134,1049423.94985225,282076.625962448,0,4870.19344164177,58224.9409738894,39906.7138087439,7531.99444738557,3121820.34150769
96,3108921.65146687,1697048.67206858,1018011.83756257,279017.60275236,0,8417.7833122765,59631.8430550398,40033.6309019546,8251.0836117279,3110412.45326451
97,3697679.04680502,1702778.6764071,954185.540092115,277819.715787821,651571.333387761,10096.61112998,62176.3150627094,33302.6924584092,6866.62275950048,3698797.50708539
98,3093012.87663365,1663929.66846645,1041001.69977669,277555.346137399,0,3797.03716944603,64179.8338492401,35761.6245680004,8289.73850533929,3094514.94847257
99,3098982.31072816,1660113.77987336,1038133.9738715,281689.406348042,0,11035.7812544929,57256.7409035413,46487.5065138957,6982.31911474756,3101699.50787958
100,3067204.51627925,1656045.47563605,1021734.12183613,279873.079974998,0,8247.7305306856,48386.4270470518,47151.9288570847,8426.55445756218,3069865.31833956
101,3720634.39027127,1681314.80081783,988582.162239748,281429.737455318,652680.109900874,9090.96569077235,59865.9628672106,41339.0332761963,8288.9364707464,3722591.7087187
102,3078183.32122511,1679261.73440204,1003543.01142115,278799.937328334,0,8055.92070183432,69858.5319999964,32026.4279057523,8200.64370113639,3079746.20746025
103,2987494.6019246,1604744.02785593,990050.667202861,280108.341988462,0,9110.51477496311,66553.773592164,30360.6343603265,8837.13456255359,2989765.09433726
104,3070519.19888088,1627213.24836551,1042637.77215494,277146.986749833,0,4533.84108658867,64212.9027525685,48879.7768048661,8207.42132077842,3072831.94923509
105,3788646.44204754,1601497.36294277,1105437.91223132,276214.125415845,661999.111753442,10395.9027295488,74245.0233218161,48860.862016055,10317.9753230018,3788968.2757338
106,3143109.27193363,1673415.00896332,1051548.91245873,275690.237679485,0,7997.15782901729,75452.6056305103,48896.3685567022,10973.3052621952,3143973.59637996
107,3106952.10072856,1679166.72526383,1029051.34832937,276650.027640067,0,4687.29222823161,65548.4270990627,42022.5732632769,10582.97954955,3107709.37337339
108,3082831.54751377,1643809.11471463,1054857.39540809,274974.402592694,0,9185.71180500813,49479.5162165378,44304.846949455,7199.733047546,3083810.72073396
109,3756914.58957702,1620953.75221805,1076038.45588403,273025.094233465,663029.89915851,6511.80462265291,65272.485611429,43565.6355236547,10192.8207287155,3758589.9479805
110,3081287.20872686,1633804.93725933,1031834.88437108,269982.906476443,0,8880.28925553794,88996.2083110317,37219.3396475147,11605.0649210978,3082323.63024204
111,3084913.56372509,1600170.08788424,1064564.85430498,269079.130999148,0,6868.77563998557,84889.1927432074,49023.4126564756,11553.3606055697,3086148.8148336
112,2974729.95486233,1621788.05936803,969686.072119403,267415.512735326,0,7036.32719009254,64334.8593068929,36213.6623897808,9246.01419219932,2975720.50730172
113,3538186.94682206,1629775.03051351,912578.950828672,268601.726455011,624855.57859946,6136.96318734241,61761.6784611857,26454.5258492576,8593.42959725259,3538757.88349169
114,2942853.06806867,1599759.63829359,961304.172910141,268911.142600377,0,7256.08452229499,62837.6643100204,33179.49264877,8204.76051953682,2941452.95580474
115,2942448.3760567,1589048.94539789,963468.898827522,266539.307580231,0,5914.53039265875,68477.5395961657,37313.6606412536,10404.5226739967,2941167.40510971
116,2914157.69451275,1640639.96662509,892742.763962912,267083.636538839,0,6454.68173601766,59043.5265554862,38797.228672743,7847.30001162874,2912609.10410272
117,3521399.90863603,1651479.33024014,861654.519519707,267399.708270872,609460.206226711,10073.7755264802,76429.7633640975,34209.6665801194,9479.6758072499,3520186.64553538
118,2937674.33016227,1612738.1579089,909361.424463937,271798.529085103,0,9311.32651534383,73647.571387569,49309.4602265936,9839.99198736051,2936006.4615748
119,2904431.01704903,1605408.10665369,895506.222223765,271072.209925045,0,6703.40949663325,74280.4127082745,42145.3561534003,11040.8225170173,2906156.53967782
120,2957829.94160352,1631443.41573139,926344.463340235,266107.291727424,0,5680.2370980768,73393.8090504037,45318.8040034813,8381.40398355218,2956669.42493456
121,3537848.9394284,1618904.05978586,923673.319342874,262174.471698525,603360.540766488,6485.70172203032,66551.2272337824,47096.9035826554,10004.0060313803,3538250.23016359
122,2903181.64042321,1655114.80690537,874006.539334221,262557.687334545,0,6466.74942290976,61161.4944595782,34128.9273859513,7937.70840074781,2901373.91324332
123,2921514.33857833,1675536.16608937,853592.263311222,259141.833618773,0,9205.95284768186,76440.7672964063,37465.7340308507,10054.3876856815,2921437.10487999
124,2874190.42357545,1665030.3380333,827527.917020802,259204.49141341,0,5677.47105321043,62729.0189845511,44331.5048794341,8037.32165210642,2872538.06303681
125,3497663.95524668,1656806.34023826,859734.107131503,256265.388384161,610308.655101814,6135.01747076633,71510.259655363,27668.4279731499,7873.63562728976,3496301.83158231
126,2863502.03578861,1676050.88210028,827491.095755913,256210.664141011,0,6298.30601517127,58175.1196844726,27540.3644803136,8350.89114107051,2860117.32331823
127,2925954.16661474,1658800.45357619,875305.680783795,256330.843104634,0,9023.0978603218,58848.8086488341,56660.2905409423,8418.01766508953,2923387.1921798
128,2936185.63544563,1618631.75249369,933589.236959594,252576.986810841,0,4610.5747576467,67678.1802496687,41665.138477278,8510.25179927126,2927262.12154799
129,3452990.74691516,1580977.87389881,914334.513165939,252179.436849565,605732.12042319,6521.13009794515,50141.4504470748,33739.9340265964,6704.41063757914,3450330.8695467
130,2803191.23559413,1590981.70574521,851698.735833658,252733.735110382,0,10757.9011369631,50599.6596741202,29811.2649823888,8770.54474145267,2795353.54722417
131,2880282.60961475,1607318.86245842,884083.099132132,251142.303949593,0,6644.28941849102,72295.0526424098,46946.8881598698,10354.6250716141,2878785.12083253
132,2851870.6678413,1604178.07098218,862186.449492442,254420.286990252,0,8557.85165086372,64692.2287581916,42206.0331367829,7886.81996007373,2844127.74097079
133,3462787.7755057,1570470.80875196,901385.157166299,252379.614197216,620773.01934302,7297.9490975599,58017.5418456341,33933.0019648729,8796.14848948863,3453053.24085605
134,2792673.37905962,1579423.05069075,841177.011747595,252471.686433535,0,8344.82038408445,58689.0681618264,35835.0514860088,7998.75984955671,2783939.44875335
135,2874537.80920758,1605801.82302278,872309.665252338,253776.937185926,0,9122.8933336681,84922.5540287157,30759.9362347265,10203.1567650755,2866896.96582323
136,2800505.7692974,1579232.76077427,851035.301042445,253875.071718929,0,8551.21273582583,66585.6945619664,25599.1852641454,8869.64579869371,2793748.87189627
137,3445903.81509476,1662683.7030815,802729.475219991,253884.585311239,622572.626298338,10828.8730856555,52152.9812559988,33858.0859744483,6602.91383206498,3445313.24405924
138,2735750.63303784,1508475.257897,872101.999962937,254874.785171563,0,9267.66143106718,56182.6960909053,30894.7528531472,8382.20169070035,2740179.35509732
139,2783681.81123243,1563248.19482511,863364.008742979,251858.975280394,0,5948.58154391396,65525.6958251918,28843.5671847634,8709.78821928408,2787498.81162164
140,2765863.46620783,1559185.32343353,860961.571635533,252545.378365718,0,10052.8351150198,51727.0939781829,29038.613213681,8489.89621583651,2772000.7119575
141,3435078.96172861,1626002.67445213,840543.391880894,252154.039543616,621221.059559644,10144.3829041827,58408.6510635938,28319.8366331555,8759.75063635759,3445553.78667358
142,2822142.59814904,1606344.17783556,854158.50110245,252750.512029661,0,6164.97986548879,66554.3979144938,31848.3404293819,8557.13995405002,2826378.04913109
143,2856545.7304447,1687680.14073821,805768.32734887,250321.510923031,0,9316.54042755329,63567.824713392,32478.4606916552,8730.75431929626,2857863.559162
144,2719293.34753462,1589169.14353784,780007.204345405,247906.03640574,0,11158.5907914123,54141.4697454919,34377.6267719549,8733.68728841159,2725493.75888626
145,3378154.24305499,1597597.60415107,832180.210085251,248781.493368064,605405.729186893,9567.14046055731,54287.7622771082,32231.8987797422,8707.51875139335,3388759.35706008
146,2788330.64829762,1614085.49300033,813855.021239864,245617.729449623,0,10120.4611477392,60534.275806438,40860.7044984922,8942.12619261545,2794015.8113351
147,2756201.99920216,1553522.19058107,850407.41148013,249057.231703651,0,8000.25931316084,60525.3828271414,32046.938542197,8121.14649315645,2761680.5609405
148,2735994.05233089,1539782.61333419,841888.423605657,249146.952704125,0,10292.8872053579,59662.0960160418,33349.1074174484,9110.47380507636,2743232.55408789
149,3361412.51227026,1564479.06656453,852486.610553831,246731.625268607,597426.4847532,8364.94125536522,56672.7625179394,25443.310989235,10148.2074094092,3361753.00931212
150,2721889.3380566,1512596.10230965,861814.949630117,246708.306699161,0,9926.47830059152,58996.3199815504,29730.9822890457,7460.53939601382,2727233.67860613
151,2762231.35286723,1578086.19375484,833514.94409013,246333.779872519,0,9572.04007202884,46826.7787421457,45848.4483188984,7408.80511960839,2767590.98997017
152,2747990.70444172,1555578.5009299,831636.875547957,246756.311884228,0,7521.5427444028,56054.3480718178,47268.5104879921,8708.25203089288,2753524.34169719
