period,period2,COUNT,_1,_2,_3,_4,_5
1992_3,71,,,,,,
1992_4,72,2831936,0.1951439747,0.0273229662,0.1908412643,0.0310348853,0.5556569094
1993_1,73,,,,,,
1993_2,74,3106905,0.1798622024,0.0318589764,0.2047284763,0.0572503806,0.5262999642
1993_3,75,,,,,,
1993_4,76,3080148,0.180310081,0.0337497623,0.193422909,0.0541563311,0.5383609166
1994_1,77,,,,,,
1994_2,78,3395260,0.1819475187,0.0306968368,0.1913210801,0.0566802848,0.5393542795
1994_3,79,,,,,,
1994_4,80,3522461,0.1886944794,0.0298176543,0.1726837156,0.0644865495,0.5443176013
1995_1,81,,,,,,
1995_2,82,3335659,0.1825801532,0.0294384685,0.171099537,0.107369981,0.5095118603
1995_3,83,,,,,,
1995_4,84,3954761,0.1762635844,0.0255305168,0.1791622169,0.0856390708,0.5334046111
1996_1,85,,,,,,
1996_2,86,3905156,0.1732014241,0.0275173591,0.1723206098,0.0869735717,0.5399870353
1996_3,87,,,,,,
1996_4,88,3628639,0.1715516521,0.0266635387,0.1825442831,0.0931208482,0.5261196778
1997_1,89,,,,,,
1997_2,90,3825106,0.1748521896,0.0255986102,0.1875199491,0.0924881188,0.5195411323
1997_3,91,,,,,,
1997_4,92,3838499,0.1799186391,0.0284638964,0.1951379589,0.0787519343,0.5177275712
1998_1,93,,,,,,
1998_2,94,3957862,0.1844538093,0.0290327528,0.1999845446,0.071626717,0.5149021762
1998_3,95,,,,,,
1998_4,96,4009143,0.1842844653,0.0277451762,0.2026274716,0.0679857148,0.5173571721
1999_1,97,,,,,,
1999_2,98,3972724,0.1902047519,0.0293428483,0.1991639101,0.077105946,0.5041825438
1999_3,99,,,,,,
1999_4,100,3971147,0.1872406425,0.0303918624,0.20442806,0.0762911691,0.501648266
2000_1,101,,,,,,
2000_2,102,4022105,0.1853872339,0.0309091524,0.1970748148,0.0825197026,0.5041090963
2000_3,103,,,,,,
2000_4,104,3975974,0.1846830156,0.0298719733,0.2068939043,0.0830042649,0.4955468419
2001_1,105,,,,,,
2001_2,106,4003449,0.1810791613,0.0278029574,0.2097754074,0.0836753919,0.497667082
2001_3,107,,,,,,
2001_4,108,4093698,0.177342433,0.0281991543,0.2009706976,0.0887444553,0.5047432598
2002_1,109,,,,,,
2002_2,110,4162541,0.1756662351,0.0215154162,0.193708716,0.0999258831,0.5091837495
2002_3,111,,,,,,
2002_4,112,4078498,0.1766095926,0.0278669585,0.2197412394,0.0936033867,0.4821788228
2003_1,113,,,,,,
2003_2,114,3988349,0.1786850078,0.0261357861,0.2387450502,0.0777812515,0.4786529044
2003_3,115,3293507,0.1784471914,0.0322449675,0.2676185301,0.1039496638,0.4177396471
2003_4,116,3372390,0.1777980063,0.0295294779,0.2670790387,0.0967861992,0.428807278
2004_1,117,3432738,0.1791723245,0.0265246781,0.2635898054,0.0991531197,0.4315600723
2004_2,118,3361866,0.1885079222,0.0318747258,0.2620250884,0.0952309461,0.4223613175
2004_3,119,3379600,0.1897768359,0.0319963597,0.2646083186,0.0877446733,0.4258738125
2004_4,120,3449028,0.1864869231,0.034349853,0.2682763814,0.0786355156,0.4322513269
2005_1,121,3576920,0.187902548,0.0299701379,0.2535282333,0.0849441456,0.4436549352
2005_2,122,3564238,0.1898402134,0.030978782,0.2581840421,0.0797328574,0.4412641051
2005_3,123,3507668,0.2033691434,0.0364919099,0.2526474893,0.0717401713,0.4357512862
2005_4,124,3483977,0.2115569385,0.0339440756,0.2553806189,0.0684714567,0.4306469103
2006_1,125,3505580,0.2082679984,0.0288416942,0.2539378587,0.0765354985,0.4324169502
2006_2,126,3471193,0.2171326281,0.031721217,0.2522178961,0.0746088343,0.4243194245
2006_3,127,3607653,0.2235343446,0.0361253223,0.238512113,0.0691465024,0.4326817177
2006_4,128,3665274,0.2241425911,0.0297572844,0.246259871,0.0620721854,0.4377680681
2007_1,129,3691548,0.2237746678,0.0315667162,0.2346053326,0.0701113933,0.4399418901
2007_2,130,3741353,0.2312680491,0.0374084912,0.2300345864,0.0587901279,0.4424987454
2007_3,131,,,,,,
2007_4,132,3836138,0.233570027,0.0351168796,0.2234883538,0.0529354246,0.454889315
2008_1,133,3785298,0.2474024979,0.030159339,0.2170689231,0.058227139,0.447142101
2008_2,134,3851780,0.2478423653,0.0374211327,0.2103190634,0.0525997657,0.4518176729
2008_3,135,3883528,0.2396015289,0.0342881022,0.2162656273,0.052818169,0.4570265725
2008_4,136,3753106,0.2509499077,0.0343053026,0.2237169493,0.0502929694,0.4407348709
2009_1,137,3777726,0.2545094386,0.0395724475,0.2125391964,0.0541716267,0.4392072908
2009_2,138,3807246,0.2541184353,0.0384431735,0.2109039755,0.0551859728,0.4413484428
2009_3,139,3808580,0.2558941018,0.0364279591,0.2086911831,0.0562353916,0.4427513644
2009_4,140,3788462,0.2600377432,0.0376030384,0.2072077906,0.0555106453,0.4396407825
2010_1,141,3874677,0.2588706611,0.0364727725,0.2011281899,0.0565487342,0.4469796423
2010_2,142,3943543,0.2495791648,0.0387864488,0.2089180815,0.0504526257,0.4522636792
2010_3,143,3935656,0.2545737785,0.0369452085,0.2106046021,0.0474956366,0.4503807744
2010_4,144,4009147,0.2671066015,0.0365895722,0.1892692766,0.0480797355,0.4589548142
2011_1,145,3947868,0.2655208445,0.0343008121,0.1946013605,0.046416744,0.459160239
2011_2,146,3842583,0.265501941,0.0355356148,0.2092095757,0.0479525513,0.4418003172
2011_3,147,3853463,0.2658933633,0.0340600933,0.2107132808,0.0482288001,0.4411044625
2011_4,148,4020846,0.2668068166,0.0314032713,0.2007559746,0.0448891563,0.4561447812
2012_1,149,4072085,0.2715374965,0.0344383904,0.1882673719,0.0475618227,0.4581949185
2012_2,150,3948082,0.2684901696,0.0368201763,0.2044568783,0.0441402134,0.4460925623
2012_3,151,3906935,0.2646886149,0.0344001913,0.204907109,0.055832628,0.4401714568
2012_4,152,4069570,0.2641205338,0.0372616443,0.1954694141,0.0475383598,0.4556100479
2013_1,153,4098018,0.2695973325,0.0335645042,0.1871739893,0.0519445793,0.4577195947
2013_2,154,3950794,0.2690311483,0.0390789727,0.2006422711,0.0467773381,0.4444702698
2013_3,155,4032380,0.2705070089,0.0315252761,0.1998429062,0.0464907409,0.451634068
2013_4,156,4101749,0.2801811579,0.0322365842,0.193740931,0.041712687,0.4521286399
2014_1,157,4288687,0.2695354345,0.0326442049,0.1862496635,0.0443516789,0.4672190182
2014_2,158,4275002,0.2611673085,0.0339553709,0.1934797879,0.0472576675,0.4641398651
2014_3,159,4242749,0.2672057342,0.0353004053,0.1902750632,0.0464324797,0.4607863176
2014_4,160,4161959,0.2730707047,0.0362526609,0.1973518259,0.0438308452,0.4494939633
2015_1,161,4277135,0.2760874116,0.0334463025,0.1832589973,0.0444608774,0.4627464112
2015_2,162,4361978,0.2674170861,0.0327813919,0.1883750955,0.0409831301,0.4704432964
2015_3,163,,,,,,
2015_4,164,,,,,,
2016_1,165,,,,,,
2016_2,166,4279463,0.27143508,0.0337449983,0.187936256,0.057843337,0.4490403287
2016_3,167,4311409,0.2704430046,0.035823,0.1965661092,0.0512154336,0.4459524526
2016_4,168,4468923,0.2711368211,0.0366636772,0.186546433,0.0459222335,0.4597308353
2017_1,169,4407457,0.2641642301,0.0404841472,0.1817987697,0.0555765741,0.4579762789
2017_2,170,,0.2655540425,0.0345545045,0.1992931837,0.0523943178,0.4482039516
2017_3,171,,0.2725247388,0.0376881769,0.2022269359,0.0540666623,0.4334934861
2017_4,172,,0.273282909,0.0370370295,0.2009861495,0.0488325602,0.4398613518
2018_1,173,,0.2662102018,0.0394778851,0.2014405796,0.0602669858,0.4326043476
2018_2,174,,0.2657605723,0.0417374696,0.2007355807,0.0619201582,0.4298462192
2018_3,175,,0.26899565,0.042754906,0.2061110705,0.0613490796,0.4207892939
2018_4,176,,0.2695515732,0.0355697508,0.2048569773,0.0588199363,0.4312017624
2019_1,177,,0.2648338784,0.0401119935,0.2058139343,0.0651763131,0.4240638807
2019_2,178,,0.2806206031,0.0382143609,0.2021253414,0.0663390975,0.4127005971
