period,period2,COUNT,_1,_2,_3,_4,_5
1996_3,87,,,,,,
1996_4,88,1225818,0.3166990796,0.0698629804,0.2948102039,0.1248741047,0.1937536314
1997_1,89,,,,,,
1997_2,90,1312220,0.3125189691,0.0704471901,0.3108463744,0.1129481477,0.1932393187
1997_3,91,,,,,,
1997_4,92,1339766,0.323110655,0.0737996782,0.3140294446,0.094327641,0.1947325811
1998_1,93,,,,,,
1998_2,94,1326918,0.3256678922,0.0698709285,0.3155840055,0.0993571776,0.1895199963
1998_3,95,,,,,,
1998_4,96,1373441,0.3250781904,0.0728640124,0.3148445281,0.0913801941,0.1958330749
1999_1,97,,,,,,
1999_2,98,1374150,0.3164094771,0.0684074841,0.3102582249,0.1116264702,0.1932983437
1999_3,99,,,,,,
1999_4,100,1426004,0.3158032778,0.0678539748,0.3130429882,0.1034021469,0.1998976123
2000_1,101,,,,,,
2000_2,102,1459694,0.3095162159,0.0663820344,0.3053682764,0.1159699214,0.202763552
2000_3,103,,,,,,
2000_4,104,1406965,0.3104168345,0.0664958792,0.3177525493,0.1099223887,0.1954123484
2001_1,105,,,,,,
2001_2,106,1421561,0.3026924371,0.0644763254,0.3074578767,0.130713348,0.1946600128
2001_3,107,,,,,,
2001_4,108,1502162,0.2848157322,0.0633627487,0.2972697553,0.149490323,0.2050614408
2002_1,109,,,,,,
2002_2,110,1532923,0.265643753,0.0571730675,0.2906536098,0.1784074012,0.2081221686
2002_3,111,,,,,,
2002_4,112,1572169,0.2567749622,0.0626167476,0.3299534411,0.1417969862,0.2088578629
2003_1,113,,,,,,
2003_2,114,1593701,0.2575217394,0.0634005655,0.3367850126,0.1281009035,0.214191779
2003_3,115,1308091,0.2770214263,0.0642345663,0.3546050131,0.1197373051,0.1844016892
2003_4,116,1228133,0.297026651,0.0630615194,0.3654697893,0.1018157253,0.1726263149
2004_1,117,1300038,0.299386859,0.0611582178,0.362088221,0.0959463648,0.1814203374
2004_2,118,1281096,0.30904237,0.0642195238,0.3408669822,0.1087110322,0.1771600918
2004_3,119,1298058,0.3092706567,0.0686393739,0.349649295,0.0947878046,0.1776528698
2004_4,120,1242594,0.3168551483,0.0711635574,0.3522391877,0.0885158375,0.171226269
2005_1,121,1311548,0.3227231422,0.0639811911,0.3418672578,0.0915853677,0.1798430411
2005_2,122,1316610,0.3272309259,0.0714282592,0.3371144464,0.0843805817,0.1798457868
2005_3,123,1247831,0.3313461379,0.069210999,0.3476360407,0.0828526469,0.1689541755
2005_4,124,1307496,0.333525223,0.0700238439,0.3485833294,0.0695062875,0.1783613163
2006_1,125,1308462,0.3512878663,0.0628971537,0.3294751399,0.0792230948,0.1771167453
2006_2,126,1322389,0.3515225096,0.0702378728,0.3322919344,0.0680922656,0.1778554176
2006_3,127,1283701,0.3607561986,0.0722899673,0.3255374399,0.0707062755,0.1707101187
2006_4,128,1373756,0.3602326669,0.0604361242,0.3402603616,0.0565099695,0.1825608777
2007_1,129,1335446,0.3735235077,0.0753421578,0.3120275749,0.0630533859,0.1760533737
2007_2,130,1322359,0.3780845748,0.0733549198,0.3197690325,0.0545235422,0.1742679308
2007_3,131,,,,,,
2007_4,132,1467903,0.3903090004,0.0734696578,0.2985532065,0.0472312171,0.1904369181
2008_1,133,1486108,0.3870743668,0.0744666382,0.2928944898,0.0536169095,0.1919475957
2008_2,134,1408879,0.3943390161,0.0749732257,0.292538649,0.0553883889,0.1827607204
2008_3,135,1459776,0.3907427651,0.0695056367,0.3002221308,0.0518348167,0.1876946506
2008_4,136,1460879,0.3937943357,0.0747456939,0.2952771226,0.0488706163,0.1873122315
2009_1,137,1468802,0.3901002087,0.0741933518,0.2881720944,0.0606850901,0.1868492549
2009_2,138,1512740,0.3864724589,0.0710615829,0.2868918478,0.0642109187,0.1913631917
2009_3,139,1511359,0.3844591347,0.0686944349,0.2890235413,0.0667394238,0.1910834653
2009_4,140,1511663,0.3745843506,0.0697493339,0.3059401339,0.0589571213,0.1907690603
2010_1,141,1546683,0.3905000286,0.069409995,0.2910222542,0.055616349,0.1934513733
2010_2,142,1494030,0.3885643992,0.0708047748,0.2964991453,0.0569191195,0.1872125612
2010_3,143,1538951,0.3979297551,0.0705067419,0.2866221728,0.0528721313,0.192069199
2010_4,144,1538068,0.4049964287,0.068605203,0.2861898407,0.0501758096,0.190032718
2011_1,145,1531867,0.3995459292,0.0701381603,0.2882200626,0.0538581149,0.1882377329
2011_2,146,1492866,0.4051310231,0.0763601184,0.2823743007,0.0529010566,0.1832335012
2011_3,147,1495792,0.4113162182,0.0697380057,0.2842709112,0.051463567,0.183211298
2011_4,148,1523154,0.4086215346,0.0738361044,0.2851576201,0.0462403989,0.186144342
2012_1,149,1619701,0.4044563926,0.0637047043,0.2846683646,0.0482348444,0.1989356941
2012_2,150,1596135,0.3921221921,0.0680085304,0.2907978597,0.0540270087,0.1950444092
2012_3,151,1502473,0.4009741377,0.0657496217,0.3017112656,0.0491829686,0.1823820064
2012_4,152,1552290,0.4032958158,0.0674834113,0.2969949972,0.0447720568,0.1874537189
2013_1,153,1639961,0.4062352306,0.0605942621,0.280787465,0.0547599027,0.1976231396
2013_2,154,1652881,0.3869545299,0.0663585845,0.2980972337,0.0516032014,0.1969864505
2013_3,155,1649180,0.3844968149,0.0733847318,0.3001377541,0.0454400332,0.196540666
2013_4,156,1712308,0.3913247767,0.0622058701,0.2998314757,0.0442352276,0.20240265
2014_1,157,1687800,0.3987792267,0.0598622808,0.2911606378,0.0509500806,0.1992477741
2014_2,158,1806797,0.3921734478,0.0645924025,0.2803378457,0.0525087201,0.210387584
2014_3,159,1806815,0.386616069,0.062997812,0.2860252638,0.0538175571,0.2105432981
2014_4,160,1826106,0.3834666061,0.0635989035,0.2919707293,0.0492515375,0.2117122235
2015_1,161,1887257,0.3929900261,0.0617213176,0.2781443937,0.0494558357,0.2176884268
2015_2,162,1842016,0.390636511,0.0625289153,0.2886420629,0.0457269828,0.212465528
2015_3,163,,,,,,
2015_4,164,,,,,,
2016_1,165,,,,,,
2016_2,166,1891529,0.3765421285,0.058389214,0.2849923967,0.0675322314,0.2125440293
2016_3,167,1882421,0.3801294713,0.0625346713,0.2807992482,0.063379635,0.2131569743
2016_4,168,2000590,0.3744378861,0.0661301604,0.2816590673,0.0536677654,0.2241051209
2017_1,169,1947767,0.3662768195,0.070162003,0.2792977734,0.0670737045,0.2171896997
2017_2,170,,0.3783821739,0.060125228,0.2774313648,0.0647456691,0.2193155642
2017_3,171,,0.3753123584,0.0640021762,0.2896628997,0.05775244,0.2132701258
2017_4,172,,0.3846924284,0.0615609802,0.2937278095,0.0482657452,0.2117530367
2018_1,173,,0.3880875538,0.0595880623,0.2777325725,0.063506554,0.2110852573
2018_2,174,,0.3764991988,0.0634772906,0.2736112954,0.0687572761,0.2176549391
2018_3,175,,0.376358151,0.0636836019,0.2807656974,0.0618814195,0.2173111302
2018_4,176,,0.3697504906,0.0638235541,0.285163988,0.0651551881,0.2161067793
2019_1,177,,0.3781259488,0.0603012174,0.2770422851,0.0727566784,0.2117738703
2019_2,178,,0.3716126728,0.0617626571,0.2777407333,0.0812265725,0.2076573643
