period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_beneficiaries,Total_SIPA_benefits,Total_non_moratorium_beneficiaries,Total_non_moratorium_benefits,Total_PUAM_benefits
96,0.407983932195568,0.494111108074318,0.097904959730114,0.863265363554497,0.973548069463428,0.880099322057286,0.981616586202571,0.382818173730537,0.426335974523908,0.260173679700209,0.273317360856128,0.388581322260632,0.438961701622395,0.091865867563328,0.108250393317126,6494.41403907091,3545.91703460329,3414.70902965383,3069.33508305762,4637.36536706487,5658.753018903,3859.59261547029,0.698008820167278,0.847178538667056,666.648438436476,665.309506622666,620.473665259918,848.800256090812,0.831983956303997,0.626260315664928,0.205723640639069,0.363796982791116,0.366564703108163,0.300158632785634,0.2918758276599,0.326056001403278,0.309007105414011,0.296760869869126,0.281568381659991,4502594,5905512,2980230,3226374,404786
97,0.409797443131846,0.488222930063867,0.101979626804286,0.861625947957537,0.972443828376383,0.880055171940818,0.982060265771478,0.383142463444303,0.42738242413097,0.260306838649596,0.273679407440793,0.383137049122338,0.432744466283207,0.095346435390896,0.112316937962206,6569.10346697104,3608.67285575838,3447.27354225036,3115.26084307727,4692.73293213742,5722.80646592333,3910.57856943051,0.702849062963734,0.851763687002991,850.910077883203,826.549301784864,782.250553517903,1021.65088491552,0.836785126882253,0.648242825726865,0.188542301155389,0.364678881633661,0.367049855189082,0.301005268374734,0.292393385589464,0.327321262470025,0.308933851956144,0.297424927408694,0.282261512163269,4520808,5918024,2989634,3235010,422641
98,0.407746247779202,0.482049617678329,0.110204134542468,0.861781234009873,0.970846043750393,0.879783372150229,0.98129915384844,0.38052849524564,0.423817303416818,0.260655081040538,0.274518187433391,0.378404916826699,0.426312712941394,0.102847821937535,0.120716027392181,6677.4326699511,3680.99360085955,3496.8624517294,3162.73638558395,4756.90595005994,5808.74153013307,3969.85069366987,0.709747463018808,0.858985798602277,682.246964888483,682.523163621403,641.267610430324,894.242014911073,0.836759890323693,0.655547510299082,0.181212380024611,0.364560322937624,0.368449644013056,0.301333349930635,0.294151208284976,0.327481092153899,0.310793815676174,0.298106433820021,0.283627473645657,4543266,5945401,2986316,3236935,459081
99,0.412139432313961,0.475627452355854,0.112233115330185,0.860606876300012,0.968822513618754,0.878742422388574,0.979581682951942,0.382956074880705,0.42646814805354,0.261397061277154,0.274407105883166,0.373364848781464,0.419663612708639,0.104285952637843,0.122690752856575,6716.87038422103,3750.41987085426,3519.96387516666,3197.58358952022,4801.35336519,5872.43957417024,4013.26968043969,0.711837423898623,0.862092906646807,690.217096270837,690.472293992889,643.057253091419,906.676334496861,0.825114358205645,0.6282594619159,0.196885565046923,0.365740795964016,0.368946208497575,0.302922721560499,0.294988367262264,0.329325347353692,0.311465030323188,0.298409837350553,0.28323276128353,4557945,5959736,3006289,3260743,468781
100,0.414581128307061,0.469563582953866,0.115855288739073,0.857453675661097,0.968456414452489,0.877202368056876,0.979407178967576,0.383254707596263,0.428137300052353,0.259666765409392,0.27262389575322,0.367097892358639,0.414192673994772,0.107101075706195,0.126126440405364,6783.27505937933,3789.39591645742,3532.53405918425,3230.55727105493,4845.24432289793,5910.14774008851,4053.26747922769,0.714400836094761,0.862172825543095,702.230972302325,693.022785228273,651.171117210707,878.642906160436,0.836020288719408,0.648524259196385,0.187496029523023,0.364155388464654,0.368694470190241,0.300472494377192,0.294242007683546,0.327193840593842,0.311007405590567,0.296476844808511,0.28296756111346,4574421,5962708,3009604,3266069,484476
101,0.41390620291738,0.466934077984269,0.119159719098351,0.854187261561776,0.967803072595961,0.874718279456207,0.979161332839635,0.380618551705301,0.426190653005838,0.261420364937136,0.275938238567347,0.363992193763822,0.412439116474164,0.109576516092653,0.129173303115959,6820.69164225149,3833.88842487765,3552.6468516275,3255.34368196542,4869.88429969461,5951.90464018714,4085.1688231325,0.723070439936823,0.867531650110025,886.960676301694,861.953271684143,821.062844734927,1065.17814820837,0.837091084914349,0.665253269478725,0.171883096948487,0.363424067809536,0.370602154371516,0.300420160800329,0.295007318643921,0.325131325053297,0.311549239342103,0.296258973197706,0.284065502340735,4571985,5962479,3005292,3261840,497473
102,0.413179080334494,0.463767111327728,0.123053808337779,0.848647646911541,0.964803196397947,0.870529587563578,0.97784159834385,0.377348690910469,0.424136126318153,0.262758094502067,0.278650244182223,0.358916224885505,0.407941219309708,0.112382731115567,0.132725850770085,6858.81250821898,3895.33096351436,3568.55644607512,3277.44728721504,4892.19932925697,6001.73804823427,4112.45297183583,0.725875013994094,0.87311753594713,714.551960338636,704.335124785603,669.651344853426,903.396753284564,0.839795659651397,0.681786106598043,0.158009553053355,0.366421391510378,0.373449890747086,0.302382329554753,0.295968288702521,0.329855169498992,0.314517741694881,0.298374624519628,0.28469544642098,4565330,5959995,3000085,3256687,513032
103,0.413537634774002,0.459098151513571,0.127364213712428,0.848967732463381,0.963939358137718,0.871100266806027,0.978058135323738,0.3775383932387,0.423739118191606,0.262344257553022,0.278974548260648,0.355152423757534,0.403210109345106,0.116276915467147,0.136990130601006,6904.37103913176,3932.06197252065,3582.8439215298,3293.57029944924,4919.57728215659,6036.36706436678,4132.15820727663,0.731715296194175,0.876415545079207,722.531433253135,711.335840167578,673.541127159601,932.335966838205,0.842115866135833,0.677045670331228,0.165106103574797,0.36431623774773,0.373512104501701,0.302388775089279,0.296435931128447,0.328615315785289,0.315043129336592,0.298123722626165,0.285117719341903,4575853,5968173,3004323,3260430,532212
104,0.413378587285719,0.452687412593584,0.133934000120696,0.846700353115903,0.961924275681656,0.869105837869312,0.977303523901648,0.375688092586647,0.421663536935517,0.260254159338538,0.277490949697351,0.349289920317507,0.396648536221928,0.121722340211748,0.143612202524212,6957.6788645548,3959.52038723826,3591.00882380608,3310.88787457261,4945.2004098595,6055.24884473534,4153.14835444937,0.724391658018412,0.873107305178383,735.603249022735,718.02560273,679.877858385203,924.492623849434,0.842259142931925,0.670085051840108,0.172174091091817,0.366724446144879,0.374703018491774,0.304091999490976,0.29670437958753,0.330605035103685,0.315023845537051,0.299678510382755,0.285066128738729,4599444,5983193,3012286,3262504,561497
105,0.413961591290743,0.447437724953375,0.138600683755881,0.845898395001606,0.961884337413279,0.868322652340148,0.977701094692536,0.375314299233593,0.421881054151389,0.259946620937855,0.277825899430221,0.34492311757209,0.391612081588038,0.125660978195922,0.148391201673852,6971.6312666729,4009.74559628115,3595.88122549482,3323.04453548024,4955.49673255098,6078.01347871209,4167.92145122533,0.723892212940323,0.875646949743401,917.453722216585,890.113807326522,849.563054891502,1098.59109217606,0.860056433883439,0.683941524022548,0.176128410789942,0.369507532008744,0.375854485827334,0.305231318918293,0.29764681984715,0.332856403701624,0.31539389851201,0.301099302250402,0.286351020877435,4612811,5994529,3017608,3269092,582128
