period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_benefits
101,0.601246385801483,0.235773215179022,0.162980399019495,0.848082250260991,0.972923810222418,0.876026101953274,0.977312821281176,0.50990638783181,0.574617349924851,0.194551293447767,0.197612667237891,0.199955078880294,0.235508824063424,0.138220783548888,0.162797636234144,6476.00035408762,4605.61985482586,3959.34719706999,3157.62979567199,5341.81159006201,5978.48066917826,3961.95212241383,0.701330012823665,0.873110934261944,860.648963249721,851.903758327545,795.22439106966,1102.69487132214,0.809923441394542,0.59589661403629,0.214026827358252,0.370092670474352,0.376456819093174,0.313769361288805,0.306017341097725,0.333548606877621,0.319274478322254,0.310369079710032,0.294844352740843,4600942
102,0.602257842052017,0.232811582617376,0.164930575330607,0.846510233571479,0.972522373158464,0.873465424470023,0.977070791627436,0.509817426545708,0.575434508485738,0.195355831310315,0.199889281068691,0.19707738717958,0.23242860321762,0.139615419846191,0.164659261455106,6630.4976096723,4742.16509567947,4065.44902706017,3242.45523546297,5474.53281164109,6148.74507743185,4068.1338717248,0.721028574108084,0.898756156073699,722.554606582336,714.000851547348,666.460502748484,929.86247337228,0.822062939285754,0.616850961238674,0.205244676861194,0.371468049921651,0.378968363698264,0.313706200573221,0.306680569340764,0.335371120938318,0.319994337119173,0.310247685241036,0.295721012475497,4613089
103,0.601294133097833,0.230885567797083,0.167820299105084,0.845351060023834,0.971787771280849,0.871553176902589,0.976807237146367,0.508304632800366,0.574215191263536,0.196246300292043,0.202647110230265,0.195179359481469,0.230229295573352,0.141867067742,0.167343284443961,6522.5706025849,4665.57129183331,3996.30955369257,3187.52283669125,5379.60467230572,6054.41257540033,3998.95912572787,0.706478801436852,0.881638847380019,700.107320220583,693.480353070407,647.942929507884,887.633212083151,0.823259873745166,0.621200381265355,0.202059492479811,0.372348224524014,0.381014883791329,0.314667102727193,0.307701205053342,0.334756437628833,0.319676471679528,0.310775097034255,0.296857973973093,4613396
104,0.597034198262168,0.228732232283584,0.174233569454248,0.844693324762467,0.971678034797379,0.870908505344053,0.976511975093615,0.504310801926964,0.569884958081517,0.198682316337714,0.205510578839032,0.193208589767962,0.228066567825277,0.147173933067541,0.173726508890584,6682.36379964252,4776.44085755946,4088.85462374423,3261.78006877273,5493.16414334477,6200.33353968354,4091.57557728375,0.725575389352358,0.905091243682466,720.619736479489,712.679195892581,667.562445900817,906.353140134182,0.83030749279667,0.627385176260301,0.202922316536369,0.371822023760473,0.381756114174766,0.31428113415778,0.308651179748837,0.333919109637159,0.320506253757381,0.309637201066936,0.297446903926667,4620317
105,0.59341726969743,0.224801335787864,0.181781394514706,0.847960442316116,0.972894711058584,0.872367070559065,0.977140652651819,0.503194370490654,0.566818021305998,0.199022755719691,0.207021099836908,0.190622640127931,0.224521543796909,0.154143431697531,0.181555145955677,6583.54143375629,4696.97879406834,4018.46380154632,3206.15703919289,5392.96291057997,6100.75241057978,4021.15049412894,0.711622077667941,0.890872538937411,874.313284535148,846.363612537455,797.95382521338,1087.87424876846,0.828641520157915,0.635215557962165,0.19342596219575,0.371738063386917,0.380368316803473,0.314616893846622,0.308818895345627,0.333387504630343,0.320649754544401,0.310517935647393,0.298277677036597,4648732
106,0.5923391639972,0.222506271087771,0.185154564915029,0.846728759713329,0.97274030583862,0.870644647636154,0.976396131518651,0.50155060566098,0.566704082528412,0.201355070200929,0.209616863093616,0.188402458946586,0.221619537606736,0.156775695105764,0.184416685703473,6713.26190452871,4807.50441755943,4105.84113361952,3276.11718101734,5496.69139580517,6243.13435443251,4108.593240619,0.725014856053851,0.908180560416585,733.441102607864,714.839295926378,664.689297983936,950.057096741886,0.83670038437635,0.63134915883236,0.205351225543989,0.373742578353882,0.382039902381225,0.316543458181806,0.309696005974118,0.336454539332244,0.322286726642186,0.312111976002379,0.298571077506511,4663834
107,0.590303501159661,0.219412839166992,0.190283659673346,0.845899512064879,0.972170596012037,0.87008850826296,0.975887935733493,0.499337443601148,0.564313740744539,0.203206927502551,0.211569597884726,0.185601213592129,0.218427618593923,0.160960854871603,0.189429236673576,6598.35913054298,4731.1742764028,4036.00514058172,3220.67962829745,5393.42854976378,6138.74158661097,4038.73052154774,0.709326481775151,0.893072159558218,716.602363581659,695.181056453477,645.964728402286,918.551315408367,0.843004768429995,0.638789532630118,0.204215235799877,0.374546854792148,0.382630461169289,0.31732633418645,0.310665528786298,0.338106851331269,0.322479154891924,0.312069654413485,0.299101721804252,4668843
108,0.586688751168465,0.216519166879115,0.19679208195242,0.8467216685062,0.971242450854387,0.870333227544092,0.975608548767449,0.496762078283182,0.560615917311493,0.203861435795567,0.213454848351218,0.183331470243457,0.215112739352046,0.166628119979562,0.195513794190848,6739.51601287883,4844.73522955802,4121.70998649674,3290.36435247753,5493.94509677544,6269.49082429796,4125.68088351217,0.726951338588535,0.912992768786632,732.992266390564,715.681778070576,673.427828483119,898.785992321515,0.835978749534953,0.640609904466889,0.195368845068064,0.373153141909026,0.382507372988217,0.31646887888513,0.311097982862927,0.335435750511268,0.321774171926072,0.310452990541399,0.299549518614221,4675901
109,0.583946295154616,0.213655091822809,0.202398613022574,0.845783388542474,0.970554110532046,0.869540352495355,0.974864009145907,0.493892076242695,0.557287194380028,0.207025975336652,0.216902474165864,0.180705927541249,0.21222399870373,0.17118538475853,0.201042917448288,6609.22248850052,4755.75894160174,4050.74247690025,3234.02210612476,5379.45433062912,6162.08964471621,4054.66877245532,0.712925082610809,0.893493125445042,884.145156633908,861.254977653623,812.150529127102,1132.38332299033,0.838193227647779,0.652668632641567,0.185524595006212,0.374901198622779,0.382645115387398,0.31818374471254,0.31162188153269,0.336825939129156,0.321901662903001,0.312069346087095,0.299718465125951,4684582
110,0.585552481454352,0.21009291111817,0.204354607427478,0.844748136612379,0.970433360010126,0.868543375913865,0.974542017941555,0.494644367597318,0.558227082957516,0.208997166165228,0.21965548068557,0.177475595182544,0.208956774626284,0.172628173832517,0.203249502426326,6721.20488325287,4869.20044358696,4122.66823754904,3291.60140408828,5474.41548209311,6292.54564617383,4126.69797952014,0.727179724663857,0.911791849810867,733.88022469553,719.043423473975,673.061031672446,958.958384728416,0.845712059951839,0.65259047292971,0.193121587022129,0.374826361743861,0.38354036030779,0.317160844694119,0.312426165583942,0.337846717135094,0.322576693956775,0.311376440838204,0.300643058942405,4703356
