Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
108,35753366.9851763,34895375.1038917,118828663.625252,108845199.387585,18140866.5645976,487586.758135241,255296.293013125,164441.185908879
109,31507786.4940339,30624339.3563773,105102012.789952,110081577.428392,0,502974.318841447,263107.72437,167664.420636005
110,36333439.4651097,35442995.2134568,120672298.137347,110532283.265396,18422047.2108993,506704.682298969,265054.65801896,169549.873335584
111,31878209.2419859,30985989.5169602,106304223.839676,111354389.308316,0,504469.152262217,268092.582851019,170939.985589188
112,37071536.3210855,36179993.4067585,123152670.940723,112777176.694891,18796196.1158151,503593.635652574,266688.331406802,173229.92466792
113,32554676.3494026,31659455.8466781,108650787.941504,113783754.182218,0,502672.358896367,269993.138658738,175078.57881339
114,38121045.5210676,37264081.4531166,126916379.878972,116142233.741573,19357038.9569288,470732.783197452,265841.421912106,171985.518344899
115,33601368.0702503,32731765.8974849,112413572.599671,117593359.8264,0,478843.406221986,268810.442990441,174211.890789984
116,38890130.7522407,38011141.3065201,129500556.644695,118433932.289097,19738988.7148496,484137.774215435,272019.705106515,175474.237712427
117,34202904.7865468,33321425.4201809,114420120.600821,119630603.537838,0,479121.487469782,277709.967512805,178068.444833334
118,39706929.055106,38831714.6225197,132310587.047416,120956177.093784,20159362.848964,474852.827166821,276805.815613767,176508.271151042
119,34961929.2491098,34068402.9500316,116949194.702829,122229964.390487,0,492725.581792266,275897.931366724,178432.551313255
120,40494217.9614107,39576330.630857,134793121.645328,123174239.130247,20529039.8550412,515828.169497347,275686.464110649,180532.424208244
121,35594302.3628811,34676486.2233084,119089815.05564,124418038.635718,0,514060.440575769,276584.326425246,181673.389388075
122,41264732.7758722,40307958.8422058,137336602.40015,125476216.705422,20912702.7842369,534878.42119945,287982.588919109,191304.176496876
123,36459624.129826,35505803.0671213,121957360.173826,127373694.387922,0,546550.036267162,279867.360511021,182005.237037839
124,42671872.213623,41724465.3058902,142173418.773458,129844125.088497,21640687.5147496,555062.080115213,270436.267754227,174155.085519021
125,37357494.2478519,36396658.943127,125006805.728151,130529268.265389,0,558743.701345408,273558.339590486,183618.948270065
126,43221225.1393796,42283409.9335594,144072686.032601,131543627.418254,21923937.9030423,546600.437152624,266085.823808577,178755.635512923
127,38200707.6549308,37258660.1207448,127994602.939647,133594131.174341,0,532128.483104094,278613.529667764,187579.31630591
128,44140557.036016,43209477.0958277,147294276.813785,134462531.861708,22410421.9769513,522430.259817552,276900.286435134,188213.41990796
129,38434948.0679417,37530864.5453222,128980995.976035,134598216.993874,0,489948.519720594,281211.006768445,189891.423043422
130,44479052.2502243,43570856.6257116,148597844.392787,135609162.592352,22601527.0987253,483741.525625885,289202.392441763,193216.723492935
131,38942538.8110738,37985222.9260076,130580738.532228,136241486.105198,0,525221.353594352,292330.452113972,199662.970511302
132,45282023.2308856,44296509.169806,151084045.373206,137831631.219584,22971938.5365973,542861.71792767,298354.408310803,206139.906915849
133,39382798.0492919,38383117.3141889,131972494.336461,137629716.344071,0,557011.797208627,295721.796876943,209924.487167881
134,45874359.2061141,44920293.7927443,153184962.045071,139731320.474122,23288553.4123536,511380.15751806,297846.817225311,206912.055180599
135,40433640.2366197,39442169.213824,135601212.968946,141369901.179637,0,562357.227246677,289026.724047492,200124.387859286
136,46985489.5816579,45979550.8924426,156802823.477383,142979027.395747,23829837.8992912,569286.056461862,293034.814075018,205168.312397735
