Period,90_100_dec,80_90_dec,70_80_dec,60_70_dec,50_60_dec,40_50_dec,30_40_dec,20_30_dec,10_20_dec,0_100_dec,count_100_dec,count_90_dec,count_80_dec,count_70_dec,count_60_dec,count_50_dec,count_40_dec,count_30_dec,count_20_dec,count_10_dec,count_0_dec,count_all_cont_pen,,,,Decil 10,Decil 9,Decil 8,Decil 7,Decil 6,Decil 5,Decil 4,Decil 3,Decil 2,Decil 1,,,,,,
49,11824.8361871968,6640.46301263616,4702.43779102279,3556.72203574891,3202.33394691405,3163.23010549569,3134.74312096843,3134.74312096843,2932.30963609233,93.4727509055034,128976,377946,432984,347160,246415,587848,25422,0,1019241,380689,0,3546681,3546681,0,103.091038660253,12190.3464452546,6845.72229157654,4847.79196111765,3666.66168891164,3301.31932724357,3261.00677096933,3231.63924273718,3231.63924273718,3022.94846058227,96.3620297727945,,,,6361.09681377741,7543.18976779066,18.58%
50,13590.166592708,7644.70015269772,5403.43762464165,4138.55684459132,3686.36069786942,3641.16762672071,3596.21692696704,3596.21692696704,3365.45873650911,109.93824178282,130278,383495,439931,345680,241973,569989,34713,0,1002825,380311,0,3529195,3529195,0,106.734366648851,14505.3782392506,8159.52229018566,5767.32492592698,4417.26243647721,3934.61374326308,3886.37720500335,3838.39936031704,3838.39936031704,3592.10106724142,117.341886071775,,,,,,
51,13153.871412378,7406.98752447366,5539.43377410678,4185.55417043985,3557.13798862455,3513.36349764473,3469.99696996309,3469.99696996309,3250.41080648561,108.331431783718,133312,389197,410585,299729,317471,552764,34713,0,991902,383683,0,3513356,3513356,0,110.484589346161,14533.0008130879,8183.5797493361,6120.22065742442,4624.39233707159,3930.08929920813,3881.7252326107,3833.81190258795,3833.81190258795,3591.20303160887,119.689537539058,,,,,,
52,14138.635007996,7977.80947330894,5973.58897302543,4510.60957126949,3831.6949325122,3784.37263727876,3737.67546302918,3737.67546302918,3506.77414582225,120.36441418151,134917,392409,413886,296238,311501,546492,33745,0,980992,387244,0,3497424,3497424,0,115.74987757054,16365.4527119008,9234.30469816604,6914.42192284421,5221.0250564295,4435.18219325946,4380.40669446318,4326.3547724404,4326.3547724404,4059.0867804646,139.321662053596,,,,,,
53,12288.9065964516,6912.34342827229,5238.32704355558,3936.21046729643,3324.51768643992,3301.25422276139,3278.98856079941,3278.98856079941,3039.9955807731,108.930753357286,140929,388146,299406,418336,309796,532302,17741,0,985826,393431,0,3485913,3485913,0,131.112099065086,16112.2433907555,9062.91856339533,6868.08054269979,5160.84816729198,4358.84492248141,4328.34370693724,4299.15073016816,4299.15073016816,3985.80201743746,142.82139725415,,,,,,
54,12589.3803227093,7095.24729575458,5421.31841974284,4110.05464662572,3425.47515139269,3390.21129499138,3362.81168206324,3362.81168206324,3118.37818722113,115.302467285311,140268,397086,305883,383029,329790,524851,18679,0,974856,396596,0,3471038,3471038,0,147.875546501702,18616.6149533841,10492.1357142443,8016.80424079216,6077.76577021639,5065.44010040194,5013.29348003094,4972.77615267409,4972.77615267409,4611.31878634312,170.5041536281,,,,,,
55,11899.1539994989,6977.53648834898,5402.87703381024,3890.88489996107,3242.85870461142,3242.85870461142,3181.83884361315,3181.83884361315,2949.80363287669,111.73052895803,145114,366579,334532,391518,324356,0,535173,0,957007,397602,0,3451881,3451881,0,155.857943236334,18545.7766861429,10875.0448593054,8420.81302048489,6064.25317877242,5054.25287906778,5054.25287906778,4959.14857875021,4959.14857875021,4597.50327171227,174.140904401063,,,,,,
56,12932.9799098568,7649.77057765206,6028.41662005207,4317.72890106417,3532.42430869697,3532.42430869697,3466.13229929955,3466.13229929955,3221.10331305631,123.972487781241,146600,369439,339532,379306,330660,0,524149,0,945835,398087,0,3433608,3433608,0,163.980064687731,21207.5088222344,12544.0987416969,9885.40147320732,7080.21464500588,5792.47166644642,5792.47166644642,5683.76598655374,5683.76598655374,5281.96729640838,203.290165658669,,,,,,
57,12297.0490490646,7295.17572516303,5800.63982599398,4142.16687914926,3359.04347377755,3359.04347377755,3295.5834047525,3295.5834047525,3023.85951622696,119.122411685513,147501,368954,339220,387789,328445,0,517051,0,933420,401329,0,3423709,3423709,0,172.060368290404,21158.3478826721,12552.1062201477,9980.60224780509,7127.02758746735,5779.58257201644,5779.58257201644,5670.39294353458,5670.39294353458,5202.86382020454,204.962460262505,,,,,,
58,13069.1087594031,7794.01597402551,6239.54996750693,4445.03931571612,3571.45252212931,3571.45252212931,3504.75405483878,3504.75405483878,3224.2842182515,129.684923660271,148333,372022,345040,382532,325064,0,511568,0,919399,405701,0,3409659,3409659,0,183.417896870985,23971.0844262789,14295.6201813462,11444.4513246154,8152.99762797492,6550.68310383533,6550.68310383533,6428.34617788586,6428.34617788586,5913.91430225998,237.865359536411,,,,,,
