period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
79,2413379.42513891,1127154.08329027,884104.633984306,315624.448254691,0,5723.15123522827,42315.1313183658,30561.1403372015,8138.33490865646
80,2733893.14312625,1358782.61895273,938410.688062727,351776.467117796,0,6736.53506306342,39361.7696648418,31049.4841522825,8386.14865563718
81,3057124.83982939,1223088.01372417,863364.591955986,335434.087712946,557838.992039443,7468.15519068909,37925.6482420215,23599.6851325172,8477.5145592647
82,2868739.49282989,1508890.22099584,896825.606618333,369294.985371237,0,7205.39403106942,46486.8893043761,31913.0886816088,8328.78788998743
83,2716664.41164681,1340090.52829194,919405.651155626,354563.920345499,0,6773.15190818373,56256.21208182,29419.0153289823,10293.119006682
84,2982945.55628129,1483737.09702486,998328.57587776,381527.360840282,0,6581.2848709004,64138.9903233039,36419.5910521347,12426.7721599399
85,3398118.84941963,1415228.08847672,905863.711317779,370323.115965208,609099.766821346,9854.64295135747,42234.6610360335,37546.4756250286,8807.60313169412
86,3049173.49247753,1571168.70322212,985057.883699994,401129.938326718,0,7531.77116029388,38600.1474591737,37925.098972688,7987.09124097988
87,2961446.75179789,1528781.96290402,925262.860358844,388574.953839069,0,7917.966614308,70022.8460736195,27606.9569019422,13500.0372215109
88,3152174.07494748,1675307.34384337,937416.419887063,412943.709351528,0,8647.50300175949,72871.5564697618,32093.2432066554,13090.2125704504
89,3629190.5056513,1588799.90879108,901428.438358753,403351.715761938,638833.271682996,9944.38950968938,55556.2166749807,23239.9200174955,9394.66432049946
90,3231351.3644241,1757767.197236,918599.202452653,431471.03362386,0,10814.2472820482,69683.9893609649,31390.8987492508,11826.5453577104
91,3229474.92312669,1705131.01862068,952556.035304431,422263.092158745,0,10045.0144269686,85224.7206809196,39135.1899875058,15472.4165443231
92,3309229.67382638,1781426.72025727,959480.541516428,447629.73740436,0,8643.33535847409,55854.0639467463,39407.8508403995,12094.6378722251
93,3939977.75895366,1768581.30334968,905000.473115558,449040.399177928,695351.810338949,9780.45727059016,58881.0609100163,44435.38584225,10078.3888322977
94,3429478.50336364,1947723.40634057,879890.288267657,472952.280375676,0,12745.0773405001,73495.6938550935,24285.9654625509,14014.3581017466
95,3408110.24827629,1964551.34767592,831698.592121351,466000.941586616,0,12370.9178494034,81585.5085559515,36980.2715102949,15841.2059564888
96,3551038.37800282,2072190.47975185,861143.249445772,481703.133280389,0,19209.7977888405,69599.344538821,30179.5662973627,12002.3655104877
97,4242428.37201845,2051451.12904142,832792.215264608,478329.746438403,749430.898045341,11196.8899595551,63620.4124760228,43888.9402060718,12153.9569845482
98,3606508.37149873,2107968.78314315,868063.133785167,495391.376967734,0,14611.9368514622,74838.0533475315,32133.1124908316,14220.1994188244
99,3621692.11257873,2119971.83476285,859969.023625463,493279.103963298,0,17705.8629208477,64888.8171007329,49288.0604909576,12144.2015708713
100,3635054.78262312,2148407.26878786,851632.951030448,501654.379122018,0,15818.9957858846,67493.6349246707,33158.6086054725,12263.1605965117
101,4354307.69263343,2136973.37158225,827461.326708754,498654.436278555,768214.105078438,10624.3017981351,65123.4560971547,29289.1560633484,12022.395042312
102,3673779.64269158,2167913.88691416,859607.959379693,507927.234102748,0,11869.4891974911,67249.9793920116,40706.6704215768,13201.0480977768
103,3604475.94967426,2149608.44762211,809317.42842789,501451.631956052,0,10398.8186800818,73773.3939554582,43513.0480351392,13455.6150550312
104,3673579.27441616,2227880.50560741,787742.225584772,511978.943853675,0,10796.4164363683,79347.7623630006,36737.8567976752,14514.0248900736
105,4430588.37283801,2162232.28617159,837828.175069815,510698.219218074,782370.127456319,9988.66247614628,79606.0422295749,27084.2115520449,14892.0413272501
106,3748266.17870062,2206360.26428686,866820.427201941,523528.781854672,0,10974.4764785815,74773.6705486876,44362.8246501785,14683.341829532
107,3672868.31516242,2162246.62082241,831928.78189608,524313.848535752,0,11884.7244587438,89460.5494722193,31396.1924842257,17151.0668935445
108,3717766.47744145,2117797.99508254,919680.450385058,531825.27196112,0,16003.3540846936,87626.8382441371,22770.6775489855,16691.9155071125
109,4463673.86210136,2094458.89526117,911567.27936613,527903.95634498,788592.011569284,11617.6346804307,63263.7825164164,48582.444438236,12623.8745519091
110,3694404.20832223,2186735.24517225,819963.557659909,540191.367066827,0,13697.7963536433,87011.0723125356,24584.9368877829,16708.5527776674
111,3659270.00982191,2196800.5769887,783131.995965741,541685.199134179,0,18568.3652482711,81987.1861753394,18027.259364111,15924.9860707931
112,3764069.42314902,2369255.36596989,703761.87371647,553856.869170334,0,12622.6546333871,74198.4567587613,30707.0863686716,15190.136557681
113,4410589.95102826,2210821.46384066,727508.06459787,553564.002410691,776463.915200794,17227.9444223084,74289.3278130533,31852.3946747038,13199.7037355365
114,3727509.76262113,2326080.80286869,701601.001216883,564377.946717393,0,17563.526684996,82528.9902303579,16545.1920077028,18272.6787295419
115,3775681.45964513,2381993.97695989,689955.654889714,560029.481997192,0,15626.5820175135,79674.0359072287,27499.5830260382,16503.9950328236
116,3864221.1357357,2467998.91093832,664720.542363078,573122.128157671,0,15509.4920919071,95753.9867785696,27555.6323883163,17496.4464998296
117,4475258.61752942,2404974.89732211,562566.972697844,566274.382067277,793559.696154156,14314.0151206743,84730.3389861134,18006.368620834,16380.2253619755
118,3728038.69827877,2447538.76752056,568575.771465338,579190.31284969,0,18882.5641475131,69289.6626302828,21306.786148996,14642.5422320204
119,3686529.74759619,2382977.35242139,612602.713365058,580553.562902471,0,14041.9888386945,62389.4067851137,19012.4577173458,14280.4106638502
120,3755482.56392507,2393409.04579706,639437.566428877,594513.123734384,0,18113.8859139462,72885.7280295329,26489.9099847222,13955.6902312117
121,4575385.45692176,2390615.36292524,644291.772429624,596399.610706052,800607.242664277,17546.7127550826,81317.1150134452,18157.7941422741,15927.4724730236
122,3725475.69550625,2371281.52067616,613845.216546548,605235.113402015,0,12169.8886329621,76509.7189770423,31611.3987177433,13939.4132797803
123,3686775.7814109,2357503.91447035,581156.004078842,604980.353783043,0,10911.8963429433,76141.7828341277,36685.527953823,14384.6504326072
124,3671912.94082734,2412426.90000163,521021.046391409,619369.306319979,0,16556.4638654834,66018.7525345979,22297.9585807723,12187.2533601003
