period,Total_pensions_cost,Total_net_pensions,Total_retirement_benefits,Total_survivors_pensions,Total_thirteenth_month_of_pension_cost,Total_net_thirteenth_month_of_pension
49,17715121.486239,17023180.2310724,14752704.6459454,2270475.58512698,0,0
50,20544273.8160203,19739608.8068971,16983376.0778793,2756232.72901782,3427495.04505415,3235849.99721899
51,19904647.1958466,19122786.0052417,16368106.2199112,2754679.78533055,0,0
52,21572176.1789807,20722709.2371622,17649119.2304472,3073590.00671503,3598267.83526705,3397829.50580975
53,18937703.3896794,18194513.6514971,15459364.6484887,2735149.00300834,0,0
54,19472548.8405846,18707266.5670221,15806548.8024508,2900717.76457135,3248551.0793542,3068594.33195413
55,18513543.5519705,17785336.5272022,14984560.1070315,2800776.42017064,0,0
56,20158628.123609,19365012.6139167,16278928.8047678,3086083.80914892,3362739.75016668,3177185.11160458
57,19324178.4078495,18562167.3679883,15525960.4011006,3036206.96688773,0,0
58,20589658.101737,19776243.6450444,16485882.6133721,3290361.03167223,3434061.58095238,3245250.2763349
59,19772661.4790313,18991804.1491438,15797943.2055367,3193860.94360706,0,0
60,21535926.9528478,20683885.9665472,17136722.437687,3547163.52886018,3591668.18405661,3395014.98097136
61,19950031.0506876,19162057.3449298,15838380.4901692,3323676.85476059,0,0
62,21431307.7209462,20582611.880775,16985824.2170994,3596787.66367562,3574158.29889827,3379208.27216573
63,19173611.0377302,18416370.2590538,15128962.6626872,3287407.59636657,0,0
64,19297384.7407293,18534360.8883942,15163183.4701904,3371177.4182038,3219600.26202306,3045052.25009066
65,17685389.4429322,16986256.2053309,13896135.3400684,3090120.86526256,0,0
66,20593154.9122892,19775495.2232189,16119517.3377776,3655977.88544127,3435166.79233778,3249250.64155369
67,18890347.8846543,18140173.5666658,14747899.5724406,3392273.99422525,0,0
68,20295152.0028086,19486837.0355066,15797735.438824,3689101.59668261,3385063.23888398,3201568.59214714
69,19074815.722449,18315259.5093651,14845386.9942475,3469872.51511766,0,0
70,21520199.9875605,20662554.9179737,16711142.434017,3951412.48395677,3588409.14777765,3387552.01780455
71,20060013.3890751,19259255.855751,15554886.2235907,3704369.63216028,0,0
72,21477103.5941498,20619301.393948,16602289.574445,4017011.81950301,3581342.82735368,3380677.74724639
73,20187449.0403406,19378980.8042703,15563057.4094797,3815923.3947906,0,0
74,22192217.8649969,21304543.0923631,17056884.6253763,4247658.46698687,3699151.753557,3491811.73181474
75,20946587.0053885,20108037.3653762,16068073.8543958,4039963.51098037,0,0
76,22922447.6764634,22003721.0735981,17491885.4756425,4511835.59795564,3820276.94829058,3606152.98991243
77,21852556.2842926,20975787.0807086,16662540.1768212,4313246.90388739,0,0
78,23682330.5829383,22731406.5793003,18008683.5870588,4722722.99224149,3946301.24403706,3724783.32296027
79,22651190.952329,21741191.3899848,17186051.0505898,4555140.33939505,0,0
80,24348386.7792429,23369525.7375668,18432596.735567,4936929.00199971,4056598.00474648,3828623.92680905
81,23520877.7424281,22576003.5230046,17791606.4232552,4784397.09974934,0,0
82,25184387.7847147,24172471.8121838,18995376.0113642,5177095.80081965,4195616.24111451,3959903.23883746
83,24679800.0468993,23686946.4906668,18540071.497758,5146874.9929088,0,0
84,25961109.7645234,24915152.4127782,19475580.2668617,5439572.1459165,4324517.33594537,4081174.20069116
85,25638072.6078387,24603949.0447966,19200039.036246,5403910.00855061,0,0
86,26957866.2882321,25869777.578919,20161688.3814803,5708089.19743869,4491673.9857398,4239089.67300145
87,26889020.6421411,25801961.6466981,20109895.0722238,5692066.5744744,0,0
88,27819029.0668204,26692674.8452515,20769935.7763483,5922739.06890321,4633237.56710578,4372200.58860333
89,27835334.3489194,26708151.1768641,20744447.9344557,5963703.24240835,0,0
90,28591821.6579944,27433550.8567333,21240124.1377872,6193426.71894613,4760080.750432,4491931.42119265
91,28702861.8070946,27538420.4751778,21253183.4968786,6285236.97829923,0,0
92,29294871.2561501,28104845.308002,21621721.457115,6483123.85088702,4875895.45423055,4600891.63619566
93,29423823.8022083,28228231.9094292,21691444.3449241,6536787.56450513,0,0
94,30054160.5426807,28832017.6138047,22101642.7790647,6730374.83473992,5001471.49291262,4719263.16674706
95,30146383.0999764,28918870.1879889,22116828.0109327,6802042.17705617,0,0
96,30673462.5477925,29424929.5949756,22496183.6343494,6928745.96062619,5106412.54872338,4818676.31356034
97,30795460.9669386,29541383.8922882,22506459.805809,7034924.08647916,0,0
98,31183242.0473992,29913734.6147883,22758201.1246353,7155533.49015298,5189219.77935128,4896723.35271338
99,31335779.6893443,30059986.585344,22812372.1437735,7247614.44157054,0,0
100,31726789.2765339,30435001.2813068,23100680.9961805,7334320.28512637,5282799.71762541,4985659.44544474
101,31833457.1355356,30536586.6684594,23204192.4931493,7332394.17531009,0,0
102,32390530.3844112,31070674.1693432,23602075.8792047,7468598.29013847,5391322.56215897,5087953.58669282
103,32525295.253861,31199235.5821794,23685483.3729813,7513752.20919813,0,0
104,32569187.5118843,31241803.3763725,23720588.8608892,7521214.51548331,5420984.22529252,5115967.58452206
105,32781304.2565438,31444996.2080885,23839840.5165561,7605155.69153242,0,0
106,33390703.0216335,32029248.5575902,24291829.8790782,7737418.678512,5553817.85156779,5240588.40614852
107,33514574.7154178,32148674.7985385,24376361.9294089,7772312.86912956,0,0
108,33510121.9093511,32143640.9143647,24300430.2768663,7843210.63749843,5573117.72929131,5258702.83852759
109,33676892.531059,32303732.7848486,24406377.982612,7897354.80223662,0,0
110,34172948.0427757,32779914.2113069,24758408.8391817,8021505.37212513,5684065.70152352,5363436.53543843
111,34254597.697287,32858399.2107032,24807554.1406875,8050845.0700157,0,0
112,34314009.7449487,32915453.4600627,24846448.5165267,8069004.94353599,5710257.2965991,5388899.67420973
113,34487766.644256,33081686.5311958,24959405.4507689,8122281.08042692,0,0
114,34929942.8818328,33506358.2642771,25232888.0059009,8273470.2583762,5813816.06788108,5486934.53256446
115,35112632.7724144,33681249.7506783,25360857.7669686,8320391.98370974,0,0
116,35273730.0294625,33836002.5660803,25471466.7321766,8364535.83390366,5870848.99305698,5540449.7014596
117,35386582.5040979,33944438.4354423,25532239.5817062,8412198.85373613,0,0
118,35955676.6761457,34489153.7597314,25898879.4931231,8590274.26660839,5979372.47852034,5641602.98783946
119,36226941.6436126,34748834.9661691,26130056.2323423,8618778.73382676,0,0
120,36417390.2113466,34931621.8984627,26265049.3357072,8666572.56275549,6054331.27876403,5711848.28366381
121,36520816.8818121,35031267.4325197,26321438.0232518,8709829.40926786,0,0
122,36984909.1325914,35476257.4942245,26621889.0304147,8854368.4638098,6146225.91627163,5797901.83140168
123,37103167.4661448,35589765.9262929,26717656.1855776,8872109.74071529,0,0
124,37296457.0462713,35774012.6566288,26801103.6324805,8972909.0241483,6197349.69139492,5845913.73617525
125,37434429.4402289,35908381.037513,26925677.5835411,8982703.4539719,0,0
126,37908894.3952262,36363916.6470418,27307340.168595,9056576.47844682,6298920.9363351,5942166.58361812
127,37939221.5356625,36394300.4176008,27344605.9817444,9049694.43585636,0,0
128,38291821.3465167,36733677.7559867,27555250.2342901,9178427.5216966,6362808.10991969,6002866.41963178
129,38528253.5284331,36959779.6365191,27702935.6695622,9256843.96695685,0,0
130,39051184.1788037,37462879.1270484,28101677.8750473,9361201.25200109,6489267.07253333,6122508.97009136
131,39316736.0937996,37716229.9337143,28282055.3679318,9434174.56578246,0,0
132,39406706.6200259,37802711.599499,28295278.2516803,9507433.34781865,6547697.8850484,6177817.26930336
133,39651530.2815458,38039006.6362013,28461787.4226039,9577219.21359737,0,0
134,40048390.54165,38420220.5187655,28716134.4912371,9704086.02752848,6656287.76303871,6280559.68518045
135,40182470.1611193,38550768.976293,28826761.7894232,9724007.18686977,0,0
136,40343602.2364963,38705241.7741277,28929228.2263369,9776013.54779074,6704293.56652746,6325788.49709232
137,40533222.1519177,38887356.1302402,29032337.8725271,9855018.25771311,0,0
138,41202869.3156273,39529297.6644396,29509069.7118061,10020227.9526335,6845220.84285511,6458293.30890812
139,41373086.5060675,39693106.1718478,29624054.8571648,10069051.314683,0,0
140,41567858.907851,39882290.1252131,29808238.1806095,10074051.9446036,6904874.76904192,6514718.58758173
141,41714823.7641961,40024710.9549618,29905467.4947749,10119243.4601869,0,0
142,42301485.8889603,40589313.0537374,30343639.4525996,10245673.6011379,7027854.835866,6631637.97330622
143,42446312.2708579,40728341.0206343,30418432.2065335,10309908.8141008,0,0
144,42626020.8821131,40901809.8899626,30580941.621186,10320868.2687766,7082283.449697,6683567.62975378
145,42834553.9268489,41103096.0756827,30760060.6836179,10343035.3920648,0,0
146,43363523.9382186,41612265.1319565,31192985.2914236,10419279.8405329,7202616.30812043,6796478.70210217
147,43627889.4454051,41866507.9930704,31384429.7903584,10482078.202712,0,0
148,43981543.375804,42206629.6392043,31623372.3203168,10583257.3188875,7304720.34596788,6892770.21514757
149,44155565.4099322,42374019.5567557,31774800.7535479,10599218.8032078,0,0
150,44421213.165199,42630406.8581069,31980667.4329674,10649739.4251395,7377847.54326356,6961888.87001662
151,44638606.8052949,42840948.0666631,32196909.6956006,10644038.3710624,0,0
152,45249809.6075566,43427800.816047,32689984.3478138,10737816.4682331,7518811.42421899,7095549.01418459
