period,Total_pensions_cost,Total_net_pensions,Total_retirement_benefits,Total_survivors_pensions,Total_thirteenth_month_of_pension_cost,Total_net_thirteenth_month_of_pension
49,17715121.486239,17023180.2310724,14752704.6459454,2270475.58512698,0,0
50,20544273.8160203,19739608.8068971,16983376.0778793,2756232.72901782,3427495.04505415,3235849.99721899
51,19904647.1958466,19122786.0052417,16368106.2199112,2754679.78533055,0,0
52,21565532.0343132,20716393.0021183,17643849.8380926,3072543.16402572,3597150.71982864,3396777.44347078
53,18938602.4304899,18195363.4644723,15460046.97907,2735316.48540226,0,0
54,19471816.3518133,18706565.530396,15805943.8288714,2900621.70152454,3248427.08245178,3068477.57155892
55,18512972.6048935,17784795.4304638,14984145.2251351,2800650.20532872,0,0
56,20157497.8261254,19363940.1514728,16278081.5580878,3085858.59338505,3362550.20778282,3177006.50109362
57,19322672.8613111,18560738.2556432,15524822.331277,3035915.92436618,0,0
58,20588073.8779619,19774739.9938983,16484689.9785497,3290050.01534859,3433795.78474414,3244999.83656133
59,19771157.4021549,18990379.5369209,15796817.467918,3193562.06900287,0,0
60,21534311.4894563,20682353.0675682,17135515.3797324,3546837.68783577,3591397.13978249,3394759.60428992
61,19948555.5829496,19160656.979996,15837280.4854535,3323376.49454259,0,0
62,21429739.9717399,20581124.3725295,16984658.144983,3596466.22754643,3573895.29450204,3378960.47017649
63,19172386.444504,18415211.0341632,15128084.687593,3287126.3465702,0,0
64,19296168.7197321,18533209.8516123,15162314.1290483,3370895.72256397,3219396.83358606,3044860.50879577
65,17684434.5966824,16985354.6105647,13895490.0459941,3089864.56457064,0,0
66,20592051.1240859,19774453.7441323,16118771.6339836,3655682.1101487,3434982.82222896,3249077.16957077
67,18889350.4062793,18139232.3614686,14747227.6049261,3392004.75654251,0,0
68,20294095.8460911,19485840.4641256,15797027.9383374,3688812.52578823,3384887.20909032,3201402.60284668
69,19073852.1953069,18314350.3772775,14844745.2005827,3469605.17669481,0,0
70,21519129.0352595,20661544.5106336,16710432.3177833,3951112.19285035,3588230.68521391,3387383.74588762
71,20057850.9608769,19257219.7978304,15553346.6101822,3703873.18764821,0,0
72,21343851.679158,20491359.7448798,16495625.8944752,3995733.85040457,3558365.58897643,3358888.11801327
73,20055941.0822507,19252840.7380554,15458645.4146812,3794195.32337419,0,0
74,21659070.4079219,20792977.7292727,16649672.7468412,4143304.98243152,3610660.7976685,3408341.77850454
75,20441417.077001,19623378.637396,15682168.3508486,3941210.28654734,0,0
76,22016533.9453871,21134563.5158128,16806614.250768,4327949.26504482,3670439.97216411,3464957.21444898
77,20990783.5239295,20149032.032815,16009559.1688519,4139472.86396308,0,0
78,22564907.9083576,21659324.0613033,17182684.50907,4476639.55223324,3761428.54155446,3550534.83590358
79,21601747.5011441,20734327.3125913,16440878.6648802,4293448.64771109,0,0
80,23132134.8480467,22202190.7681925,17563086.1073869,4639104.66080559,3854676.40124451,3638178.96373244
81,22477261.3711583,21572611.0429889,17047900.8754825,4524710.16750642,0,0
82,23791992.7810692,22834548.1760856,17948899.6567274,4885648.51935818,3963174.49211534,3740277.44054315
83,23258252.1604841,22322454.3017084,17525843.2684074,4796611.03330102,0,0
84,24315874.4808911,23336852.8757218,18304028.0476918,5032824.82803001,4051052.71488612,3823334.05689955
85,24022596.1364615,23054262.3583393,18046070.5846173,5008191.77372204,0,0
86,24925239.5545025,23920665.750994,18732653.7960967,5188011.95489735,4154064.16888247,3920682.61500999
87,24798053.8963032,23797489.0922503,18591864.5690108,5205624.52323953,0,0
88,25652919.2536563,24617499.3933527,19196532.2020382,5420967.1913145,4272426.44612427,4031928.70998031
89,25732166.4518335,24693080.1848344,19239585.2856195,5453494.89921483,0,0
90,26327953.7003027,25264190.1831387,19634950.7734642,5629239.40967458,4385460.90282577,4138930.58681991
91,26436718.8179542,25367848.8691082,19682416.0266923,5685432.84241591,0,0
92,27001009.9453013,25907924.2055598,20081587.8172076,5826336.38835225,4494642.01464554,4241464.1626246
93,27171296.460463,26070934.0961206,20221906.1184175,5849027.97770313,0,0
94,27757123.9431765,26631683.1209099,20631777.0593419,5999906.06156805,4619497.82915691,4358962.47880563
95,27845551.7341403,26716941.0438066,20662457.9489663,6054483.0948403,0,0
96,28354826.9232108,27205487.2029473,21012356.2491786,6193130.95376871,4720114.49750672,4454354.84643707
97,28513630.7867986,27358057.9262926,21094563.1902159,6263494.73607668,0,0
98,28859023.5266668,27688791.2980329,21293957.3296082,6394833.96842462,4802265.35654264,4531772.37450954
99,28978291.6380063,27803194.2466493,21326627.5614095,6476566.68523971,0,0
100,29330171.671923,28141304.865165,21616782.0567852,6524522.80837973,4882575.62148775,4608091.58101111
101,29499298.0191997,28303657.5097904,21723230.3357759,6580427.17401451,0,0
102,29912858.4365254,28699826.7993595,22034427.3541125,6665399.44524699,4982082.84827692,4702373.95415983
103,30039975.6203378,28820994.7567935,22069205.6941165,6751789.06267698,0,0
104,30539676.2136576,29300282.0815618,22401214.2129637,6899067.86859814,5081786.52063989,4795711.56057262
105,30672381.031444,29426443.1523278,22458622.3388144,6967820.81351342,0,0
106,30936205.3735888,29679875.135182,22612501.9052266,7067373.22995535,5145352.08426482,4855136.99530012
107,31132519.0364399,29867687.8300048,22704750.5250225,7162937.30498226,0,0
108,31283328.6320205,30011349.7901277,22790059.4568527,7221290.33327507,5202065.74717546,4908280.23296223
109,31387760.8748316,30110940.4979096,22801626.8695745,7309313.62833505,0,0
110,31874177.0507163,30577096.0211009,23122086.1744914,7455009.84660948,5299593.6263708,5000000.35798595
111,31963610.6192131,30662945.5627911,23176408.8892924,7486536.67349865,0,0
112,31908144.1137379,30609108.1102666,23098386.0296487,7510722.08061785,5304732.0182534,5005007.8996139
113,32030163.5930829,30725909.5147611,23153168.9977575,7572740.51700362,0,0
114,32466921.6849169,31145432.2893124,23418096.3269182,7727335.9623942,5397781.83097518,5092849.40384083
115,32638920.7231682,31309786.1949077,23542230.0369917,7767556.15791598,0,0
116,32636302.8958097,31306717.7547331,23510780.6511908,7795937.1035423,5424617.71856431,5117795.69366419
117,32732627.1578994,31399716.7225901,23557027.3568679,7842689.36572218,0,0
118,33012985.1367646,31668510.4005068,23749660.9537417,7918849.44676504,5486722.59450264,5176177.79644293
119,33275348.3656293,31918699.5117223,23944208.5079854,7974491.00373691,0,0
120,33511950.3077768,32145846.7009752,24109734.9740069,8036111.72696834,5569085.10112188,5253572.03077674
121,33595155.4612871,32225666.5681528,24143311.2564345,8082355.3117183,0,0
122,33927677.7921552,32544360.5834843,24354629.6226772,8189730.96080706,5638528.92790803,5319100.66066209
123,34059772.6078505,32671765.4349144,24431574.6472936,8240190.78762087,0,0
124,34175899.8829357,32782490.0979051,24504292.7576972,8278197.34020792,5680652.95796697,5358876.19777794
125,34391607.4461424,32990492.0136422,24668855.354488,8321636.65915417,0,0
126,34637144.96973,33227008.8529341,24828809.2034937,8398199.64944032,5755641.15915443,5429674.83572192
127,34787884.7216173,33370993.9870919,24897672.4672062,8473321.51988567,0,0
128,35065330.8475053,33637853.4651547,25103651.7037577,8534201.76139694,5826368.33788631,5496688.24607495
129,35236643.8891742,33801587.8727788,25172749.6463642,8628838.22641459,0,0
130,35501230.1086698,34055971.2269815,25301691.4624518,8754279.76452975,5900239.40160161,5567216.11252614
131,35638222.2524702,34187719.084398,25387775.392488,8799943.69191001,0,0
132,35790719.8995587,34333871.7877712,25447347.4040564,8886524.38371475,5948835.05621136,5613329.31552863
133,35926945.8102663,34465280.2222942,25548890.2287734,8916389.99352083,0,0
134,36271146.3697267,34797020.6850654,25824811.5236421,8972209.16142335,6029639.89806498,5689740.72849932
135,36430374.9168893,34949430.7786581,25946723.3240844,9002707.45457376,0,0
136,36460071.6533173,34979267.496505,25961013.0081624,9018254.48834263,6062477.20573229,5720824.1119853
137,36599483.37528,35113675.9869429,26102023.1605566,9011652.82638636,0,0
138,36836704.4370978,35342082.0580361,26308760.6855665,9033321.37246964,6124481.7404979,5779362.01521003
139,37006083.0121173,35504880.6556035,26446142.3986668,9058738.2569367,0,0
140,37378900.8347177,35863126.4330774,26721415.4441158,9141710.98896158,6212496.23905075,5862293.74807841
141,37585128.6267054,36061085.7597966,26863723.3637328,9197362.39606378,0,0
142,37887308.4758511,36351752.5408376,27109065.8051221,9242686.73571542,6298563.9640715,5944170.50426933
143,37983840.1380733,36446489.9299593,27217490.5536164,9228999.37634285,0,0
144,38169489.9881888,36623517.5723538,27306096.7862987,9317420.78605507,6344059.70548538,5987440.51608873
145,38408556.7080186,36854818.4647816,27545897.9769645,9308920.48781706,0,0
146,38940048.6416048,37365615.3966017,27967681.9763628,9397933.42023888,6476488.76174844,6112934.53584762
147,39060384.8989811,37481640.5677939,28063039.1882803,9418601.3795136,0,0
148,39190903.8952051,37607011.0761719,28160638.3347223,9446372.74144961,6517796.23864669,6151747.39969268
149,39382139.1323418,37790244.9662145,28308104.7287445,9482140.23747001,0,0
150,39592453.101724,37992825.3899017,28473121.4011056,9519703.98879612,6585898.85838741,6216283.46411917
151,39755842.8093006,38151587.5206838,28632383.5561154,9519203.96456842,0,0
152,40254381.84509,38629584.739083,29018385.3443636,9611199.39471933,6691093.56277213,6314892.23013391
