period,total pensions cost,total net pensions,total retirement benefits,total survivors pensions," total thirteenth month of pension, cost",total net thirteenth month of pension," total thirteenth month of universal pension, cost",total net thirteenth month of universal pension
49,17961457.0690947,17255645.0718144,14972411.0121604,2283234.059654,0,0,,
50,20689184.2643273,19873660.1122901,17141641.5233179,2732018.58897219,3451359.37845264,3257958.83921554,,
51,20098988.3073259,19305093.5325662,16576621.5669162,2728471.96564992,0,0,,
52,21719874.0931624,20860990.1667672,17851765.4592199,3009224.70754724,3622658.74588121,3420261.30243928,,
53,18966435.76753,18219854.6591102,15527835.6791353,2692018.97997481,0,0,,
54,19546962.2662324,18776191.2728548,15958451.9373863,2817739.33546847,3260772.46244386,3079588.14843539,,
55,18526313.6895316,17795233.2370496,15024158.7818679,2771074.45518175,0,0,,
56,20262338.3201087,19461400.2524411,16351845.4557428,3109554.79669833,3379707.70949627,3192543.49850135,,
57,19396953.8551872,18629485.7810276,15592024.7549058,3037461.0261218,0,0,,
58,20748696.7026994,19925622.7476586,16606750.1647191,3318872.5829395,3460286.43380804,3269443.53122345,,
59,19902466.1190135,19112989.4955185,15889856.8072131,3223132.68830538,0,0,,
60,21691453.3529628,20830003.8831829,17264156.5392248,3565847.34395803,3617067.79055957,3418287.38814759,,
61,20352439.0246884,19541787.6519745,16111761.4440047,3430026.2079698,0,0,,
62,20109007.8960851,19307012.0053334,15825622.1050753,3481389.90025817,3352888.19023209,3169157.93340319,,
63,19969789.2848035,19172055.4972354,15671510.3379736,3500545.1592618,0,0,,
64,20288266.2472152,19472790.7991754,15841075.3565106,3631715.44266477,3380961.84608859,3195700.66769649,,
65,20527643.9011113,19701595.4463276,16009140.6688302,3692454.77749743,0,0,,
66,20789293.9087208,19952521.4380783,16205217.9125893,3747303.52548898,3464658.45269405,3275611.51333178,,
67,21016935.3685854,20170104.6606095,16362742.9927942,3807361.6678153,0,0,,
68,21226411.0905279,20371073.3338831,16533221.1580944,3837852.17578871,3537567.65613117,3344461.92138151,,
69,21783171.4640494,20905391.2623663,16973804.411921,3931586.8504453,0,0,,
70,21928798.0298485,21044621.9647691,17035605.2520015,4009016.71276757,3654114.12887176,3448916.53100476,,
71,22133942.5090212,21240469.5201867,17155849.3561844,4084620.16400228,0,0,,
72,22347014.985753,21444225.109314,17310313.4674193,4133911.64189475,3723679.05756245,3514506.83502336,,
73,22536209.102218,21624925.9066164,17428569.6362473,4196356.27036907,0,0,,
74,22697860.0259134,21779753.4730373,17525825.0979274,4253928.37510994,3782179.8953402,3569532.14043439,,
75,22961125.8297353,22030837.411882,17678931.189042,4351906.22284005,0,0,,
76,23250896.5525108,22306394.9693891,17884234.6930827,4422160.27630637,3873929.21403131,3656190.09896016,,
77,23433411.6731852,22480785.7214309,17996661.7458022,4484123.97562864,0,0,,
78,23633641.2691999,22672233.0467764,18103281.9305883,4568951.11618808,3937577.23037779,3716067.32470942,,
79,23899863.0037654,22926485.5276238,18290238.1953386,4636247.3322852,0,0,,
80,24146402.0009276,23162046.914073,18464475.7252273,4697571.18884569,4022907.08142579,3796272.16137997,,
81,24397332.8959855,23401042.0320785,18631220.9169896,4769821.11508885,0,0,,
82,24596440.064877,23590969.965147,18720005.6814268,4870964.28372011,4097504.49680574,3866525.29603771,,
83,24825951.0178284,23810693.6375927,18877206.9660424,4933486.67155024,0,0,,
84,25050556.8914926,24024259.3157339,18997379.650776,5026879.66495795,4172792.7902792,3937505.9237547,,
85,25390503.7086053,24348705.6355549,19234553.2610035,5114152.37455138,0,0,,
86,25635729.0984985,24583296.4120609,19388665.8542672,5194630.55779368,4270108.45103104,4029033.791169,,
87,25846541.1125435,24783918.4384172,19488327.2162215,5295591.22219576,0,0,,
88,26115861.3061508,25041531.4664269,19673464.1508074,5368067.31561951,4349813.86381115,4103778.83119296,,
89,26408575.0243147,25321208.0389168,19883957.7120674,5437250.32684935,0,0,,
90,26712416.3529971,25611163.1638334,20097966.5210127,5513196.64282073,4448883.21705298,4197350.35878697,,
91,26956479.5862685,25843711.2578246,20232656.2408596,5611055.01696503,0,0,,
92,27215154.4039162,26088931.7267006,20368796.0831145,5720135.64358607,4532242.98057913,4275767.59453705,,
93,27405264.412805,26270235.7409285,20459767.1109957,5810468.62993284,0,0,,
94,27718575.6376512,26569704.0508497,20686102.3853464,5883601.66550327,4615967.77186405,4354931.46946961,,
95,27914976.7760813,26758099.9879504,20797059.1094788,5961040.87847161,0,0,,
96,28177337.7057438,27008521.5066519,20933399.8624922,6075121.64415962,4692187.93759329,4426545.72190083,,
97,28461570.2728686,27280680.4052649,21109498.0772734,6171182.3279915,0,0,,
98,28726178.1482784,27534234.9095849,21246006.8472387,6288228.06234618,4783277.28429832,4512739.93514861,,
99,28934963.9342248,27732778.8893609,21338690.7910034,6394088.09835748,0,0,,
100,29252641.9018831,28036031.69698,21525670.521408,6510361.17557203,4870618.63621535,4595226.35388182,,
101,29465091.2125676,28238825.3719285,21637015.1683728,6601810.2035557,0,0,,
102,29698583.1033237,28462220.9202079,21811451.9080426,6650769.01216527,4945089.55974983,4665541.27051708,,
103,30028469.4210349,28776310.308285,22013156.1458166,6763154.16246841,0,0,,
104,30427885.6311969,29158266.1874296,22279398.1669759,6878868.02045367,5066319.29958445,4779872.08928592,,
105,30654184.3839882,29373873.4214223,22402476.3665689,6971397.0548533,0,0,,
106,30867577.6524553,29577915.1091455,22548552.0002644,7029363.10888104,5139219.31858574,4848365.75021288,,
107,31126107.5929679,29824281.4904747,22724657.8832704,7099623.60720425,0,0,,
108,31211692.8602588,29906366.8873874,22726612.0138792,7179754.87350824,5196133.69363305,4902169.42417746,,
109,31550092.4182759,30230003.6320978,22954108.0656405,7275895.56645732,0,0,,
110,31878952.5362562,30543158.1645472,23214407.2494359,7328750.91511123,5307471.25851092,5007115.55608079,,
111,32132228.0693083,30786045.6854667,23358375.1361293,7427670.54933747,0,0,,
112,32437403.7725098,31077516.4407304,23519234.0545704,7558282.38616002,5400329.470249,5094952.72982664,,
113,32712303.2529943,31342103.7258469,23719380.475554,7622723.25029291,0,0,,
114,32949730.6898764,31570264.520822,23868898.20695,7701366.31387197,5485573.84802991,5175583.79922671,,
115,33175582.6315246,31785943.3326388,23970462.5082259,7815480.82441292,0,0,,
116,33363023.5323776,31965923.9801049,24120738.3028889,7845185.67721597,5554086.90118779,5240125.94819062,,
117,33748000.2456372,32334480.9456054,24410962.3739595,7923518.57164588,0,0,,
118,34054826.2874883,32628093.1713144,24633689.4673057,7994403.70400864,5669141.58872325,5348568.20726032,,
119,34307401.8425115,32870520.5869233,24804199.9111964,8066320.67572686,0,0,,
120,34675968.3492226,33222810.5072563,25084592.4643073,8138218.04294902,5772297.7932525,5445872.76440331,,
121,34983709.7739102,33517735.1598953,25270980.542193,8246754.6177023,0,0,,
122,35180236.1156932,33706411.5134099,25389375.7842487,8317035.72916118,5856036.42752495,5525052.78275767,,
123,35516184.7352603,34028923.290818,25629949.7629245,8398973.52789354,0,0,,
124,35897274.7531653,34391985.1393675,25901962.7100974,8490022.42927009,5975524.40791689,5637346.99359294,,
125,36172692.1910626,34656112.0868794,26068367.9620612,8587744.12481819,0,0,,
126,36550890.6920167,35019007.9688147,26383099.0956397,8635908.873175,6084070.44456323,5740190.42239526,,
127,37013999.2098256,35460824.906555,26742739.4527275,8718085.45382744,0,0,,
128,37381988.017767,35813610.280897,26981310.5971925,8832299.68370447,6222159.21607634,5870533.31405041,,
129,37689398.0570503,36109611.4573232,27236774.0670493,8872837.39027385,0,0,,
130,38133946.4662409,36535195.0875442,27566744.7607078,8968450.32683648,6347068.41406287,5988547.23871341,,
131,38335351.791377,36727891.7745411,27680013.5878897,9047878.18665143,0,0,,
132,38681497.9047075,37059580.1868461,27894890.5843579,9164689.60248811,6437941.21820873,6074011.21930716,,
133,39065486.9291964,37426663.7049169,28172861.5868773,9253802.11803954,0,0,,
134,39208119.2884997,37563950.8501819,28278172.6013358,9285778.24884608,6525434.8567825,6156151.3101463,,
135,39521577.1835555,37864914.4145726,28488978.1889879,9375936.22558472,0,0,,
136,39882146.7395354,38209504.4350893,28717502.6314264,9492001.8036629,6637614.77481147,6262287.1986764,,
137,40297982.497095,38607729.2860345,29002803.7844983,9604925.50153627,0,0,,
138,40707058.4766175,38999885.8820406,29282811.5469595,9717074.33508112,6774861.22271922,6391871.88972321,,
139,41010013.7305724,39291350.352493,29494902.5294888,9796447.8230042,0,0,,
140,41406265.5577033,39670518.9600725,29766443.5976955,9904075.36237706,6891085.83679295,6501281.14891246,,
141,41762697.474935,40012917.0888934,30075044.7907568,9937872.29813662,0,0,,
142,41960820.3595414,40204732.3780522,30192857.604675,10011874.7733772,6983357.23196131,6589014.74231383,,
143,42298035.373387,40528938.4101819,30468535.1246099,10060403.285572,0,0,,
144,42753652.4573307,40964065.7415999,30799024.6961073,10165041.0454926,7115115.68799809,6713523.74007926,,
145,43106247.9439729,41303056.9245556,31101505.2904655,10201551.63409,0,0,,
146,43545320.7289759,41723494.8233734,31396734.1053265,10326760.7180469,7246891.16664394,6837628.44557063,,
147,43972846.6945344,42132266.5910763,31652973.5686272,10479293.0224492,0,0,,
148,44443067.6136564,42582156.2444398,32006764.8948908,10575391.349549,7396437.09685658,6978820.90175704,,
149,44773507.2851529,42898937.4819474,32275124.6409439,10623812.8410036,0,0,,
150,45248185.4516186,43353979.4412123,32581967.3816217,10772012.0595906,7530200.40659839,7105166.53260976,,
