period,total pensions cost,total net pensions,total retirement benefits,total survivors pensions," total thirteenth month of pension, cost",total net thirteenth month of pension," total thirteenth month of universal pension, cost",total net thirteenth month of universal pension
49,17961457.0690947,17255645.0718144,14972411.0121604,2283234.059654,0,0,,
50,20689184.2643273,19873660.1122901,17141641.5233179,2732018.58897219,3451359.37845264,3257958.83921554,,
51,20098988.3073259,19305093.5325662,16576621.5669162,2728471.96564992,0,0,,
52,21719874.0931624,20860990.1667672,17851765.4592199,3009224.70754724,3622658.74588121,3420261.30243928,,
53,18966435.76753,18219854.6591102,15527835.6791353,2692018.97997481,0,0,,
54,19546962.2662324,18776191.2728548,15958451.9373863,2817739.33546847,3260772.46244386,3079588.14843539,,
55,18526313.6895316,17795233.2370496,15024158.7818679,2771074.45518175,0,0,,
56,20262338.3201087,19461400.2524411,16351845.4557428,3109554.79669833,3379707.70949627,3192543.49850135,,
57,19396953.8551872,18629485.7810276,15592024.7549058,3037461.0261218,0,0,,
58,20748696.7026994,19925622.7476586,16606750.1647191,3318872.5829395,3460286.43380804,3269443.53122345,,
59,19902466.1190135,19112989.4955185,15889856.8072131,3223132.68830538,0,0,,
60,21691453.3529628,20830003.8831829,17264156.5392248,3565847.34395803,3617067.79055957,3418287.38814759,,
61,20352439.0246884,19541787.6519745,16111761.4440047,3430026.2079698,0,0,,
62,20109007.8960851,19307012.0053334,15825622.1050753,3481389.90025817,3352888.19023209,3169157.93340319,,
63,19969789.2848035,19172055.4972354,15671510.3379736,3500545.1592618,0,0,,
64,20060552.7688712,19258226.3287394,15678978.7821478,3579247.54659155,3344316.04183547,3161640.68488305,,
65,20226208.3708258,19416243.3934015,15788510.9827882,3627732.41061334,0,0,,
66,20429876.0363631,19611310.7270605,15941606.348275,3669704.37878547,3405595.33091368,3220227.27659933,,
67,20581739.5708069,19756117.905729,16040023.5043812,3716094.40134781,0,0,,
68,20712848.7518675,19881857.8288191,16148922.7839882,3732935.04483093,3452536.94580355,3264455.05061309,,
69,21183871.0292941,20333844.8670506,16522665.1905375,3811179.67651311,0,0,,
70,21249816.8480769,20396579.9541308,16522970.1818956,3873609.77223515,3541274.85780143,3342667.10993276,,
71,21365959.8545998,20506960.7674828,16578697.6992632,3928263.06821961,0,0,,
72,21463044.6997899,20598669.5211373,16604273.4342717,3994396.08686562,3576126.74766165,3375323.82264568,,
73,21543620.4081588,20675511.7353952,16645853.4897305,4029658.24566474,0,0,,
74,21612938.8935028,20741048.1579344,16659144.5341111,4081903.62382329,3600582.11192109,3398045.10756782,,
75,21772546.1077649,20892432.2406131,16732412.1697958,4160020.0708173,0,0,,
76,21925889.7396106,21039175.1604233,16837067.3189302,4202107.84149303,3652121.59548247,3446819.93746381,,
77,22022665.696873,21131622.7664161,16890560.0641804,4241062.70223571,0,0,,
78,22173258.8952955,21274040.253391,16928812.4315083,4345227.82188264,3692742.68220698,3484854.05290493,,
79,22340131.0315571,21432433.1669394,17024438.1428345,4407995.02410487,0,0,,
80,22535944.5276469,21619273.334811,17146335.4480273,4472937.88678365,3752497.78138118,3540818.3336737,,
81,22606724.6641577,21686333.9790465,17204776.2630679,4481557.71597856,0,0,,
82,22701377.8453371,21777098.3803393,17260506.817275,4516591.56306427,3779715.87587116,3566411.94118058,,
83,22806080.2537982,21877609.6736289,17299851.9662717,4577757.70735722,0,0,,
84,22958090.714542,22022763.1061291,17379550.5633539,4643212.54277517,3822050.08357001,3606299.37825133,,
85,23096639.3611137,22154588.538692,17466593.1922239,4687995.34646808,0,0,,
86,23170780.4472375,22224943.1414362,17468533.2077834,4756409.93365279,3857011.79165552,3639021.51257472,,
87,23291070.3064742,22339551.1794543,17526698.8586172,4812852.32083704,0,0,,
88,23405965.8636695,22449332.5525954,17561298.6703936,4888033.88220177,3895754.65467237,3675278.10849194,,
89,23625828.5291038,22658345.7719031,17675616.9540035,4982728.8178996,0,0,,
90,23779236.4771436,22804705.4754098,17773170.563703,5031534.91170687,3957141.78017276,3733245.68576185,,
91,23940007.3716623,22956867.9941136,17861662.4027043,5095205.59140933,0,0,,
92,24028870.1099718,23040783.4852871,17872014.1563631,5168769.32892393,3998205.31086902,3771817.73339089,,
93,24154759.854339,23161015.494374,17949834.5480211,5211180.94635292,0,0,,
94,24369586.6466322,23365523.3388106,18081228.7316526,5284294.60715804,4054387.23040018,3824845.76561253,,
95,24491465.9647848,23482131.7144146,18159261.0190238,5322870.69539086,0,0,,
96,24513834.9411367,23503632.3962633,18161415.9001603,5342216.496103,4077931.1755431,3846942.39892035,,
97,24679708.7616253,23662683.6608445,18260943.07452,5401740.58632452,0,0,,
98,24813427.1139531,23790443.4667938,18334872.9570619,5455570.50973188,4127294.54013903,3893570.59580488,,
99,24954840.5147245,23925972.7904752,18422659.4316191,5503313.35885611,0,0,,
100,25078228.9481875,24043567.4895414,18473750.9497368,5569816.53980468,4170856.92486518,3934596.9400228,,
101,25196373.7078867,24156418.5723609,18523238.148487,5633180.42387396,0,0,,
102,25336909.0829998,24290628.1398733,18618457.9206047,5672170.21926859,4213407.48946435,3974648.54328975,,
103,25518990.0482443,24464186.8940304,18740628.9430326,5723557.95099781,0,0,,
104,25720023.1576699,24655343.282387,18890808.6948477,5764534.58753935,4276612.24641868,4034191.03079334,,
105,25833756.5169024,24764082.2460092,18942038.6867807,5822043.55922854,0,0,,
106,26004140.8440156,24927316.2185739,19007783.5072977,5919532.71127615,4323447.47672481,4078332.57483965,,
107,26095461.2473045,25014701.282936,19050308.9394819,5964392.3434541,0,0,,
108,26198578.3123282,25113386.0115623,19130660.9634766,5982725.04808575,4355355.23190236,4108218.99446713,,
109,26364165.67031,25271695.7411192,19255500.950019,6016194.79110027,0,0,,
110,26535568.5385129,25434754.5759529,19390988.1246816,6043766.45127129,4411079.76394865,4160563.77987084,,
111,26651518.3164016,25546194.1035722,19419843.5483101,6126350.5552622,0,0,,
112,26772333.4225641,25661963.3941959,19513934.4725958,6148028.92160012,4450085.52982557,4197572.41764078,,
113,26926345.0074762,25809511.1249531,19628430.9365478,6181080.18840528,0,0,,
114,26990219.7694081,25871309.7926524,19642401.6222293,6228908.17042314,4486162.55886892,4231879.16777169,,
115,27134917.7205331,26008863.1458539,19696323.9585669,6312539.18728695,0,0,,
116,27263467.9750104,26131907.9787342,19792720.3539675,6339187.62476676,4531091.46521251,4274193.35711675,,
117,27411466.6149209,26273912.352461,19893872.3472884,6380040.00517266,0,0,,
118,27554682.0955778,26410222.1912481,19975441.9472556,6434780.24399245,4579172.26502,4319425.22361854,,
119,27621420.871564,26474446.4851577,19964722.1452713,6509724.33988638,0,0,,
120,27798138.9426463,26642990.8564066,20101997.0471973,6540993.80920933,4619209.72916886,4357164.0485492,,
121,27923925.9147868,26763501.1067598,20202757.4331769,6560743.67358297,0,0,,
122,28029950.1910365,26864211.791025,20251107.8298947,6613103.96113025,4657415.11689711,4393038.46931354,,
123,28103981.7953302,26935784.3686799,20308129.8428595,6627654.52582044,0,0,,
124,28276320.9308049,27099711.9927531,20425318.4635167,6674393.52923646,4698016.5252178,4431114.36712199,,
125,28471674.8563414,27287598.8297791,20568623.4449348,6718975.38484429,0,0,,
126,28644387.6866293,27454261.3094298,20706465.586697,6747795.72273277,4759060.87337179,4488954.97292997,,
127,28845567.9838837,27646586.9436631,20860490.1701558,6786096.7735073,0,0,,
128,28947400.9178589,27744635.6369151,20915271.9433455,6829363.6935696,4809036.4503195,4536160.40519996,,
129,29101416.1635983,27893023.1726847,21027655.0624318,6865368.11025286,0,0,,
130,29292406.2796665,28076091.0032167,21183883.631262,6892207.37195461,4866321.51632247,4590595.74409241,,
131,29352697.1808825,28134130.4034113,21222101.0012465,6912029.40216483,0,0,,
132,29475643.6863816,28252015.8001728,21270758.465605,6981257.33456784,4896614.18736532,4618989.6097893,,
133,29651181.2088411,28420491.8516372,21420406.3991548,7000085.4524824,0,0,,
134,29759543.7794128,28524166.2499496,21472127.5198788,7052038.73007079,4943438.47742153,4662958.30433595,,
135,29916823.9770912,28674566.3134178,21530405.366633,7144160.94678478,0,0,,
136,30056317.7677619,28808759.8722367,21659164.3785934,7149595.49364328,4992706.99382705,4709619.37798819,,
137,30217671.5913941,28963574.8239133,21757682.0229932,7205892.80092014,0,0,,
138,30339127.659245,29080198.120987,21855104.2199155,7225093.90107158,5039386.9213072,4753737.30272262,,
139,30444650.6056566,29181907.5318173,21955016.749589,7226890.78222828,0,0,,
140,30631331.1036424,29360655.7973505,22053877.727745,7306778.06960548,5087676.01650847,4799360.79023609,,
141,30763085.6659786,29486288.9241317,22111648.4858763,7374640.43825542,0,0,,
142,30910295.2115652,29627798.1874862,22209549.2927487,7418248.89473751,5133629.64183042,4843087.85586291,,
143,31075905.9570488,29787236.338398,22311385.5482938,7475850.79010425,0,0,,
144,31210880.2216576,29916972.2847883,22416038.6430384,7500933.64174991,5183413.65225202,4890249.72606957,,
145,31400801.3382334,30099577.7190891,22592103.6318985,7507474.08719064,0,0,,
146,31568746.7212422,30261419.1262866,22752100.2421045,7509318.88418215,5242911.61286384,4946206.94850349,,
147,31774121.6917222,30458447.8847386,22881545.315925,7576902.5688136,0,0,,
148,31881516.2036814,30562465.6596531,23008622.0193845,7553843.64026859,5294759.97932182,4995288.21814234,,
149,32019671.1254201,30696018.9350248,23125849.7474754,7570169.18754941,0,0,,
150,32229818.6033211,30898882.1964655,23327443.9151682,7571438.28129722,5352588.03335054,5049858.15644546,,
