period,Total_pensions_cost,Total_net_pensions,Total_retirement_benefits,Total_survivors_pensions,Total_thirteenth_month_of_pension_cost,Total_net_thirteenth_month_of_pension
49,17726930.2085767,17033712.9076781,14720087.13358,2313625.77409817,0,0
50,20459674.380274,19657440.1671231,16939416.8868909,2718023.28023212,3413040.72408913,3222109.63706971
51,19873920.8840003,19093055.5175859,16354488.7688325,2738566.74875344,0,0
52,21487305.9473295,20641940.2360822,17590659.3229929,3051280.91308932,3584018.55787949,3384352.16128332
53,18882779.8270363,18141173.0818911,15424507.2768275,2716665.8050636,0,0
54,19451900.9525527,18686540.4815894,15835779.5945412,2850760.8870482,3244878.33389566,3064999.08907988
55,18511421.7277343,17782405.6606682,15008663.9742574,2773741.68641081,0,0
56,20223896.0357682,19425796.0432414,16321934.07633,3103861.96691138,3373217.85263718,3186794.45736362
57,19374747.1469748,18609518.2497224,15581439.3453492,3028078.90437318,0,0
58,20704192.5715808,19884976.6325598,16582187.536294,3302789.09626589,3452889.3951191,3262817.87717663
59,19932252.9978381,19142962.5091714,15916697.3882036,3226265.12096779,0,0
60,21677748.5433035,20818657.8127071,17231745.2466027,3586912.56610444,3614839.87738317,3416619.26158478
61,20128894.5295561,19331807.5357475,15963302.855588,3368504.68015949,0,0
62,21449498.6018344,20599927.5250981,16939258.33268,3660669.19241805,3578389.79384565,3383509.42161093
63,19374271.5748325,18605475.8996757,15211770.3836125,3393705.51606318,0,0
64,19202122.311515,18443998.9352643,15052112.6213139,3391886.31395044,3204429.62119712,3031452.45702825
65,17679644.8793978,16980758.5753641,13865586.1300255,3115172.44533858,0,0
66,19195251.8702381,18455621.3893099,15189989.5797739,3265631.80953603,3204018.74332089,3032717.4719376
67,17717698.6956444,17033930.4643716,13995787.6915297,3038142.7728419,0,0
68,18281204.5949232,17586186.1742963,14502265.5651141,3083920.60918222,3051464.47569,2888387.16132427
69,17301461.9595639,16643552.1961469,13738848.3838316,2904703.81231532,0,0
70,19473245.6911807,18731125.5778773,15397739.7901548,3333385.7877225,3249331.00137227,3069506.36991443
71,18312858.0767838,17613598.5202066,14420812.0305548,3192786.48965178,0,0
72,19758502.3835469,19002258.6512307,15492938.2477464,3509320.40348431,3296351.1605451,3113617.26386233
73,18782956.3347337,18061767.7264834,14705197.6343988,3356570.09208454,0,0
74,20995694.3246565,20188595.3156352,16400398.4619536,3788196.85368157,3502715.37211964,3308477.40029178
75,19999857.4551496,19230019.3387248,15545190.4428934,3684828.89583136,0,0
76,21341984.3359554,20519280.6033456,16509687.9308509,4009592.67249468,3560028.29494182,3362593.94099105
77,20413753.2559201,19625261.3860363,15774936.7503843,3850324.63565199,0,0
78,22774112.7836146,21893738.805573,17566161.6641764,4327577.14139662,3799471.79394817,3588704.69411636
79,21814447.9860948,20970346.349398,16796294.5920204,4174051.75737767,0,0
80,23873257.9465277,22949115.4149466,18371199.5814961,4577915.83345049,3983237.85356971,3762269.95770488
81,23082743.0162794,22187925.5777663,17738663.3633945,4449262.21437174,0,0
82,25122978.8447804,24147511.0851243,19262896.7912609,4884614.29386339,4190951.60661257,3958222.66973276
83,24286395.366822,23342873.0024416,18585267.8110001,4757605.19144146,0,0
84,26068543.6925811,25052585.5870596,19861400.2767962,5191185.31026348,4348722.06377664,4106839.86563342
85,25422544.3309635,24430321.0913054,19341959.7999552,5088361.29135025,0,0
86,27217905.9998052,26154338.0649575,20655454.8332522,5498883.23170522,4540330.13037611,4287506.32494831
87,26670585.1942035,25626486.4609022,20231871.3816557,5394615.07924645,0,0
88,28125734.8075814,27023686.761906,21297448.918313,5726237.84359301,4691390.13511234,4429799.64457107
89,27709528.5902152,26621531.8119073,20917895.1622485,5703636.6496588,0,0
90,29378032.8391851,28222300.9613458,22151098.8046532,6071202.15669257,4899785.95647816,4626368.85720906
91,28902090.3565448,27764100.2982537,21785922.060825,5978178.23742868,0,0
92,30478743.6255706,29276594.3331859,22952036.3482004,6324557.98498544,5083210.24301842,4799491.56550723
93,30407303.2794111,29207094.3542722,22908898.9859686,6298195.36830361,0,0
94,32045545.8708721,30778726.1157059,24098831.9194318,6679894.19627411,5342729.74432784,5044036.36015744
95,31953134.6988873,30689269.9906438,23941013.1323557,6748256.8582881,0,0
96,33062501.765338,31753046.8583059,24700057.3809866,7052989.47731934,5510323.0955655,5201894.88501703
97,33035258.671664,31725922.3870075,24678353.9240877,7047568.46291984,0,0
98,33905973.8228975,32561975.8466298,25320716.8927859,7241258.95384394,5649957.08246969,5333596.94111957
99,33876934.1912105,32534119.3521024,25305364.5884485,7228754.7636539,0,0
100,34604784.0440641,33232552.3942431,25844896.1206271,7387656.27361603,5765603.83402147,5442581.56765703
101,34440773.2339443,33075757.932178,25709631.4059559,7366126.52622206,0,0
102,35174708.1460944,33778991.4724039,26249066.4092017,7529925.06320229,5858397.07500517,5529685.59352177
103,35118192.8705917,33723190.1874326,26156443.146416,7566747.04101655,0,0
104,35867614.9243822,34441480.7438015,26625889.5482185,7815591.19558301,5970999.49066661,5635368.76426217
105,35810797.6753573,34386562.8332029,26539226.5341453,7847336.29905761,0,0
106,36569795.4727099,35115219.9231855,27079523.9698115,8035695.95337404,6087477.59352562,5745475.40381414
107,36530806.1612271,35076662.3552169,27021041.2405856,8055621.11463134,0,0
108,37247336.2784225,35763719.0756732,27531386.653557,8232332.42211616,6201128.32587075,5852743.60914531
109,37204690.6214178,35721853.5332077,27434418.6256923,8287434.90751536,0,0
110,38069756.7430826,36551178.3778444,28058111.7084591,8493066.66938533,6337564.92546309,5981247.62704323
111,38087978.1126983,36567715.5225351,28066802.785069,8500912.7374661,0,0
112,38896651.1190331,37342960.2246049,28599563.7252172,8743396.49938769,6472881.25630889,6108431.41976117
113,38758729.9484605,37209956.6995964,28485312.207084,8724644.49251231,0,0
114,39547500.3771308,37966673.9975157,29041371.4185638,8925302.57895192,6580749.77138476,6210158.27144303
115,39451337.9671584,37873620.2400735,28968936.6383393,8904683.60173421,0,0
116,40319141.9126453,38706515.830933,29567067.5812098,9139448.24972312,6707007.27114145,6328938.81652247
117,40260829.9980592,38648670.1018805,29450249.9121014,9198420.18977904,0,0
118,41079796.1417725,39433989.2572269,30031791.2839782,9402197.97324868,6833886.0172103,6448401.3423122
119,41070764.5496152,39425216.8663508,29994201.6502452,9431015.21610554,0,0
120,41788411.4764103,40113190.6165344,30509853.036823,9603337.57971138,6950493.66924359,6558089.08606028
121,41641496.0320357,39972454.2395835,30368417.2861469,9604036.95343662,0,0
122,42374021.1238324,40674996.6331012,30899321.5600623,9775675.07303891,7046146.05074792,6647664.27975169
123,42288831.2389267,40594110.270544,30862405.4536163,9731704.81692768,0,0
124,43009647.3237392,41285342.3756151,31344267.1203014,9941075.25531369,7151076.52255376,6746567.72078488
125,42940274.0536249,41220093.3591178,31319611.2336975,9900482.12542033,0,0
126,43849295.1149072,42093794.1126089,32006074.2596642,10087719.8529447,7288104.252976,6875910.90396591
127,43641223.8205462,41895957.0623648,31843127.7909849,10052829.2713799,0,0
128,44315563.0977371,42545073.8140573,32345110.1343816,10199963.6796758,7366309.75713332,6949984.15617066
129,44378978.2647207,42605276.5508766,32349587.8025185,10255688.7483582,0,0
130,45181733.2227626,43374229.3239053,32883857.5458924,10490371.7780129,7508556.22601982,7084070.7502587
131,45112651.0969893,43308336.9442171,32801145.6550602,10507191.2891569,0,0
132,45867287.3931884,44033784.8635363,33315143.2712876,10718641.5922487,7622139.72147413,7191226.50061124
133,45826272.251416,43995079.2467829,33305129.5789762,10689949.6678067,0,0
134,46597759.9129321,44736342.6023086,33882890.2681094,10853452.3341992,7746052.88047465,7308920.51816763
135,46468222.8690669,44611974.0516728,33792783.3013893,10819190.7502835,0,0
136,47275999.9628259,45386243.9535037,34328939.8638486,11057304.0896552,7861112.43262219,7417754.23487927
137,47154375.5041172,45270025.1669829,34206405.4622147,11063619.7047682,0,0
138,48028453.5770141,46109316.1347634,34866703.8044229,11242612.3303404,7984350.07971413,7533747.32295414
139,47929230.4885156,46013574.1478016,34746629.4278883,11266944.7199132,0,0
140,48898318.1076231,46943069.5593166,35436214.2796333,11506855.2796833,8125552.8063738,7666307.96033536
141,48790224.3882907,46839854.1494295,35311364.5256501,11528489.6237794,0,0
142,49636184.7222431,47652943.5348108,36000301.1475649,11652642.387246,8254566.64812553,7790292.25107787
143,49672609.8527506,47686148.5420017,35941793.1322673,11744355.4097344,0,0
144,50504648.4523894,48484292.0230104,36510137.3033122,11974154.7196982,8401082.19432866,7929118.34425923
145,50492933.9835138,48471547.4136046,36481692.3207026,11989855.092902,0,0
146,51346870.2557937,49291064.4140085,37057670.5599008,12233393.8541077,8534805.82997537,8053641.05633915
147,51127268.7384222,49080656.8604458,36854269.2305979,12226387.6298478,0,0
148,51970653.8313595,49889980.9151472,37472224.7311276,12417756.1840196,8636876.23412249,8149095.16120228
149,51883728.2262304,49807926.0179157,37421294.6435999,12386631.3743158,0,0
150,52729084.9157657,50618990.6488502,38013380.7376205,12605609.9112297,8765468.84281242,8270889.5592933
151,52652205.3765515,50544282.836865,37838097.2579638,12706185.5789012,0,0
152,53930867.5245913,51771055.0419338,38801717.4566477,12969337.585286,8958347.5339648,8451388.18401589
