period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
71,2590072.8805066063,1141260.0976486953,1078733.6832412856,275995.34859257925,0.0,7073.360244578373,36305.64293250896,44462.572388563894,7146.471714228991
72,2591205.080762538,1155254.513108452,1070898.832806316,275090.46877004835,0.0,8297.743755495176,35731.51120106998,39219.315100563275,7472.23663821217
73,3098518.2520317,1103857.5997149802,1069472.3102975164,275627.2046255541,575218.2685642446,6230.653965300655,30938.05764033642,29919.293070306157,7157.3261416234445
74,2561226.541715736,1137674.1559176026,1062272.12538469,274408.84499327705,0.0,6593.503481988622,32468.32856275168,40649.81004442989,7526.199586493123
75,2561870.1353685707,1107835.8572490038,1090254.3828299805,272855.0283388794,0.0,8211.506088520002,32723.678838397773,42875.952551578055,7113.729472211703
76,2579733.538885242,1116437.6206913232,1101657.2106723522,268711.877584151,0.0,3702.632647926052,43981.41675347502,35495.51111157447,8808.417178326798
77,3106172.380894707,1084377.6248163434,1095975.2023242223,269216.62958791235,568174.4035499551,6565.6382889828665,35120.07791834914,37574.609531362825,7859.101736062897
78,2574921.7231726726,1157540.673007578,1053427.7632593827,268934.9807793671,0.0,8969.208430378843,36702.78295028487,40278.87578171212,8125.072598598318
79,2521470.954874723,1124534.2870224628,1054498.2973841818,269018.2175089013,0.0,7587.829177840091,29771.3420078461,29156.046244141857,6904.935529349403
80,2514680.631855949,1133412.2139274545,1028566.6922124154,267253.3383882255,0.0,6930.018978113288,36103.63097117568,34836.55570365944,7948.737945445442
81,3080408.8678318267,1167284.9750150796,994150.793832256,266282.5146884629,577362.132918833,4615.380160177188,32812.261727429985,30014.392093299724,6933.865128048057
82,2495704.0853919354,1124190.3039340454,1014622.0635572501,266920.6587631965,0.0,6803.889907596769,40713.59899228926,34387.01090983539,8761.50594659676
83,2481092.877611418,1130790.2162420163,995706.5457169794,266329.67366007017,0.0,6599.678748939155,44304.73738460341,29724.065373662026,8334.206480126453
84,2494890.967206279,1155214.83889986,983004.5010569025,265067.2840445058,0.0,7553.222187440663,41566.84565760034,34687.038076902776,8121.4496410879365
85,3009707.4022297096,1130072.6227785249,981040.0045310195,265334.70148277306,556811.8156438606,3691.2741632608345,31110.450105346554,34799.878708643984,7155.830550324211
86,2468296.6393446983,1144021.183801981,981517.1297501314,263949.4791906385,0.0,5988.41138324891,38739.77292109104,27134.232027012564,7165.37827986673
87,2443705.265130107,1140196.5013020344,959683.9562227997,265268.1575939682,0.0,7330.378110841325,28795.70543933369,35480.31744293637,5835.829526637819
88,2472554.186919616,1125515.4454639477,1002579.1660339548,261511.2176500117,0.0,7464.012485020202,33932.69031386541,33260.149094342065,8359.286811587934
89,3064168.0202615396,1123131.463090266,1021550.3164548462,260803.19225107974,560230.2226639476,6344.27584793883,39165.454300611505,42139.61993836187,9250.364383646753
90,2592297.0025651846,1207854.7597308622,1015992.7015966928,265361.83933566,0.0,9410.757093569573,48006.76512773304,35612.64408945788,8936.853348547142
91,2522708.583748634,1161815.9828948756,977509.8919260269,267036.01588969975,0.0,9412.055234510324,62348.91657123098,34143.2153843165,10714.154837327631
92,2568679.640628411,1188546.3633225902,1001327.038622698,266604.6886471493,0.0,6740.598414172145,59948.407772942766,33661.05814554767,12123.642608230539
93,3075066.3532736395,1177060.0848284713,979266.0102749212,266906.026725228,561423.4475223286,7633.658897506444,38857.89321928905,36050.69308739131,8254.289029131858
94,2560024.8430542294,1189419.5987986857,1019475.444133716,263074.02374952164,0.0,5968.220415089447,42122.44198229499,30038.98213195912,8797.975376202628
95,2559085.454263832,1158455.147984954,1046856.0862439156,262784.0018240624,0.0,10015.743435933835,38401.59523923787,33504.2385648644,7930.328120431874
96,2537639.4034732375,1165502.3470811285,1017699.9948930283,261005.90122393065,0.0,10448.658677554575,48877.39196899054,24569.496541314395,8785.032584407414
97,3053813.15864038,1134987.5729601106,999233.4183707562,261318.40230095905,562988.3925039923,5459.708335350269,38970.8052999285,43325.204597261756,8337.9535447698
98,2471192.269461094,1164822.2903085973,953306.0525774057,262805.7648568399,0.0,4786.314645611072,38993.24133414064,38816.9338890305,7103.218299428266
99,2465501.947898941,1181604.9652630205,923075.249121999,259408.18201326136,0.0,6688.5181370518,44433.03040596645,40778.29024705564,9082.23561874621
100,2479117.450520748,1184995.5885135955,947844.8348110714,256933.40218887158,0.0,7277.060130055913,41353.050479406746,31523.94792325526,8792.902463679373
101,3029712.891569966,1166002.565484695,968191.4346023998,259682.32206946175,555173.717003941,8200.61596767693,29835.352048459925,33879.96554505498,6238.976353882255
102,2483278.8816265943,1120778.5118068957,1004193.9567990472,257896.01740284113,0.0,7428.143654214361,50398.007260414415,32914.55417243806,8460.61155010784
103,2436386.0336875613,1097165.4253441915,994269.6035000063,257963.96661819748,0.0,7967.971109295169,34914.12505467306,35587.15706475487,7395.585108577288
104,2417034.8912307178,1114694.1087492004,942303.5726814199,257212.38719461806,0.0,5199.830166489275,46424.32677036734,42449.793536512276,9048.573797030853
105,2960205.5972821014,1134976.5828902235,942123.4471261099,254050.90035340394,536249.2462791054,6093.239580095829,35408.11307379875,42063.621116546106,7671.4120498655475
106,2464604.931100636,1183524.2132233188,917801.0233502021,254873.9833098019,0.0,12499.41178213661,51691.99574817693,34516.50725765855,9225.392895322155
107,2459972.5354231973,1208159.9040685997,912586.6423817406,255740.34554231394,0.0,5239.500277190546,42110.694944984156,28087.12315411508,7903.868728643278
108,2464494.850618259,1196199.9110383168,906905.7978662798,258483.12705489487,0.0,5844.099996522769,48293.33599754347,38970.87624820658,7769.4221733591685
109,2972069.5453277826,1198239.2123783438,889347.9089689328,259568.23822952693,531065.1396330538,8127.4456797350795,46933.54143963616,27931.678408470296,8650.471204913854
110,2406857.6846215394,1189775.1633985045,863985.3793617936,259240.46655217552,0.0,8102.114508373887,41711.53679088546,35258.82905550028,8004.643053919305
111,2424310.5519865076,1232652.479599406,848486.401961506,255243.22325002187,0.0,5266.389985186896,39590.85459667133,31207.762913508875,8602.548382307994
112,2399521.8897202266,1159497.8318636431,912322.3428351774,254152.17776788343,0.0,7198.70345618267,35686.52934150874,23420.469757611383,6953.284113263597
113,2967678.1584513416,1140201.5725074194,945857.0455086436,254152.09125433775,531598.980945835,5732.145219790667,41185.66021143743,37720.55813936466,7955.171550108134
114,2430115.8738904023,1151342.7773832178,937732.1171517244,255156.79233553563,0.0,10018.819403012863,36360.68820860635,34907.60892276573,6968.96377265005
115,2453932.151118307,1155657.313053727,932470.8259426941,250913.9757561,0.0,9919.374114011374,53788.92197282025,49704.15528872444,9812.36126586862
116,2450504.139413944,1125156.2983575533,979977.6765064455,249071.73766737673,0.0,6018.233041933741,37002.064561802224,46288.764964062066,7318.508774222511
117,3019472.014981915,1136699.432971936,978458.3753201527,246836.33111378114,537470.9994624272,9295.726316890634,47411.34150469392,57084.54288360165,8176.740948766977
118,2472012.2209918727,1161714.328238442,955118.791471171,249094.94242421145,0.0,7454.675543221891,48437.410685853196,44151.6813002239,9640.971884263374
119,2422373.1269490826,1161840.3799622054,897841.0830112072,251790.9469360141,0.0,6648.52034645299,54897.000473146974,45209.65646116448,9358.937439457506
120,2439031.7857561847,1169925.0617914617,910469.8402705351,255297.9457899258,0.0,10604.30194138744,49056.66637911895,41337.91559120659,9624.742674970921
121,2930930.7815160207,1226143.6908146865,853110.629985261,253098.31222808518,527314.6684027696,6127.1839039349925,32442.204808035105,46472.43799962285,6304.660996509971
122,2444135.4583644983,1224728.4879738116,860034.7852932449,252638.56237412748,0.0,7845.992682657257,56530.293733506915,44014.120733578384,9502.978482431352
123,2426506.671454369,1212711.4676311112,845238.76734733,251868.59760760088,0.0,5066.273059909683,51649.40764435306,51225.23104889535,9168.905822034932
124,2429381.6053909427,1248172.318443197,832554.0526973705,252041.66860475278,0.0,8687.741443645073,48102.29737902042,31786.31250558633,8525.53211393446
125,2983490.1226525125,1283441.3910144845,838432.2592193569,253306.9516525436,533821.4784386633,7939.096678938085,49089.316150750084,20571.559716607946,8552.549153014277
126,2404590.6232145065,1225530.7016667256,856175.385415573,256151.6439073762,0.0,9511.32333789748,32998.15796634224,27079.546380830638,6255.689908144615
127,2397001.2426308044,1263225.6738925339,808045.8760661236,251805.60833888664,0.0,11631.321129899401,36063.49291464977,30200.31404976775,8045.214428742667
128,2346626.873378876,1265400.4704881348,720689.6328930167,251447.04156782702,0.0,8027.566119092761,52771.124765475826,40046.386687315164,9417.10315234175
129,2982395.167020367,1309521.2884954265,784467.1422345868,251068.77554199437,540784.0544547149,13682.682134100978,38397.122114823134,44162.64315754227,6851.15612549221
130,2411952.7630268517,1231210.8446274614,822290.6825474355,248300.48574370416,0.0,8541.420639484357,50617.14090318334,49014.810802045286,8784.12931376601
131,2402170.2201908613,1320412.657270306,743533.3288549926,248390.2156199747,0.0,7326.487911159351,53740.613987305536,29065.26212486842,10894.670445308619
132,2381957.2466793046,1253562.5801914996,765503.9308330979,250451.5076584393,0.0,8060.40307525637,45966.0506611118,52873.48493356809,8761.680129646502
133,2842468.4107031473,1243160.0974448507,755370.850976321,248762.5842631417,522344.28559911,8598.430973539542,30549.592050598123,39281.61516045771,6586.422874811889
134,2335513.3420981495,1205174.462042253,797430.619560618,245693.7845579489,0.0,5631.808116610807,37786.60216340716,45808.73390061055,8199.82896927059
135,2422154.091976551,1244254.1183384317,842378.4305241338,245486.86821295484,0.0,12088.365520867357,39800.27780237962,44769.820363879975,7954.286861185249
136,2382456.6994978217,1265663.4721874308,780634.7790618583,243401.09426788497,0.0,8091.311387800829,45504.40084312154,39439.4367889543,7844.000355647631
137,2939095.6732791355,1240397.7340964847,830938.744590147,242477.4218329417,550770.649858161,8661.735207772272,36741.83960450946,33808.29569753724,8027.262363043482
138,2321032.8740388914,1183467.8783044424,804596.570141315,241579.2858579977,0.0,12778.269440856286,41661.3114462982,38841.28614814975,8493.844129318837
139,2327786.8101284616,1245762.5534731688,761087.9154051822,246901.94307445968,0.0,9839.406192374832,39254.628968720914,26289.651040775607,7977.718912678944
140,2255090.275400937,1211044.8096766085,713974.990255522,246901.523697036,0.0,6054.067691763812,49985.558548916546,22146.031408917876,9569.38659940392
141,2836542.0732254134,1246842.6770617457,715443.8178785128,247704.91130077938,528206.4974118485,13181.700129944917,52027.54033818746,29924.765264667043,8965.696935224121
142,2302606.2229689383,1216172.2414821838,740640.4541009224,246544.04028480346,0.0,8946.581765511537,45260.23079805161,38171.833291285955,8919.175690021593
143,2358677.242471235,1228356.0901719339,792570.5771936922,246815.39870551412,0.0,6686.761491752246,43870.19418975119,34866.021950345195,8228.294142929351
144,2337095.946383169,1157323.183225132,839879.4397650912,242998.06561139124,0.0,8155.556272192923,46829.81854594436,33834.97594222667,10606.794017475766
145,2913136.9676491795,1170543.853418361,870721.6144746155,243326.18737405018,531111.1734455033,9724.764379183725,49620.75882803131,28656.6049807331,10145.57877696463
146,2317861.7060627956,1159365.7109985526,814601.7923570476,244836.02603914717,0.0,9826.830917997053,53583.70067446488,27578.82108713875,10203.92932888069
147,2384174.0357889915,1199207.1141018686,843444.4539304809,243062.86032850746,0.0,9962.217967520997,42345.482191796196,39116.454729782214,8837.26969428053
148,2351904.9620195148,1191436.3794746038,818212.7602764306,243323.10606277073,0.0,11842.86156068146,53747.20406182167,23409.537919610855,11696.601334099556
149,2911163.089515094,1176151.304834324,869146.5334247246,245537.97158243135,530424.5964711641,7212.560288442275,40502.15161128998,36053.5330787788,8522.01008519792
150,2359761.901550847,1141943.33428973,881336.5895548699,248325.2676427694,0.0,7470.688264543186,40499.79182610553,34518.48620768872,7650.222484037856
151,2346914.4000155805,1202270.109211941,802338.7557288901,248355.17484858108,0.0,7510.584484021224,48262.69765650533,29699.85776994643,9554.15783680385
152,2374631.275810325,1180343.1206394995,851108.8476999863,249412.42819138465,0.0,7811.991126029017,41059.774152227714,36858.53128756016,8914.778293855028
