period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
49,2750929.2251350475,769028.3639616373,1366582.467602257,184502.36070171944,338093.9260381865,31526.38233388089,22013.568099541575,31658.693543249054,8628.296033872422
50,2455181.8212604625,718468.830684032,1231803.3987361782,184481.06845266809,238917.3965297955,16137.37500000019,25597.02264396616,31808.907539310872,9265.291311968062
51,2923707.0368363615,910466.2378282875,1557602.2974644909,353426.84650496294,0.0,6805.974822220247,24284.02110989325,65758.7401373864,7077.457631218152
52,2858958.654889759,878683.0197422028,1535671.111513289,330818.74574196845,0.0,7465.779462131445,32137.544116344165,65943.0084288929,9133.71606701352
53,2844826.317356945,618161.0726066973,1327617.8694048552,288300.5769433479,538519.7638851539,4703.516560974296,19008.40473735594,43569.403412167565,6167.413354481122
54,2392771.105859171,723436.489717895,1305113.1734886498,290002.73238882015,0.0,2861.164691961579,27421.547734756372,38458.72024159583,6442.3493752320555
55,2061974.4017029235,524281.0472597328,1194260.9306596718,271080.2515358092,0.0,4411.174717216531,19188.249361664366,43930.59692306549,5548.6806281895215
56,3492431.0255832253,1741986.882561562,1275543.6683393514,349808.10894861777,0.0,10318.345857539445,50852.00736144615,56808.43102242905,8850.027952010392
57,3839103.491725507,1435638.966966394,1292374.2923014,326202.5182698452,673411.2466645129,7595.625861879128,52434.97546445316,43569.85405930041,9886.994184676681
58,3568490.8387498283,1675320.2085430955,1413612.1535992003,353320.9496861559,0.0,8105.131562181632,58666.52046561302,49875.102223614114,11344.422395454067
59,3230410.8713678652,1455246.4296585144,1330221.0851815566,331893.46853019553,0.0,8174.873042043255,46725.49340323552,49218.33760251206,10227.225200126808
60,3697182.634395843,1764530.363396339,1440804.4737964254,351122.0413272337,0.0,9824.816698133664,60342.78879393139,59942.51934690675,10615.631036872473
61,3893140.7344552493,1494227.2440442743,1283627.0281812653,322063.6094487304,681303.4980114846,8401.386950710366,66944.08402271666,26045.518245170453,11545.61288290125
62,2907902.215509834,1351745.6533914204,1162265.8113207675,291449.1536250407,0.0,6818.853395061341,54137.88556045069,33336.06331005694,8888.663365760847
63,2743341.7276873104,1246646.480517844,1128647.1416266,281432.91338141356,0.0,6039.956799202604,39882.61462365866,33110.40746389238,7582.213274698775
64,2742748.8946197387,1214949.0938195575,1153597.8115063373,275343.1779134279,0.0,7170.716052639235,42884.80603175146,41134.52584432347,7668.7634517015595
65,3248078.147437091,1198271.0828800679,1112639.9208813864,275796.0349484639,579581.9121067269,6939.324530761361,37086.977193199855,32643.687921463137,6040.925372655544
66,2709873.682742217,1193907.4681117588,1145962.0384107702,276116.2725972655,0.0,5391.021807759953,40310.417573609266,41040.76754028838,7867.678867757216
67,2679692.562337487,1164768.809250311,1135643.2826038334,276769.64179197233,0.0,8029.450816177777,46725.19305790165,39363.30420138181,8598.697148893258
68,2677705.2600192465,1176623.6238218592,1122936.2441377465,279553.2405263957,0.0,7875.851748538736,44203.07697906292,38718.17875454285,8725.92995207665
69,3271435.2748746723,1145935.7669576025,1165731.682357844,277906.64952746854,585202.4722033011,7944.106051340754,46655.49164263877,35772.37321854152,8072.209845022945
70,2674144.163067604,1171034.059378221,1135376.4424539574,276104.99927245075,0.0,8861.938410341554,36712.83430624753,40013.41690029776,6974.842548331436
