Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
95,23211947.76866992,22360276.11636652,76305914.40229398,80966817.4405606,0.0,487013.8419608767,285205.832219185,113502.82589048098
96,26949241.969658874,26113796.272878185,88692220.83700097,81755081.7610992,13625846.960183198,480140.90763705585,279522.10143053706,108260.98244728001
97,23463586.298091583,22619112.70573169,77268847.97459315,81811378.2884546,0.0,479931.7524199906,285847.106931521,112421.04715483099
98,26913219.12271252,26052321.418337464,88537694.15083754,81504883.26164483,13584147.210274138,485891.275003096,294606.026312331,114857.718656609
99,23510995.81658889,22670048.630913883,77509248.38509658,81917371.11733785,0.0,462043.59356079565,297315.108791715,116554.97617499299
100,27310103.364267185,26441101.63115974,89917497.16001236,82649207.41703434,13774867.902839055,491968.72346267366,297119.166283224,114162.633373636
101,23997168.015236914,23099515.40784848,79014232.5739155,83424069.46321338,0.0,514137.1480680156,302463.317251514,115788.774384157
102,28045324.995994188,27120498.816988584,92239775.1725958,84752108.06664088,14125351.34444015,543575.6860163679,300332.146901582,115597.63726807099
103,24754953.59901715,23808357.182835408,81504114.07500632,85915237.80418445,0.0,545879.5101627896,316997.147985995,119599.654332799
104,28870001.619289644,27961699.392128438,95192481.73669451,87332475.6902359,14555412.615039319,512151.1477419145,313719.551013494,117759.32629399
105,25329641.45878433,24454923.68639912,83785906.24546453,88197410.84733324,0.0,482899.7426999327,309682.93291918293,117335.852522995
106,29412540.60003662,28528057.1168566,97173394.6203242,89021667.00154063,14836944.500256773,492393.6908995138,310777.447847861,116160.492046635
107,25802751.220357414,24886666.404341888,85293890.81658295,89764500.39777617,0.0,519775.8908152806,314703.56250507606,116579.089564536
108,29781272.131115817,28899328.311597716,98466260.30775803,90181295.69337223,15030215.948895372,483426.4620497299,314446.36994245194,120101.410751311
109,26328158.96510565,25376528.08887644,87038660.44357486,91449050.79709552,0.0,541437.7980217014,323715.280480657,123539.71103835701
110,30586868.30987069,29625045.681801446,100976808.6767834,92415252.41493095,15402542.069155155,558453.8620501864,318727.05580113,120916.728882753
111,26773076.634101037,25845501.297426958,88627799.59573913,93096501.8753432,0.0,526997.2242403461,317174.8919233889,119147.457871914
112,30773749.554351944,29815221.51383381,101643077.1825866,92921833.06970382,15486972.17828397,558110.5520056448,316873.49318311,119348.56475625
113,26950123.060746934,26005652.094278228,89181857.58439822,93617572.36094724,0.0,553203.8493254393,309159.164359271,117297.07540570601
114,30932409.95555704,29929289.70032423,102057031.25869426,93253574.9423872,15542262.490397865,592017.1620749936,326315.608948196,121124.97744231099
115,26965704.008232936,26017709.03167536,89262237.49024174,93555490.4169285,0.0,536930.1758602032,325343.570329408,122458.90052566401
116,31413725.06675665,30400866.0433355,103694916.57197617,94695356.71850657,15782559.453084426,601851.2375341926,326088.6260418,121313.085493069
117,27612066.238389757,26622034.95268106,91350287.5747628,95713561.81992316,0.0,573208.0378692832,330577.96497574396,123207.54694810799
118,31746352.635947675,30769735.74578938,104939375.39093256,95746369.53464,15957728.25577333,557431.3030244671,331288.76216745505,125566.892809109
119,27775860.11402636,26783843.272810675,91963074.7191504,96194798.96401234,0.0,567333.5490825429,336705.028646097,125683.233552917
120,32306023.58315814,31287593.33437733,106749654.35985179,97354009.03381993,16225668.172303323,603577.5851979575,329622.513363033,121757.357456875
121,28329071.790726185,27325317.74964859,93803104.84901856,98065390.31015778,0.0,587474.2118562885,330803.13477839204,122109.563489882
122,32664438.51556274,31653754.792042263,107990905.52623597,98367400.18907116,16394566.698178532,586880.7471896667,336940.7816602299,124088.849529397
123,28537638.07345776,27532695.59172474,94554788.53152709,98744026.71674262,0.0,568018.9758676763,347186.10532340396,128196.28648849898
124,32885402.031866558,31867507.767288044,108767631.85345729,98989910.23372602,16498318.37228767,584583.1240736085,344202.07106429106,127298.670629448
