Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65
76,754320.5656000001,3861734.7104818085,9160808.260963438,581137.8653005733,0.3274265006772253,0.0,0,2607147
77,746749.5157733335,3853394.0785944657,8951053.151749473,718321.3160165901,0.3305783464939962,0.0,0,2535708
78,737325.5463000003,3861216.812821187,8753371.61882467,571548.6562483234,0.33316642237841554,0.0,0,2473078
79,741188.0090533334,3856592.238319924,8620569.383220343,584620.2480511101,0.339875503509025,0.0,0,2417177
80,728398.0090800003,3848262.2150158538,8462195.941408146,560433.8929884898,0.33990346141417355,0.0,0,2354912
81,716520.2720666669,3838261.3677450214,8259139.02656131,663709.1589662465,0.3430146438496569,0.0,0,2300791
82,714238.6987400004,3860291.8766831825,8158506.256860108,529619.8637609468,0.3482808176724406,0.0,0,2266736
83,694842.1197200003,3850441.0992222438,8025020.218501659,502357.58540500014,0.3450493368914948,0.0,0,2222293
84,692060.4504333335,3888582.2622195026,7834424.070135385,527408.49274204,0.3491585289365456,0.0,0,2172359
85,677758.2555333334,3880402.2295390298,7594130.128201673,634045.4664754532,0.35003676331390543,0.0,0,2119146
86,677792.1448200003,3889693.384222414,7404273.640505555,510200.24119727674,0.35555829892905555,0.0,0,2078408
87,673258.3078200003,3855654.2938342136,7221852.657637902,506947.0362778134,0.3591658376497721,0.0,0,2043931
88,679623.9981533334,3857379.536245504,6929683.833285301,492094.7568895099,0.36922151078149823,0.0,0,1988185
89,672870.8708400001,3858916.845329312,6847778.419048476,616207.4613856968,0.3708131311494617,0.0,0,1942789
90,660141.3220266668,3860017.6900918237,6636104.456531366,508783.00515959004,0.3706578885215527,0.0,0,1897737
91,655895.0860000001,3850678.6639565667,6537153.269921443,487313.5044940967,0.37466589522515586,0.0,0,1862182
92,636545.2192400002,3787385.9245775687,6456072.976374676,474136.2671827167,0.37101539074342493,0.0,0,1816943
