Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
93,14835037.4038364,14104226.858571842,37178445.41395821,69160136.94291255,0.0,411733.9659244953,227214.3264616519,131231.7898263027
94,17327313.541004904,16583860.657615276,44131037.36285518,69122562.73440778,11520427.122401299,417559.18159859616,232111.24726787346,133974.93503307927
95,14841074.687020073,14093920.943310428,37170175.33085431,69042987.81572671,0.0,424901.27824490226,230181.5266060344,131529.91265529583
96,17384781.115583416,16651872.99768392,44316103.017713085,69410105.02697265,11568350.837828776,415544.5908453959,226104.53540125256,130369.98807549228
97,14737346.732220514,13986547.750517102,36873828.04691875,68566720.85528812,0.0,419199.8905328901,237490.65077309488,134440.62913918536
98,17215796.366602726,16448056.115776325,43734731.50884804,68592249.80290447,11432041.633817412,440135.7845508071,233337.32407521442,134667.34600054668
99,14844930.329583893,14106145.05212181,37226219.30515685,69094517.81091717,0.0,411025.00398728903,233347.46450615412,134875.44138377073
100,17376388.69014918,16669798.809558406,44503397.987884745,69308871.61124139,11551478.601873562,379531.0864559678,232872.79404227118,134551.42870361664
101,14898277.447730297,14098939.171302978,37248352.17145505,69019573.46590711,0.0,465196.01067961514,237842.06386085792,137571.71698120746
102,17307279.465465344,16531335.160367921,44117512.52170023,68770294.2359701,11461715.705995018,440237.8769120776,238879.54215547565,138324.12289981407
103,14804967.114154372,14029174.346319824,37076381.35746224,68667911.23223504,0.0,444325.6467328583,236364.79859066452,135860.46073003853
104,17248653.169719536,16477253.237419447,43995641.90288871,68515251.65024172,11419208.60837362,431035.8224562406,242014.68626886743,140499.17653568726
105,14761370.611813128,13952071.36111733,36872749.1475274,68323039.37334305,0.0,463904.0872987213,244351.40700292966,144348.2234202082
106,17172817.77921534,16406994.643795863,43791960.39215277,68298097.01517464,11383016.169195777,424423.2089614106,240348.41431962268,144359.30305492147
107,14715110.603486806,13939195.359813873,36838580.07881899,68268098.92640683,0.0,448154.8170596681,232454.5775308388,136151.2129748991
108,17295722.798293173,16500651.072914794,44011353.18796096,68703785.8800594,11450630.9800099,468740.183518087,231899.42538640968,134903.0235341156
109,14866642.09042386,14078373.688299865,37278007.7485907,68830515.65880577,0.0,454831.67111651076,238026.31614934152,136300.59265449518
110,17371800.223681737,16575172.602508463,44362776.29566985,68809107.86264783,11468184.64377464,463134.03653572686,236725.74457940477,138239.77151163275
111,14895993.716681305,14107713.947027734,37405830.489354484,68845365.8355084,0.0,454268.176636073,237730.77364845577,137544.0276700631
112,17416077.66147713,16616121.515727617,44432027.53250756,68976163.12934816,11496027.188224692,460511.84164905525,241348.207467465,140137.28090427615
113,15029991.150979381,14220682.3873642,37681667.516380236,69440204.59231031,0.0,474468.885893921,237777.77291988806,138660.1497162489
114,17573971.588920288,16735535.75070504,44705166.49512112,69529747.29012655,11588291.21502109,499143.60333246435,239718.21845232305,142248.59490065777
