Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini insee, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini insee, measure IFE impact","Decile ratio, measure IFE impact","Top 10%, measure IFE impact","Bottom 10%, measure IFE impact"
74,0.44589846995162102,0.45264377678270068,0.39996976714667876,0.42958541336747774,27.636030159903683,11.106963030260728,8.034454921451447,8.338145461630075,0.2515236079548304,0.3013986343267386,0.26801785344281215,0.2819803908708969,0.006795262415059931,-3.221820728297667e-07,-3.8571151287846127e-07,3.0285015456116776e-05,0.53770325364276716,28.480707708667325,0.2941101787545133,0.010057104103301207,0.5678209665475864,28.480707708667325,0.2941102066892262,-3.1439105967813487e-07
75,0.44542385180326421,0.44224881014849171,0.39555675358850489,0.42405381396920028,28.941851982595054,10.5499129371235,7.508381068157292,8.465987106301215,0.2556429274500919,0.3009237912267845,0.2705187781568259,0.2843632983604348,0.006534760242947474,-2.452738987017152e-07,-2.3467090521523856e-07,4.309680128937946e-05,0.53227726971410416,29.433645535731486,0.29410974997467637,0.00940881068580926,0.5606049385573284,29.433645535731486,0.29410974997467637,-2.3971997936218606e-07
76,0.44151257615086464,0.44798937148346918,0.39583251082565862,0.42609189753880561,27.42956249656019,11.084412777409902,8.327752478663545,8.877517397258066,0.24683338382613776,0.2929567881757646,0.2635647422630859,0.2734621485746768,0.006979030024367921,2.4932762410405765e-05,1.714953255591963e-05,5.1714080627451804e-05,0.53287792004097934,27.706670504261186,0.28538017445640235,0.010447212903308805,0.56470850741989564,27.706670504261186,0.285380204307062,2.428793978432093e-05
77,0.44526562016793714,0.45055326145763591,0.3990753634858315,0.42234080662114515,29.010661686384502,10.884488395049724,8.031270314125429,8.36372166112653,0.251440411921755,0.30438268180727457,0.27079961748051534,0.2807875058882396,0.006905629784856282,3.1082918819632376e-05,2.1775480079250385e-05,2.8643583553821174e-05,0.54094496084354082,29.82824234985398,0.29676982062131735,0.01032638287051278,0.57172568446683492,29.82824234985398,0.2967698495127742,3.030551240875366e-05
78,0.44242154783624904,0.45337006958927206,0.39777235497217533,0.43006352751702986,26.07511503217437,10.907200618193844,8.278425588129922,8.68567666753604,0.2481988021810285,0.2902271297493095,0.2658959499906443,0.269773295806608,0.007241241762138312,3.4001514300231e-05,2.280661025961795e-05,3.159854946482973e-05,0.53798011797529843,26.059602735324688,0.2818711788071339,0.011143760687451428,0.5720787843572338,26.059602735324688,0.28187121183106983,3.3022578034575916e-05
79,0.44740662321523167,0.45122524353995996,0.39984343417606749,0.4300804984792353,27.20007388046828,11.014276751625525,8.153585547606342,8.80900907713492,0.2573491202188415,0.30664841684353206,0.27443920458680054,0.28678201259510233,0.007108246508713083,-2.646947872205129e-07,5.814883826301051e-06,-2.474956607977699e-07,0.53926030590539897,27.32015590311871,0.29852319004920413,0.010712807746893555,0.57123848646089903,27.32015590311871,0.29852319004920413,-2.5768120078305075e-07
80,0.44146743592077153,0.4522638230690571,0.39697332014337883,0.42736879118282151,25.518132224290603,11.160685343140385,8.397761905056576,8.45078366876063,0.24366554343818952,0.28068280579757254,0.2610113357305304,0.26062078329217997,0.007480705305651182,8.616267977204663e-05,6.448875875919315e-05,7.998757213636613e-05,0.53529198600557881,25.207501984598228,0.27281925097673265,0.011566610940026138,0.56941831299322376,25.207501984598228,0.2728193209359566,8.374878439253275e-05
81,0.44322387029998878,0.45135907030361361,0.39464972115320646,0.42271310420518776,26.5928918668972,11.015480688994149,8.173817357493927,8.393740603510459,0.2451961061733393,0.2884818888135804,0.26433904293497756,0.2654672920307422,0.00758905614375641,3.6322234097172855e-05,3.1251420041169e-05,3.338858187176093e-05,0.54212986590666912,26.157691739236597,0.2806583872740715,0.011671026967917213,0.57616261135803248,26.157691739236597,0.2806584554709884,3.53371997212475e-05
82,0.4447803464172444,0.45364733002286178,0.39538654289836755,0.42953266674380913,24.674015368184104,10.935661829186255,8.31381851789268,8.341723908114261,0.25262408138886117,0.2927398322076589,0.27022369684603204,0.27236403872805776,0.00798966208527322,7.599546926827445e-05,5.0147688957843744e-05,7.05854878576214e-05,0.54048005362768958,23.64633586132233,0.2840491464578925,0.012544163446889937,0.57721652709203741,23.64633586132233,0.28401772489633553,7.373120398830368e-05
83,0.44717582143507784,0.46016328043050625,0.39690922829093045,0.43622175523455642,25.27941608546541,10.546989937108187,8.136634424584809,8.284429754113601,0.25508183587885686,0.2998053538345774,0.2728608585469569,0.27899036753046946,0.007928223217280397,1.6468728976775796e-05,1.7970224588205928e-05,1.5181146541088201e-05,0.54788879399728463,24.566817730648303,0.2909455005365717,0.01239426690706397,0.58481830699991721,24.566817730648303,0.2909455005365717,1.598204479694838e-05
84,0.44299618973124449,0.45396012336552383,0.39193197369256422,0.42548454719853496,24.386789405873802,10.59151457557818,7.935178617272819,8.011579958140361,0.2475627180855839,0.28732106469660906,0.26573412800866764,0.26584124162806233,0.008457339387463117,6.227335986008803e-06,1.1506194491822151e-05,5.678036896063118e-06,0.54159509561862484,22.905205315035058,0.27814737503273473,0.013611725238626,0.58128699918194271,22.905205315035058,0.27814749925768917,6.0285100689528634e-06
85,0.44106598200535679,0.45581618156317766,0.39476251916669081,0.42500814262538766,25.06568786259193,10.201883780691249,7.979816141331426,7.97656308159009,0.24420003870537466,0.2865974110303106,0.2643665055134721,0.2618273942261948,0.007904496551676203,3.400367777556322e-05,2.9753534793595663e-05,3.100797037257852e-05,0.54318412871738553,24.454850645091646,0.27797959890283797,0.012613968002736418,0.5809603879691333,24.454850645091646,0.2779798391294269,3.298123609658236e-05
