Period,"Gini sedlac, all income","Gini sedlac, labour income","Gini sedlac, labour and pension income","Gini sedlac, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini sedlac, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini sedlac, measure IFE impact","Decile ratio, measure IFE impact"
52,0.40183602503123805,0.45547107399725029,0.41598285585272138,0.44258790201758941,7.439945069815758,11.494451060679678,8.9900674662607,9.209863383577218,0.2347324257819118,0.26246123484755535,0.241974813368274,0.2519968764799163,0.03555644649549987,0.02842574370916832,0.02685036999009366,0.039960371069269494,0.45547107399725029,11.494451060679678,0.26246123484755535,0.02842574370916832,0.45547107399725029,11.494451060679678
53,0.40032994142863676,0.45626795659578612,0.4159686918128665,0.44130975894236762,6.98972206818595,11.267005896075718,8.594916496604453,8.794841065587299,0.23321321891101868,0.2641325452082813,0.24155526281280654,0.25221804975984635,0.03738546516567366,0.02770286200649386,0.0274515151445344,0.04066703313279596,0.45626795659578612,11.267005896075718,0.2641325452082813,0.02770286200649386,0.45626795659578612,11.267005896075718
54,0.39988142417774875,0.45978374517853632,0.4152678850644595,0.44686028442818021,7.103035361328437,11.466662428515644,8.688746034141797,9.185645202058671,0.2349589426716382,0.2660116291821887,0.24330008160753608,0.2539248175206816,0.038061074097161494,0.028256987126161107,0.02761144541661013,0.04207707644688866,0.45978374517853632,11.466662428515644,0.2660116291821887,0.028256987126161107,0.45978374517853632,11.466662428515644
55,0.40502264763123785,0.45825852295342412,0.41960472523745174,0.44572352079172539,7.166985196889167,11.200324713549168,8.772425246656304,8.963346991244117,0.2351378799654188,0.2681185032001,0.2429076733465464,0.25692500509259086,0.038599083765058564,0.02882685739273058,0.02900205310614831,0.04136014045802802,0.45825852295342412,11.200324713549168,0.2681185032001,0.02882685739273058,0.45825852295342412,11.200324713549168
56,0.39801676165601424,0.455670142174179,0.41620993782725835,0.43620520163856757,7.106181176200986,10.897281275651808,8.74477453173786,8.488366575344815,0.22961744542174525,0.2590232416564934,0.24048149552173925,0.2436101277647834,0.03648412908247615,0.027853820930198062,0.027250093433603042,0.03997861975635091,0.455670142174179,10.897281275651808,0.2590232416564934,0.027853820930198062,0.455670142174179,10.897281275651808
57,0.39675024866704689,0.46142001804427762,0.4173960202730142,0.43732401695882611,6.8189100256189015,11.070093968450044,8.56680406352443,8.505317588005694,0.23596843814600219,0.2727236521726405,0.2486494711548059,0.2545404231749016,0.038463027618307895,0.028320822531904027,0.02884167803733598,0.04092793640059371,0.46142001804427762,11.070093968450044,0.2727236521726405,0.028320822531904027,0.46142001804427762,11.070093968450044
58,0.39341116755341637,0.4551428962351578,0.41194398615724503,0.43389306503082203,6.803728727123606,11.074346938647981,8.604933065170297,8.621178549681465,0.23066216643934567,0.2616526999780833,0.2413679634200154,0.24618451264732064,0.03813618172741143,0.03043543190279865,0.028539711080072507,0.043106902274835324,0.4551428962351578,11.074346938647981,0.2616526999780833,0.03043543190279865,0.4551428962351578,11.074346938647981
59,0.39489398080383126,0.45384474700252381,0.41082962731377559,0.43656987349277271,6.8588313322483865,10.786688665219396,8.392872564716427,8.742063863186026,0.23585555008970235,0.2675969322085794,0.24562333335739503,0.25360168946934136,0.03874847866137249,0.030240854192802414,0.029200890854851124,0.04273697434155545,0.45384474700252381,10.786688665219396,0.2675969322085794,0.030240854192802414,0.45384474700252381,10.786688665219396
60,0.394254675753343,0.45504633432256586,0.4113699552160025,0.43478842991992644,6.921674055139929,10.848022622635355,8.407947135046815,8.526194037851065,0.22595033136649736,0.25051030687538606,0.23625005034111674,0.23597962200483075,0.03776111632217697,0.030442500737153547,0.028378121609738613,0.04280678889466115,0.45504633432256586,10.848022622635355,0.25051030687538606,0.030442500737153547,0.45504633432256586,10.848022622635355
61,0.3938369829353166,0.45688504713761946,0.41340596777052413,0.43359646315599715,6.639983137950909,10.925197973795036,8.273832877941492,8.549070570039579,0.23393783141167743,0.2701345514025339,0.2459440619712039,0.2528488687971193,0.038601434465744856,0.02893884507860992,0.028288364914090584,0.042414045544497535,0.45688504713761946,10.925197973795036,0.2701345514025339,0.02893884507860992,0.45688504713761946,10.925197973795036
62,0.38909613900104745,0.45280127157915551,0.40670042048448435,0.43327248561745213,6.8574612958671555,11.046301838933333,8.369801245560874,8.849730659340521,0.22921247947605486,0.2633317132402114,0.23967333919640119,0.24812472403941063,0.03920358616623539,0.02998207939311035,0.028753895966462825,0.043736376136599156,0.45280127157915551,11.046301838933333,0.2633317132402114,0.02998207939311035,0.45280127157915551,11.046301838933333
63,0.38980937909251817,0.45181271133057371,0.40620300190454556,0.43167258226696326,6.825954123644202,10.829499928068454,8.13605724816135,8.614701472373556,0.22859901292547846,0.2598177463824958,0.23854019410945307,0.24556676540920389,0.038384379773060855,0.032024788071086115,0.02917011852563071,0.043994179788902764,0.45181271133057371,10.829499928068454,0.2598177463824958,0.032024788071086115,0.45181271133057371,10.829499928068454
64,0.39514778850966942,0.45473798515497132,0.41195635733371738,0.43348059583477916,6.815787485814827,10.556671660511215,8.218356139822646,8.430923668968164,0.229700076884919,0.26934950873816355,0.23991472480996776,0.25437215374289474,0.03664763658794644,0.029978214817932475,0.028473019774740784,0.04056931793958471,0.45473798515497132,10.556671660511215,0.26934950873816355,0.029978214817932475,0.45473798515497132,10.556671660511215
65,0.38904433279828393,0.45418271940983529,0.4097881743741939,0.42975616335269551,6.34025854799333,11.046559703129063,8.203585507288006,8.27550895835484,0.22980394649417296,0.2642602935699937,0.24249424308535122,0.24622009050413177,0.0391456245182998,0.03174742439815081,0.02947930392622444,0.04420120459305718,0.45418271940983529,11.046559703129063,0.2642602935699937,0.03174742439815081,0.45418271940983529,11.046559703129063
66,0.3926076184508121,0.45766000734849932,0.41257643159085039,0.43462446080641659,6.4579820104815395,11.375345814754422,8.383223321704799,8.62606345323078,0.22515025151372078,0.26451398556569317,0.23660534498395103,0.24778587906744673,0.040320190938799357,0.03251964941901946,0.029888425187804418,0.04597895375914061,0.45766000734849932,11.375345814754422,0.26451398556569317,0.03251964941901946,0.45766000734849932,11.375345814754422
67,0.38966150645240338,0.45682853901619164,0.4085356595940916,0.43420590898196709,6.641291777390351,11.590765481050108,8.431733891606251,8.743233831290382,0.22099801089174273,0.2521386632257966,0.23168390363406563,0.2368168059129927,0.039517837303078784,0.033069718795547445,0.029758502453670104,0.04572622530399694,0.45682853901619164,11.590765481050108,0.2521386632257966,0.033069718795547445,0.45682853901619164,11.590765481050108
68,0.38956074916144573,0.45648392741583932,0.40995943950815478,0.43142836652187444,6.625608759796023,11.600645575933674,8.27754682133967,8.087291862651899,0.21546089108556196,0.24365375493299316,0.22650131407028362,0.22793626994935834,0.03894284640138331,0.03243000067679723,0.03015194847561676,0.04391669462442254,0.45648392741583932,11.600645575933674,0.24365375493299316,0.03243000067679723,0.45648392741583932,11.600645575933674
69,0.36851609955476461,0.45513494612587752,0.39058455361444705,0.42874811949237612,6.2218171873854,11.173577344477826,7.9581008948197995,7.852489194282494,0.21083938689828907,0.2490225433104047,0.22320325883743924,0.23026958379872134,0.04112407889822581,0.03337886833687281,0.028899472025990854,0.04965101168306283,0.45513494612587752,11.173577344477826,0.2490225433104047,0.03337886833687281,0.45513494612587752,11.173577344477826
70,0.4472734498132982,0.46143269928867575,0.40184854462075048,0.44555565234586453,11.672430502883673,11.809951246155215,8.73320737844925,9.409544199173796,0.24418097175360318,0.2991953769556167,0.26672541366298214,0.28092473159667264,0.01994960157339415,0.003113934500595644,0.004428261937799929,0.005533387102718194,0.53304720934266892,16.884669649585316,0.2805344174268385,0.02350694998737699,0.62018914928200575,inf
71,0.4179936562052145,0.47499990778353646,0.41347190287483981,0.45615059326963686,8.179883135029774,12.30420035855288,9.328388973436619,9.683626317113225,0.24035286198505837,0.2976473419424172,0.2665471885780833,0.2796021249448539,0.027326987875456336,0.008602956216267535,0.00990145817694883,0.014068904061440396,0.49242068396338018,12.332995657333447,0.2730740037703859,0.02858221208031983,0.59748619425585137,inf
72,0.45936199463420468,0.47171195644193331,0.41248450460359432,0.45078688086288277,20.633031732177777,12.332439831419217,8.900961653859868,9.50278674858367,0.24734372949730493,0.29722507330031483,0.26310436886569744,0.2798591419782408,0.00815132964725348,0.0005016674840237924,0.0003841163657465394,0.0006055791837862715,0.55220869988756827,27.35764111140596,0.28944401189902214,0.011611563099063039,0.58849916503003719,inf
73,0.39098870584793255,0.46506937764024042,0.40992585029740403,0.44023933475517918,6.753283208122465,11.887372751483591,8.53299755024693,8.7141984664512,0.22746266356918649,0.27456732398098926,0.23939885729804022,0.2561361681252327,0.04017693527735419,0.03257412926376885,0.029813086444502316,0.04632865829026681,0.46506937764024042,11.887372751483591,0.27456732398098926,0.03257412926376885,0.46506937764024042,11.887372751483591
74,0.39460009882411645,0.47223506228829587,0.41102665029358071,0.45069171037154804,7.018556947050958,12.335432027929187,8.644969395644885,9.501023395389215,0.23252041860992595,0.2814898350027712,0.2424549688565541,0.2657693100731965,0.038473973563342506,0.03292453663644003,0.02949718698130215,0.044957931999036325,0.47223506228829587,12.335432027929187,0.2814898350027712,0.03292453663644003,0.47223506228829587,12.335432027929187
75,0.39191708526370878,0.47261508126748314,0.40931718035018227,0.45143415339282245,6.642500230656025,11.950725210130932,8.24254854924896,9.132121966887144,0.223694571399361,0.2693749614120368,0.23350625075717396,0.2539156584543354,0.03884163950541023,0.03387976546051631,0.02991255912511146,0.04584661949183106,0.47261508126748314,11.950725210130932,0.2693749614120368,0.03387976546051631,0.47261508126748314,11.950725210130932
76,0.39083628042633284,0.47280433647254749,0.40748212944980161,0.4508433424947943,6.741925394097198,11.772998062257265,8.266692623336587,9.308988810039917,0.23061224070339015,0.2706241874113069,0.24092503251956263,0.25464871527623245,0.038926431896247185,0.033998873516505455,0.029795976380175455,0.04633890711591108,0.47280433647254749,11.772998062257265,0.2706241874113069,0.033998873516505455,0.47280433647254749,11.772998062257265
77,0.38262373209071493,0.46778957348965605,0.40396991514001446,0.43963800046211782,6.529594116903838,11.835358389455195,8.409168525360366,8.76054540212209,0.21808881620584955,0.26029464912561956,0.23090726183538407,0.2403540710935795,0.039367267489774045,0.03270726017493878,0.029292903668707015,0.04634422894452606,0.46778957348965605,11.835358389455195,0.26029464912561956,0.03270726017493878,0.46778957348965605,11.835358389455195
78,0.38383242578206311,0.46208408082497654,0.40043261022931742,0.43883321073395726,6.585755109770849,11.326421734418105,8.340405494803488,8.925583346970782,0.2177546950030672,0.2533816703264841,0.227315414689979,0.23857148838725398,0.0398345882737064,0.03508026675734527,0.03085388134920439,0.047310461366129125,0.46208408082497654,11.326421734418105,0.2533816703264841,0.03508026675734527,0.46208408082497654,11.326421734418105
79,0.38422623877521778,0.46650004678225543,0.40088012701738557,0.44331925264877919,6.504579964716477,11.983773216022287,8.201154505056978,9.030633468857005,0.21861854710159695,0.25382372716466745,0.22843174540101027,0.23855215064204618,0.040628809097434916,0.03647391576575227,0.030578845908202288,0.05019376954768822,0.46650004678225543,11.983773216022287,0.25382372716466745,0.03647391576575227,0.46650004678225543,11.983773216022287
80,0.38679946734316073,0.46568656104583156,0.40326746947848779,0.44208915464729526,6.696364111027385,11.343339981911601,8.395260611611592,8.888393699966093,0.21760772044090287,0.24898162517918565,0.22695783519832347,0.234501315349615,0.03837952277863293,0.033042972951112554,0.030046568874288786,0.04463174456993784,0.46568656104583156,11.343339981911601,0.24898162517918565,0.033042972951112554,0.46568656104583156,11.343339981911601
81,0.3804419749509817,0.46543709823510115,0.40110142489208295,0.43977345937919121,6.251026699337061,11.193672921723346,8.032578399388699,8.631570392952101,0.21821492645225557,0.255323731696983,0.2304762971370797,0.23626250112555094,0.038387761724266105,0.032819213629692034,0.028767716870104595,0.04601489539646445,0.46543709823510115,11.193672921723346,0.255323731696983,0.032819213629692034,0.46543709823510115,11.193672921723346
82,0.38090744177209279,0.46231754446064655,0.39742795856053059,0.44230921041606625,6.528880769973553,11.337724514669183,8.053327822354929,8.963744247295825,0.21549098354515817,0.24583068951183532,0.22491672509819408,0.2312517816179574,0.03982096894954109,0.03534599231416456,0.030512947574969917,0.04823250637462173,0.46231754446064655,11.337724514669183,0.24583068951183532,0.03534599231416456,0.46231754446064655,11.337724514669183
83,0.37969732643180348,0.46622604295387016,0.3959992772935868,0.44231385413135343,6.576890246905331,11.423325969945225,8.218866025964639,8.884137806178378,0.22756174099352675,0.2662474687217719,0.23770533178366948,0.24996205128355914,0.04189127265129601,0.03955883498272396,0.032087249763339085,0.05314951910611443,0.46622604295387016,11.423325969945225,0.2662474687217719,0.03955883498272396,0.46622604295387016,11.423325969945225
