period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2737096.736249,770611.7444856,1347875.47748133,183921.70555152,339023.81086379,31526.3823421433,24381.45209439,31658.69339703,9202.30320919
50,2477513.34780771,691329.70045112,1268052.48319035,184400.12808882,245542.07496894,20998.50849417,29210.90649717,27931.67084565,10914.71321766
51,2927366.54271018,912997.3377599,1553766.71900076,353703.08257464,0,3427.68829445667,28998.12940956,68274.63612156,7636.06491453
52,2754580.13786322,864370.10028013,1447502.0503218,331894.11477349,0,7651.3823004,38305.63776228,55412.5978527,10193.2630799
53,2793778.16973961,649698.11176816,1255776.52178264,283752.80203349,533660.15763522,2963.34550691667,21030.74338896,40287.00025428,7094.18604706333
54,2830676.33949192,1173830.90400265,1280816.27718483,283702.32106802,0,4262.2798762,40692.49965261,41562.53727963,6701.73713824333
55,2475137.3724786,910915.36037274,1194837.2491783,265598.73467955,0,3313.79217936,44196.97793181,50876.2044882,5879.94154704
56,3909362.92898448,2134717.74785911,1258569.26496039,345460.11049009,0,6017.20835268,88039.77737337,63419.97443886,13138.8455099767
57,4294933.97134343,1857924.25128221,1245413.313414,324823.89620331,747754.46780338,6297.41957418,72837.40095702,29931.68197665,10587.62572119
58,3924676.34219541,2203513.75965428,1229427.3186839,357655.937678,0,9689.78359316,65128.43619885,51012.0542316,8776.09793081667
59,3606463.34436696,1935268.31870518,1167379.88243688,344558.31008142,0,9488.36725529334,92645.67342168,46384.22347104,11243.4525365867
60,3997936.89567144,2238368.15194165,1221254.23571424,364008.9839646,0,8917.18024017334,92886.16403157,61169.83861032,11877.8163388067
61,4262271.2627623,1954409.23963043,1096879.18114667,334345.81142284,750290.591071,6801.06837566,67027.61414199,43265.3062905,9252.45068321333
62,3604709.76214017,1939014.52054038,1220098.28045387,331051.85473483,0,7331.14971036,55374.12555894,42993.79952784,8846.03161395333
63,3296148.07519164,1738267.96584105,1121604.92493075,318764.0069038,0,9203.88365585,57851.24384484,42168.98964915,8287.0603662
64,3042878.91011014,1589041.33903549,1056801.44914593,291226.44518162,0,8447.41445859667,52768.29287388,38736.62872173,5857.34069289667
65,3524319.27649951,1537605.55936526,967216.24857732,288204.9005511,624715.37045897,5690.98997925667,58290.43229415,34329.87804204,8265.89723141333
66,3284098.85995247,1612113.98727077,1278146.08745,295867.86960948,0,4983.66476862,56341.95002262,29115.2249934,7781.91193758
67,3178807.43989582,1581693.74247086,1202785.0434,300370.28303841,0,6212.78004846667,36492.94220208,44634.63238596,6848.79143004
68,3355222.16420064,1595040.14462332,1353492.89172,295043.16882047,0,4756.02322796,54134.1389655,46183.50679536,6827.70032802667
69,3814927.91244011,1529412.94191776,1260521.45774644,291466.512108,624502.42133435,6902.50685201333,60485.55270963,33988.25244933,7944.45130826667
70,3065071.1694433,1755433.11933745,901170.31193742,310976.54643132,0,8336.75310394667,54911.90215665,27869.38814049,6922.2215126
71,3067918.91582167,1743590.93850338,913522.43200005,305637.84171648,0,7033.12380149333,67663.12592538,22711.55631705,8393.29390256
72,3023848.3076683,1709375.6712222,902183.10198978,296126.5949664,0,6233.90857954,54991.03398582,49091.22596664,6472.05571176
73,3311219.94308928,1484955.67451157,861058.88561693,271581.3351548,582849.580239323,6274.15804686,58233.74340048,40407.09418746,7157.77230263333
74,3112478.67961535,1725723.99791964,979068.77098272,295479.59029065,0,7512.64118340333,59155.2587982,38523.42812376,7646.50684
75,2818492.75622536,1533063.48327548,903179.96599012,270496.3148736,0,5552.11410098333,56124.07161138,42974.54447832,7692.26054103333
76,3332736.00246353,1890806.50704203,1012316.8312674,306909.2107308,0,6555.59898994,68525.52965085,38594.7803025,9684.17705836667
77,3631447.71147727,1639078.06096462,964791.79145,286411.791402,651410.654763433,11993.8575219167,42749.7166065,29892.10276875,6303.88811256
78,3412629.30193972,1958553.68944463,1026557.65586619,315501.74708794,0,7510.4155218,63838.05705543,33625.44381843,8575.7684948
79,3099327.91954765,1748972.84688136,936694.42892861,292157.53692331,0,8296.9442156,73809.21880041,31219.78270074,9517.92959831
80,3435385.8491433,1919673.44775322,1069395.01858425,315574.84497924,0,9114.0106586,66667.47977964,45482.64344775,10114.64195105
81,3793894.32612151,1731687.81563796,983612.56810066,294814.79697024,678372.686466397,8433.17197681667,67091.41857867,22965.47639874,8998.93113256
82,3475259.2375401,1960618.71304395,1070579.0118912,322475.05199126,0,8515.09517401,71849.09813685,33842.4442671,8932.08888159
83,3174928.34257193,1753932.48541387,1017267.27961175,302422.70310076,0,9692.78223948,60703.77068322,23373.77302758,8710.07165843333
84,3493658.24052922,2004621.55443187,1026686.2913463,329365.24077282,0,8117.34797822,71365.26820425,41317.62970374,12480.1519582667
85,3959124.14596398,1857113.72446293,970699.78520334,310832.62899192,705646.45074569,6088.20414378333,63567.31010007,38065.75050564,8907.74909863
86,3620541.70763461,2079470.83505746,1049382.82890232,334564.0782924,0,9915.17230074,81616.71311667,54600.07030362,12714.0585385267
87,3317166.66026506,1905396.46401724,970295.6382708,316369.27380926,0,5597.56636818667,69614.60828007,40913.6320404,10364.2553041133
88,3623494.42890185,2155988.22623324,1000787.95895654,335857.66022325,0,9632.80288583667,71273.12842446,40055.9159262,11356.3408819
89,4159080.25385034,1984933.30579313,977220.58048265,319181.73850381,737548.6883163,8076.1731285,74015.52824301,48946.54256058,10773.5276996667
