period,total pensions cost,total net pensions,total retirement benefits,total survivors pensions," total thirteenth month of pension, cost",total net thirteenth month of pension," total thirteenth month of universal pension, cost",total net thirteenth month of universal pension
49,"17961457,0690947","17255645,0718144","14972411,0121604","2283234,059654",0,0,,
50,"20689184,2643273","19873660,1122901","17141641,5233179","2732018,58897219","3451359,37845264","3257958,83921554",,
51,"20098988,3073259","19305093,5325662","16576621,5669162","2728471,96564992",0,0,,
52,"21719874,0931624","20860990,1667672","17851765,4592199","3009224,70754724","3622658,74588121","3420261,30243928",,
53,"18966435,76753","18219854,6591102","15527835,6791353","2692018,97997481",0,0,,
54,"19546962,2662324","18776191,2728548","15958451,9373863","2817739,33546847","3260772,46244386","3079588,14843539",,
55,"18526313,6895316","17795233,2370496","15024158,7818679","2771074,45518175",0,0,,
56,"20184631,0003587","19386069,2257122","16276514,4290139","3109554,79669833","3366764,23411329","3180009,35485561",,
57,"19205203,5850471","18443588,6857233","15406322,3015445","3037266,38417881",0,0,,
58,"20445425,9226398","19631639,0028462","16312973,4156298","3318665,58721635","3409770,49201394","3220506,40328233",,
59,"19523903,2593172","18745977,8850848","15523043,1180475","3222934,76703731",0,0,,
60,"21149900,3106824","20305148,1921437","16739515,4318756","3565632,76026809","3526910,5764903","3330981,01610269",,
61,"19787965,7078121","18994502,3976051","15565426,1057012","3429076,2919039",0,0,,
62,"19449804,1581823","18667919,9656494","15187441,8041845","3480478,16146492","3243149,91767543","3062801,98563619",,
63,"19244295,3070747","18468664,3770858","14970055,7921327","3498608,58495304",0,0,,
64,"19456727,8983641","18666853,3874251","15039049,8345674","3627803,55285767","3242590,83025463","3061580,91017888",,
65,"19551395,3491408","18755864,1584473","15074747,5711398","3681116,58730751",0,0,,
66,"19672507,3987955","18870678,5325029","15141722,943085","3728955,5894178","3278822,82744527","3095714,52176782",,
67,"19799111,5828231","18990365,3396035","15222650,3475582","3767714,99204534",0,0,,
68,"19869996,2613361","19057514,9955748","15243418,2372917","3814096,75828313","3311808,63133679","3126054,35129293",,
69,"20309993,5078702","19479014,1882245","15601696,9009559","3877317,28726854",0,0,,
70,"20349346,5614463","19515219,3764072","15589265,541906","3925953,8345012","3391087,69414641","3194681,33332001",,
71,"20491029,9431998","19649122,2722812","15631475,0129843","4017647,25929693",0,0,,
72,"20582839,2846981","19735445,4368768","15680008,7000087","4055436,73686811","3429770,12100167","3230294,5527921",,
73,"20671082,101405","19817773,0562573","15673411,4117924","4144361,64446494",0,0,,
74,"20771509,0559469","19912503,2374987","15683232,240993","4229270,99650575","3461039,24515679","3258810,40682038",,
75,"20859239,7598537","19993826,0403105","15658237,2404462","4335588,79986433",0,0,,
76,"20974720,5160681","20102482,7377736","15716898,3239137","4385584,41385993","3495042,26567927","3290762,93998583",,
77,"21036140,0589075","20159426,5461468","15701917,2553261","4457509,29082078",0,0,,
78,"21024384,6710562","20146644,1606471","15613095,167803","4533548,99284413","3503178,09466271","3298471,21081217",,
79,"21107179,0356645","20224057,9526215","15651493,5724782","4572564,38014327",0,0,,
80,"21171727,882898","20284308,0750603","15630492,2475048","4653815,82755555","3527716,60514087","3321680,47508461",,
81,"21250122,4439418","20357508,1216275","15662068,6991196","4695439,42250782",0,0,,
82,"21309022,9786377","20412692,4455","15674388,8041108","4738303,64138923","3550709,11471205","3343358,63413167",,
83,"21409433,3427281","20506947,0040004","15674440,8582759","4832506,1457245",0,0,,
84,"21496249,7970517","20587772,3586948","15680079,3822174","4907692,97647743","3581816,60252512","3372854,36917596",,
85,"21640692,8111376","20724393,0427499","15748758,2360349","4975634,80671496",0,0,,
86,"21701230,4459476","20780553,9914554","15764706,6488937","5015847,3425617","3616061,63936671","3405096,80393965",,
87,"21774027,6070529","20849071,4115733","15793860,356708","5055211,05486523",0,0,,
88,"21824746,0979181","20895358,2202353","15793144,0574185","5102214,16281673","3636577,49010096","3424437,25631699",,
89,"21936091,4762279","20999756,1670575","15855010,5326499","5144745,63440757",0,0,,
90,"22026742,8719155","21084838,2983907","15876174,9476835","5208663,35070721","3670297,08859613","3456186,34738502",,
91,"22018287,996493","21075685,530299","15788045,2918158","5287640,23848322",0,0,,
92,"22103994,9715625","21155284,7278319","15808859,100468","5346425,6273639","3682938,08765981","3468075,21284997",,
93,"22123828,8752841","21172686,8550151","15790660,2557491","5382026,59926606",0,0,,
94,"22253571,8475042","21295672,6858947","15825181,5042048","5470491,18168988","3707832,56260614","3491508,62139192",,
95,"22343399,3408909","21380092,4048934","15873515,4509194","5506576,95397404",0,0,,
96,"22384159,5034677","21417782,833227","15812860,8249057","5604922,00832129","3729532,34850841","3512059,81328512",,
97,"22424284,7269146","21454365,236975","15782668,316721","5671696,92025402",0,0,,
98,"22436633,006913","21465163,1574558","15753706,6510101","5711456,50644575","3738375,4033314","3520500,2583841",,
99,"22496222,0731274","21520909,169054","15768110,5103118","5752798,6587422",0,0,,
100,"22514451,2592374","21537029,7786122","15762748,9801448","5774280,79846737","3751120,71542287","3532520,4034346",,
101,"22599214,8776678","21616633,0900169","15796155,6464526","5820477,44356432",0,0,,
102,"22683211,5317147","21695392,0137028","15802939,416968","5892452,5967348","3779363,39211855","3559198,38508238",,
103,"22720013,1336469","21729425,0588052","15809665,9117832","5919759,14702199",0,0,,
104,"22827219,9606177","21830389,36658","15825928,0237361","6004461,34284394","3803305,08916337","3581803,11503666",,
105,"22912990,4049301","21910374,8536723","15871016,295502","6039358,55817028",0,0,,
106,"22977233,5196211","21971109,8121927","15865699,6698409","6105410,14235179","3828432,90149068","3605456,92492987",,
107,"23021582,29574","22012074,8760599","15867902,9210239","6144171,95503603",0,0,,
108,"23083319,2870258","22070255,6059824","15878010,5171144","6192245,08886806","3846065,91004837","3622272,87378095",,
109,"23198902,7566123","22179429,7991681","15927129,4764543","6252300,32271377",0,0,,
110,"23433496,8238812","22400856,8449992","16080485,1470495","6320371,6979497","3904388,42902574","3677264,22163197",,
111,"23439814,9055184","22405760,2496646","16027383,15812","6378377,09154461",0,0,,
112,"23524100,4584294","22484824,7318892","15986734,2550409","6498090,47684831","3919272,26628167","3691320,97960601",,
113,"23652999,6250288","22606423,2161099","16055248,7858157","6551174,4302942",0,0,,
114,"23659889,5950788","22612327,0990156","16011972,943641","6600354,15537467","3942079,68238866","3712970,31036975",,
115,"23704415,6494419","22654462,5308853","16073954,6653602","6580507,86552511",0,0,,
116,"23843333,4758329","22785947,7506843","16171459,3043672","6614488,44631713","3972690,7660288","3741806,93968277",,
117,"23884389,5705496","22823978,7462047","16199641,8694513","6624336,87675343",0,0,,
118,"23974567,1728308","22908282,8701255","16232731,7046015","6675551,16552398","3994394,90574016","3762261,72641994",,
119,"23956407,9371762","22890595,4924907","16184883,0525836","6705712,43990707",0,0,,
120,"24056420,47832","22984722,4318514","16243586,8161433","6741135,61570809","4008121,49480094","3775370,64688886",,
121,"24055881,270932","22983480,1357888","16200046,7016867","6783433,43410209",0,0,,
122,"24020156,57787","22948728,8463869","16100439,6999424","6848289,14644456","4002157,33874764","3770039,6939449",,
123,"23948728,2746428","22880069,6922496","16050135,6865589","6829934,00569069",0,0,,
124,"24099773,7870833","23023221,85854","16147000,587393","6876221,27114696","4015662,40136068","3782917,54087742",,
125,"24183834,586214","23102431,8604535","16119845,1952482","6982586,66520537",0,0,,
126,"24205156,228643","23121978,2180717","16105489,1404266","7016489,07764511","4033247,46835654","3799598,67574663",,
127,"24419604,1284366","23324999,0158713","16256463,9763537","7068535,03951757",0,0,,
128,"24501641,1587464","23402463,4625532","16245587,3254419","7156876,13711124","4082774,57663017","3846470,32693138",,
129,"24506739,130416","23407105,7758626","16196542,3602901","7210563,41557254",0,0,,
130,"24616476,1716744","23510749,255197","16241195,9211902","7269553,33400686","4102139,51156635","3864981,37568895",,
131,"24615543,1360493","23509465,2062178","16194622,281065","7314842,92515287",0,0,,
132,"24663415,7971278","23554647,3243071","16219604,1923299","7335043,13197725","4110020,86982429","3872430,52267306",,
133,"24782707,3516096","23667747,5847247","16323041,4296117","7344706,15511302",0,0,,
134,"24795002,4778487","23679173,7882569","16310728,5279292","7368445,26032777","4131944,2750624","3893243,95179548",,
135,"24842897,7628767","23723829,8107707","16321535,0791533","7402294,73161742",0,0,,
136,"24913277,3812859","23790348,5796371","16335974,9760244","7454373,6036127","4151539,23846905","3911877,26093409",,
137,"24930814,184447","23806682,5088153","16308347,158818","7498335,34999736",0,0,,
138,"24990861,6080718","23863157,7480158","16284805,6208539","7578352,12716191","4164421,63734878","3924136,66756515",,
139,"25010775,2923266","23881742,2893957","16287456,9971176","7594285,2922781",0,0,,
140,"25077736,5665872","23945082,8977719","16292730,5980914","7652352,2996805","4178880,26875648","3937938,3058286",,
141,"25162957,638136","24026178,5397068","16343627,871402","7682550,66830476",0,0,,
142,"25109613,4629022","23974691,3956773","16282894,2611062","7691797,13457112","4184257,7676614","3943181,85858961",,
143,"25195432,4325255","24054860,4079395","16287796,3034388","7767064,10450066",0,0,,
144,"25215480,8694463","24073261,9579065","16237951,7233595","7835310,23454703","4201762,32522073","3959811,70938966",,
145,"25302247,7659693","24155537,9157801","16323052,189081","7832485,7266991",0,0,,
146,"25314662,8958162","24167333,7535611","16306656,1767452","7860677,57681588","4218449,60444815","3975537,29238777",,
147,"25242790,948599","24098431,0542593","16228541,626351","7869889,42790832",0,0,,
148,"25215275,7357874","24071675,3071841","16233969,9487254","7837705,35845865","4202035,20271012","3960215,89895143",,
