Period,Mean real labour income,Total workers
49,"6368,9065332604",11004289
50,"6691,6267211456",11039157
51,"6984,1911310188",11069835
52,"6967,8308273951",11079853
53,"6546,8359095505",11091626
54,"6356,2046503346",11171229
55,"6421,7509021331",11262070
56,"6485,7556979743",11267048
57,"6584,0500436289",11116578
58,"6551,3566988075",11136575
59,"6734,1800242166",11137097
60,"6721,2591396848",11182588
61,"6646,2195162113",11191499
62,"6604,9089002572",11272418
63,"6668,6554362916",11324479
64,"6690,04388804",11306951
65,"6711,8743113201",11394013
66,"6714,3330864744",11419454
67,"6766,7378319199",11445206
68,"6761,555141672",11502440
69,"6744,5068593302",11540175
70,"6715,6772086572",11563597
71,"6715,7589628156",11550179
72,"6748,6963945452",11594937
73,"6750,8961691748",11693138
74,"6789,7836818476",11635238
75,"6785,0528992234",11704534
76,"6811,2752170879",11738431
77,"6790,3792754269",11763092
78,"6833,5253451763",11794957
79,"6861,7587135671",11776443
80,"6884,8304306481",11768503
81,"6906,0830894496",11809832
82,"6919,8330447015",11843921
83,"6918,3859419097",11881600
84,"6925,7771413351",11913010
85,"6927,0068672372",11964696
86,"6906,3844224662",11950790
87,"6899,5589574431",12039927
88,"6930,6941152612",12089693
89,"6949,9952404234",12060369
90,"6967,4957246711",12080616
91,"6999,8625573446",12124559
92,"7002,240779048",12188586
93,"7002,9523038307",12267596
94,"7022,9515640996",12278304
95,"7038,7793711638",12320483
96,"7023,8508767552",12353695
97,"7055,0999522086",12398427
98,"7075,538499833",12311656
99,"7121,6742355415",12304396
100,"7096,5211941366",12349182
101,"7125,8008205462",12421408
102,"7161,879978014",12408127
103,"7141,2031267938",12520705
104,"7173,2955916157",12512521
105,"7213,611707775",12520629
106,"7233,2850177623",12488762
107,"7207,8347454866",12497349
108,"7198,1655193189",12534541
109,"7208,5949953614",12732727
110,"7248,0226045708",12624379
111,"7259,0947352457",12624060
112,"7254,7216563226",12662980
113,"7258,8915664539",12705645
114,"7256,7790079566",12738749
115,"7284,837975809",12742857
116,"7322,0584569229",12718821
117,"7323,4692837594",12802716
118,"7341,3652236478",12824552
119,"7346,6184000726",12871342
120,"7372,2189766868",12838591
121,"7379,8372418351",12842009
122,"7428,0964029751",12862211
123,"7439,4113400667",12851683
124,"7437,8527545394",12849382
125,"7428,6217146264",12888213
126,"7431,2436169191",12956813
127,"7471,3710252412",12937965
128,"7497,7369605273",12936534
129,"7495,3213320462",12822472
130,"7527,8037035158",12812731
131,"7512,4984068257",12927854
132,"7528,6762692841",13017397
133,"7517,3956721129",12976280
134,"7538,3346500579",12956486
135,"7553,2337412241",12953958
136,"7587,2512355563",12973054
137,"7596,6825341732",13029818
138,"7617,2387159803",13023652
139,"7638,9457647801",13040399
140,"7630,978659917",13035812
141,"7628,1201560638",13068058
142,"7666,9609170371",13048371
143,"7671,5300271726",13107143
144,"7694,399108235",13088064
145,"7673,1548867263",13156210
146,"7690,2210672592",13122237
147,"7719,7500043506",13114166
148,"7749,7078875407",13136302
149,"7767,375750386",13085033
150,"7759,4879538373",13137938
151,"7783,2131747351",13052267
152,"7811,3408239654",13066230
