period,total pensions cost,total net pensions,total retirement benefits,total survivors pensions," total thirteenth month of pension, cost",total net thirteenth month of pension," total thirteenth month of universal pension, cost",total net thirteenth month of universal pension
49,17961457.0690947,17255645.0718144,14972411.0121604,2283234.059654,0,0,,
50,20689184.2643273,19873660.1122901,17141641.5233179,2732018.58897219,3451359.37845264,3257958.83921554,,
51,20098988.3073259,19305093.5325662,16576621.5669162,2728471.96564992,0,0,,
52,21719874.0931624,20860990.1667672,17851765.4592199,3009224.70754724,3622658.74588121,3420261.30243928,,
53,18966435.76753,18219854.6591102,15527835.6791353,2692018.97997481,0,0,,
54,19546962.2662324,18776191.2728548,15958451.9373863,2817739.33546847,3260772.46244386,3079588.14843539,,
55,18526313.6895316,17795233.2370496,15024158.7818679,2771074.45518175,0,0,,
56,20184631.0003587,19386069.2257122,16276514.4290139,3109554.79669833,3366764.23411329,3180009.35485561,,
57,19205203.5850471,18443588.6857233,15406322.3015445,3037266.38417881,0,0,,
58,20445425.9226398,19631639.0028462,16312973.4156298,3318665.58721635,3409770.49201394,3220506.40328233,,
59,19523903.2593172,18745977.8850848,15523043.1180475,3222934.76703731,0,0,,
60,21149900.3106824,20305148.1921437,16739515.4318756,3565632.76026809,3526910.5764903,3330981.01610269,,
61,19787965.7078121,18994502.3976051,15565426.1057012,3429076.2919039,0,0,,
62,19449804.1581823,18667919.9656494,15187441.8041845,3480478.16146492,3243149.91767543,3062801.98563619,,
63,19244295.3070747,18468664.3770858,14970055.7921327,3498608.58495304,0,0,,
64,19228801.867486,18452074.1712498,14876628.6025543,3575445.56869545,3205902.95079736,3027500.44462141,,
65,19289697.4400428,18508653.1225315,14885280.8306986,3623372.29183286,0,0,,
66,19376126.6136195,18590174.5192266,14924830.2592216,3665344.260005,3230261.5814034,3050307.42726596,,
67,19467245.2755158,18675809.8732754,14978091.1193097,3697718.75396565,0,0,,
68,19504643.3213092,18710803.8160978,14973509.6593131,3737294.15678472,3251508.8045295,3069452.97822294,,
69,19906307.4076887,19095496.2091349,15301776.422747,3793719.78638789,0,0,,
70,19909924.9993139,19097428.0932666,15261896.6225182,3835531.47074835,3318206.58056673,3126194.03652818,,
71,20014403.1904294,19195646.0128597,15276006.570332,3919639.44252772,0,0,,
72,20068725.0554638,19245999.9181102,15295196.6861005,3950803.23200968,3344068.72020395,3149654.8362097,,
73,20124434.3512047,19297168.7124542,15260905.305067,4036263.40738717,0,0,,
74,20195137.7496158,19363277.088452,15250240.1332275,4113036.95522444,3364616.49944394,3168077.97690253,,
75,20176579.3715481,19344604.9790985,15231061.5183505,4113543.46074793,0,0,,
76,20247861.3682791,19410176.8642198,15219595.5285471,4190581.33567273,3373009.54924269,3175663.96084598,,
77,20184389.633766,19348243.4022964,15121810.5885996,4226432.81369681,0,0,,
78,20188140.5815151,19350361.7989502,15083938.7025555,4266423.09639474,3362746.57895341,3165985.4351473,,
79,20258544.367216,19415452.8869727,15089011.1223818,4326441.76459095,0,0,,
80,20309797.5876984,19462597.3091002,15071110.9653008,4391486.3437994,3382764.3757256,3184759.59639029,,
81,20375331.364559,19522768.8697284,15048347.5409135,4474421.32881487,0,0,,
82,20465421.4528259,19607799.4452254,15072617.0486379,4535182.39658745,3408450.27029263,3208938.73293819,,
83,20530600.1027935,19668361.4576671,15097220.4952815,4571140.9623856,0,0,,
84,20576643.3664334,19709756.2191703,15067669.9293472,4642086.28982311,3426557.74514995,3225949.76302834,,
85,20572531.0961994,19703868.716303,15019457.2626589,4684411.45364405,0,0,,
86,20573999.7681779,19703889.3220974,14969604.4192109,4734284.90288651,3425945.25897511,3225415.39192469,,
87,20644149.7469779,19769256.1046391,15007806.3361653,4761449.76847383,0,0,,
88,20683540.0952207,19805392.8544457,14975470.6638534,4829922.19059225,3443866.65754967,3242250.91812244,,
89,20726207.3340663,19844672.2911076,14971835.1393607,4872837.15174694,0,0,,
90,20760185.6184592,19875980.1185127,14964411.1458501,4911568.97266264,3456475.67114337,3254114.24128522,,
91,20729737.8988394,19845299.2111421,14904461.9623934,4940837.24874868,0,0,,
92,20828025.7475247,19937530.8972521,14885548.5710101,5051982.32624198,3467509.32131031,3264543.955377,,
93,20825552.4863218,19934054.4426008,14861218.7830677,5072835.65953315,0,0,,
94,20793774.5946363,19902786.1372177,14801830.6587017,5100955.47851601,3461709.90353932,3259148.54680701,,
95,20818688.593546,19924971.146773,14777455.7620474,5147515.3847256,0,0,,
96,20863022.0531636,19965267.8533005,14759248.0256304,5206019.8276701,3472848.11342992,3269624.08637374,,
97,20874671.4886486,19975294.5356984,14696260.1044843,5279034.43121407,0,0,,
98,20859505.9892937,19959333.4448149,14630009.0845901,5329324.36022476,3472196.73730229,3269117.93831,,
99,20885919.5213932,19983795.2079045,14604871.5229793,5378923.68492515,0,0,,
100,20903603.1238679,19999486.4018622,14585925.3189316,5413561.08293055,3479562.62879762,3275998.14784632,,
101,20877855.8527418,19973159.9967387,14528167.4417342,5444992.55500448,0,0,,
102,20958767.2736598,20048139.454244,14557496.8832613,5490642.57098272,3488430.37866779,3284296.35823818,,
103,20969650.7169342,20056958.8916688,14510461.9081572,5546496.9835116,0,0,,
104,20950548.1970051,20037803.8141856,14461861.4534416,5575942.36074395,3486731.23506903,3282703.41629794,,
105,20965702.7020728,20050869.5885647,14443690.3726632,5607179.21590151,0,0,,
106,20932218.8604162,20018172.0695859,14390769.8074404,5627402.26214553,3483562.16386657,3279724.49552682,,
107,20978118.6760473,20061141.356487,14382726.728188,5678414.62829903,0,0,,
108,20960744.4940847,20044065.8393123,14321768.5435572,5722297.29575512,3488166.6950262,3284023.03157983,,
109,21058191.8623334,20135202.9452003,14371828.8672409,5763374.07795943,0,0,,
110,21181172.1869045,20250658.05388,14461913.5316677,5788744.52221228,3524667.93805118,3318300.65558679,,
111,21176630.4256747,20244338.1523135,14419676.0871386,5824662.06517491,0,0,,
112,21283013.664072,20344806.0858394,14491711.4058983,5853094.6799411,3541355.02584229,3333975.4304992,,
113,21268604.9970401,20329985.8611122,14452630.3939498,5877355.46716239,0,0,,
114,21263568.1827108,20324341.6010456,14429579.9287522,5894761.67229339,3538038.20132876,3330838.53454952,,
115,21276694.7432395,20335326.0585311,14414810.6464869,5920515.41204413,0,0,,
116,21324751.3398821,20380011.7420521,14425131.8627482,5954879.87930389,3547984.17970345,3340125.11049811,,
117,21378522.9151719,20430403.6820218,14446438.88656,5983964.79546178,0,0,,
118,21396593.4353056,20446046.1145083,14440632.8051675,6005413.30934077,3560050.98646218,3351409.60586822,,
119,21345087.8044585,20395594.2102607,14368218.7550722,6027375.45518848,0,0,,
120,21488777.1952993,20530991.0168637,14468505.1701772,6062485.84668654,3575280.36834251,3365632.41271568,,
121,21540135.2623417,20579114.0532359,14520900.344082,6058213.70915397,0,0,,
122,21490834.8508381,20532069.0787669,14451915.1061477,6080153.97261919,3575738.83438282,3366076.61956761,,
123,21461198.8017154,20502868.4948197,14393114.8685783,6109753.62624141,0,0,,
124,21502674.0065036,20541952.6107138,14402201.3766956,6139751.23401826,3577760.31037509,3367983.74569705,,
125,21443378.4509659,20485367.1359347,14302882.6427673,6182484.49316733,0,0,,
126,21386644.1130436,20430843.5731947,14246889.8578498,6183953.71534487,3558472.46260936,3349867.6537366,,
127,21460800.3848597,20499857.1015044,14243431.8809147,6256425.22058966,0,0,,
128,21449919.9338652,20488813.4907538,14244032.4354226,6244781.05533125,3568965.20169519,3359723.26445781,,
129,21464661.1659269,20502252.2475365,14222232.325948,6280019.92158854,0,0,,
130,21480073.435531,20516537.993544,14208648.8168342,6307889.17670978,3573993.41602527,3364527.92424214,,
131,21493400.4414124,20528756.000278,14185230.528181,6343525.47209702,0,0,,
132,21360649.2876688,20401351.5429156,14012969.8462257,6388381.69668987,3554157.49731926,3345993.17138704,,
133,21418327.5594942,20455189.8306962,14028088.9893014,6427100.84139487,0,0,,
134,21443272.3208299,20478348.6616675,13996621.3554254,6481727.3062421,3567762.67202336,3358785.75108916,,
135,21413250.593987,20448678.7654121,13936770.3236237,6511908.44178841,0,0,,
136,21455802.0151903,20489334.7318946,13978877.0156105,6510457.71628413,3569978.13797941,3361010.64189128,,
137,21428475.9110727,20462852.1389362,13937410.2786372,6525441.86029907,0,0,,
138,21346681.6206053,20384542.2130683,13856254.1944494,6528288.01861899,3551946.63073552,3344225.89129556,,
139,21341025.4287507,20378964.6293858,13831240.6772136,6547723.95217219,0,0,,
140,21287096.9781974,20326902.5815692,13789384.2476301,6537518.3339391,3541997.89709656,3335126.21496525,,
141,21263879.8884016,20304977.3179566,13752836.6845863,6552140.63337033,0,0,,
142,21220378.7066514,20263135.5127389,13704803.5494935,6558331.96324538,3531044.10658413,3324801.62494132,,
143,21217842.7254328,20260231.484116,13699982.4299614,6560249.05415463,0,0,,
144,21111390.3297475,20157934.2257722,13624551.5343101,6533382.69146205,3513114.14525214,3308049.90121217,,
145,21126081.1617029,20170969.1384857,13613031.7950425,6557937.34344321,0,0,,
146,21085047.2600042,20131504.3512952,13541219.9649756,6590284.38631959,3508640.90384276,3303891.61881183,,
147,21136735.4823334,20180125.1834877,13571209.2595881,6608915.92389958,0,0,,
148,21129936.0115235,20172937.8083716,13555202.5021264,6617735.30624519,3516265.32886278,3311109.85617266,,
149,21118799.421731,20161294.0228237,13523918.5052373,6637375.51758643,0,0,,
150,21143199.4269284,20184523.6366305,13508480.0176708,6676043.61895972,3518551.69391193,3313452.36017495,,
