Period,Mean real labour income,Total workers
49,"6368,9065332604",11004289
50,"6691,6267211456",11039157
51,"6984,1911310188",11069835
52,"6967,8308273951",11079853
53,"6546,8359095505",11091626
54,"6356,2046503346",11171229
55,"6421,7509021331",11262070
56,"6485,7556979743",11267048
57,"6584,0500436289",11116578
58,"6551,3566988075",11136575
59,"6734,1800242166",11137097
60,"6721,2591396848",11182588
61,"6646,2195162112",11191499
62,"6604,9089002573",11272418
63,"6668,6554362916",11324479
64,"6677,558526221",11306951
65,"6687,2842362844",11392957
66,"6674,4514108639",11414360
67,"6712,9186434715",11425392
68,"6680,4851506996",11490725
69,"6656,014178707",11500729
70,"6607,1735022933",11534468
71,"6598,4085769675",11511270
72,"6618,5654168381",11526132
73,"6607,400223165",11604275
74,"6604,4275891779",11602719
75,"6593,6024432471",11643693
76,"6583,1338423762",11617214
77,"6595,7292128006",11596591
78,"6599,600031138",11571319
79,"6571,287946041",11609761
80,"6558,1990926209",11686047
81,"6574,6837304042",11671431
82,"6566,7158093975",11683277
83,"6552,9239366691",11679857
84,"6544,8813402243",11706019
85,"6518,0081140917",11770023
86,"6528,7743989791",11772455
87,"6509,5204656061",11783914
88,"6487,972534185",11887374
89,"6518,9707104236",11798542
90,"6483,3635909832",11908255
91,"6472,5455039631",11898110
92,"6496,9594663205",11968454
93,"6466,9111667332",11964471
94,"6479,1712296273",11948764
95,"6444,1344922581",11988149
96,"6480,5402298465",11964982
97,"6472,0276452772",11979133
98,"6504,6825148529",11969677
99,"6477,811618648",12017123
100,"6463,971690251",12075127
101,"6470,8213987691",12104000
102,"6444,0477094199",12154479
103,"6435,112936811",12153273
104,"6463,7338694342",12152930
105,"6455,974634168",12152424
106,"6430,8727678634",12189036
107,"6424,4667416436",12297967
108,"6432,1707133846",12332737
109,"6462,8025504257",12263771
110,"6447,4799580294",12268962
111,"6432,9290314062",12233743
112,"6443,142039567",12240268
113,"6430,2180644486",12324470
114,"6425,9272901964",12285093
115,"6419,7112028384",12280491
116,"6405,6556875408",12287012
117,"6414,8313033084",12271417
118,"6403,7490069561",12353060
119,"6370,0765338924",12372476
120,"6375,3273088166",12319758
121,"6374,1351212852",12303507
122,"6387,0505184766",12304310
123,"6358,6919368263",12265893
124,"6361,8023448761",12271981
125,"6359,3039512181",12264035
126,"6360,8821184861",12259298
127,"6334,0527303264",12299364
128,"6351,1524766054",12203137
129,"6350,4567659241",12255977
130,"6321,3684427366",12224588
131,"6319,0288890967",12239383
132,"6317,8529851746",12273993
133,"6323,0278303572",12293684
134,"6313,7384856946",12328246
135,"6302,9258834184",12325317
136,"6284,5380495284",12250609
137,"6277,4408022133",12335052
138,"6275,016636591",12299176
139,"6277,7481638456",12274913
140,"6265,9561719623",12300930
141,"6275,0777681034",12198624
142,"6251,7384678839",12235265
143,"6241,4634431387",12246307
144,"6232,3250159262",12244225
145,"6202,638099496",12320173
146,"6217,1364735456",12247616
147,"6190,9755357154",12247825
148,"6186,8838176326",12323270
149,"6186,3782769906",12304867
150,"6177,0431707541",12256760
151,"6189,8872760167",12230052
152,"6168,1269084707",12230424
