Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini insee, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini insee, measure IFE impact","Decile ratio, measure IFE impact"
75,0.41279217421718034,0.44292979865276755,0.39535732129110857,0.42463158756231845,9.780863222500846,10.558285373807285,7.443145493437577,8.46582246206742,0.2468137607343655,0.29962331002994286,0.2693497680750162,0.28293906655070983,0.021859334855018356,0.001141918467991673,0.002451279431139529,0.0018592866266607534,0.48327771660234387,9.925931554381789,0.2802880531401028,0.02835048135637739,0.56067373072136217,9.925931554381789
76,0.40677984668748451,0.44672147126981437,0.39572878371140491,0.4239472560229669,9.20690341798677,11.067910480998071,8.29862937656374,8.758053072807655,0.23804411716286458,0.2913108059423389,0.26287043417835115,0.271682736249999,0.02445916793056133,0.001847925263601139,0.0029189370731966574,0.0027273961937039127,0.47775106672882156,9.827762607447205,0.2700949892438011,0.03300952657056687,0.56409855539667786,9.827762607447205
77,0.41092197481000381,0.44899652809730484,0.39943947377005018,0.421110417052106,9.839596160323998,10.804144170312837,8.005906229672265,8.259241810345786,0.24363724668676517,0.3045999223102486,0.2707390759849453,0.28113844460322085,0.02183443894397941,0.0010594711787345276,0.0014730876435494484,0.001792135827443033,0.48599177025074775,11.078407979919547,0.2834593926627275,0.030286457721323993,0.5684830227746972,11.078407979919547
78,0.40790457429976346,0.4547203467822446,0.39997514178657789,0.43055692674238527,8.86378893220583,11.010858550957845,8.419860799492756,8.70587803328428,0.2404842705928845,0.2920445226668345,0.2668112835649945,0.2714671744890883,0.024657854826138182,0.0019896424008244793,0.0024332507923215587,0.0031171480060517153,0.4809965446614875,10.26717305919309,0.2689719125748308,0.03444722849060899,0.57142319250090068,10.26717305919309
79,0.41222097116429951,0.45138059379792955,0.39937963364393608,0.4302335996894518,9.204616875097662,11.245016891738397,8.093066139505048,8.836110036563358,0.2462446174608006,0.3017540019414449,0.2712613484115844,0.2822967194611114,0.0238813438702703,0.002298666268590522,0.002433965217003054,0.0032447783574382585,0.485292629678652,10.491326168325458,0.2798624662027417,0.03311488736617985,0.57064584191551404,10.491326168325458
80,0.40406159127446134,0.44814460754474811,0.3946818024972566,0.42323209368259551,8.667263287717681,11.107651732133043,8.366959334765722,8.447474771782172,0.23425057349991485,0.27859324953349934,0.25926522527443635,0.2588515135418004,0.02532056821220506,0.0023365203135297277,0.0031260724723078236,0.003171245119351838,0.47536946347134884,9.13946013192499,0.2574539874707105,0.035289596567809514,0.56632870984797035,9.13946013192499
81,0.4064844633802529,0.44760479150647386,0.39402234076287335,0.41838955080428591,8.963880726141657,10.995032086692127,8.171272963141629,8.136818653614037,0.23358831647942482,0.2823409441809116,0.26047488317248846,0.25966290509171697,0.025849866181644258,0.0023007631881635775,0.002963657808908967,0.003381723736464885,0.48150199050448766,10.26069572072031,0.26110929960323753,0.03589849922770038,0.57216609261524887,10.26069572072031
82,0.40671657822214824,0.45331440106342724,0.39596235430488835,0.42866432637069446,8.435801698436702,10.959340454440092,8.396728357398734,8.478756553416025,0.2385043070501599,0.2842148277202888,0.2643547284086062,0.2641543667638378,0.02755400021380544,0.0030187473167075833,0.0035717210723094327,0.004263382682307671,0.47842045363157526,9.254835779671394,0.2613804071373039,0.03869166210396187,0.57498360319985398,9.254835779671394
83,0.40766951183206612,0.45501924519060438,0.3955859993152735,0.43302417846915858,8.68305012017458,10.613514577687505,8.313902490574842,8.504592111249913,0.2402663826221086,0.2867996811681788,0.26612036179840465,0.26721000602437267,0.02845370821387328,0.0032145347942929827,0.004064760334608043,0.00453293043684475,0.48047688099752262,9.429497716072547,0.26351450810293847,0.039331114097623764,0.57771379961074365,9.429497716072547
84,0.40066341464831767,0.448011581743611,0.38973533389995274,0.42291733195577924,8.25734644639383,10.68388395308026,7.919238030100007,8.588663120260941,0.23156399511344378,0.2733850860483309,0.2572538977518353,0.2536178225241254,0.02825264051689704,0.003466326740899252,0.003728620281869895,0.0043201086485367786,0.47212768894714907,9.737861145931856,0.25034264212892765,0.040891456619478586,0.5708667040545059,9.737861145931856
