period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2737096.745176696,770611.7410995201,1347875.4839543372,183921.70934365602,339023.81291969103,31526.382342143334,24381.451900467004,31658.693549067,9202.303247136999
50,2477513.34209857,691329.699045858,1268052.485291977,184400.120216088,245542.076510574,20998.508454325332,29210.906440292998,27931.670891942995,10914.713202127003
51,2927366.5333140455,912997.332974038,1553766.712847811,353703.08452857705,0.0,3427.6882918663337,28998.129228042,68274.63585119101,7636.064949142
52,2754580.1425625435,864370.09520971,1447502.0563293179,331894.118616572,0.0,7651.382300400001,38305.637470551,55412.59808267699,10193.263055688667
53,2793778.1620351453,649698.1099658271,1255776.5178482041,283752.800173221,533660.15763522,2963.3455175473327,21030.74337612,40287.00012805801,7094.186066144
54,2830676.326705638,1173830.8975290312,1280816.271301971,283702.32106802,0.0,4262.279894883332,40692.499426161,41562.537088731,6701.737103001999
55,2475137.3679349264,910915.359015273,1194837.2530344739,265598.727510378,0.0,3313.7921946700003,44196.97787250001,50876.20465239601,5879.9415551873335
56,3909362.9229930514,2134717.750525238,1258569.26496039,345460.10190540605,0.0,6017.208368052,88039.777335438,63419.97443886001,13138.84545966767
57,4294933.978199688,1857924.2596071677,1245413.3211866398,324823.887733482,747754.466409171,6297.419585434,72837.40134196199,29931.682163453996,10587.625763729
58,3924676.33154631,2203513.744336611,1229427.315063586,357655.9464558,0.0,9689.783625837334,65128.435825923,51012.054081384,8776.097930816668
59,3606463.3388831955,1935268.314968462,1167379.878848382,344558.31228830694,0.0,9488.367280345334,92645.673142566,46384.22332845599,11243.452566245332
60,3997936.8903006334,2238368.150315258,1221254.232239496,364008.98396459996,0.0,8917.180254700666,92886.163934358,61169.83843627801,11877.81632431133
61,4262271.263058773,1954409.2392928998,1096879.184500792,334345.80716439604,750290.5924413666,6801.068375660002,67027.61416551,43265.30642280001,9252.450695348667
62,3604709.769264406,1939014.525084023,1220098.278722202,331051.85901566397,0.0,7331.149729908001,55374.125696451,42993.79946110201,8846.031555056667
63,3296148.0708655072,1738267.970381718,1121604.926761135,318763.9960701,0.0,9203.883655849999,57851.243958941996,42168.98971796699,8287.060319794666
64,3042878.918216114,1589041.3435111619,1056801.456635414,291226.440883344,0.0,8447.414458596666,52768.293065154,38736.628996253996,5857.340666189666
65,3524319.292100915,1537605.566738883,967216.2572835648,288204.904873288,624715.3650849819,5690.989961657667,58290.432576072,34329.878351055,8265.897231413333
66,3284098.8652534964,1612113.99666642,1278146.08745,295867.86518119404,0.0,4983.664789128,56341.950291122994,29115.225098021998,7781.9118776099995
67,3178807.4386899695,1581693.7414635958,1202785.0434,300370.28303841,0.0,6212.780023273334,36492.942224160004,44634.632148882,6848.791471647999
68,3356048.0000768458,1595193.7090154253,1353492.8917199997,295712.603791501,0.0,4756.023213261999,54136.975451121005,46183.50679536001,6827.700370176
69,3817390.306924427,1529384.1875296894,1260901.8106658447,292127.81684391,625947.5923674133,6902.506823718667,60489.995148794995,33988.252388499,7944.451259477334
70,3065448.6913291574,1755810.644537553,901170.308908296,310976.54643132,0.0,8336.75314406,54911.90190723001,27869.388046812,6922.221532559999
71,3072463.0657795025,1747826.224043802,913522.433549553,305946.70440383395,0.0,7033.123821985333,67663.125991374,22711.556355572997,8393.293951410666
72,2952594.8118803175,1666959.4808659311,881301.4621893131,290701.9137317751,0.0,6126.630394993,53512.74558144301,48246.42414913199,6360.679311280666
73,3176795.1049909927,1412398.151749093,834421.011329376,264473.60080355394,558724.3786066027,6113.126303988,55889.409059862,39370.011041106,6670.394455235333
74,2985705.7579363226,1642758.695043179,949344.365682405,285485.135285568,0.0,7283.543397892,56712.769353587995,37348.657421355,7384.848249600001
75,2678262.0585800475,1436113.253713758,876165.68119232,259792.692493082,0.0,5354.870154991666,52619.252301696004,41447.834010360006,7337.5131065000005
76,3290823.184761812,1855848.1584644003,1011528.484440108,303195.68194452807,0.0,6492.383875692667,66436.554079395,38405.060746200004,9567.16192584
77,3524138.1282648304,1583366.5049745801,943849.3229398499,280473.6142908,630624.50369644,11535.068044493333,43093.484392503,26308.819129200005,6049.844211641999
78,3306323.8149728435,1883043.5800670076,1006558.28665535,306619.527306873,0.0,7752.782380790332,61519.887920600995,33970.6786848,8359.455305283334
79,2974503.2290047226,1627679.730889684,942139.0569612761,284466.22924005205,0.0,7658.568356723668,70934.929719498,33100.216754994006,9145.870058602666
80,3330814.2562324824,1907528.998080504,997118.817177678,311910.15015247493,0.0,8607.817548484669,63288.353719824,34214.740885728,9560.040389398666
81,3622744.3770785592,1598638.4745323989,990007.2782828939,286189.523562784,643139.2616195066,7617.077462124999,51865.999316751004,38759.11958538,7514.692762311333
82,3478064.2405993636,1898516.577208161,1134593.2759804858,320162.296047396,0.0,9857.496927503998,64120.660727694,42289.47570221999,9810.664752055998
83,3172246.802244323,1717858.5938280667,1048023.5505622498,296698.66378123395,0.0,9500.762398856667,52112.190113346005,40739.257047393,7798.6888621473345
84,3515599.0237514046,1998894.938353053,1057170.2004063,324239.169957558,0.0,10616.256632866001,79307.33868692098,36176.5750347,10697.723545191999
85,3923122.644061597,1769904.0242939198,1040941.7722423999,301864.68034084805,697095.3062663906,8128.122102825,62521.06392899099,33131.139380304,10041.540352345
86,3701024.4186193217,2068227.5696834093,1164121.9174028581,332054.321472544,0.0,9643.374851026001,67582.62741082799,50934.78004524899,10013.571112284999
87,3405015.042314146,1946303.329308464,1025824.4201823799,315555.52967442403,0.0,11085.24061589533,66556.693011957,30728.096371517993,9039.391061516333
88,3735424.867705101,2155769.6882335218,1094795.580541215,339792.177791649,0.0,8531.239806298665,88842.51942517499,36161.58494403,13053.868749803003
89,4269165.586136492,2035963.683151074,1028375.203667385,321536.25049496995,750033.398786316,7514.312200892667,73989.879676587,39517.28229077999,12706.686892716665
90,3916413.347473655,2249420.246909311,1161688.25826775,348897.064895064,0.0,12241.788197643999,85503.35384009099,48219.969337874994,11764.594598045
91,3677000.6539224964,2151358.691329062,1065645.265389618,338653.36941126,0.0,8979.780381264001,82636.37498457902,18809.331684231,12266.742344669998
92,4014409.6695816605,2493815.4252532376,1011690.8565549869,358065.72746967204,0.0,11596.89971199,98818.39578717,28393.227788787,13639.749226928
93,4649650.536307044,2294201.3166073323,1055969.869812299,346113.983886015,823020.012478075,10219.244343173998,60145.363787246984,52529.917755938994,8064.916292041666
94,4172914.482172603,2524982.1974905822,1121679.339884432,372755.5523333191,0.0,14354.171917376665,90438.389274093,36820.19634823199,12459.82193926
95,4005584.241344741,2443514.578489077,1059023.60335316,360514.218253959,0.0,6545.1859448959995,95218.57773210299,29555.71286772,12715.353919125
96,4178097.0844823574,2551510.576857151,1084718.4863533562,378019.413602796,0.0,15210.957613967998,96883.99456851001,39470.823807156004,12921.235404316001
97,5000880.240956745,2542120.118274686,1050696.463504128,369303.823482256,873746.9234367027,10393.470409378002,92652.61117675799,52135.11669365999,10765.156176656667
98,4270373.013023648,2641435.341125882,1086883.500375,383998.640450365,0.0,9171.156625388334,94847.142241194,41125.90921875,12944.567149970668
99,4096078.5260198335,2417807.6014350452,1144803.01636098,369960.168549855,0.0,13689.387629202,96890.217547398,42596.93498542801,10535.845561962666
100,4220127.389651784,2551543.189476427,1127565.461074495,378927.13165005995,0.0,13061.466924329998,99837.84878934901,38081.89180494901,12338.785310976002
101,5055955.631006846,2521612.877344147,1122073.76996298,365918.146737248,884408.2183916554,9413.853383365333,117634.86093414301,37079.011944456,15269.107044344999
102,4314203.119297851,2653534.8119072933,1104494.141577281,378595.95365138404,0.0,15030.554704585,97963.20110682299,52580.04223371899,13335.004122494665
103,4094768.282719231,2581824.181069066,1017633.7582679,367347.7622660229,0.0,9749.559108743999,90442.705374219,28465.612535964006,12684.145115308334
104,4200381.909473689,2626406.416753957,1057219.208362515,378226.9615485981,0.0,12098.533299532,91861.67691729298,35827.73456327999,13010.280343616001
105,5022505.155691769,2539590.55544069,1075808.1168093563,364385.375871555,896099.0988273051,8802.81663352,106482.305448105,36052.429137606,14921.496579124998
106,4208018.49435565,2707592.6283767507,984005.498709494,373637.78976878,0.0,16275.452270620332,93141.11456729099,33949.33012867199,12740.968796616
107,4075962.888755445,2571705.603396977,975333.1238092261,368585.564979504,0.0,12505.785294233334,112652.207925798,24738.402777543,15727.606137973999
108,4209086.4709845595,2630321.4328767797,1045698.0929648952,375872.456793834,0.0,15916.613828451997,99361.75010337001,33978.254235357,11423.465761399999
109,4944756.24126162,2583140.7675879807,950308.520938413,364076.972064542,872907.4450786663,10293.147764980999,117519.953688963,33672.938026640986,15583.238643762666
110,4129845.4800875196,2616275.5339996624,978313.698686317,371664.468406062,0.0,10275.516787712002,100148.69515898098,38655.76851381,15080.429565401668
111,3957356.7442801767,2504904.442515236,940616.93626843,363939.8686191381,0.0,9932.754294112667,89181.691674537,37728.62332409999,12113.707989375
112,4066498.626746803,2560439.7659955984,998191.1959891679,367176.53701398603,0.0,11254.219849797999,80741.73845927701,43098.046644768,11918.699659583332
113,4867611.292263788,2463198.055555497,1013590.444422726,360456.24531318597,858005.5432712866,13426.937777278003,115159.10132063401,38008.473574176,15986.17220761933
114,4106960.7446957035,2548888.398039738,1018647.4581345039,368628.0375681599,0.0,15121.513495595997,115851.149775045,39658.942121016,15616.417351237002
115,3925354.600824319,2467217.785181911,955035.2165382401,358852.5528570399,0.0,10094.464335835,113693.306825679,20804.412844458,16399.605428431998
116,3979119.7280503125,2489346.620874547,991344.9271354652,365193.27494940604,0.0,8930.392020266665,102386.331883296,23987.615668191003,12794.651365997997
117,4724997.891027707,2465510.105733555,936375.463639539,354029.16088487994,832304.0552815039,12319.929456736003,81801.617540508,51223.019659812,12899.636029433334
118,4014063.134599847,2488933.742126116,1018725.538285662,361440.774632452,0.0,13923.767204704,88577.84071461901,44699.70664765799,13322.184272973333
119,3871923.7110385858,2426186.775576598,922755.3387237429,355427.790491352,0.0,10426.114880267,106399.36804873499,48260.101163372994,16010.036179573332
120,3894672.187076484,2474862.7108911444,939823.841591549,362748.06960018404,0.0,14187.809938932003,70070.333655519,39032.546276174995,10378.925501434
121,4696046.137103603,2454815.1540800156,924265.45796841,353372.89207626897,834721.0846252856,12161.391459608,94412.31131940299,28546.81305804,12127.382697398669
122,3976882.8297354775,2503861.5101796417,956377.2840935881,359248.379242632,0.0,16920.739775895665,92658.06946724099,44413.399065588,12561.163304651
123,3818321.0756716384,2385173.584235977,923810.741595064,351355.36817825504,0.0,13398.164726211999,101471.116631187,35344.237473516005,15206.018547242664
124,3845820.521981595,2465564.183436298,909906.684000504,358893.84944023495,0.0,13201.450585850667,72942.810322056,31654.045013760002,10669.477704506335
125,4582509.283825189,2393468.2626126767,894483.6438130889,351643.282852183,812746.5618845766,11604.341306306667,85596.08658896097,35606.084742756,11192.916528940334
126,3884593.2362146783,2503657.3734610574,889404.8556030979,351890.744336582,0.0,14978.891664251667,93177.72775761,34525.58037370799,12441.006281756
127,3733120.6234393036,2420816.2713117027,829360.806596464,343133.17963872006,0.0,14505.01797704,83379.95598474899,31804.259423472,13621.012260539332
128,3839178.124151473,2586658.3739329847,783496.15086534,349787.584815425,0.0,11667.8536421,74363.86086623998,31104.07075115999,11008.071160218333
129,4544859.580146146,2452348.419815166,788918.49147786,345030.579258684,809177.3888064099,16703.147816872002,91234.825664628,29192.361196211998,14289.69519642
130,3844697.552437704,2599852.4579793336,747771.5864978401,351450.5197839349,0.0,11367.472578926334,101402.12260347,24281.014891230003,11420.62635457333
131,3797613.3767714635,2517954.247769915,762722.3718538709,347047.21807249996,0.0,11066.106397952668,103613.68223915699,40094.078562701994,14284.624651504666
132,3905079.9448311697,2616481.6011355664,790937.87894804,350075.429880632,0.0,13777.667168187,102522.847903218,24188.938707552003,14091.205090521667
133,4601692.3892169325,2444932.113356908,846078.3514542921,339665.62535688194,809326.270340076,13242.245761579334,87212.874035541,49470.326431217996,10598.642881774666
134,3805631.1365211885,2566021.1232586065,777533.553816308,343059.806588014,0.0,15465.076524473332,71450.75340830103,38779.47611492401,10567.347332329668
135,3700246.945884277,2467509.117514423,765202.2293321121,337233.206263536,0.0,11838.886953343334,79324.411743525,42281.264339196,12403.631230578
136,3841028.3092160644,2588779.6059065564,767811.1804930002,343819.444426107,0.0,9960.694535086,97931.185468842,34060.8383766,12309.636405273333
137,4537603.883290087,2492375.178199165,764360.01844938,337843.570640884,805878.95340533,15032.479446778667,88402.17468128401,35615.26031175,12637.658712145001
138,3767462.0620704372,2584567.5015967274,692868.9495915339,344018.03054763295,0.0,10916.166984311667,90478.31472564,36524.89339202101,12635.987762602666
