period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
59,19826927.310304,19041077.4428234,19898364.4949312,19108228.3816653,15820742.7276145,3220334.71520889,15887894.6988065,3220333.68285884,153068.271140567,148476.22300635,0,0,0,0,0,0
60,21580664.5439292,20723000.4630098,21659293.0983671,20796911.2885286,17147799.3096498,3575201.15335995,17221711.211281,3575200.07724756,195716.984291222,189845.474762486,3598551.22786002,3401144.373651,3611655.98415767,3413462.84270597,32619.4973818704,31640.9124604143
61,20100422.5168749,19301582.1617763,20174391.2627902,19371112.7687216,15860389.7673762,3441192.39440007,15929921.3075419,3441191.46117969,199621.10106806,193632.468036018,0,0,0,0,0,0
62,19939314.3266968,19146318.3214615,20014710.2499968,19217190.4754935,15686021.7191178,3460296.60234364,15756894.7782771,3460295.69721639,217761.898580891,211229.041623464,3325892.97828787,3143444.18791117,3338458.96304533,3155256.21192975,36293.6497634819,35204.8402705774
63,18978789.1256259,18225099.8398871,19050994.9160723,18292973.2702278,14886773.5756235,3338326.2642636,14954647.8147453,3338325.4554825,235047.123224172,227995.709527446,0,0,0,0,0,0
64,17424739.6683314,16734619.5702959,17490439.3900688,16796377.2975099,13624338.8889128,3110280.68138309,13686097.3083655,3110279.98914434,240391.322037069,233179.582375956,2907687.74315969,2749598.6767832,2918637.69479337,2759891.6293436,40065.2203395114,38863.2637293261
65,17281706.7779877,16596418.5258333,17349305.2240575,16659961.0542036,13494386.6208,3102031.90503331,13557929.8159605,3102031.23824305,195752.530770185,189879.95484708,0,0,0,0,0,0
66,17450045.1477962,16757147.7460327,17520986.5839201,16823832.6850284,13622301.563769,3134846.18226367,13688987.1586763,3134845.52635216,200857.994505559,194832.254670393,2911721.2630262,2754398.21544581,2923544.83377013,2765512.37001501,33476.3324175932,32472.0424450654
67,17829267.9400377,17119809.1843651,17904199.2173535,17190244.5738522,13903580.2683793,3216228.91598585,13974016.3305335,3216228.24331875,191856.994735014,186101.284892964,0,0,0,0,0,0
68,17612796.9126512,16911120.380929,17688054.0045183,16981862.036297,13729703.0278772,3181417.3530518,13800445.3437296,3181416.69256741,206664.82215155,200464.877487003,2938871.01190469,2779398.55409998,2951413.85860115,2791188.82806011,34444.1370252583,33410.8129145006
69,18038207.762691,17319305.5287463,18115536.2146576,17391994.2625506,14039136.0900364,3280169.4387099,14111825.4877639,3280168.77478671,233628.109416372,226619.266133881,0,0,0,0,0,0
70,18712103.4919486,17975435.499818,18738225.555297,17998688.5793197,14470473.3254222,3504962.17439579,14542043.1959046,3456645.38341505,281812.281775581,273357.913322313,3121821.70018615,2947122.52384128,3126048.4341254,2950972.51871389,46968.7136292635,45559.6522203856
71,18294483.6361756,17572070.5497333,18322502.9988522,17597154.7228792,14087455.9561209,3484614.59361241,14159146.975093,3438007.74778619,282918.72760305,274431.165774958,0,0,0,0,0,0
72,18346564.0910474,17621055.7002991,18375218.1280684,17646736.4673287,14076600.5308544,3544455.16944472,14148888.1437102,3497848.3236185,312497.498149009,303122.573204539,3060310.5021273,2888278.14032023,3064964.84605087,2892535.53452034,52082.9163581682,50520.4288674231
73,18492222.6484724,17757801.4490849,18522659.4637505,17785158.6783475,14113374.0857701,3644427.3633148,14187317.1234921,3597841.55485543,339856.500171718,329660.805166566,0,0,0,0,0,0
74,18498784.2656488,17762924.6818742,18531260.002383,17792224.8607645,14065692.7041395,3697231.97773469,14140726.2729792,3651498.58778534,346186.863497619,335801.25759269,3085005.36349469,2910872.7790681,3090301.44710988,2915738.05462557,57697.8105829365,55966.8762654484
75,18548624.5558314,17809641.7007558,18585567.5604416,17843252.9544899,14073164.4245294,3736477.27622645,14148892.8099077,3694360.14458219,368888.611305235,357821.952966078,0,0,0,0,0,0
76,18646892.8417637,17902313.4188553,18685910.1776004,17937890.3699976,14099974.7933076,3802338.62554777,14177157.166975,3760733.20302261,398100.575751936,386157.558479378,3109169.57957396,2933270.68364669,3115578.5660707,2939204.28528378,66350.095958656,64359.5930798963
77,18721800.9877171,17972629.1932895,18762544.2212478,18009834.9494191,14096331.7418106,3876297.45147896,14174934.0097898,3834900.93962929,413735.981544172,401323.902097847,0,0,0,0,0,0
78,18851056.8322739,18094999.1959248,18897498.4618775,18137717.7005813,14127687.4726501,3967311.72327471,14206892.4252908,3930825.27529046,441740.780555513,428488.557138848,3142671.33657691,2964320.95443507,3150318.06125654,2971418.37580492,73623.4634259189,71414.7595231413
79,19109013.37738,18341760.4824449,19156743.9566832,18385680.3697951,14284600.7838932,4057159.69855165,14365405.6313016,4020274.73849346,464591.094980714,450653.362131293,0,0,0,0,0,0
80,19376272.8740789,18596559.8982514,19426215.4038613,18642550.9443038,14454489.8553647,4142070.04288675,14537722.285501,4104828.65880284,485771.491537052,471198.346790941,3230263.96492492,3046414.74219547,3238492.4279851,3054057.12513386,80961.9152561754,78533.0577984901
81,19605765.417309,18815498.1752215,19657836.3328497,18863491.2828592,14592259.2492717,4223238.92594985,14677505.541316,4185985.7415432,501941.551724497,486883.305172762,0,0,0,0,0,0
82,19781468.0086372,18983055.9723651,19834095.4207092,19031568.6491396,14646494.494713,4336561.4776521,14732426.7287849,4299141.92035466,527859.713113902,512023.921720485,3297054.40479068,3108986.09822289,3305731.22583159,3117050.78999445,87976.6188523171,85337.3202867476
83,19947074.7909556,19141079.9305592,20004076.443294,19193788.9510001,14733938.1994163,4407141.73114296,14821391.8256895,4372397.12531053,527992.30288541,512152.533798847,0,0,0,0,0,0
84,20149165.3901939,19333823.7577512,20208092.4325311,19388335.215058,14838731.9019701,4495091.85578111,14928283.8198438,4460051.39521422,555689.895211158,539019.198354823,3360575.95580197,3168803.13169449,3370317.72440378,3177883.43417747,92614.9825351929,89836.5330591371
85,20469145.8117999,19639224.9430051,20529812.2591373,19695362.3893328,15032229.9609089,4606994.9820962,15123768.3036442,4571594.08568855,590047.963347766,572346.524447333,0,0,0,0,0,0
86,20840994.3306279,19993630.0801877,20905764.9437052,20053678.9625383,15255467.7177348,4738162.36245289,15349258.3939234,4704420.56861491,619594.267435909,601006.439412832,3475589.92353278,3276790.20905174,3486315.12334045,3286804.15586481,103265.711239318,100167.739902139
87,21052290.2589622,20195550.3560018,21125587.4541682,20263780.2027264,15381663.9535638,4813886.402438,15476432.7430571,4787347.45966933,653474.933631777,633870.685622824,0,0,0,0,0,0
88,21258590.416195,20392860.0096668,21333041.2494823,20462170.0072115,15526200.7567959,4866659.25287086,15622218.9156157,4839951.09159577,729060.65273268,707188.833150699,3544872.74043209,3342168.39577859,3557209.57445558,3353695.84405566,121510.10878878,117864.805525117
89,21471410.6206251,20595922.7900032,21546857.4622564,20666172.1018701,15662596.674077,4933326.11592611,15759774.1828143,4906397.91905578,787249.066745084,763631.594742731,0,0,0,0,0,0
90,21725311.1446967,20837792.627355,21801352.4350797,20908594.765155,15841809.2385673,4995983.38878768,15940481.4721157,4968113.29303938,890109.449809974,863406.166315674,3621195.35909085,3414017.48907206,3633797.57927387,3425794.73426634,148351.574968329,143901.027719279
91,21937259.9813371,21040056.0071516,22013779.6949665,21111304.2584158,15958001.990643,5082054.01650864,16057268.7684891,5054035.4899267,942825.701847391,914540.930791969,0,0,0,0,0,0
92,22234004.0274717,21323787.9288562,22313069.7409576,21397425.8990949,16183104.9661549,5140682.96270127,16283912.2324984,5113513.66659656,1030083.8163338,999181.301843787,3705992.2742447,3494405.45206398,3719097.81387189,3506655.09264453,171680.636055634,166530.216973965
93,22576435.9662852,21651407.8377939,22657508.1700272,21726925.7924681,16431589.0908218,5219818.74697211,16534517.5338836,5192408.25858453,1125817.83737249,1092043.30225131,0,0,0,0,0,0
94,22944981.9646714,22003829.8251464,23038494.9218765,22091292.8703935,16689816.7785646,5314013.04658172,16794651.1867618,5296641.68363169,1218034.17996016,1181493.15456136,3825377.74624255,3607813.4592029,3840902.5589253,3622348.02831398,203005.696660027,196915.525760227
