period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
59,19826927.310304,19041077.4428234,19898364.4949312,19108228.3816653,15820742.7276145,3220334.71520889,15887894.6988065,3220333.68285884,153068.271140567,148476.22300635,0,0,0,0,0,0
60,21580664.5439292,20723000.4630098,21659293.0983671,20796911.2885286,17147799.3096498,3575201.15335995,17221711.211281,3575200.07724756,195716.984291222,189845.474762486,3598551.22786002,3401144.373651,3611655.98415767,3413462.84270597,32619.4973818704,31640.9124604143
61,20100422.5168749,19301582.1617763,20174391.2627902,19371112.7687216,15860389.7673762,3441192.39440007,15929921.3075419,3441191.46117969,199621.10106806,193632.468036018,0,0,0,0,0,0
62,19939314.3266968,19146318.3214615,20014710.2499968,19217190.4754935,15686021.7191178,3460296.60234364,15756894.7782771,3460295.69721639,217761.898580891,211229.041623464,3325892.97828787,3143444.18791117,3338458.96304533,3155256.21192975,36293.6497634819,35204.8402705774
63,18978789.1256259,18225099.8398871,19050994.9160723,18292973.2702278,14886773.5756235,3338326.2642636,14954647.8147453,3338325.4554825,235047.123224172,227995.709527446,0,0,0,0,0,0
64,17424739.6683314,16734619.5702959,17490439.3900688,16796377.2975099,13624338.8889128,3110280.68138309,13686097.3083655,3110279.98914434,240391.322037069,233179.582375956,2907687.74315969,2749598.6767832,2918637.69479337,2759891.6293436,40065.2203395114,38863.2637293261
65,17281706.7779877,16596418.5258333,17349305.2240575,16659961.0542036,13494386.6208,3102031.90503331,13557929.8159605,3102031.23824305,195752.530770185,189879.95484708,0,0,0,0,0,0
66,17450045.1477962,16757147.7460327,17520986.5839201,16823832.6850284,13622301.563769,3134846.18226367,13688987.1586763,3134845.52635216,200857.994505559,194832.254670393,2911721.2630262,2754398.21544581,2923544.83377013,2765512.37001501,33476.3324175932,32472.0424450654
67,17840146.4200496,17130311.9207055,17915077.6973654,17200747.3101926,13914083.0047196,3216228.91598585,13984519.0668739,3216228.24331875,191856.994735014,186101.284892964,0,0,0,0,0,0
68,17644284.9595952,16941047.4687455,17719542.0514624,17011789.1241135,13759630.1156937,3181417.3530518,13830372.4315461,3181416.69256741,206664.82215155,200464.877487003,2944110.03769458,2783332.33225676,2956652.88439104,2795122.60621688,34444.1370252583,33410.8129145006
69,18070938.1741264,17350109.9803989,18148266.626093,17422798.7142032,14069940.541689,3280169.4387099,14142629.9394165,3280168.77478671,233628.109416372,226619.266133881,0,0,0,0,0,0
70,18722022.246486,17984988.1966689,18748149.373152,18008246.0356891,14479934.2849552,3505053.91171375,14551508.9149561,3456737.12073301,276117.064734225,267833.552792198,3123480.07840649,2948205.65361065,3127707.656232,2952056.44173634,46019.5107890374,44638.9254653663
71,18673610.9663852,17936252.7966899,18702204.7442895,17961851.1766947,14381555.2606979,3554697.53599205,14454717.2605894,3507133.91610535,288726.657639833,280064.857910638,0,0,0,0,0,0
72,18727381.5834667,17986783.3631894,18756642.4577369,18013008.8137781,14370717.8759278,3616065.48726153,14444506.9464033,3568501.86737484,318912.639420483,309345.260237868,3124028.76152075,2948524.89066462,3128781.75427113,2952872.59876777,53152.1065700805,51557.543372978
73,18877124.0869783,18127323.7947402,18908283.7989149,18155334.8167641,14408497.3082438,3718826.48649639,14484050.4809195,3671284.33584458,346345.439408194,335955.076225948,0,0,0,0,0,0
74,18898907.7496841,18147065.8254458,18932210.9072405,18177118.5910166,14373953.7888977,3773112.03654803,14450678.7876377,3726439.80337886,362053.066058434,351191.474076681,3151951.35616165,2973915.91572237,3157382.9508592,2978906.25108003,60342.1776764057,58531.9123461135
75,18966296.8310915,18210230.4183911,19004255.7394297,18244773.72872,14396670.1054728,3813560.31291821,14474195.1538862,3770578.57483375,377968.388879018,366629.337212648,0,0,0,0,0,0
76,19083158.3255184,18320531.4191805,19123256.4099037,18357101.7059361,14439822.6112117,3880708.80796881,14518852.4222524,3838249.28368367,413419.227070726,401016.650258605,3182094.76557467,3001909.45639967,3188681.94913476,3008008.71379397,68903.2045117878,66836.1083764341
77,19173390.3231416,18405267.0600862,19215469.3452578,18443706.0221022,14446266.5001759,3959000.55991028,14526951.7871545,3916754.23494775,424584.103762617,411846.580649739,0,0,0,0,0,0
78,19460201.5182465,18678817.4396298,19508600.5319373,18723348.7367941,14599867.6912571,4078949.74837263,14681943.0115075,4041405.72528662,456244.083977923,442556.761458586,3245861.15289562,3061737.029452,3253831.39675944,3069135.9513017,76040.6806629872,73759.4602430976
79,19719895.8675434,18927143.6700953,19769698.6684676,18972984.6817651,14752659.2396798,4174484.43041555,14836427.8070896,4136556.87467552,486237.331688886,471650.211738219,0,0,0,0,0,0
80,19974313.1905709,19169615.8631076,20026508.1544635,19217696.2533532,14893540.9374699,4276074.92563777,14979909.3990856,4237786.8542676,505155.974261202,490001.295033366,3331500.95268853,3142135.08218306,3340101.94727886,3150125.06452218,84192.662376867,81666.882505561
81,20189297.6821753,19374606.8200604,20241047.3021582,19422269.0745551,14986815.7488726,4387791.07118782,15072808.7200513,4349460.35450376,516412.600235169,500920.222228114,0,0,0,0,0,0
82,20417728.0779352,19592110.173819,20470090.470944,19640343.468548,15083330.7435814,4508779.43023754,15170117.3389648,4470226.12958324,533979.292552221,517959.913775655,3404593.08306172,3210501.82236292,3413222.64925844,3218519.33787348,88996.5487587035,86326.6522959424
83,20654723.7749738,19817681.1520978,20711618.6059705,19870263.827073,15210794.1588615,4606886.99323628,15299103.3445644,4571160.48250858,559232.554193696,542455.577567885,0,0,0,0,0,0
84,20895361.7212898,20046347.0900182,20953298.8322304,20099903.4355538,15340176.6578011,4706170.43221711,15429700.9835166,4670202.45203715,585057.912630616,567506.175251697,3484372.40262965,3285241.28104339,3493946.85327252,3294162.28392865,97509.6521051026,94584.3625419495
85,21193274.8181315,20330183.4816347,21253504.6947601,20385886.6612831,15527189.5669494,4802993.91468529,15619193.3769341,4766693.28434898,618343.030017637,599792.739117107,0,0,0,0,0,0
86,21525949.4939295,20647632.1381683,21590167.2532474,20707139.3265697,15736135.8662493,4911496.27191902,15830220.9455478,4876918.38102192,637867.219014298,618731.202443869,3589899.53506739,3384371.06476728,3600530.62850404,3394294.88976703,106311.20316905,103121.867073978
87,21734503.5977038,20845536.4339759,21808939.8767879,20914819.9929618,15859856.0495742,4985680.38440172,15956301.3212289,4958518.67173286,666510.538325854,646515.222176079,0,0,0,0,0,0
88,21945045.1940717,21045329.8653442,22021076.093515,21116108.7994714,15998361.0157286,5046968.8496156,16096442.8239217,5019665.9755497,719007.009566069,697436.799279087,3659619.47139223,3450054.52246397,3672217.82018146,3461826.29267393,119834.501594345,116239.466546514
89,22262498.4937742,21348187.5571752,22340805.0785039,21421098.620033,16155473.7759165,5192713.78125873,16255965.2650136,5165133.35501935,786413.649640807,762821.240151582,0,0,0,0,0,0
90,22590815.8240148,21663263.3698189,22670753.0995899,21737698.7665271,16397778.5196658,5265484.85015302,16500131.2482973,5237567.51822981,903789.916483909,876676.218989391,3767070.1260981,3551780.72012974,3780317.88423171,3564161.37523493,150631.652747318,146112.703164899
91,22792650.0097256,21855379.6167895,22874162.9951534,21931293.5457565,16512561.30075,5342818.31603942,16616505.7419272,5314787.80382931,959894.247594135,931097.420166311,0,0,0,0,0,0
92,23059875.5853763,22110048.363478,23143300.2553339,22187765.4581873,16693006.6381677,5417041.72531029,16798574.7973833,5389190.66080395,1052560.40487927,1020983.59273289,3844064.85518213,3624697.57320308,3857894.87746796,3637627.02863152,175426.734146545,170163.932122148
93,23512176.4853351,22542466.9129496,23598972.7909457,22623345.2963562,16993299.284104,5549167.6288456,17102329.3409456,5521015.95541063,1165352.15188259,1130391.58732611,0,0,0,0,0,0
94,23940296.5369413,22951834.05763,24039261.6934465,23044407.1629902,17292890.6590767,5658943.39855335,17403365.7576749,5641041.40531529,1270433.94270257,1232320.92442149,3990226.44765184,3763126.66336149,4006657.82416445,3778512.43610775,211738.990450428,205386.820736915
