period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_beneficiaries,Total_SIPA_benefits,Total_non_moratorium_beneficiaries,Total_non_moratorium_benefits,Total_PUAM_benefits
69,0.3805296162024417,0.5948327790762876,0.025123620603187118,0.9791694597822298,0.9903033726376238,0.980119033131679,0.9907551923655782,0.42412205072779136,0.4734600038895516,0.2345925729596162,0.2632792883854769,0.5275873875620587,0.48386083828507936,0.028001714027593574,0.03363316325835417,4866.4797562350686,2229.417541705428,2912.3311341854401,2860.5538451461662,3654.9754259564611,4315.4900583709086,3468.8678038658959,0.7069624351328164,0.7275650232545045,640.46060376769321,630.93237406080129,534.05811823896079,874.42477670000005,0.7491897027874224,0.511934409854721,0.2372552929327014,0.22086755468037639,0.17984592070862371,0.19628739318164282,0.16638258772392148,0.21572483499931225,0.17183929506543971,0.19363393681106594,0.16162859604750551,4486696,5918013,2958393,3098709,108607
70,0.3803651506558755,0.5919501562888564,0.02928663355402505,0.9738292438110062,0.9897737762772492,0.9750454275106083,0.9902712682421397,0.420561499662641,0.46864879339772886,0.2356275197822042,0.26272458537729854,0.5226573793214433,0.48444170653256086,0.03238159570169007,0.03880590873049263,4645.6998024734212,2050.5085041740526,2617.3167368568847,2333.7781429305505,3380.9515557572322,3984.0083083745344,2950.6385117847649,0.5268189628226575,0.6259799661922243,496.5501378413224,501.78059435335217,466.9855318077104,667.05438638842475,0.7134622410529999,0.5501779297952339,0.163284311257766,0.30313461892950649,0.2766592725900453,0.27510927251817041,0.25580294511773072,0.29636853473761915,0.26727482289219484,0.27276677654545933,0.25102318753146746,4487649,5916933,2957732,3098431,126365
71,0.3812983993286982,0.5897382137061175,0.03085200503941757,0.9663293174165059,0.9891255943925726,0.9680121122478452,0.9896217510163554,0.4177190826282599,0.4663725254188389,0.23755602411742496,0.26410049560533866,0.5168803364875858,0.4846332330606922,0.033798912518377286,0.04060551934428921,4628.6551580065179,2062.1767503029228,2598.394759385676,2313.6293067134388,3364.2355627398692,3973.8335565881671,2923.6338639332726,0.5579032342047586,0.6522290302578989,498.15927714583336,500.24421682934059,461.42353904134819,641.012251276293,0.7194763096129391,0.5272311071753181,0.1922452024376209,0.30688258206720709,0.28314606394498365,0.27489214048750205,0.25733917255240579,0.29845685546481343,0.26960240032458366,0.27223817418696028,0.25201523867563391,4474630,5906635,2950360,3097210,132581
72,0.3838203670047488,0.5864857829630064,0.03167403412088878,0.9623520306675258,0.9893580749607536,0.9641904394580125,0.9898547880690738,0.41750169249928193,0.4660867592229199,0.23934337660111452,0.26345019377943485,0.5125507686012941,0.48444736067503924,0.034453520424015074,0.0414129954866562,4521.2012518644633,2036.3715876496469,2536.8317225204419,2254.5027025943136,3290.0431379016177,3890.7536804371034,2848.360851475572,0.5534879652774322,0.6458782482278035,483.37852322324642,488.7933593155937,447.04700720466565,646.59076018907842,0.7407022140311944,0.5364681281471768,0.2042340858840176,0.31537385726185718,0.28776147984714789,0.2779049202798281,0.25886651868697896,0.30502683140314063,0.27208116610967681,0.27511601592094947,0.25327219619193669,4448110,5870787,2941098,3089513,135066
73,0.3840335509710885,0.5847674431735839,0.03391845830408179,0.954126042431804,0.9885648418424091,0.9564720912044172,0.9890716303737086,0.4130204694779611,0.4626544030944234,0.2413315496750272,0.2643850326627491,0.5075516607682298,0.48554663458933695,0.03647862937312777,0.043882103638102465,4384.9396712439011,1985.1440552676765,2464.3002046484708,2175.146584545786,3192.8067025023397,3777.0170137160503,2748.3128813559665,0.5413914563138565,0.6269183944174049,589.53950824580113,577.03193807895411,530.04270334671469,731.95183830763392,0.7357841791584138,0.5222066612529266,0.21357751790548715,0.32249075742707428,0.2953253820666204,0.28216887426320253,0.26214167700247509,0.31050219770979165,0.2766107191323488,0.2795448461035519,0.25597048281900658,4445581,5869707,2939610,3095193,144170
74,0.3850957335136619,0.5816050276953315,0.03622509754434412,0.9466486262442902,0.987554105685381,0.9490862448984824,0.9880086508651772,0.41052132313075895,0.46016201634307524,0.24081299533765843,0.264182323390762,0.500629512880947,0.4847098738455792,0.03861682610388458,0.04643251545423389,4522.2140746148762,2074.4659913623559,2523.791934829429,2233.6549630946538,3283.6499982958235,3892.9673995623457,2820.411600295075,0.5579533345940377,0.643142591737718,473.09984782730646,478.3108541115738,432.02871987945952,624.87895045923494,0.7538172733238635,0.529382168856933,0.22445966409833293,0.3225304170096181,0.3007164865969072,0.28092656221717743,0.26295198428582489,0.30886518977886729,0.27815170221809093,0.27831665600513167,0.25603374081618596,4446936,5870238,2942524,3099693,153636
75,0.38523310775015807,0.5803709690073795,0.03803080607645271,0.940293263627276,0.9869638772720506,0.942923529578338,0.9873705042083782,0.4072797421657744,0.4587578930589203,0.24271771427483121,0.26532768506864085,0.4966491424195289,0.48456246249904134,0.04020728380183693,0.048255669693811724,4714.492843986468,2190.533609635484,2623.7871209848468,2322.1058699664682,3418.7334862890953,4063.5358024159759,2933.0854720747234,0.5869369676180174,0.6691344488919532,496.58928897533679,500.74606251892658,452.36846848791976,642.82044353954655,0.7658063348685687,0.5286461588542115,0.2371601760143572,0.32358133861767802,0.30537311765865216,0.28342599157042947,0.26465613643534464,0.30921240207720857,0.28016752365232334,0.28064824924379356,0.25735276802103008,4436194,5860886,2939622,3099991,160446
76,0.3858710132322911,0.5785371115048424,0.03912760701636861,0.9344840409203331,0.9855844534757289,0.9383519557952585,0.9859882034529582,0.40482803027845093,0.45677112900976435,0.24457910407531178,0.26548741013800664,0.4923155827204185,0.484133253021331,0.04104986260890833,0.049118633509396596,5005.1607503447103,2346.2031354784317,2779.1439627011096,2452.4305485850068,3626.3847189328781,4316.7758969429542,3096.9259197576257,0.6012668417048161,0.6928017154556186,521.09999535638087,526.56191568239251,475.38046590056376,693.47203282912778,0.7759976168635119,0.5452373434943015,0.23076027336921037,0.32510607332305547,0.31046502086127614,0.28493750478364616,0.26775557357936763,0.30968673808425173,0.28319155445050276,0.28208889194471648,0.25943434528223186,4429704,5853544,2937687,3104106,164479
77,0.3870656244076493,0.5749755310740458,0.041982596960726926,0.9270640124763195,0.9849503919449515,0.9317797878074493,0.9853508223483999,0.4021190521484793,0.45402232636440293,0.24434889702676782,0.2638824511671865,0.48550985264626384,0.48377590469282516,0.04361534848881174,0.05215043269881503,5275.0011347989457,2491.1883267322555,2909.7600405177254,2577.0355007252792,3812.537434227625,4543.9983671213186,3252.1456843814435,0.6156397006788707,0.7160324673530315,696.0957700850139,683.67511116272203,631.96229687063703,872.93095774067433,0.7756123715674186,0.5619770093841767,0.21363536218324192,0.32549962276909905,0.31523707970388309,0.28211623688355547,0.2685371684289623,0.30806555143510905,0.28492637710903856,0.2795218585937484,0.26006256222689,4425111,5843987,2932778,3100982,176079
78,0.3886761575681747,0.5722125243331392,0.04352466866963842,0.919439445600128,0.9845052296066574,0.9242535173126869,0.9848906745906527,0.3998146256200687,0.4511322409541341,0.24398690316465824,0.2625452462866637,0.4793926711881932,0.4851776202443845,0.04477197474181756,0.053633770053018594,5471.5278582419132,2609.801360690607,3015.6899798320323,2671.8958979165313,3956.6633870487512,4723.0912514951879,3370.8608025292597,0.6231544676729304,0.7300071411209836,570.63990723811287,575.40249540546597,529.19802172028483,768.64152194638109,0.7753756009093001,0.5765395551828232,0.198836045726477,0.33004045849010394,0.32139265481532014,0.28404735580749907,0.26955193081445689,0.31121195167761162,0.28725685441891746,0.28156080734641875,0.26073473521910856,4414349,5829530,2928176,3102034,181866
