Period,0,[1;5[,[5;10[,[10;15[,15,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[,[70;75[,[75;80[,[80;85[,[85;90[,[90;95[,100+
49,195587,917628,1127523,1139748,251166,993475,1173238,1007284,1009891,854687,814998,672116,633455,550174,513030,422931,269992,197564,134033,65172,22266,3321
50,195475,923708,1121482,1140328,254485,979552,1188805,1011894,1006565,846040,834158,677736,629982,553867,518553,427891,274878,194272,135216,65433,24548,3543
51,201159,917978,1126435,1142745,237429,989885,1186417,1016774,1007311,854067,838291,683190,622704,570728,512820,431197,279272,190959,137970,64602,23207,3183
52,207659,902264,1126991,1119051,249723,988337,1207683,1020503,1000973,856003,837851,690440,633289,576275,507327,428536,286449,187668,135255,66326,22263,5407
53,207517,895686,1127869,1119052,237207,986562,1224073,1025569,988832,869255,852787,684204,628303,580875,509985,428759,295235,189853,133883,72347,22197,5639
54,199091,892465,1129104,1112077,246677,964767,1256464,1013769,1000968,873193,845676,692110,631790,579555,503292,434345,299525,188501,139582,71797,22345,5049
55,191109,885239,1138000,1109955,254897,941849,1267039,1019187,995772,880938,858437,690500,641399,583169,502131,443915,297591,188977,134738,76361,21739,5277
56,189139,875555,1149965,1097898,232413,951067,1281367,1017215,995981,888734,860158,712835,636681,573707,510870,443532,301880,191585,129776,77252,22990,5277
57,188627,869812,1158139,1093389,226674,954853,1264722,1037230,996388,900892,853958,710689,647073,568692,514247,451452,304124,194062,128590,80822,25027,5277
58,202921,850153,1178795,1085789,216038,961947,1244834,1079953,989794,906248,835960,732291,639178,585538,501988,456462,310554,193070,130437,72949,28844,4044
59,200759,844181,1160541,1096081,220908,959571,1247225,1094577,985425,905015,841470,734485,646707,584504,506657,454259,319436,189325,134989,72701,26495,5672
60,209742,835247,1154796,1096846,223413,947743,1265989,1094305,970997,928374,835444,747877,641000,588792,508869,454034,325079,189645,129620,74341,26727,6581
61,210417,826969,1159514,1106622,215213,943464,1268811,1095779,967722,937929,839431,762697,639637,586637,511542,451273,333962,188836,120721,80356,23061,7314
62,186569,842005,1134622,1124858,213575,934386,1267235,1110359,963064,946699,857840,756653,636986,591492,512563,455945,332297,189436,121540,79405,21956,8912
63,182418,827030,1130399,1132113,211011,940558,1262951,1116481,971200,944631,858276,774086,632729,597664,511476,461077,335156,190090,120962,77939,20796,9337
64,178373,811176,1149110,1124042,212303,936876,1261954,1130971,972056,951257,858863,776816,623866,609667,514224,461861,340839,187410,122594,78426,20308,8788
65,174575,798521,1161248,1123825,218766,929459,1243329,1154452,960275,966140,858810,777093,636051,612073,516148,454489,344386,198434,126366,76751,22286,8788
66,176987,779630,1163925,1123163,220174,929974,1231180,1167861,956256,987149,857192,766642,650749,611476,516723,457747,352359,205813,127057,77193,24383,9593
67,172928,771185,1155591,1130156,212688,923444,1231318,1179813,953064,997435,858202,780215,644718,623449,502057,470893,352920,212096,129206,77209,24627,10259
68,169243,781945,1132408,1127109,218753,917051,1243410,1169005,974155,999677,842515,806862,643549,619333,509654,468830,365520,213099,129926,78468,22526,9791
69,169144,775805,1111833,1127064,241150,897166,1240415,1167609,995106,1005767,846099,804734,657636,612501,515753,463471,372061,215443,130345,80333,23986,8250
70,168803,759430,1117898,1120928,243126,895770,1230129,1183168,1000095,1002441,837789,822626,661038,609537,519697,464954,380041,215212,129380,79051,26737,6633
71,167984,742943,1118037,1126140,242503,898810,1223200,1181185,1007647,1003412,845053,826431,666120,603649,535339,457987,383239,222158,130166,78881,25390,7358
72,162483,745155,1108003,1126022,231231,886188,1233946,1202196,1012047,995367,847275,826401,673255,614194,542075,454619,380829,229661,131446,75798,27411,7388
73,166667,740336,1097607,1126900,216311,901453,1222359,1215122,1017476,982949,860668,839230,668876,608487,547394,460992,376619,237846,135261,72626,30751,7388
74,169467,732082,1086108,1128135,218176,892563,1209666,1249115,1008068,995406,864482,831023,678162,612203,550921,455244,380364,244091,137499,71155,30409,5869
75,169712,723253,1071008,1137031,221907,884923,1195117,1259437,1015279,988984,874330,843084,675513,619979,554583,455123,386817,243179,135667,68872,33346,5205
76,177204,718436,1060565,1148996,211260,883701,1181769,1275289,1011653,990385,883669,840572,700527,613099,544426,463216,387217,247314,134511,65899,35203,5205
77,173232,716922,1054611,1157265,201011,891390,1178251,1260923,1031583,990839,895703,834447,696415,625921,538599,467844,395060,248499,137631,65554,37867,4769
78,165083,699364,1048297,1177921,189750,893373,1172722,1241035,1073172,985678,901311,817796,718052,617670,554577,457779,397333,255441,135014,67266,35718,8000
79,171150,692228,1041224,1159457,207772,886381,1175096,1241621,1088971,981309,902061,824629,719910,621722,555653,463680,392311,263218,131352,67844,34275,7949
80,174234,685831,1043203,1152791,223099,871339,1165007,1260853,1089459,966881,925803,820246,730615,616216,561673,463485,395123,268206,131836,64512,37415,7863
81,174447,680069,1034438,1157509,229184,875341,1154061,1262176,1090580,964292,934734,824350,743741,612105,562703,464990,390021,276987,130013,63245,40462,7317
82,182824,678973,1025626,1132617,253382,869548,1143486,1262088,1107006,958587,943499,841744,738577,615012,561830,467545,391159,276254,132343,66271,42874,7330
83,198458,681381,1007241,1128394,247043,883142,1146881,1257740,1112804,966476,941431,844156,754545,612292,569177,463756,396104,276745,133872,66306,39676,7401
84,193625,682020,987196,1147105,239499,882615,1144731,1256448,1127397,966028,949019,845710,758256,604298,579161,469166,397264,279132,133831,69004,39818,6961
85,189067,679226,970912,1159137,235580,885928,1143777,1237823,1151078,954296,961460,845490,755932,615478,581314,471471,392648,276223,142713,72180,37520,8163
86,188334,684274,954427,1161434,218090,902629,1144829,1225234,1163778,950158,983112,840785,745239,630010,580731,473053,391747,287244,143716,74067,38573,8627
87,165894,706602,943809,1153100,210931,916981,1129412,1225161,1175544,945663,993144,841626,755255,625659,592372,460291,403180,286239,149036,76330,35743,9591
88,167231,706465,950827,1129917,221961,902845,1127034,1237253,1164248,968444,993697,827578,780240,625232,585719,470787,398329,292926,149977,76658,35676,9837
89,164458,699918,943985,1109722,244209,880172,1132362,1232841,1162159,988839,999923,831860,778713,638778,580159,476175,399546,294241,152283,79586,35281,11038
90,165794,704518,927453,1115787,240711,877534,1133242,1222382,1177669,993410,998136,823871,795364,645279,575510,481683,401839,300910,155068,79986,36949,9262
91,168879,704078,910750,1115926,238107,884938,1135482,1214261,1175099,1002294,996415,835563,796611,648124,568733,495830,392014,304547,157948,81973,35891,10771
92,166701,711434,906960,1105892,229764,894841,1109910,1225007,1196443,1007112,989353,837797,795664,653770,579349,499037,386052,304601,161806,84176,34489,11235
93,163864,699049,905445,1097291,216147,909336,1110300,1214522,1209174,1012217,977088,853973,807308,649851,572054,508083,390902,301750,170160,86659,32485,13759
94,160413,701095,901232,1085792,225433,898882,1103560,1202069,1242877,1002687,989436,856621,799722,659688,575048,509837,386386,307231,175389,87053,32778,13388
95,158008,703291,892852,1070692,232798,900413,1101438,1187520,1253455,1009773,983118,867042,815410,652864,583500,513306,381671,312000,175795,85391,31428,13439
96,154601,700816,895573,1060249,234234,910942,1089569,1173425,1270396,1005416,984418,876247,816084,677940,579508,502194,391054,310413,177168,83465,28722,15605
97,156032,690586,889085,1054505,231376,922069,1087429,1169302,1256188,1024445,985492,885616,811589,673167,590458,498016,395948,313544,176025,86366,29753,15486
98,152518,696524,864141,1048191,239536,934565,1079183,1165760,1234715,1066999,980245,891934,793334,694052,584872,514025,384656,313208,185968,83197,30821,16669
99,161294,690248,863139,1041118,230198,926028,1089624,1168102,1236897,1082839,975307,892337,800956,694680,591973,515557,391159,311563,189809,80713,31632,16140
100,161154,680311,859826,1043097,226894,922666,1090244,1158636,1256129,1083899,960490,915557,799245,703668,584909,524424,390552,311106,194747,81239,29857,16307
101,175675,671538,853403,1034332,229428,924850,1100500,1147641,1257377,1085409,955821,923748,803620,719484,581366,523586,393174,307431,200728,81197,30298,16488
102,176701,665412,860656,1025520,208078,921308,1118905,1137217,1256772,1102082,949869,932385,821644,715079,583126,523265,395111,305043,202193,81358,31659,17629
103,165978,652855,879092,1007241,215874,909572,1126059,1140763,1252517,1108619,957656,930314,824651,729122,581596,528333,392337,313119,205433,77728,32863,17297
104,168541,646664,875213,987196,233707,910450,1117988,1139551,1250423,1123178,958599,936961,826653,732550,573953,537866,403346,312372,201603,75848,33925,16741
105,160293,656667,867964,970912,237274,918635,1118763,1137173,1232007,1145230,945983,951217,828979,731400,585876,539956,404922,304104,202729,81872,36914,16946
106,162173,653579,872407,954427,247353,911233,1117811,1139535,1220277,1158160,941675,972043,826871,721049,600092,538056,408019,307962,207564,82777,38690,17258
