period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
59,19826927.310304,19041077.4428234,19898364.4949312,19108228.3816653,15820742.7276145,3220334.71520889,15887894.6988065,3220333.68285884,153068.271140567,148476.22300635,0,0,0,0,0,0
60,21580664.5439292,20723000.4630098,21659293.0983671,20796911.2885286,17147799.3096498,3575201.15335995,17221711.211281,3575200.07724756,195716.984291222,189845.474762486,3598551.22786002,3401144.373651,3611655.98415767,3413462.84270597,32619.4973818704,31640.9124604143
61,20100422.5168749,19301582.1617763,20174391.2627902,19371112.7687216,15860389.7673762,3441192.39440007,15929921.3075419,3441191.46117969,199621.10106806,193632.468036018,0,0,0,0,0,0
62,19939314.3266968,19146318.3214615,20014710.2499968,19217190.4754935,15686021.7191178,3460296.60234364,15756894.7782771,3460295.69721639,217761.898580891,211229.041623464,3325892.97828787,3143444.18791117,3338458.96304533,3155256.21192975,36293.6497634819,35204.8402705774
63,18978789.1256259,18225099.8398871,19050994.9160723,18292973.2702278,14886773.5756235,3338326.2642636,14954647.8147453,3338325.4554825,235047.123224172,227995.709527446,0,0,0,0,0,0
64,17424739.6683314,16734619.5702959,17490439.3900688,16796377.2975099,13624338.8889128,3110280.68138309,13686097.3083655,3110279.98914434,240391.322037069,233179.582375956,2907687.74315969,2749598.6767832,2918637.69479337,2759891.6293436,40065.2203395114,38863.2637293261
65,17281706.7779877,16596418.5258333,17349305.2240575,16659961.0542036,13494386.6208,3102031.90503331,13557929.8159605,3102031.23824305,195752.530770185,189879.95484708,0,0,0,0,0,0
66,17450045.1477962,16757147.7460327,17520986.5839201,16823832.6850284,13622301.563769,3134846.18226367,13688987.1586763,3134845.52635216,200857.994505559,194832.254670393,2911721.2630262,2754398.21544581,2923544.83377013,2765512.37001501,33476.3324175932,32472.0424450654
67,17829267.9400377,17119809.1843651,17904199.2173535,17190244.5738522,13903580.2683793,3216228.91598585,13974016.3305335,3216228.24331875,191856.994735014,186101.284892964,0,0,0,0,0,0
68,17612796.9126512,16911120.380929,17688054.0045183,16981862.036297,13729703.0278772,3181417.3530518,13800445.3437296,3181416.69256741,206664.82215155,200464.877487003,2938871.01190469,2779398.55409998,2951413.85860115,2791188.82806011,34444.1370252583,33410.8129145006
69,18046089.9687409,17326942.7775461,18123418.582399,17399631.6633404,14046773.3388362,3280169.4387099,14119462.8885537,3280168.77478671,240344.303765718,233133.974652747,0,0,0,0,0,0
70,18711674.8113177,17974856.3422274,18737832.526178,17998142.9341503,14469286.0259056,3505570.31632187,14540889.4088091,3457253.52534113,273521.252438997,265315.614865827,3121745.71611435,2947017.79893027,3125978.39197225,2950873.3792064,45586.8754064995,44219.2691443046
71,18230995.9690642,17510838.7586711,18259137.7644434,17536043.5171762,14039590.5081706,3471248.25050048,14111197.7523659,3424845.76481031,286032.294553776,277451.325717162,0,0,0,0,0,0
72,18029877.8251042,17315412.6561984,18058831.1979671,17341400.7027752,13813756.6871843,3501655.9690141,13885373.8709845,3456026.83179069,299582.245800135,290594.778426131,3007533.37461432,2838417.37367504,3012240.08162556,2842726.45803448,49930.3743000226,48432.4630710219
73,16898298.0223161,16225658.415841,16925753.6360198,16250328.0971246,12872286.9840224,3353371.43181861,12939259.509201,3311068.58792363,305509.727239978,296344.435422778,0,0,0,0,0,0
74,19313471.6588045,18543514.9727369,19346498.1825054,18573286.3562089,14648007.4048775,3895507.56785942,14725227.4025233,3848058.95368563,367324.839932528,356305.094734552,3221499.93839996,3039666.71867271,3226883.3093381,3044609.74251649,61220.8066554214,59384.1824557587
75,18216396.466864,17487921.0112979,18251629.7348128,17519952.5961957,13761851.4793647,3726069.53193324,13834938.3388701,3685014.25732559,367493.617221184,356468.808704548,0,0,0,0,0,0
76,20844113.0200545,20008443.7691392,20886922.8254533,20047465.1145553,15682955.5485337,4325488.22060552,15768116.4094529,4279348.70510241,454262.52664406,440634.650844738,3475310.93728111,3278488.6541177,3482341.4969619,3284996.44806482,75710.4211073433,73439.108474123
77,19706812.7891799,18914495.3761708,19749080.0546965,18953085.4747371,14793183.7005437,4121311.67562714,14874971.5746562,4078113.9000809,429326.854424566,416447.048791829,0,0,0,0,0,0
78,21449821.8381022,20587467.3671313,21502249.5351904,20635686.9404032,16056846.9182491,4530620.44888218,16146423.6227964,4489263.31760679,502616.45399682,487537.960376916,3576234.38109184,3373151.67869855,3584866.02713557,3381162.66353158,83769.4089994701,81256.326729486
79,20394686.3920986,19573304.2511761,20446380.4460807,19620891.0253353,15224872.8720668,4348431.37910932,15311611.9106794,4309279.11465586,496171.076164699,481285.943879758,0,0,0,0,0,0
80,22277839.2922381,21380301.633805,22335269.3385863,21433187.8206146,16589425.4881944,4790876.14561065,16685062.1179636,4748125.70265096,573594.888592629,556387.041934851,3715735.76930604,3504629.14533925,3725197.66964034,3513417.21491633,95599.1480987716,92731.1736558084
81,21285092.9419755,20425665.4293767,21341544.0846648,20477694.8007066,15791264.7884797,4634400.64089708,15883648.340852,4594046.45985456,537677.008609661,521546.698351371,0,0,0,0,0,0
82,23447625.5981993,22499326.1372435,23510319.7778318,22557127.4989134,17347865.3391968,5151460.79804671,17449821.9829167,5107305.51599669,604302.574552647,586173.497316067,3908347.36197524,3685038.93673371,3918684.66422581,3694648.00588489,100717.095758774,97695.5828860112
83,22487200.9368172,21575909.6951362,22551907.4438154,21635756.7224159,16594661.2242025,4981248.47093374,16693348.0062463,4942408.71616959,612640.174985499,594260.969735934,0,0,0,0,0,0
84,24228295.1715778,23243906.2632176,24297459.1973594,23307871.1853945,17783171.7301149,5460734.53310268,17888845.3075843,5419025.87781013,691498.061970962,670753.120111834,4037664.92327504,3806364.03417336,4049097.41823947,3817018.97307837,115249.67699516,111792.186685306
85,23369981.8978704,22419554.9145389,23437271.9351424,22481799.0933127,17114559.4747272,5304995.43981166,17216893.1012389,5264905.99207376,688238.016424508,667590.875931773,0,0,0,0,0,0
86,24982984.9803662,23964504.9472036,25058530.640633,24034518.225646,18269552.3642246,5694952.58297904,18379863.4710798,5654654.75456617,758405.430915141,735653.267987686,4163235.11454565,3924095.45337109,4175742.25225795,3935771.25884398,126400.905152523,122608.877997948
87,24143810.9641394,23157648.9702582,24227543.9770217,23235589.9771138,17612662.2793949,5544986.69086324,17720977.7199889,5514612.25712493,771972.310732329,748813.14141036,0,0,0,0,0,0
88,25647151.205263,24597626.6244367,25736977.7025355,24681252.0740672,18628988.0169654,5968638.60747132,18744705.6040873,5936546.46997993,890597.942697785,863880.004416852,4272716.82906122,4027312.45706696,4287601.50509042,4041220.91901726,148432.990449631,143980.000736142
89,24994411.9210658,23969509.0651926,25083090.8889594,24052082.5291158,18087550.9871947,5881958.07799787,18201160.9575627,5850921.57155308,932574.071656418,904596.849506725,0,0,0,0,0,0
90,26402093.0400549,25317955.2676993,26495981.7751479,25405385.7004499,19114927.0810845,6203028.18661476,19234984.3721596,6170401.32829029,1088270.28365264,1055622.17514306,4397439.45595192,4145238.92960738,4412999.73197416,4159781.10086641,181378.380608773,175937.02919051
91,25603745.8499799,24551591.9736731,25694008.1114121,24635638.9553201,18515462.4807087,6036129.4929644,18631130.4325133,6004508.5228068,1095038.1911211,1062187.04538747,0,0,0,0,0,0
92,27036078.053259,25924206.1186967,27131374.7863153,26012959.3837935,19529528.593861,6394677.5248357,19651058.5292516,6361900.85454184,1243417.13774349,1206114.62361119,4502715.61353492,4244895.34661579,4518511.31625987,4259659.3664842,207236.189623915,201019.103935198
93,26565963.4898604,25472528.0650973,26661312.2275351,25561347.9330167,19186216.9371914,6286311.12790585,19307110.1002468,6254237.83276989,1330349.84907009,1290439.35359799,0,0,0,0,0,0
94,28224697.3615714,27061985.1896565,28338637.087823,27168550.4099004,20369874.02131,6692111.16834652,20497698.516295,6670851.89360533,1541566.84612705,1495319.84074324,4700066.73785782,4431726.5934529,4718982.30616464,4449435.62418513,256927.807687842,249219.973457207
