period,Contributory pensioners share,Moratorium pensioners share,Retirement coverage for legal age,Retirement coverage 65+,All coverage legal age,All coverage 65+,Contributory retirement coverage legal age,Contributory retirement coverage 65+,Survivors benefit coverage legal age,Survivors benefit coverage 65+,Moratorium benefit coverage legal age,Moratorium benefit coverage 65+,Mean contributory retirement pension,Mean survivors benefit,Mean moratorium pension,Mean retirement pension,Mean pension benefit,Median pension benefit,Median pension to labour income ratio,Mean pension to labour income ratio,Mean family benefit,Mean child benefits,Mean contributory child benefits,Mean AUH benefits,Child benefit coverage,Contributory child benefit coverage,AUH coverage,"Gini, retirement age","Gini, retirement age, non labour income","Gini, 65+","Gini, 65+, non labour income","Gini, retirement age, has income","Gini, retirement age, (has) non labour income","Gini, 65+, has income","Gini, 65+, (has) non labour income"
49,"0,8234578036","0,1765421964","0,9935046742","0,9940372376","0,9971612868","0,9985736151","0,8070012781","0,8969479736","0,0305791609","0,0307315806","0,1865033961","0,097089264","4532,6256706488","3355,984607346","2432,5537045606","4161,8743531636","4122,0371478738","3103,9936382189","0,5569620733","0,6472126928","471,195668332","486,9826680117","384,4991375649","680,1332126914","0,6068898674","0,3664458286","0,2404440388","0,2989185245","0,2630299004","0,2843122183","0,25712856","0,2982406851","0,2618080585","0,2836741099","0,2564163216"
50,"0,8158412581","0,1841587419","0,9933285745","0,9940917434","0,9969726157","0,9986092884","0,7995458338","0,8915099833","0,0353718716","0,0353635497","0,1937827407","0,1025817601","5214,710320524","3860,8882653144","2778,5450676414","4766,0691925087","4737,3859540214","3560,6124200363","0,616270079","0,7079572952","404,0433007799","431,5174320563","244,5144041989","778,5671102443","0,6002823201","0,3733672918","0,2269150283","0,2963602768","0,2655172051","0,2832111002","0,2598465696","0,2957274889","0,2645207985","0,2825480904","0,2591619482"
51,"0,8090450422","0,1909549578","0,9936810389","0,9945411637","0,9969950656","0,9986271426","0,7935763426","0,8851509695","0,0405256544","0,0403028381","0,2001046963","0,1093901942","5044,4545635792","3737,3461291325","2684,2317987971","4593,7583252447","4585,8402516104","3435,6347194938","0,5691940707","0,6566029144","517,6940682948","541,8794483793","376,5867960417","823,1785852337","0,5601679966","0,3303286944","0,2298393022","0,3047043665","0,2672297556","0,290238343","0,2619232314","0,3040837235","0,2662430539","0,2895902692","0,2612493035"
52,"0,7988708903","0,2011291097","0,9946394848","0,9957143936","0,9974475934","0,999169052","0,7843775648","0,8773239857","0,044318589","0,0446647854","0,21026192","0,118390408","5434,6474991524","4015,1369735243","2881,0787738983","4921,0504949045","4930,1857212199","3699,3274974916","0,6085050127","0,7075639239","505,3778639636","525,8498200828","361,1678005152","812,9449418949","0,5542303934","0,3212222653","0,233008128","0,3033967656","0,2682365796","0,2875059202","0,2620288665","0,3025901635","0,2672587838","0,2872645224","0,2617521221"
53,"0,7887390798","0,2112609202","0,994957484","0,9951903033","0,997351978","0,9981343119","0,7750125619","0,8681739934","0,0474858385","0,0490215428","0,2199449221","0,1270163099","4727,6434082841","3496,1966531489","2544,3077322792","4266,3899043233","4286,8787128663","3211,3983965342","0,5620608723","0,6548016129","571,6642059147","594,4529614108","420,6142182158","857,5128072996","0,5078674164","0,2753348244","0,2325325921","0,3003382702","0,2660859974","0,2831823733","0,2609894716","0,29995807","0,2654120914","0,2825821658","0,2603441164"
54,"0,7812142572","0,2187857428","0,9950916123","0,9953155121","0,9973749661","0,9981157639","0,7682920877","0,8612998305","0,049300691","0,0518063991","0,2267995246","0,1340156815","4861,7122406421","3598,8016535437","2601,9307105674","4367,3042600283","4397,7224687714","3293,147691675","0,594901906","0,6918786777","476,8789745274","495,2285193145","344,1294074139","704,9686302005","0,5106515124","0,2741852512","0,2364662612","0,2992668545","0,2674193811","0,2855862776","0,2624656539","0,2987004435","0,2667522558","0,2850428399","0,2618285269"
55,"0,7738643203","0,2261356797","0,9944401425","0,9952651532","0,9968113624","0,9980540681","0,7608926939","0,852925813","0,0534560055","0,0559294251","0,2335474486","0,1423393402","4603,0078549595","3430,1801386416","2468,6425136179","4120,3516978695","4166,2173965454","3115,6206112015","0,5543697443","0,6487665841","467,1824709866","482,8064855209","318,4315926747","682,5269822401","0,445482172","0,2182211289","0,2272610431","0,3113982313","0,2692607007","0,2952141367","0,2637371642","0,3108659664","0,2682219404","0,2946327269","0,2631037129"
56,"0,7731211792","0,2268788208","0,9869428726","0,9928487492","0,9891821371","0,9950616513","0,7556814587","0,8460096872","0,0559481516","0,0592364973","0,2312614139","0,146839062","5018,6242750377","3761,3019072874","2678,5317426017","4487,7068407244","4549,4118331083","3393,9071532937","0,5960566576","0,7014466849","551,6765472241","562,1980948483","500,2204033472","735,692171705","0,6822935085","0,4635944722","0,2186990363","0,3110303094","0,2783989316","0,2937120208","0,2682807897","0,3082827145","0,2740132389","0,2926180124","0,2663737605"
57,"0,7726933171","0,2273066829","0,9746295405","0,9867103873","0,9770319171","0,9889023131","0,7464568297","0,8342984358","0,0598027549","0,0638331226","0,2281727108","0,1524119515","4793,7812431168","3564,502667191","2551,9938390701","4284,2079845361","4347,631885774","3226,8229597845","0,5581673243","0,6603278919","648,1833407809","661,7662715798","579,5961242793","853,0840517967","0,6546248646","0,4124142364","0,2422106282","0,3232345362","0,2893415661","0,3022954905","0,2747083287","0,3184356708","0,2805308026","0,300193305","0,2697091722"
58,"0,772429033","0,227570967","0,9649022069","0,9832102132","0,9677049077","0,9855737139","0,7392090878","0,8288952004","0,0644704537","0,0695558033","0,2256931191","0,1543150128","5115,9387330996","3771,1808965342","2704,2263230879","4567,1030077508","4642,9592597517","3431,6314063717","0,5980658996","0,7087019488","546,8330681725","558,3202726293","483,3641726099","738,2203706381","0,7047439943","0,4596144675","0,2451295267","0,3210919473","0,2980517143","0,298624675","0,2801799856","0,3128402857","0,2858513964","0,2954214221","0,2740430418"
