Period,90_100_dec,80_90_dec,70_80_dec,60_70_dec,50_60_dec,40_50_dec,30_40_dec,20_30_dec,10_20_dec,0_100_dec,count_100_dec,count_90_dec,count_80_dec,count_70_dec,count_60_dec,count_50_dec,count_40_dec,count_30_dec,count_20_dec,count_10_dec,count_0_dec,count_all_cont_pen
52,14197.868305514212,7968.0441521905832,6033.8800532665709,4538.7413628974036,3831.3699870603446,3807.9562004033623,3738.4412202512081,3738.4412202512081,3512.0428289661472,120.59455622943008,130685.0,395987.0,289008.0,421954.0,309593.0,537175.0,39398.0,0.0,972237.0,378916.0,0.0,3474953.0
53,12323.307632719163,6904.5849493772475,5276.9331771664602,3958.7753314675392,3324.1790825851767,3324.1790825851767,3279.0152107211861,3279.0152107211861,3041.0410084804739,109.35741786003187,133051.0,398579.0,296501.0,389886.0,334082.0,0.0,548092.0,0.0,984373.0,385444.0,0.0,3470008.0
54,12644.208373579684,7085.1692325194599,5427.9999919393722,4116.2871288280712,3427.0395267770105,3427.0395267770105,3362.8093794355023,3362.8093794355023,3123.3691757763227,115.51855183197587,137057.0,402921.0,297303.0,385681.0,326300.0,0.0,541431.0,0.0,974508.0,390205.0,0.0,3455406.0
55,11937.265549454807,6948.3792229414375,5381.1603158234639,3894.8653862715673,3242.5931763393646,3242.5931763393646,3181.8159297829452,3181.8159297829452,2957.1341925068705,112.53905265345141,141303.0,380449.0,324679.0,387198.0,323663.0,0.0,530534.0,0.0,960836.0,392088.0,0.0,3440750.0
56,12982.041422168742,7606.4290078810236,5994.5438041602092,4316.033051918238,3532.2750154266487,3532.2750154266487,3466.1144829919617,3466.1144829919617,3223.6425693736674,124.90706119839469,142594.0,379502.0,323384.0,388036.0,328129.0,0.0,524222.0,0.0,945535.0,396679.0,0.0,3428081.0
57,13220.165879539281,7558.7745881010687,5784.33548627446,4141.4015784757739,3358.3626194703097,3358.3626194703097,3295.5659174030357,3295.5659174030357,3025.8643240039974,119.48545381191585,112220.0,345764.0,403375.0,383552.0,322688.0,0.0,515347.0,0.0,938355.0,399090.0,0.0,3420391.0
58,14045.867916722191,8072.0754724515791,6222.9935805345813,4549.9080221086688,3615.4075036078452,3615.4075036078452,3504.7349264405048,3504.7349264405048,3227.3643357175579,129.96696683654758,113306.0,345987.0,402894.0,279751.0,403718.0,0.0,528600.0,0.0,921698.0,405286.0,0.0,3401240.0
59,13485.777517805056,7749.5676873116236,5987.3302877388041,4378.1852639428735,3456.4977070545547,3456.4977070545547,3351.0924671994226,3351.0924671994226,3091.7560801672948,127.69178149924838,114848.0,344099.0,407929.0,272428.0,403431.0,0.0,524548.0,0.0,912982.0,403595.0,0.0,3383860.0
60,14637.334304117197,8453.9128052094384,6537.7799834895895,4749.3399099305434,3748.9422163098748,3748.9422163098748,3634.0401598971071,3634.0401598971071,3362.3089867739641,141.30499291912068,114626.0,345795.0,412047.0,272639.0,399929.0,0.0,512917.0,0.0,903913.0,404486.0,0.0,3366352.0
61,13549.995183409404,7839.53091694875,6058.9301758594129,4396.5050652294631,3468.831455744184,3468.831455744184,3362.3104370145434,3362.3104370145434,3100.8214148573479,135.43463270527832,115725.0,346473.0,416061.0,274044.0,396141.0,0.0,504834.0,0.0,894787.0,404331.0,0.0,3352396.0
62,13426.012745738059,7755.0894237548164,5980.7648932892153,4324.9670479824526,3408.4355275879561,3408.4355275879561,3308.0774326215337,3308.0774326215337,3051.5150879114808,130.57450612550664,118076.0,343988.0,420955.0,271442.0,388235.0,0.0,498693.0,0.0,883380.0,404208.0,0.0,3328977.0
63,12775.406058328899,7376.6606580250691,5665.5121899630403,4151.6564798632226,3248.8801241023598,3248.8801241023598,3145.6117800742809,3145.6117800742809,2854.5730250891697,125.11009946688529,118121.0,347555.0,427054.0,268693.0,376031.0,0.0,479180.0,0.0,925754.0,360171.0,0.0,3302559.0
64,11658.113001003408,6718.8071254194638,5154.6940544316531,3769.2038243310308,2928.9073135753647,2928.9073135753647,2928.9073135753647,2928.9073135753647,2631.3146887923263,117.01185806981704,117161.0,350514.0,431622.0,266567.0,374309.0,0.0,0.0,0.0,1331116.0,410417.0,0.0,3281706.0
65,11483.963038048452,6615.9715790925629,5073.7463088928225,3732.1138379874119,2887.0317389144088,2887.0317389144088,2887.0317389144088,2887.0317389144088,2649.396544017307,114.78101326637193,117228.0,358781.0,434356.0,244451.0,384088.0,0.0,0.0,0.0,1314364.0,431556.0,0.0,3284824.0
66,11581.598705256905,6724.7968738065565,5120.1783436688083,3741.5359917909327,2894.2499263291661,2894.2499263291661,2894.2499263291661,2894.2499263291661,2655.2763514730605,116.81066757312183,111786.0,370659.0,442807.0,248742.0,379926.0,0.0,0.0,0.0,1306081.0,432749.0,0.0,3292750.0
67,11781.130155391598,6863.4428426572395,5469.1987232821875,4104.8417841600376,2956.3103855298805,2956.3103855298805,2956.3103855298805,2956.3103855298805,2652.1861281691827,121.48823243712889,113796.0,378069.0,355947.0,303011.0,420089.0,0.0,0.0,0.0,1310467.0,411358.0,0.0,3292737.0
68,11541.748016554751,6787.878768324792,5398.9620786463656,4047.1392095583478,2911.946555776562,2911.946555776562,2911.946555776562,2911.946555776562,2592.1943942940225,113.08117517698162,114014.0,378840.0,354892.0,304174.0,351489.0,0.0,0.0,0.0,1369732.0,410286.0,0.0,3283427.0
69,11569.576973536034,6839.802745251046,5512.9455410639221,4081.1067811435018,2920.0684073248526,2920.0684073248526,2920.0684073248526,2920.0684073248526,2604.0167321773974,77.047821635962947,115757.0,382977.0,353805.0,310265.0,404753.0,0.0,0.0,0.0,1297350.0,412528.0,0.0,3277435.0
70,11425.194795262601,6894.2216271096759,5698.8165217051273,4210.4814039198618,3094.2667392760236,3094.2667392760236,3094.2667392760236,3094.2667392760236,2724.4389619181325,23.229142335895215,112605.0,389897.0,341666.0,316555.0,403092.0,0.0,0.0,0.0,1328100.0,375700.0,0.0,3267615.0
71,11570.171180659623,6955.5643342260382,5708.1605273390414,4219.4517532381878,3065.7790477812418,3065.7790477812418,3065.7790477812418,3065.7790477812418,2712.6993935334594,22.816860507235759,104409.0,392926.0,349140.0,315957.0,410803.0,0.0,0.0,0.0,1309921.0,371679.0,0.0,3254835.0
72,11381.731352834238,6834.0388128091245,5583.689849038773,4121.7926623200601,2989.9218453787125,2989.9218453787125,2989.9218453787125,2989.9218453787125,2654.099428511498,22.126265580701912,103093.0,391736.0,349408.0,314621.0,339805.0,0.0,0.0,0.0,1315975.0,416537.0,0.0,3231175.0
73,10964.102964990592,6576.5118553114035,5393.760800432914,3995.5628785828194,2877.951323970859,2877.951323970859,2877.951323970859,2877.951323970859,2555.3544485033922,21.193264845772063,108479.0,389893.0,330683.0,337308.0,339213.0,0.0,0.0,0.0,1302280.0,419463.0,0.0,3227319.0
74,11133.486548342884,6696.8233443010558,5510.8880659190427,4099.6658890519739,2923.7249491465086,2923.7249491465086,2923.7249491465086,2923.7249491465086,2605.1331174737556,21.448742362618656,107541.0,391608.0,339666.0,337451.0,337693.0,0.0,0.0,0.0,1287948.0,422886.0,0.0,3224793.0
75,11434.353442952468,6883.1171421414765,5658.662127381911,4209.1501385555293,2994.2232608074282,2994.2232608074282,2994.2232608074282,2994.2232608074282,2680.6841537237947,21.801351448596279,107762.0,390577.0,345262.0,339634.0,332420.0,0.0,0.0,0.0,1274878.0,422749.0,0.0,3213282.0
76,11800.581272155758,7115.4297989767147,5835.0801852581644,4517.855999133224,3340.9179244205179,3015.6253653835388,3015.6253653835388,3015.6253653835388,2764.0575272378314,22.622075206758225,108061.0,395675.0,353431.0,309933.0,250967.0,193618.0,0.0,0.0,1176538.0,420795.0,0.0,3209018.0
77,12073.141284001815,7285.2353078014812,5962.5488828384505,4633.7972336238208,3405.2553012914559,3079.5864448941957,3079.5864448941957,3079.5864448941957,2826.3975254768629,22.814764294922117,109812.0,396433.0,352858.0,308262.0,251171.0,192423.0,0.0,0.0,1163071.0,421944.0,0.0,3195974.0
78,12283.832378276469,7421.3523864673962,6066.008625475446,4755.9237043714866,3573.5854574173563,3132.8707989124086,3132.8707989124086,3132.8707989124086,2883.3270291729759,23.595280471772721,107633.0,402271.0,355067.0,220462.0,318834.0,211342.0,0.0,0.0,1150953.0,420542.0,0.0,3187104.0
79,12573.190169784399,7575.8001952734148,6283.61659027327,5068.5551489509908,3674.3927162603063,3181.6477402241562,3181.6477402241562,3181.6477402241562,2957.4615142134476,24.052270517144439,107693.0,368117.0,353534.0,258562.0,325607.0,203992.0,0.0,0.0,1131773.0,418098.0,0.0,3167376.0
