Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65
93,0.0,3578710.5219274075,6345558.867342242,590359.228653979,0.0,0.14674860252787594,0,1863844
94,0.0,3558456.816581669,6274242.208633493,481770.6471443964,0.0,0.14089948602036,0,1833424
95,0.0,3510983.923561987,6203892.069540622,453470.93280893913,0.0,0.14446686931973027,0,1800059
96,0.0,3477095.225563722,6163992.8611118775,431879.10328263225,0.0,0.13981952283604082,0,1769245
97,0.0,3440524.122278821,6195139.419844456,537478.7563922674,0.0,0.1375683453073819,0,1759397
98,0.0,3353684.690397546,6098608.518415143,409954.6530267958,0.0,0.1403785771852774,0,1735806
99,0.0,3343819.7105899504,5957914.861843763,370701.886163882,0.0,0.13452455147224246,0,1704517
100,0.0,3312073.805960878,5701254.635785317,384095.8352309166,0.0,0.1352782781992483,0,1652761
101,0.0,3273044.7863682746,5704555.811398192,454621.6149384166,0.0,0.13556711225761361,0,1641193
102,0.0,3234339.333256512,5672434.018218614,354293.3049680126,0.0,0.12446747457038891,0,1607708
103,0.0,3197984.7935974956,5651737.039482183,319051.46048110956,0.0,0.12703995092976822,0,1581399
104,0.0,3170209.078623144,5349919.113956285,312566.39992029424,0.0,0.13006876941816464,0,1574410
105,0.0,3124530.157854504,5337767.318977537,370382.8026702984,0.0,0.12441386595105379,0,1575334
106,0.0,3064555.051642096,5317859.151440472,282132.7471526512,0.0,0.11750051665756996,0,1535835
107,0.0,3027530.383117429,5048745.4797273,288327.3344056461,0.0,0.12553095571353565,0,1520434
108,0.0,2987531.141493129,5048670.968715933,290641.4129898665,0.0,0.11631895726877131,0,1506234
109,0.0,2985562.5431639147,4972084.629848025,339179.6901652677,0.0,0.10513661019754802,0,1501533
110,0.0,2941256.048412221,4731748.160746035,248110.30958017832,0.0,0.10156846644273172,0,1465452
111,0.0,2893153.8858844023,4689697.292913072,234889.95235544405,0.0,0.09379106474494797,0,1436477
112,0.0,2851771.3359924634,4713531.441518806,240178.28562088314,0.0,0.09972033871479481,0,1431107
113,0.0,2837993.099342746,4549775.9779809555,264422.5934089724,0.0,0.0963659732883251,0,1412603
114,0.0,2783587.7488020114,4368548.281212075,191324.78423741966,0.0,0.10240700754403236,0,1387649
115,0.0,2750790.404724607,4332214.041276639,180826.2455290316,0.0,0.09312624214899387,0,1377126
116,0.0,2692716.2769480054,4255551.711482321,175449.48124024546,0.0,0.0857163962512778,0,1366886
117,0.0,2631437.72442551,4325672.683276661,203050.84598071082,0.0,0.0754416754796307,0,1352316
118,0.0,2636890.715882466,4181798.7615991165,155052.7610915458,0.0,0.07885512908352639,0,1332673
119,0.0,2615386.654422766,4060287.532192243,159780.73844590515,0.0,0.08007976118839451,0,1311462
120,0.0,2550044.8551078043,3991850.1952250674,145390.29489700333,0.0,0.08227515695563088,0,1277427
121,0.0,2447877.3246432734,3824950.6858399794,192559.794770248,0.0,0.06750425609818024,0,1238896
122,0.0,2377874.4565704465,3736034.3710577935,156952.80221392983,0.0,0.06608871783002046,0,1200535
123,0.0,2311249.0516957357,3705953.232281379,159647.5261654963,0.0,0.05755815307781541,0,1183077
124,0.0,2266378.691185662,3694406.6035023592,148004.30887629988,0.0,0.06349838649443174,0,1143679
125,0.0,2258721.7216826864,3605673.2574962997,142640.7984898038,0.0,0.053250136720679894,0,1104194
126,0.0,2219566.5255972575,3441443.5266118953,122660.22523400199,0.0,0.041665327279302444,0,1056268
127,0.0,2184373.790867698,3418168.1024171454,113618.1272476246,0.0,0.04003772492514855,0,1027522
128,0.0,2158666.9539072886,3377092.6660796995,105176.25185446128,0.0,0.040650863549767324,0,994708
129,0.0,2125764.3747708607,3314786.1814845284,132238.7596847471,0.0,0.03513090390814566,0,950214
130,0.0,2089109.755950801,3297800.9213344394,100482.64133733911,0.0,0.03857075377531284,0,913618
131,0.0,2049365.495008796,3243480.488893903,98675.86721314692,0.0,0.03849517536541694,0,887695
132,0.0,2017935.7865290458,3087371.595878843,106860.64461169601,0.0,0.04614301339579927,0,845523
133,0.0,1964599.1968480903,2856442.4031920377,109045.55303295502,0.0,0.0447055433456587,0,807669
134,0.0,1945884.639615318,2780688.8055228135,87848.9366206386,0.0,0.04867657016844742,0,783452
135,0.0,1929334.2855037348,2744733.8438667106,80599.5373522113,0.0,0.028876692946963264,0,755347
136,0.0,1907592.2207982382,2734517.0748163722,83045.2737932189,0.0,0.023859952561657904,0,729638
137,0.0,1884340.1718872206,2677045.5979774394,92590.95517379972,0.0,0.02336479329656485,0,696870
138,0.0,1872971.9953622345,2561317.1741873287,77527.7770787684,0.0,0.023466789789591717,0,670192
139,0.0,1856377.9775177592,2415723.9652322084,59606.599526400016,0.0,0.02696194552539687,0,644147
140,0.0,1828738.09175794,2375510.9668776067,81307.4561715027,0.0,0.026169548162138602,0,625404
141,0.0,1773806.7763562058,2363959.3139467444,87718.86753699515,0.0,0.02788030648940893,0,611887
142,0.0,1733199.8461193505,2213300.15542928,66778.66187672051,0.0,0.032580814454023325,0,576891
143,0.0,1678730.6128002964,2187240.4488114864,78575.12264134761,0.0,0.018760592126443414,0,555844
144,0.0,1638944.4043569148,2099978.3190656486,53708.62618541156,0.0,0.01982137594422214,0,528006
145,0.0,1609794.260502438,1992071.4693888058,61181.634481827976,0.0,0.019082357643903446,0,508244
146,0.0,1535249.494430901,1952845.6221402783,52931.22579045869,0.0,0.02138143145154594,0,497715
147,0.0,1519448.252143009,1932966.5070412478,49130.323758899125,0.0,0.021121376070993004,0,473362
148,0.0,1465819.406448423,1877553.5163808381,51511.72318211761,0.0,0.019164794826785896,0,452814
149,0.0,1453379.4672006203,1758783.8516317976,56541.480525203486,0.0,0.021093895837222328,0,433251
150,0.0,1423798.320470382,1756604.8934377884,33432.91604942157,0.0,0.023075838869417324,0,415930
151,0.0,1373577.0303593988,1660365.3081618673,30413.808459946827,0.0,0.021052283500712896,0,387801
152,0.0,1347180.8301299708,1569268.9430087935,24419.51882601066,0.0,0.025189816347945437,0,369873
