Period,"Gini sedlac, all income","Gini sedlac, labour income","Gini sedlac, labour and pension income","Gini sedlac, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini sedlac, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini sedlac, measure IFE impact","Decile ratio, measure IFE impact"
79,0.41482136820472093,0.46268023970132716,0.40653714119460338,0.44277216883614551,7.467397462543535,11.74552377210747,8.546500277116117,9.306963549190895,0.24296929512438573,0.2948415504391608,0.2670172018998682,0.2757975638641092,0.03691898862377633,0.011467082176178053,0.01111180444380769,0.01821493399394045,0.48684804157445272,12.403949493527595,0.2744533863158775,0.04293660641084798,0.57948903976571764,12.403949493527595
80,0.41219179401384043,0.46042019808799262,0.40258864554915519,0.43688734159748366,7.7849470969095655,11.491230024825436,8.780780221900043,8.903594904704743,0.2330879650126788,0.27395445897489973,0.25615242989124043,0.2545572932137356,0.03336623610862539,0.010855301111142827,0.010438933418279965,0.015490317371164226,0.48485255894121648,10.942139260759346,0.25589785101808193,0.04104432546597145,0.57597538769338341,10.942139260759346
81,0.41174869118251717,0.45971141352988093,0.40156742084528502,0.43171931567026195,7.619679970670452,11.56247571193958,8.526517451119245,8.467504138713439,0.23066783795273416,0.27580681314583894,0.2559505487102186,0.2536102876721785,0.03368034387543857,0.00926288127061063,0.009784406309036407,0.013848482281516718,0.48689806035353478,12.132269724452636,0.25703058867370654,0.040892276336009906,0.58154275505884367,12.132269724452636
82,0.41618494946449253,0.46498026255837582,0.40342558106860182,0.44134209987261835,7.753106892591938,11.57289487880644,8.678484099082427,9.00166519410385,0.23407546545485705,0.27275202800396725,0.2571701511434254,0.25346180936715873,0.03165177736397008,0.007544648051572453,0.008174380587632115,0.012591774347361731,0.48999162829978932,10.864239595918589,0.2543093598244337,0.038788366591178715,0.58405313498887601,10.864239595918589
83,0.41516882391870763,0.46706795101485077,0.40351023915077677,0.44590695525792656,7.673249155831297,11.366020579868684,8.526639094042652,9.00075064222603,0.2351032981794937,0.27506294177233653,0.25855880924632646,0.25623611097606974,0.0333698624360504,0.008760662294849434,0.0091071695409586,0.013452985942687188,0.48886846874748108,10.62322439521864,0.25554120781650913,0.04136611625656308,0.58704991314728938,10.62322439521864
84,0.41186642401051204,0.45976016917823154,0.39754922946515675,0.4354837514071993,7.936448195502546,11.554957583401563,8.509916842072705,8.86219695654742,0.23348202986258657,0.27266442843903166,0.25670170592585345,0.2529274317419283,0.031753517415138786,0.008409015780997087,0.008507072428797799,0.013010323737472095,0.48633217861249206,11.423049903174116,0.25379832330836755,0.0402547915720857,0.58000042838961297,11.423049903174116
85,0.40708498472650051,0.45732824437425712,0.39183626694173307,0.42786014387634475,7.736793772968175,11.23851349167817,7.849014742997263,8.378881789280229,0.23386721019785764,0.28333437673084183,0.25979222631069554,0.25916748512226867,0.03116511720581642,0.007414982303173025,0.007519101065471534,0.011553066876191386,0.48831353007663675,11.431079837280972,0.26358938295479933,0.04028104423859042,0.58424629823190943,11.412667862372386
86,0.41077194046113719,0.45726959215410345,0.39227327264756245,0.4305184609313048,8.00002821670727,11.524050191040505,8.064573623201747,8.651243541292253,0.23427490154977154,0.27464976536779767,0.258142673475709,0.2540701061833394,0.03224134427289349,0.007787394369130306,0.006804569373886895,0.014013464669171803,0.48811427395043083,11.133488008733012,0.2549074786135113,0.041844258943854205,0.58732204562819434,11.133488008733012
87,0.41051337185127212,0.45915697188364318,0.39270365045905131,0.43508964526499999,7.907353136645619,11.738367340405805,8.11399770940774,8.98585979001201,0.23477883671365513,0.2797271490064585,0.25858383600902846,0.25954598289867326,0.03524394122384884,0.009552839253275075,0.008790287166643753,0.015946191363734284,0.48750050756299057,11.013345813991984,0.2593244463595568,0.04472275707544098,0.58664301613991121,11.013345813991984
88,0.4135272753944203,0.46026432062788064,0.39576598268148699,0.4332072645922791,8.221368376344303,12.196678917121396,8.973987787095556,9.071690001222917,0.2314911762710988,0.26921220893787967,0.2549680485217995,0.2491146336630557,0.0345257471872188,0.010730828229068685,0.008792493034004829,0.016906510025703054,0.48881863645238427,10.383846775539029,0.24965888196637276,0.045463117446032965,0.58706735991731362,10.383846775539029
89,0.40965698699803216,0.45693905442030375,0.3903772493770058,0.42747861255478303,8.265884744896573,11.490408928512771,8.32667354452944,8.60997421170872,0.22907431321949354,0.27018349486304355,0.2540098481886567,0.24719153152607043,0.02997185092742856,0.00523559472139085,0.00479966288856959,0.010347890488235234,0.49069539883980995,10.283612372298292,0.2514585204115646,0.039936590643862256,0.59099681101480595,10.283612372298292
90,0.41212880841984567,0.45612029733129733,0.38845780703993904,0.43154423056677038,8.193675746673836,11.8646128974111,8.22663068938355,9.055596517392638,0.2320333665276046,0.2563331191387775,0.254220382409024,0.23866691238458979,0.03236162427973155,0.008501208899109988,0.0062169218419844945,0.014530264536216487,0.49056697129655474,10.893326311428863,0.23826623916233328,0.04389189838152019,0.59284297179490597,10.893326311428863
