Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
99,18405759.6297535,17549504.58029822,48293780.190149054,82841826.65903422,0.0,534827.5157907575,218680.13817625164,146781.9935546808
100,21717549.274067968,20849954.180910192,58215326.290836215,83219353.63406186,13869892.272343641,546956.9555434401,218121.75640097208,146451.97316194783
101,18725421.630386334,17854857.11608519,49250364.05957768,84089753.94837688,0.0,561697.6185654782,209695.453743038,141673.4885609018
102,21884008.515138716,20973913.446211886,58561384.499302685,83702460.01360452,13950410.002267422,590972.4728432447,216737.245322205,146264.78680196533
103,18966754.814370677,18070101.12145346,49836511.88410832,85130818.21287127,0.0,574439.7693835847,218685.1967599715,147898.1811052238
104,22402353.712886438,21497051.195551172,60112359.993138775,85721285.14790717,14286880.857984524,584671.9969239733,217122.09440883176,147869.1800035147
105,19301796.649972178,18403584.238380957,50871148.0678602,86558698.52366519,0.0,572088.3275690438,220992.81688881206,150187.52447623372
106,22669441.439413022,21792359.58013908,61029813.19766869,86755766.8306335,14459294.47177225,557005.6495338154,217258.75679002123,146882.07564300534
107,19498681.77222853,18603626.884157266,51505033.51782163,87320992.37867694,0.0,574190.4961745695,218051.34495689973,146875.78134256793
108,22826387.081317056,21909281.472197544,61448958.02810495,87073591.04040663,14512265.173401104,585628.4112642198,224349.39526797266,153039.71798188583
109,19734396.561426662,18817648.38855647,52222813.30535878,88147646.37513699,0.0,597976.0372376197,217226.46074210503,145065.24984352206
110,23062900.26009122,22125863.860206813,62135245.6522674,87883334.70303507,14647222.450505843,611516.6769789499,222097.4274767266,147746.13632675295
111,19769530.383660924,18875709.289968036,52403814.82276321,88405634.10564268,0.0,561053.7692194195,225599.5988698535,153096.75086230625
112,23316268.44714428,22371249.708045144,62798382.51365027,88883308.7440496,14813884.790674932,621971.4200424056,217848.44317074912,150284.10840854564
113,19893830.52844703,19025131.863951515,52800005.38516438,89142157.36751741,0.0,546465.1389385525,217375.8035661105,149796.7457012158
114,23428744.501782157,22559042.775228113,63410358.00199442,89515477.34319529,14919246.22386588,546102.3808691183,220157.1888194712,147774.50980779208
115,19916831.10277641,19012365.567463245,52848076.696150005,88925305.06707484,0.0,571588.787504575,226132.54121062622,152491.72371137983
116,23372296.838052437,22433615.87749851,63072811.40951175,88932772.74984439,14822128.791640732,599252.9590152425,227447.99331007563,159971.44032658532
117,19852349.436811093,18954270.93912565,52699995.2844166,88572259.26820284,0.0,566500.0060770932,224082.90868241896,153565.11846561797
118,23405189.57934585,22493596.82000207,63335970.03143417,88999155.27844326,14833192.546407208,583956.516795221,221684.33758768855,151359.8642298155
119,20020116.52399049,19102576.876553692,53156726.81432266,89178825.64169158,0.0,576941.0696036146,229933.4300548763,158093.0682547249
120,23694882.326847672,22807678.928224724,64257629.97465207,90222567.15700395,15037094.526167326,546607.0913602656,230670.6976361679,157036.5851807359
121,20217137.08722483,19313766.746370118,53777633.0128646,90172207.2115274,0.0,566446.159441025,228824.99639995772,154427.40716246766
122,23795498.45422509,22872897.268993437,64431219.76868644,90438876.59836838,15073146.09972806,572068.4241352613,236820.9256033227,162445.47927581042
123,20522106.77361565,19588167.766740885,54655023.8630603,91178336.57865229,0.0,586803.1379181105,234361.00157507468,161106.95340226608
124,24040404.74084665,23108116.908652753,65182474.309064075,91228015.96474445,15204669.32745741,588048.9142518135,231062.4542093196,161680.66247537485
125,20574252.08774977,19666979.545287088,54882428.219927184,91523228.40939823,0.0,552573.6817828085,238310.872538993,166268.5544869696
126,24355263.883849036,23422893.973669127,66214088.521346316,92318362.6440958,15386393.774015967,577381.564893388,239696.91608555728,164702.0417156642
127,20847211.275577333,19912141.731201433,55643935.526479505,92572698.45235653,0.0,583920.2122047377,234417.64028257848,166759.55984083345
128,24410845.943081047,23415399.53140986,66256797.97138289,92198808.39721946,15366468.066203242,639323.6033672047,238662.98706615646,167799.74462547377
129,21110818.626763772,20146240.218639847,56350584.5862777,93618015.63155323,0.0,602347.895272622,244061.52510966,168812.83963091404
130,24761944.58071731,23765865.515839744,67349084.78457358,93558044.87734485,15593007.479557473,633988.223790979,245207.00366320636,166976.91060482946
131,21166806.995856255,20184918.34563354,56524135.1709171,93771582.10550974,0.0,624844.7643343634,241208.97879381673,165478.43870647403
132,24903977.868040193,23909768.421437748,67807227.61651582,94054387.47031902,15675731.245053167,634906.1227648518,241169.40718060802,168762.73808141038
133,21279407.243159633,20278626.66688839,56838660.87902969,94054553.38672139,0.0,642603.3217691057,238426.85956707003,171071.99276438056
134,24685889.3151926,23698749.76072508,67099973.30564509,93328217.16034532,15554702.860057551,628103.9869234866,237367.79537547642,173811.10309793803
135,21158824.448500786,20142037.436971627,56402211.997635484,93551403.95388374,0.0,662950.3679010281,235238.29873571658,169426.20698916452
136,24723257.555907827,23717897.943304904,67232146.0778123,93319196.63687061,15553199.439478435,643897.0538028561,241874.68763280922,170839.8159532263
137,21288353.70716337,20285377.830708463,56901453.50581082,94046215.1266574,0.0,648605.7228935239,238308.1475833383,165802.8656829258
138,24953499.11462176,23954056.22992188,67916191.86488426,94219525.05035675,15703254.175059456,634381.6601343836,244911.53602807,171642.41219631967
139,21524728.859384872,20541834.594490845,57670102.39246308,95183905.09454483,0.0,624768.8825360729,241110.63696559594,167163.92198907852
140,25101323.28276312,24164975.758171253,68523687.50969163,95013969.45434225,15835661.575723706,575653.5198548649,241504.27393783725,170271.04399879763
141,21621390.504678164,20679564.59304899,58034510.566112466,95805963.34346573,0.0,569580.3767127702,247532.74954708797,178161.12195616623
142,25590854.923661295,24635674.911533527,69915284.51936558,96819696.90562856,16136616.150938094,587281.914974228,246289.1443785457,173727.07539284843
143,21709099.073223237,20772694.18587754,58339717.48703968,96202255.50855811,0.0,576899.9486274497,240295.72000623512,170298.88387430072
144,25401597.57638132,24437080.0581062,69395876.4285173,95998630.7834701,15999771.797245016,592167.6132309418,250403.26371700267,174209.4876102577
145,21809302.82787514,20815358.515456863,58552986.92603624,96314025.99458303,0.0,624941.324944511,246405.67597216796,175139.01643085663
146,25481083.635595206,24463432.026576117,69553683.56720681,95991540.7991914,15998590.133198561,635500.5793300305,255298.4125166186,181218.02453205487
147,21971582.662653066,20949424.316256005,58937966.29719917,96870888.36607143,0.0,650728.4330778233,247766.93668248932,176661.39519535663
148,25923782.60798842,24945996.853300933,70974962.90646492,97814140.3469821,16302356.724497017,604635.8543968239,248510.39030155755,178056.4428415879
149,22391201.91562328,21400111.27740165,60281397.97292765,98877516.44503129,0.0,620675.6345496565,247952.21834018934,174946.8361882615
150,26220653.174549058,25245059.978570208,71992215.8442168,98801779.96287346,16466963.32714558,603354.4160288511,247770.95318045068,177811.1810993413
151,22436371.94408028,21459374.537583932,60545175.94868287,99024826.42024744,0.0,604219.8158757213,248190.25800999362,177981.90372946634
152,25955921.849451013,24990533.368988194,71297569.95019844,97724871.36904503,16287478.561507504,590877.5275494996,249003.51685324486,179296.33722868224
