Period,"Gini per capita, all income","Gini per capita, labour income","Gini per capita, labour and pension income","Gini per capita, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income"
49,0.42335625583964182,0.49495677299819874,0.43799606462212509,0.47908627197817705,8.732998432292753,14.866151869592267,10.932372188986207,11.785859339537563,0.2177265124569425,0.24066842364207325,0.22642753682941608,0.22854829231974905,0.03814224796544839,0.02973606975429151,0.02711896140078405,0.04404706656683817
50,0.41698378736808306,0.46490560451023938,0.4273515643693892,0.45882511584557029,8.33618062028212,11.685950109613412,9.995047595025254,10.271648036190717,0.21156609721551242,0.22320949955131303,0.21760707027954673,0.21493310028277404,0.04242878510399597,0.03314221368160939,0.03179546361807957,0.047293548136126067
51,0.41965056706424853,0.46801396442440218,0.43130644325897011,0.45798589485038255,8.414064076321669,12.083688941100556,9.770808559691124,10.044730355906388,0.22128013333159366,0.24027579010393219,0.22833454919711504,0.2306055089015085,0.04367414508573464,0.03227254562166709,0.03156498597433525,0.04801770627293237
52,0.42383436144863201,0.47451840100357773,0.43515753903591431,0.46408645546283361,8.522349641226008,12.677391669006566,10.482324526089414,10.42672875717021,0.22161918475520337,0.237163330646875,0.22849920422805364,0.2276752628880601,0.04349968562849699,0.032444899309363555,0.03065707141690078,0.049437411647515896
53,0.42431768326133129,0.47450215277072988,0.43621657962603033,0.46329404032829158,8.664846388600273,12.76055367636159,10.154254525433318,10.347264793967119,0.22288212296776014,0.24317679412065693,0.23058590766225243,0.23256059273122096,0.04522161351942397,0.03188159954961009,0.0311287911734689,0.050263924447287854
54,0.42089597100233134,0.4713743066329934,0.43228323316654516,0.46193802152334973,8.70676730560615,12.771598686204413,10.296446293835777,10.569074602568216,0.2201410396660825,0.2385053171348605,0.22741483813311236,0.22839147228696455,0.043715092878138184,0.031139343338742114,0.03051766991427841,0.04861010782268721
55,0.42557874450641464,0.47333324809993604,0.43602208272114051,0.46515710209584893,8.573847592369244,12.219185524642667,10.04663436192187,10.569621619870011,0.2186846909772317,0.23910454486237634,0.22540830590098018,0.22979529007083105,0.044934509299330676,0.03290699085037895,0.032117163708590225,0.04960618786170533
56,0.42075912665867743,0.4751279397697491,0.43598978646407383,0.46019912834289806,8.349788780783227,12.619543937644107,10.246509586044894,10.230036541094686,0.2138155259704716,0.2338495852846059,0.22375641865731774,0.22006322145607246,0.04414525779774197,0.032525805409319826,0.030520285846919775,0.05048670187470171
57,0.42594351631896565,0.48572239911918907,0.44302763799660061,0.46858927642921233,8.559759764446696,14.08911488953396,11.016466453916033,10.689233590553357,0.2178313462884691,0.24599549850125238,0.22973511783023765,0.22928281551821855,0.04701517014443971,0.03137247162976727,0.02998979924960719,0.05360212500082942
58,0.42729091280925696,0.48901967907060834,0.44286502993181232,0.4720902374984231,9.006184527773376,14.769924214773985,11.342125564985238,11.20490974729576,0.21993383878683864,0.24572390490005883,0.23079753353455545,0.23023327450106945,0.045658333658466714,0.03352687825804848,0.030085533653013977,0.0541647445823257
59,0.42779368524496525,0.48728983827345734,0.44172381858861237,0.47311612344326853,8.94912732245337,14.182190061129322,10.749597204221018,11.301371316892896,0.2203022148415873,0.24877818315667968,0.2300592496234281,0.2348220519716365,0.04511207522827407,0.03192730129702014,0.03020337244677927,0.05154946917083346
60,0.42381987436407759,0.48582590783952934,0.43909746636387875,0.47076646363133623,8.697150305248089,14.382444580403199,10.932707976602842,10.951807311961938,0.21949171533822293,0.24486299157323752,0.22991095681709414,0.22987533384898126,0.045369176258569205,0.0324589797405083,0.029974280210325464,0.05309993392361552
61,0.42293678849839705,0.487379708369783,0.4391680810613548,0.47013038637809779,8.542084578685301,14.670088064089175,10.623502283313513,11.190843456845327,0.22036005918878435,0.2513599299331913,0.23226420356745486,0.2341163879274901,0.04762266731592529,0.03334879859520659,0.03065259543949833,0.05587841933477911
62,0.42420680047223641,0.48199375432770869,0.4362118780002589,0.46926807490166628,8.872367459877648,14.624957697030892,10.281870080255976,11.609760390640085,0.22469011398518773,0.2506619212571027,0.23338987600147704,0.2380748679396231,0.045302980470451046,0.033574734456756655,0.03142387245351996,0.05216397781360033
63,0.42553218368185275,0.48290066876124893,0.43737240838484398,0.47103935122590762,8.798153488823656,14.50851520474025,10.370125147284858,11.471179756099698,0.22816582226636517,0.2548440415563418,0.23673138784556794,0.2424256332230527,0.04765682569883543,0.03661224213886949,0.03363074566882886,0.05535702363716772
64,0.42416451155176577,0.48155586325381389,0.43545956957848098,0.46915194679292804,8.898027620208909,14.976503781363878,10.592234886306525,11.773764098006286,0.2229921545357093,0.25304884501679314,0.2309966646975064,0.2412198740963601,0.04861423232573754,0.0384549153289562,0.03419709647926943,0.05770503490986398
65,0.42681810618091581,0.48823986785896517,0.44110490092110533,0.47122111416554274,8.87078558272715,15.107811103401657,11.039156300624528,11.343613450887942,0.22662892757055775,0.26265832426236196,0.23690967408659339,0.24728611215757074,0.04745383311305118,0.03615085466067559,0.032477686189587726,0.056134047342473084
66,0.42742527633496308,0.48675176671140674,0.43895414484115486,0.47475300389043429,9.02161624185202,14.918075956579395,10.924050906488871,11.761971285493537,0.22776759270858418,0.2613155071746351,0.2359086565361335,0.24912046632450638,0.04724563849608402,0.03753831593119624,0.03287982451842359,0.056748545666843876
67,0.42896036630860251,0.48433142711195659,0.43961376683230291,0.47287503548218762,9.23763215055828,14.96741061990299,10.891861387876556,11.8119225524366,0.22889278893300652,0.25974118024234283,0.23673594998980488,0.24807250191860902,0.04648526617921545,0.03662655674723286,0.03283600020813769,0.05496477272719701
68,0.4300023603910178,0.48759872096995294,0.44115568610993849,0.47494888297128485,9.126101535676202,14.410646217946834,10.698869054339653,11.405014681532808,0.2338780125670059,0.26669715828218854,0.24201880432995984,0.2544635475785054,0.04840296537922651,0.03998777479849283,0.03453868534451669,0.05864484974255797
69,0.42692767495913092,0.48985367374468786,0.44062113436072953,0.47239505857865943,8.599909262252037,13.90740541878652,10.464162694252328,10.752335894225432,0.2361474808850466,0.27149515672341196,0.24629342261867884,0.2562022689472506,0.050556898394783924,0.04135464091732332,0.035811094519567134,0.06120586409126923
70,0.42473302741297592,0.48805785805372837,0.43609970653550445,0.47578859108542521,8.721682706251276,14.102376884400462,10.398749988115778,11.778941487669027,0.23191025867992596,0.2655401859123209,0.2397900688205442,0.2534984595851938,0.04788441360800372,0.040764842013683,0.0351471555978852,0.05808788549278964
71,0.427852079214253,0.49159143449990444,0.43821880801616048,0.48041009202910745,9.206621331096555,15.032741716702827,10.696433774110007,12.020395147313659,0.23456443457106602,0.267958235379546,0.24229817994633543,0.256135395007425,0.04907387373025317,0.04198631114230594,0.03560074615243832,0.06032943844944062
72,0.41960002513115652,0.48696101292145627,0.42958322169629426,0.4757969500701425,8.665471909843546,13.907700178215533,10.111826165749312,11.60616105071507,0.2283067826355506,0.2623930726865164,0.23554276246379882,0.2511864838749543,0.046992082084480906,0.04096753282551045,0.03461833231137026,0.0578996662787231
73,0.41655081655851378,0.48557085362945757,0.42820280607844396,0.47236156432125159,8.63901031634306,14.079907690367154,9.987008669188581,11.273748763615568,0.22883412201357672,0.26583963179479475,0.23821014907169757,0.2512496905323321,0.04970603555345513,0.040499292758381565,0.03421031972397988,0.06176166507053895
74,0.41587720567518272,0.4826568210942106,0.42485405804451742,0.47111618512278847,8.753394043517318,14.354107594012499,10.030198133409025,11.520108004200896,0.2291410122007821,0.26501554998792737,0.23621455986113196,0.2539446934483546,0.04684137526661926,0.041483812307716,0.03435709504933105,0.05860262395232932
75,0.41190993603370835,0.48216604543713942,0.42224118842923203,0.46816279153403673,8.554924768722385,14.356367511049925,9.94669857669279,11.487302648335227,0.228101831769725,0.2572558466883293,0.23531469217668646,0.24618833357761782,0.04793645135621322,0.04282985429204931,0.03542723555501623,0.06006916901198307
76,0.41528634834833578,0.48862578080221691,0.42576663173880575,0.47528278745969726,8.486655190549552,14.613593056192657,9.715809490377165,11.199925392557745,0.23262972918874864,0.26803519947102256,0.2398856686140213,0.256679146391989,0.04785313447256719,0.041408852361356024,0.03396073633074834,0.060553393009541816
77,0.40782145452744933,0.48757704995841838,0.42189534524644329,0.46738864271229175,8.319870815844775,15.113762221811966,10.305804652984406,10.790680098301166,0.22665836892523686,0.2630278292067642,0.2358553541865615,0.24869523687442655,0.05061672304213273,0.042003327662228564,0.03477625076889055,0.06374605211251014
