Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini insee, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini insee, measure IFE impact","Decile ratio, measure IFE impact"
74,0.38602595363539577,0.46068995262708673,0.40351745098595831,0.43782237139128349,6.701350850805687,11.697148915851518,8.181022115373098,8.995668733000407,0.24203766309994182,0.296553382511026,0.2524912783604552,0.2797594358742164,0.03429511211401848,0.028468258864250053,0.027054573888033093,0.03827559200621456,0.46068995262708673,11.697148915851518,0.296553382511026,0.028468258864250053,0.46068995262708673,11.697148915851518
75,0.38414513987087029,0.46152987585919841,0.40231913130389685,0.4395159869294612,6.500467617988125,11.444435044515885,7.907178272773601,8.769456672266289,0.23462727618162155,0.2860348802434789,0.24490086203726946,0.26964574886492926,0.03533332819335702,0.0307984209486329,0.027883513440615112,0.040803570607976215,0.46152987585919841,11.444435044515885,0.2860348802434789,0.0307984209486329,0.46152987585919841,11.444435044515885
76,0.38190077326774974,0.45819871295108949,0.39942707546033063,0.43512037102713919,6.232557912142241,10.992628816564048,7.874561840761291,8.944113980833615,0.23499920680624195,0.2858082884180178,0.24563379047903186,0.2687264266596085,0.03445532859472158,0.030242443901586147,0.026809602797683595,0.04058802049666839,0.45819871295108949,10.992628816564048,0.2858082884180178,0.030242443901586147,0.45819871295108949,10.992628816564048
77,0.37131675467013575,0.45511989175977607,0.39403661526313494,0.42535537654672845,6.1220293186825465,11.284209138846645,7.991136433685022,8.351104777833758,0.22095897633035072,0.26585716076684984,0.23432496343330433,0.24475282447143681,0.03581880780562014,0.03124370014615529,0.027469458964388647,0.04255682943842973,0.45511989175977607,11.284209138846645,0.26585716076684984,0.03124370014615529,0.45511989175977607,11.284209138846645
78,0.37241440498966655,0.45090879417039553,0.39017375729170911,0.42602738423521858,6.215470509910884,10.554761202640954,7.743679852823529,8.705060503946068,0.22036058450519175,0.2593295784953598,0.2304178008289962,0.2434790576146466,0.036750445094275976,0.032830365882920244,0.028971687229873307,0.04348349417289187,0.45090879417039553,10.554761202640954,0.2593295784953598,0.032830365882920244,0.45090879417039553,10.554761202640954
79,0.37618100404698618,0.45555702199737846,0.39409343312850348,0.43049349102484347,6.250937786984791,11.1492254519733,7.801144529873493,8.466550673289868,0.22772928646287624,0.26771619341467473,0.23820495816550152,0.25108160444299343,0.03700279868106872,0.03341938738044371,0.029071480248399683,0.04434590443251339,0.45555702199737846,11.1492254519733,0.26771619341467473,0.03341938738044371,0.45555702199737846,11.1492254519733
80,0.37126863145895006,0.44715310414025378,0.38793996988699619,0.42468179280400103,6.308146148520434,11.286694510629935,8.03546415435034,8.831049223707158,0.2217619944424668,0.25799432299932473,0.23183767566258592,0.24212116615232457,0.03633962933707521,0.03342482579133184,0.028439655557613082,0.04429656148827774,0.44715310414025378,11.286694510629935,0.25799432299932473,0.03342482579133184,0.44715310414025378,11.286694510629935
81,0.3615842568909961,0.44816898514042375,0.38402743178202292,0.41623928924778103,5.907129060347356,11.09657779728127,8.213516862563404,7.960856999524833,0.2175020716260912,0.2584218774008704,0.23024207081476172,0.2380267285925764,0.03473870658081275,0.03265739745779446,0.02769774659656681,0.042281214974802986,0.44816898514042375,11.09657779728127,0.2584218774008704,0.03265739745779446,0.44816898514042375,11.09657779728127
82,0.36169152864331339,0.44524497825741377,0.38047017240589348,0.4194369643279221,5.98843794141422,11.01361487817123,7.73593519041807,8.625724661114468,0.22087663828381143,0.25266342012482035,0.23146418082114556,0.2360520135783913,0.036523788319770524,0.034756774703640796,0.028725044994427865,0.04556337128912098,0.44524497825741377,11.01361487817123,0.25266342012482035,0.034756774703640796,0.44524497825741377,11.01361487817123
83,0.36581088316651783,0.45289234905232456,0.38344683930743761,0.4277987626679951,6.038252456127032,11.07487593484237,7.379346894119149,8.814148480457273,0.22770574602558108,0.26571889742125115,0.2380460707928911,0.24906793284287934,0.034372396105925615,0.03381138749720579,0.027160541845662182,0.04378859815858752,0.45289234905232456,11.07487593484237,0.26571889742125115,0.03381138749720579,0.45289234905232456,11.07487593484237
84,0.37124915633161953,0.4588509728024126,0.38941120159402243,0.4342789730143381,6.470924144287242,11.544929180099274,8.042581107937815,9.154035268134276,0.2243444271659596,0.26592077754653537,0.23496455334119795,0.24852204956826535,0.03270782486247094,0.03268947148354548,0.026004769377694182,0.041945402698451074,0.4588509728024126,11.544929180099274,0.26592077754653537,0.03268947148354548,0.4588509728024126,11.544929180099274
85,0.36632820486350343,0.45893712477784676,0.38862340741765072,0.42677788091809699,6.2035726009992285,11.50818026403454,8.221874624512056,8.821769390129267,0.2227989049592763,0.2604588838697446,0.2359669100616096,0.23944822516012304,0.03277552815799117,0.033330560443758935,0.026215611458608117,0.04221718640525179,0.45893712477784676,11.50818026403454,0.2604588838697446,0.033330560443758935,0.45893712477784676,11.50818026403454
86,0.37232238200604229,0.45781233937799642,0.3906525326774673,0.43091758032940086,6.385048609236021,11.34145359624125,8.070930342903097,8.791294202930144,0.230552406601453,0.2652382710203414,0.24148292558702283,0.24774573187766205,0.03431393588256685,0.033513124107717826,0.027874573616561343,0.0425168709389084,0.45781233937799642,11.34145359624125,0.2652382710203414,0.033513124107717826,0.45781233937799642,11.34145359624125
87,0.3696857170330039,0.46106122663708177,0.38861023457955196,0.43477003500175804,6.250790889623049,11.106619592409796,7.959689938465999,8.34670759130907,0.22083039330594503,0.25390831462373037,0.2319303505537348,0.2360621900997099,0.034073096360770716,0.03289359245899469,0.02639674750020414,0.043703953237382465,0.46106122663708177,11.106619592409796,0.25390831462373037,0.03289359245899469,0.46106122663708177,11.106619592409796
88,0.36950639328397838,0.45907205775901616,0.38710381019328238,0.43469854925371321,6.278545962637512,10.983533666838946,7.8361888379206235,8.539938403754242,0.22029949969240786,0.25067935802143865,0.23091105561890185,0.23367006449948505,0.03219218709573982,0.030603109433784477,0.02457855060312883,0.04143177078535636,0.45907205775901616,10.983533666838946,0.25067935802143865,0.030603109433784477,0.45907205775901616,10.983533666838946
89,0.36488367100308605,0.46239505267689507,0.38877554079146964,0.43034587807067692,6.228985546361773,11.458594697400207,8.452580370962187,8.453566833653364,0.22523526165354493,0.2595265558712011,0.2388950055210106,0.23753369902038762,0.03315158065660607,0.03291090205770454,0.026684212001410558,0.041949145132642814,0.46239505267689507,11.458594697400207,0.2595265558712011,0.03291090205770454,0.46239505267689507,11.458594697400207
