Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini insee, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini insee, measure IFE impact","Decile ratio, measure IFE impact"
61,0.38553276648247531,0.44593791905408292,0.40584988232376534,0.42166944198053091,6.3044868847765025,10.119995031441421,7.880608605970628,8.069022732570277,0.23610466482515238,0.2732286508240307,0.24821954879348995,0.25575090421415997,0.0341942506752275,0.02582926820040529,0.02675339708110777,0.03563914677365329,0.44593791905408292,10.119995031441421,0.2732286508240307,0.02582926820040529,0.44593791905408292,10.119995031441421
62,0.38068346604340997,0.44194072557961162,0.39916963951534368,0.42141786284247651,6.4012863924468775,10.254614313573482,7.854462011743286,8.350536848944053,0.23054648955750293,0.26579045182329114,0.2410754340533914,0.2504347895631721,0.035801788767473836,0.028191396823589454,0.02718520847594988,0.0395312491647363,0.44194072557961162,10.254614313573482,0.26579045182329114,0.028191396823589454,0.44194072557961162,10.254614313573482
63,0.38218090640807806,0.4415750674627768,0.3992882840708355,0.42058466044401183,6.342480451830333,10.266343823894479,7.719950879198444,8.219563286752662,0.23332072239354057,0.26708948397658216,0.2434683654180096,0.25244066564972084,0.03386315928811369,0.028705033222643256,0.026515954761133744,0.03825205067957915,0.4415750674627768,10.266343823894479,0.26708948397658216,0.028705033222643256,0.4415750674627768,10.266343823894479
64,0.38722223863730099,0.44425719954554754,0.40480714472960339,0.42210459062234257,6.441513399337592,10.152192316765827,7.8231343547864665,8.139924948387948,0.23336256526219942,0.27547510522904384,0.2437402652506983,0.26015943302461636,0.032949561926039234,0.027203548918446886,0.026460967776045296,0.03563374740640754,0.44425719954554754,10.152192316765827,0.27547510522904384,0.027203548918446886,0.44425719954554754,10.152192316765827
65,0.38155693149317993,0.44393106831652784,0.40298744402893538,0.41863683116294242,6.150027817218868,10.265501992208895,7.734734873023145,7.851445023941528,0.2291614997704919,0.27265715392831397,0.2417987923259407,0.25406491826678246,0.03536007291441091,0.02741711903628555,0.02812289829829045,0.03690549876357852,0.44393106831652784,10.265501992208895,0.27265715392831397,0.02741711903628555,0.44393106831652784,10.265501992208895
66,0.38448815793117708,0.44686377531537647,0.4053848510990879,0.42273791943524108,6.219588449820734,10.703253184441627,7.864658555791071,8.147079757584814,0.23014649926181133,0.27384076436613547,0.24185405905379131,0.25652487921716594,0.036482222503959286,0.0283134759868382,0.02790206724972876,0.03949468727355973,0.44686377531537647,10.703253184441627,0.27384076436613547,0.0283134759868382,0.44686377531537647,10.703253184441627
67,0.38179046001487543,0.44629157143316739,0.40156113014888944,0.42263613981027581,6.32643939088975,10.635881694583995,7.985419710144562,8.153804684581536,0.227685508975888,0.261404208545961,0.23869394512359826,0.24552029464163508,0.035213831145344,0.029396201210279832,0.02684276066542223,0.04026975814581355,0.44629157143316739,10.635881694583995,0.261404208545961,0.029396201210279832,0.44629157143316739,10.635881694583995
68,0.38187164572016019,0.44608744994309457,0.40309389094656956,0.42015698710292038,6.328027320183214,10.480580277710024,8.017051266624462,7.894272598985883,0.2236421021687137,0.2563724827426942,0.23507612520333943,0.2398667044350672,0.034950903155618676,0.029463956906773815,0.02771590442579274,0.038925813169912823,0.44608744994309457,10.480580277710024,0.2563724827426942,0.029463956906773815,0.44608744994309457,10.480580277710024
69,0.36053033059333628,0.44465095393301618,0.3835410013753689,0.41733702228753805,5.8708051221603625,10.312697341676063,7.538269956923681,7.528141709619311,0.22600255314428977,0.27111876339080626,0.23921276460467544,0.25075745919269954,0.036062919422670654,0.030453805671221187,0.026540115398613204,0.043096033210483886,0.44465095393301618,10.312697341676063,0.27111876339080626,0.030453805671221187,0.44465095393301618,10.312697341676063
70,0.4472770162602307,0.44974259630836327,0.39519382019096361,0.43261677845086638,11.864215953250861,10.741563414760634,8.151877186357869,9.025106196411862,0.25597937944410154,0.3192228103498332,0.27960476932501993,0.299744753593081,0.02505174243416409,0.0011542461692428529,0.0015280364090265004,0.001859121848504995,0.53454048690709532,19.176761983240937,0.29931281237234075,0.034813486029524054,0.61194480928154327,inf
