Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
77,885773,1215873,1201188,1000290,905068,959465,821763,730673,644560,581010,460833
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
78,880874,1202409,1201967,1018586,902148,963822,824024,735537,651124,571258,460454
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
79,889083,1211915,1186043,1041948,897602,954351,838100,740131,661174,559546,468467
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
80,892691,1196822,1186848,1058518,903233,952278,830055,756921,656272,559721,471873
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
81,899781,1182066,1190088,1087495,896652,947980,833351,759365,662586,559185,471350
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
82,900340,1182648,1205293,1090726,892303,954379,822071,763611,661155,569538,481879
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
83,905496,1178515,1203479,1097222,900477,936045,847531,761746,658554,578138,479875
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
84,914043,1172601,1214346,1093431,916614,932417,859793,756205,657261,592028,478031
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
85,914415,1162537,1210826,1097575,939022,899043,892832,758593,656541,586906,484668
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
86,907323,1152949,1213241,1109344,942209,895791,904282,760620,665621,592202,477195
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
87,903578,1147697,1216054,1121516,931989,907678,919363,763602,657713,599976,474175
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
88,922531,1140251,1209921,1125847,938892,916978,909729,784611,649603,610486,467801
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
89,924445,1135765,1209671,1130321,948604,900924,913834,788623,658042,614496,471197
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
90,933026,1126830,1216908,1145281,943755,898428,912778,801394,662146,605567,487632
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
91,927431,1127708,1220288,1149324,947091,892762,927528,798850,655350,628251,483890
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
92,916047,1134517,1204738,1174665,945185,890356,922662,812764,658873,627104,493800
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
93,916720,1125882,1211199,1182470,960315,873602,932268,808771,675687,624018,499450
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
94,932291,1113099,1217877,1189877,970734,866709,941604,804949,678571,628148,497155
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
95,920608,1110268,1223211,1185934,983140,879116,947985,789444,700859,610485,513056
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
96,909880,1100941,1220845,1193562,989483,888346,939271,797744,698336,607280,527956
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
97,894665,1114453,1208817,1192740,993730,899243,945938,796826,706785,603406,529732
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
98,884554,1121525,1195480,1192881,1015632,896969,948672,802111,708058,612900,517997
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
99,875666,1123163,1204663,1179580,1036051,891119,940394,816460,714866,625926,505926
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
100,864856,1136345,1189570,1179743,1053056,896286,940333,813134,727002,624369,508951
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
101,874800,1134794,1175246,1183627,1084409,889929,935984,817585,728145,631147,507017
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
102,888364,1124658,1175765,1198453,1087114,885095,942553,807441,735612,630782,518426
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
103,877264,1122369,1172838,1198330,1093350,895301,923173,833193,734015,626834,528922
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
104,862662,1133215,1167178,1208820,1089384,911224,918353,844589,727495,624242,538308
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
105,859211,1130827,1158859,1203353,1094062,933216,887217,877658,733658,620925,533652
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
106,853811,1139731,1149658,1208025,1105439,936462,884432,889410,734060,626121,542276
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
107,854876,1136695,1144445,1212505,1115511,926513,894611,903435,738662,620029,548457
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
108,861832,1139058,1137438,1205377,1119626,935017,904353,893405,760131,611675,559198
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
109,851677,1144207,1132711,1205904,1124356,943777,891578,897523,764146,618696,564784
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
110,842506,1154519,1123296,1212945,1139316,939136,891634,894824,776218,623282,553171
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
111,838543,1150267,1123946,1215633,1143838,942632,885726,907179,776351,615656,570442
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
112,833030,1133897,1130812,1200164,1166363,941182,881605,902681,789696,618782,568546
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
113,833585,1126783,1122177,1206665,1174359,955879,864578,913496,783328,635283,562133
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
114,839314,1127659,1109532,1213799,1183228,965344,859274,920961,779932,637911,569372
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
115,828613,1112200,1106887,1219133,1179366,978659,871129,928812,765206,661924,555791
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
116,803009,1110873,1095524,1217101,1186988,984309,877681,921120,773278,657773,553235
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
117,782836,1113164,1109451,1203952,1186137,988329,888346,928585,774365,666111,550406
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
118,757799,1115516,1117467,1189589,1186587,1010231,886289,932957,780470,663388,561695
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
119,767093,1097087,1118932,1199474,1171307,1030986,881947,921989,792799,670819,576147
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
120,762094,1084900,1132231,1184572,1172680,1045032,886569,923654,787942,680841,573719
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
121,757153,1077263,1130529,1170513,1176675,1075876,878696,919418,792942,682640,575964
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
122,742993,1087950,1120393,1172271,1191898,1078623,872314,925550,783420,690142,573562
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
123,724517,1089960,1118363,1169099,1191958,1086888,881033,905895,807163,685555,572181
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
124,714065,1080060,1129529,1163119,1202929,1082517,897699,901722,820965,680763,575249
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
125,707723,1074246,1126901,1154334,1198138,1086966,921399,872082,851884,686738,570426
