period,coefficient_men,coefficient_women
1990_3,1.0870665831,0.8471839277
1990_1,1.0780552632,0.8673328198
1989_3,1.1198112891,0.7912742663
1989_1,1.1437016108,0.7584667103
1988_3,1.1321974377,0.7716956594
1988_1,1.1244272032,0.7720171882
1987_3,1.129963685,0.783577243
1987_1,1.1524837923,0.74626322
1986_3,1.1319103944,0.7771128931
1985_3,1.087446124,0.8244594014
1982_3,1.1167817673,0.7854906986
1981_3,1.0401128332,0.9221831406
1980_3,1.1244920434,0.7551110624
1974_3,1.0807300586,0.8324202118
