age,period
,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
18,0,0,0,0,0.0061361871,0.0018648126,0.0007058192,0,0,0.0008625487,0,0,0,0.0013317336,0.0031682609,0,0,0,0,0.0077153779,0.0015797857,0.0022908221,0,0.0031217746,0.0022915384,0.0003215448,0,0,0,0.0028595734,0,0,0,0,0,0.0102086995,0,0.008746507,0.0010066513,0.0048625952,0,0,0.0045785219,0,0,0
19,0,0.0004775669,0.0081393794,0,0.0016351246,0.0029103138,0,0,0.0017598796,0,0.0020252283,0.0018727533,0.0016019332,0,0.0014565652,0.0010693791,0.0070964382,0.0131234972,0.0021840194,0.0019411134,0.0008985777,0.0013516166,0.00071519,0.0080187521,0.0006634385,0.007430615,0.00257824,0.0025672048,0.0084224357,0.0019890512,0.0094084047,0.0002482191,0.002410894,0,0.0020133951,0.0030751538,0,0.0063849209,0.0010248002,0,0,0.0022120793,0,0,0,0
20,0.0032593542,0.0069041061,0.0197373548,0.0066475334,0.009421243,0.0094719262,0.0088380533,0.0094410876,0.0052126445,0.003127938,0.0081062846,0.0138130406,0.0152527581,0.0143558657,0.0157374424,0.0132184856,0.009417855,0.0056172244,0.012779304,0.0060194764,0.0228910276,0.0124160592,0.0196235852,0.0116395047,0.0172171365,0.0093931728,0.0011776214,0.0081822223,0.0028239857,0.009575829,0.0070121106,0.0039807561,0.0038206042,0.0009034764,0.0082543451,0.0030757581,0.0047594501,0.0005706145,0.0119452181,0.0174323649,0.0064011536,0.0083275014,0.0046427232,0.0070901962,0.0011697341,0.0025835629
21,0.0345362016,0.0274396094,0.0214195449,0.0269409344,0.0183479178,0.0322535905,0.0130036897,0.0168199406,0.0162599583,0.0206806821,0.0367732178,0.0262533243,0.0306530261,0.0381738532,0.038825494,0.024655544,0.0309666409,0.0372777378,0.0499712018,0.0214366714,0.0144496571,0.0075252772,0.0487997691,0.030017039,0.025308001,0.0224293338,0.0336651688,0.0080155383,0.0158292498,0.0230612876,0.0211611004,0.0207686485,0.0166738556,0.0229150133,0.0127403432,0.0178389333,0.0124871272,0.0061618635,0.007795238,0.0121216066,0.006145217,0.0151958063,0.0312981139,0.0147524659,0.0112966479,0.0279927202
22,0.0187671996,0.0402924167,0.0563110473,0.0209331043,0.0355223745,0.0432679537,0.032192133,0.0420606878,0.0346494931,0.0444260196,0.0584577417,0.0258897544,0.0366277297,0.0371432355,0.0843578075,0.0372764597,0.056333463,0.0753904664,0.0717807928,0.0373654382,0.0669961444,0.0881493622,0.042008844,0.047138428,0.0502995526,0.0716779054,0.0519063682,0.0538419016,0.0596751323,0.0591664913,0.0396774277,0.0583399482,0.0296737403,0.0256935625,0.0514672686,0.0546476965,0.0601656287,0.0602565726,0.0473536382,0.0530857612,0.0420789571,0.0351201712,0.0357732845,0.0386663637,0.0327924015,0.0480594923
23,0.0742218893,0.069691563,0.0802051271,0.0851201302,0.0968902332,0.0773379507,0.0855921008,0.0666427381,0.0809070295,0.0632167239,0.0608065776,0.0660896335,0.1001195158,0.0799368292,0.0501674496,0.0836043629,0.0938919952,0.1041796275,0.1096899265,0.054199277,0.0834443735,0.0800856719,0.0944936172,0.0753568009,0.0764797817,0.1256408633,0.1078522567,0.1104787851,0.0914784888,0.0935567627,0.0835868774,0.0640607811,0.0664462626,0.0837949854,0.0890931342,0.0952781693,0.0388603204,0.0811970725,0.079459318,0.057440598,0.0751464957,0.0777519279,0.0890454657,0.0829267294,0.0491813416,0.0715508738
24,0.0813699155,0.0977827021,0.0930749563,0.0885848913,0.1065754349,0.0986705367,0.1133700303,0.0925105174,0.1107113959,0.0815613832,0.1418649737,0.1072847416,0.0544750407,0.1062751663,0.1415560986,0.0991899331,0.0991747211,0.099159509,0.1040062241,0.1147175815,0.0848057445,0.1185034106,0.0946947765,0.1352102472,0.0993128629,0.0689581964,0.1182993879,0.0985981332,0.0963394096,0.0963112118,0.1648215014,0.1449929638,0.1016385786,0.0893254389,0.1008341118,0.0751559689,0.0885862067,0.0740485169,0.1571980143,0.1484761791,0.0781110063,0.1054605403,0.1287169178,0.0990385882,0.0984826379,0.0975690447
25,0.1719061329,0.189463788,0.1299031877,0.1362989307,0.1582703926,0.1691655998,0.1149363274,0.1170961466,0.16905952,0.1475856081,0.1340740569,0.1216648716,0.1127253327,0.1415636302,0.142426445,0.1559707249,0.1390627136,0.1221547023,0.1903141386,0.1251664384,0.154210338,0.1628067588,0.1611318274,0.1361249764,0.1518673812,0.1451396778,0.1489688369,0.1369561511,0.1491238261,0.1414920574,0.1822574261,0.1430898298,0.1197177405,0.109733571,0.1451435141,0.1422756901,0.16251162,0.1649433475,0.1300516197,0.1656806232,0.1446340393,0.1255128003,0.120881637,0.2167967372,0.1098843603,0.1286536351
26,0.1605777773,0.1470714901,0.1668200204,0.1732215276,0.1637193062,0.214759669,0.1638489045,0.2221648713,0.1890551771,0.1711778249,0.1783080749,0.1553166924,0.1737951366,0.1592426598,0.1603565128,0.1891435168,0.1965367066,0.2039298964,0.1775414065,0.1916572505,0.1560092136,0.1559865326,0.2230072377,0.2174334956,0.1615208312,0.1354704984,0.2054599601,0.1777447826,0.1887954666,0.2216658442,0.1443561964,0.1579155425,0.1739620622,0.2118882748,0.2099218682,0.1753632528,0.1843290289,0.2089514684,0.1540465211,0.1474518594,0.2164334929,0.1967107113,0.199584007,0.1842148232,0.2220668475,0.191768196
